word1,word2,n
data,set,2427
sea,ice,1032
image,metadata,919
active,layer,889
image,data,700
north,american,651
longitude,latitude,627
text,file,619
1964,1997,612
altitude,media,612
austin,post,612
date,roll,612
latitude,altitude,612
climate,change,577
specifications,unique,544
arctic,ocean,520
ice,sheet,516
coast,guard,502
dataset,includes,413
raw,data,395
guard,cutter,393
bering,sea,381
national,science,380
month,day,363
observation,time,355
day,hour,354
research,range,353
flat,research,352
poker,flat,352
project,period,352
image,acquisition,351
acquisition,start,350
airglow,image,350
emission,identifier,350
encourage,users,350
entire,set,350
hour,min,350
image,format,350
images,obtained,350
interpreted,correctly,350
low,quality,350
observation,site,350
pfrr,poker,350
png,image,350
quality,image,350
scientific,ethic,350
site,pfrr,350
standard,scientific,350
1,2,338
north,america,338
aerial,imagery,317
aerial,photos,313
data,collected,311
data,contained,310
glacier,change,310
kml,files,309
image,files,308
5,decades,307
digital,format,307
file,structure,307
future,analysis,307
past,5,307
1997,nagapdata.csv,306
1999,austin,306
american,glacier,306
american,glaciers,306
camera,roll,306
camera,specifications,306
color,images,306
color,information,306
contents,visually,306
csv,yyyy.csv,306
digital,products,306
file,histo.txt,306
file,info.txt,306
film,images,306
flight,path,306
folder,contents,306
glacier,photos,306
image,type,306
individual,yyyy.csv,306
level,primarily,306
metadata,specific,306
notes,provided,306
oblique,images,306
path,information,306
post,led,306
primarily,vertical,306
roll,date,306
script,searchdata.r,306
set,nagapdata.csv,306
single,oblique,306
specific,csv,306
stereo,black,306
thumbnail,jpeg,306
thumbnails,jpegs,306
type,thumbnail,306
usgs,collection,306
vertical,stereo,306
white,images,306
yyyy.csv,file,306
data,filelayout.pdf,305
decade,2,305
file,3,305
layout,1,305
international,tundra,301
tundra,experiment,301
arctic,observing,299
surface,permafrost,292
image,folders,290
oblique,image,290
science,foundation,290
time,series,287
observing,network,283
uscgc,healy,281
calm,program,278
calm,data,276
north,slope,276
data,north.htm,274
gwu.edu,calm,274
https,www2,274
www2,gwu.edu,274
change,file,273
file,layout,273
readme,file,270
mass,balance,268
remote,sensing,267
greenland,ice,258
u.s,coast,254
foundation,nsf,241
data,files,239
scanner,specifications,238
conductivity,temperature,233
barrow,alaska,225
cutter,uscgc,215
bering,strait,214
time,scales,209
field,station,208
nsf,award,208
organic,carbon,198
alaska,fairbanks,197
depth,ctd,197
water,column,196
soil,temperatures,193
toolik,field,190
layer,monitoring,187
ice,core,184
arctic,system,183
excel,format,183
monitoring,calm,183
temperature,data,182
temperature,depth,182
ctd,data,181
broader,impacts,180
chukchi,sea,178
primary,goal,178
circumpolar,active,175
data,sets,171
network,aon,170
pressure,temperature,170
air,temperature,167
snow,depth,166
soil,moisture,166
beaufort,sea,165
cutter,healy,164
carbon,dioxide,158
temperature,salinity,156
greenhouse,gases,154
layer,thickness,154
acoustic,doppler,152
doppler,current,152
ascii,format,150
cold,regions,150
polar,programs,149
current,profiler,148
sea,level,148
meteorological,data,147
nims,grid,147
square,kilometer,145
toolik,lake,144
field,season,143
position,data,142
info,mechanical,141
networked,info,141
observational,network,141
southern,hemisphere,141
200,sites,139
decadal,time,139
experiment,itex,139
multi,decadal,139
page,https,139
passive,acoustic,139
sample,rate,139
soil,temperature,139
south,america,139
web,crawl,139
analytical,procedures,138
automatically,generated,138
decadal,periods,138
ice,cover,138
includes,sites,138
khz,sample,138
project,page,138
sites,measure,138
term,response,138
water,samples,138
1,hecatre,137
1,square,137
1304555,polar,137
15,countries,137
1990s,observes,137
assess,trends,137
award,1304555,137
calm,network,137
calm,observational,137
calm,south,137
component,calm,137
countries,majority,137
detect,cumulative,137
grids,ranging,137
gtnpdatabase.org,activelayers,137
hemisphere,component,137
hemispheres,calm,137
http,gtnpdatabase.org,137
human,infrastructure,137
initially,affiliated,137
landscape,processes,137
lowlands,southern,137
measure,active,137
metadata,record,137
network,established,137
nsf,calm,137
observe,soil,137
original,project,137
procedures,continue,137
profound,effects,137
project,coordinators,137
subarctic,lowlands,137
supported,independently,137
widespread,systematic,137
wind,speed,137
growing,season,136
acoustic,data,134
brooks,range,133
ice,thickness,132
includes,data,131
dissolved,oxygen,129
arctic,biology,126
samples,collected,126
csv,files,125
water,table,125
gis,rs,124
detailed,information,122
global,climate,122
longitude,data,122
summit,station,120
arctic,climate,118
summer,field,116
atqasuk,alaska,115
set,includes,114
balance,data,112
station,greenland,112
