word1,word2,n,unique_ids,unique_authors
data,set,2427,1584,253
sea,ice,1032,385,177
image,metadata,919,307,2
active,layer,889,260,43
image,data,700,350,1
north,american,651,339,21
longitude,latitude,627,321,6
text,file,619,313,6
1964,1997,612,306,1
altitude,media,612,306,1
austin,post,612,306,1
date,roll,612,306,1
latitude,altitude,612,306,1
climate,change,577,453,180
specifications,unique,544,306,1
arctic,ocean,522,332,141
ice,sheet,516,200,102
coast,guard,502,476,61
dataset,includes,413,405,79
raw,data,395,393,22
guard,cutter,393,391,48
bering,sea,382,233,81
national,science,380,379,57
month,day,363,363,6
observation,time,355,355,3
day,hour,354,354,4
research,range,353,353,2
flat,research,352,352,2
poker,flat,352,352,2
project,period,352,352,2
image,acquisition,351,351,2
acquisition,start,350,350,1
airglow,image,350,350,1
emission,identifier,350,350,1
encourage,users,350,350,1
entire,set,350,350,1
hour,min,350,350,1
image,format,350,350,1
images,obtained,350,350,1
interpreted,correctly,350,350,1
low,quality,350,350,1
observation,site,350,350,1
pfrr,poker,350,350,1
png,image,350,350,1
quality,image,350,350,1
scientific,ethic,350,350,1
site,pfrr,350,350,1
standard,scientific,350,350,1
1,2,338,337,21
north,america,338,337,28
aerial,imagery,317,311,6
aerial,photos,313,313,7
data,collected,311,297,90
data,contained,310,310,4
glacier,change,310,309,4
kml,files,309,309,2
image,files,308,308,3
5,decades,307,307,2
digital,format,307,307,2
file,structure,307,307,2
future,analysis,307,307,2
past,5,307,307,2
1997,nagapdata.csv,306,306,1
1999,austin,306,306,1
american,glacier,306,306,1
american,glaciers,306,306,1
camera,roll,306,306,1
camera,specifications,306,306,1
color,images,306,306,1
color,information,306,306,1
contents,visually,306,306,1
csv,yyyy.csv,306,306,1
digital,products,306,306,1
file,histo.txt,306,306,1
file,info.txt,306,306,1
film,images,306,306,1
flight,path,306,306,1
folder,contents,306,306,1
glacier,photos,306,306,1
image,type,306,306,1
individual,yyyy.csv,306,306,1
level,primarily,306,306,1
metadata,specific,306,306,1
notes,provided,306,306,1
oblique,images,306,306,1
path,information,306,306,1
post,led,306,306,1
primarily,vertical,306,306,1
roll,date,306,306,1
script,searchdata.r,306,306,1
set,nagapdata.csv,306,306,1
single,oblique,306,306,1
specific,csv,306,306,1
stereo,black,306,306,1
thumbnail,jpeg,306,306,1
thumbnails,jpegs,306,306,1
type,thumbnail,306,306,1
usgs,collection,306,306,1
vertical,stereo,306,306,1
white,images,306,306,1
yyyy.csv,file,306,306,1
data,filelayout.pdf,305,305,1
decade,2,305,305,1
file,3,305,305,1
layout,1,305,305,1
international,tundra,301,301,17
tundra,experiment,301,301,17
arctic,observing,299,258,55
surface,permafrost,292,155,5
image,folders,290,290,1
oblique,image,290,290,1
science,foundation,290,290,53
time,series,287,215,68
observing,network,283,258,57
uscgc,healy,281,275,43
calm,program,278,140,3
calm,data,276,139,2
north,slope,276,197,80
data,north.htm,274,137,1
gwu.edu,calm,274,137,1
https,www2,274,137,1
www2,gwu.edu,274,137,1
change,file,273,273,1
file,layout,273,273,1
readme,file,270,268,46
mass,balance,268,214,60
remote,sensing,267,234,74
greenland,ice,258,158,97
u.s,coast,254,246,33
