token,n,unique_ids,unique_authors
data,13885,4778,839
arctic,4416,1827,548
ice,4308,1246,455
image,3964,740,39
project,3080,2084,475
set,2946,1675,306
file,2699,1172,194
dataset,2512,1924,410
images,2393,796,69
collected,2352,1860,439
level,2308,664,152
measurements,2235,1323,366
sea,2233,904,343
temperature,2226,1336,381
1,2220,1429,369
water,2216,1070,386
information,2165,1517,271
research,2073,1249,398
2,1952,1310,368
north,1894,993,266
files,1871,1125,208
surface,1853,1129,350
climate,1800,985,382
time,1788,1407,319
alaska,1627,1190,344
format,1565,1402,159
site,1564,1251,230
depth,1496,994,313
change,1485,1095,323
system,1428,1041,288
metadata,1340,613,51
includes,1338,1197,225
sites,1328,655,202
calm,1307,189,11
ocean,1306,642,246
carbon,1269,644,227
roll,1268,350,4
program,1259,851,209
snow,1245,481,177
glacier,1231,562,120
glaciers,1157,435,70
layer,1146,452,117
greenland,1132,614,208
station,1118,624,153
soil,1104,533,143
5,1065,944,197
field,1058,811,261
3,1041,902,287
active,1016,368,100
include,1014,933,229
latitude,992,662,94
study,973,710,332
location,958,586,124
specific,950,621,118
date,947,568,90
longitude,919,596,46
network,915,601,140
folders,910,313,6
tundra,895,575,118
summer,885,726,237
samples,860,533,217
permafrost,859,375,103
lake,858,368,174
observation,838,469,60
cruise,837,611,93
science,832,676,192
csv,821,482,36
range,813,721,164
aerial,799,420,45
analysis,797,698,201
provided,792,707,161
national,787,639,155
text,777,467,61
unique,776,425,64
based,763,540,238
entire,757,746,57
located,754,729,102
period,747,668,174
post,747,400,50
atmospheric,742,536,178
grid,736,408,78
1997,730,414,39
term,730,460,145
international,708,640,144
american,702,384,45
digital,695,377,48
ecosystem,691,410,153
photos,680,359,27
primarily,679,364,40
bering,678,418,114
camera,677,347,19
day,676,590,104
model,672,320,198
future,662,575,161
environmental,658,488,235
barrow,654,515,115
media,643,335,23
altitude,638,332,16
individual,638,583,93
10,636,484,189
color,632,324,15
jpegs,628,306,1
community,623,367,159
comments,616,309,2
1964,614,307,2
sediment,614,244,130
austin,613,307,2
university,613,429,176
nagapdata.csv,612,306,1
yyyy.csv,612,306,1
nsf,611,381,118
toolik,609,266,65
vertical,609,512,80
experiment,607,477,80
provide,607,435,225
temperatures,606,461,139
measured,604,464,215
scientific,603,523,91
structure,603,575,97
processes,601,473,185
vegetation,601,356,114
oblique,598,308,3
hour,594,565,40
observations,590,416,188
past,582,493,127
polar,582,437,145
lakes,580,153,70
flux,571,407,127
raw,568,513,55
coast,565,529,95
collection,565,526,104
spatial,565,414,160
response,562,365,135
july,559,408,145
pressure,558,371,111
region,557,478,198
warming,556,281,134
obtained,553,538,97
plots,550,303,71
sheet,548,230,115
specifications,548,310,5
ctd,546,292,90
core,544,284,120
deployed,543,457,98
low,540,505,95
season,536,446,136
note,535,529,65
stored,534,524,39
seasonal,524,357,138
included,523,476,180
including,520,453,213
1999,511,493,44
healy,511,470,64
quality,509,489,74
global,503,409,173
guard,503,477,62
thickness,501,290,78
standard,494,474,62
systems,493,411,128
mass,490,368,145
resolution,489,355,175
2014,486,360,125
america,486,484,36
subset,486,427,29
type,485,456,72
effects,483,418,128
majority,483,482,31
marine,479,315,154
understanding,478,359,235
current,476,357,145
organic,475,305,131
parameters,471,380,100
emissions,468,412,37
