word1,word2,word3,n
latitude,altitude,media,612
longitude,latitude,altitude,612
coast,guard,cutter,392
month,day,hour,353
flat,research,range,352
poker,flat,research,352
airglow,image,data,350
day,hour,min,350
image,acquisition,start,350
low,quality,image,350
observation,site,pfrr,350
pfrr,poker,flat,350
png,image,format,350
quality,image,data,350
site,pfrr,poker,350
standard,scientific,ethic,350
past,5,decades,307
1964,1997,nagapdata.csv,306
1999,austin,post,306
american,glacier,change,306
austin,post,led,306
camera,specifications,unique,306
data,set,nagapdata.csv,306
flight,path,information,306
folder,contents,visually,306
image,metadata,specific,306
image,type,thumbnail,306
individual,yyyy.csv,file,306
north,american,glacier,306
north,american,glaciers,306
primarily,vertical,stereo,306
roll,date,roll,306
single,oblique,images,306
specific,csv,yyyy.csv,306
text,file,histo.txt,306
text,file,info.txt,306
type,thumbnail,jpeg,306
vertical,stereo,black,306
yyyy.csv,file,3,305
international,tundra,experiment,301
oblique,image,folders,290
national,science,foundation,289
calm,data,north.htm,274
gwu.edu,calm,data,274
https,www2,gwu.edu,274
www2,gwu.edu,calm,274
change,file,layout,273
glacier,change,file,273
file,layout,1,272
arctic,observing,network,271
u.s,coast,guard,254
science,foundation,nsf,241
scanner,specifications,unique,238
greenland,ice,sheet,214
guard,cutter,uscgc,214
cutter,uscgc,healy,211
toolik,field,station,189
active,layer,monitoring,187
layer,monitoring,calm,182
conductivity,temperature,depth,181
circumpolar,active,layer,174
temperature,depth,ctd,166
guard,cutter,healy,164
observing,network,aon,164
acoustic,doppler,current,152
active,layer,thickness,150
doppler,current,profiler,144
networked,info,mechanical,141
monitoring,calm,program,140
decadal,time,scales,139
tundra,experiment,itex,139
khz,sample,rate,138
project,page,https,138
1,square,kilometer,137
1304555,polar,programs,137
15,countries,majority,137
analytical,procedures,continue,137
award,1304555,polar,137
calm,observational,network,137
component,calm,south,137
foundation,nsf,calm,137
hemisphere,component,calm,137
http,gtnpdatabase.org,activelayers,137
lowlands,southern,hemisphere,137
measure,active,layer,137
multi,decadal,time,137
nsf,award,1304555,137
observational,network,established,137
observe,soil,temperatures,137
original,project,page,137
page,https,www2,137
sites,measure,active,137
southern,hemisphere,component,137
subarctic,lowlands,southern,137
passive,acoustic,data,130
data,set,includes,114
summit,station,greenland,111
bering,sea,ecosystem,107
bering,strait,region,107
mass,balance,data,107
5,csv,files,104
balance,data,temperature,104
csv,files,position,104
data,mass,balance,104
data,meteorological,data,104
data,temperature,data,104
files,position,data,104
meteorological,data,mass,104
position,data,meteorological,104
distributed,biological,observatory,103
sea,ecosystem,study,102
info,mechanical,systems,100
mechanical,systems,nims,100
summer,field,season,98
current,profiler,adcp,96
biological,observatory,dbo,95
national,science,foundation's,91
arctic,system,science,86
energy,clouds,atmospheric,86
science,foundation's,arctic,86
foundation's,arctic,observing,85
netcdf,header,information,85
network,aon,program,85
sea,ice,retreat,85
summit,icecaps,project,84
data,set,consists,83
arctic,sea,ice,81
depth,ctd,data,79
alaska,fairbanks,uaf,78
arctic,regional,synthesis,76
marine,arctic,regional,76
pacific,marine,arctic,76
regional,synthesis,pacmars,76
alaska's,north,slope,72
dataset,includes,data,69
systems,nims,grid,69
color,information,unique,68
synthesis,pacmars,project,63
2001,nsf,award,62
aquatic,program,designed,62
arctic,biology,university,62
base,line,data,62
data,development,spatial,62
development,spatial,analyses,62
enhance,arctic,research,62
fairbanks,uaf,toolik,62
geodatabase,project,specific,62
geographical,information,systems,62
gis,geographical,information,62
gis,rs,support,62
global,posititioning,system,62
gps,support,services,62
include,terrestrial,atmospheric,62
inland,coastal,ponds,62
international,institutions,growth,62
management,efficiency,effectiveness,62
obtain,base,line,62
posititioning,system,gps,62
project,specific,data,62
projects,representing,individual,62
rapidly,expanding,community,62
remote,sensing,rs,62
research,projects,representing,62
research,station,prompted,62
rich,spatial,geodatabase,62
sensing,rs,program,62
spatial,analyses,consultation,62
spatial,geodatabase,project,62
specific,data,development,62
system,gps,support,62
terrestrial,atmospheric,vertebrate,62
toolik,based,science,62
toolik,gis,geographical,62
uaf,toolik,field,62
10,hz,8192,61
16,khz,sample,61
8192,hz,16,61
hz,16,khz,61
hz,8192,hz,61
system,science,arcss,61
sea,ice,cover,60
cloud,microphysical,properties,58
council,region,gathered,58
hly,02,03,58
atmospheric,administration,noaa,56
cruise,hly,02,56
environmental,arctic,change,55
pressure,depth,temperature,55
time,lapse,cameras,55
1995,1996,1997,54
science,arcss,grid,54
seasonal,sea,ice,54
latnjajaure,site,sweden,53
sea,ice,extent,53
sir,wilfrid,laurier,53
pressure,temperature,salinity,52
term,ecological,research,52
arctic,change,search,51
automatic,time,lapse,51
canadian,coast,guard,50
conductivity,oxygen,fluorescence,50
depth,temperature,conductivity,50
fluorescence,practical,salinity,50
oxygen,fluorescence,practical,50
parameters,pressure,depth,50
practical,salinity,density,50
temperature,conductivity,oxygen,50
toolik,snowfence,experiment,50
30,plot,subset,49
difference,vegetation,index,49
normalized,difference,vegetation,49
soil,moisture,measurements,49
dissolved,organic,carbon,48
field,operations,support,48
ice,mass,balance,47
july,2013,july,47
st,lawrence,island,47
2013,july,2014,46
arctic,climate,system,46
land,atmosphere,system,46
spring,sea,ice,46
bottom,pressure,recorder,45
hly,02,01,45
jaz,combo,2,45
time,series,data,45
1996,1997,1999,44
1997,1999,2000,44
active,layer,depth,44
clip,data,comprises,44
community,level,interaction,44
interaction,program,clip,44
level,interaction,program,44
particulate,organic,carbon,44
program,clip,data,44
sea,level,rise,44
southern,chukchi,sea,44
bering,sea,integrated,43
dbo,program,data,43
observatory,dbo,program,43
scalable,earth,grid,43
soil,temperature,measurements,43
10,hz,4096,42
2014,july,2015,42
4096,hz,8,42
8,khz,sample,42
established,repeat,hydrography,42
global,climate,change,42
hz,4096,hz,42
hz,8,khz,42
integrated,ecosystem,research,42
july,2014,july,42
sea,ice,formation,42
sea,integrated,ecosystem,42
sea,surface,temperatures,42
vegetation,index,ndvi,42
biological,hotspot,locations,41
broad,biological,response,41
fall,sea,ice,41
info,mechanical,system,41
instrumented,sensor,platform,41
mobile,instrumented,sensor,41
north,pole,environmental,41
pole,environmental,observatory,41
regional,biological,hotspot,41
sensor,platform,misp,41
water,table,depth,41
10,cm,depth,40
chukchi,sea,dbo4,40
dbo3,southern,chukchi,40
depth,ctd,casts,40
experiencing,major,reductions,40
hourly,daily,seasonal,40
major,regulatory,drivers,40
sheba,ice,camp,40
sli,dbo3,southern,40
tab,delimited,format,40
text,tab,delimited,40
amp,amp,amp,39
carbon,dioxide,co2,39
earth,system,research,39
ecosystem,research,program,39
form,key,linkages,39
ne,chukchi,sea,39
sbi,u.s,coast,39
system,research,laboratory,39
1,km,2,38
atmosphere,system,atlas,38
bering,sea,project,38
bering,sea,shelf,38
ecology,lab,sel,38
ice,sheet,models,38
includes,selected,biological,38
landscape,level,carbon,38
level,carbon,water,38
multiple,trophic,levels,38
nims,grid,plot,38
selected,biological,measurements,38
upper,ocean,water,38
1,slip,south,37
abisko,sweden,zackenburg,37
atmospheric,radiation,measurement,37
biologically,productive,locations,37
coordinated,distributed,biological,37
dbo,1,slip,37
dbo2,chirikov,north,37
dbo4,ne,chukchi,37
dbo5,barrow,canyon,37
gradient,dbo,1,37
hydrography,planktonic,production,37
ice,formation,variations,37
individual,data,files,37
island,sli,dbo2,37
latitudinal,gradient,dbo,37
lawrence,island,sli,37
ocean,water,hydrography,37
pelagic,benthic,coupling,37
planktonic,production,pelagic,37
production,pelagic,benthic,37
sea,dbo4,ne,37
sediment,carbon,cycling,37
sli,dbo2,chirikov,37
sweden,zackenburg,greenland,37
temperature,relative,humidity,37
water,hydrography,planktonic,37
2000,summer,field,36
dataset,includes,flux,36
ecosystem,study,bering,36
includes,flux,data,36
laboratory,field,operations,36
organic,carbon,doc,36
research,laboratory,field,36
study,bering,sea,36
surface,mass,balance,36
total,organic,carbon,36
1,hz,2,35
2,khz,5,35
2011,september,2013,35
5,khz,sample,35
boundary,condition,information,35
hz,2,khz,35
ice,sheet,analysis,35
ice,sheets,cresis,35
khz,5,khz,35
october,2011,september,35
sediment,grain,size,35
supply,boundary,condition,35
understand,processes,affecting,35
uscgc,healy,cruise,35
water,samples,collected,35
aon,international,tundra,34
biomass,gc,m2,34
dataset,includes,climate,34
environmental,prediction,national,34
experiment,itex,initiative,34
grid,ease,grid,34
healy,wagb,20,34
includes,climate,data,34
ncep,ncar,reanalysis,34
network,aon,international,34
photosynthetically,active,radiation,34
prediction,national,center,34
regional,arctic,system,34
snow,physical,properties,34
atmospheric,research,ncep,33
change,package,layout,33
earth,grid,ease,33
glacier,change,package,33
ice,covered,period,33
imnavait,creek,alaska,33
integrated,monitoring,system,33
late,spring,cruise,33
mclane,moored,profiler,33
package,layout,1,33
rapid,integrated,monitoring,33
research,ncep,ncar,33
sea,ice,concentration,33
uscgc,healy,hly,33
ncar,cisl,acadis,32
organic,carbon,poc,32
organic,carbon,toc,32
system,atlas,project,32
ucar,ncar,cisl,32
arctic,coastal,plain,31
instrumented,system,platform,31
mobile,instrumented,system,31
system,platform,misp,31
atlantic,water,layer,30
data,set,represents,30
includes,ctd,data,30
radar,depth,sounders,30
submission,includes,ctd,30
texas,el,paso,30
tube,values,water,30
water,mass,transformations,30
2002,cruise,hly,29
arctic,data,center,29
arctic,observatory,network,29
arctic,rapid,integrated,29
atlas,field,project,29
atqasuk,dry,heath,29
barrow,dry,heath,29
continental,slope,primary,29
document,water,heat,29
environmental,observatory,npeo,29
experimental,warming,plots,29
http,dx.doi.org,10.5065,29
line,dbo,5,29
main,water,masses,29
monitoring,system,arcticrims,29
multifactor,warming,moisture,29
objectives,included,quantifying,29
obtaining,detailed,information,29
phenology,vegetation,structure,29
plots,repeat,measurement,29
primary,objectives,included,29
siberian,continental,slope,29
slope,primary,objectives,29
term,itex,control,29
warming,moisture,experiment,29
warming,plots,repeat,29
water,layer,dynamics,29
1999,summer,field,28
300,soil,moisture,28
75,khz,phased,28
absolute,horizontal,currents,28
active,radiation,par,28
adcp,ocean,surveyor,28
adu2,3dgps,receiver,28
array,acoustic,doppler,28
ashtech,adu2,3dgps,28
atqasuk,wet,meadow,28
barrow,field,campaign,28
barrow,wet,meadow,28
change,search,implementation,28
code,dgps,system,28
currents,attitude,information,28
data,streams,provide,28
dry,heath,barrow,28
earth,referenced,absolute,28
estimate,vertical,profiles,28
field,campaign,data,28
healy,cruise,hly,28
heath,barrow,wet,28
horizontal,currents,attitude,28
khz,phased,array,28
multichannel,radar,depth,28
ocean,surveyor,mounted,28
parameters,time,position,28
phased,array,acoustic,28
position,east,velocity,28
profiler,adcp,ocean,28
provide,earth,referenced,28
referenced,absolute,horizontal,28
relative,humidity,rh,28
repeat,hydrography,transects,28
shelf,basin,interactions,28
soil,moisture,probe,28
