word1,word2,word3,n,unique_ids,unique_authors
latitude,altitude,media,612,306,1
longitude,latitude,altitude,612,306,1
coast,guard,cutter,392,390,47
month,day,hour,353,353,3
flat,research,range,352,352,2
poker,flat,research,352,352,2
airglow,image,data,350,350,1
day,hour,min,350,350,1
image,acquisition,start,350,350,1
low,quality,image,350,350,1
observation,site,pfrr,350,350,1
pfrr,poker,flat,350,350,1
png,image,format,350,350,1
quality,image,data,350,350,1
site,pfrr,poker,350,350,1
standard,scientific,ethic,350,350,1
past,5,decades,307,307,2
1964,1997,nagapdata.csv,306,306,1
1999,austin,post,306,306,1
american,glacier,change,306,306,1
austin,post,led,306,306,1
camera,specifications,unique,306,306,1
data,set,nagapdata.csv,306,306,1
flight,path,information,306,306,1
folder,contents,visually,306,306,1
image,metadata,specific,306,306,1
image,type,thumbnail,306,306,1
individual,yyyy.csv,file,306,306,1
north,american,glacier,306,306,1
north,american,glaciers,306,306,1
primarily,vertical,stereo,306,306,1
roll,date,roll,306,306,1
single,oblique,images,306,306,1
specific,csv,yyyy.csv,306,306,1
text,file,histo.txt,306,306,1
text,file,info.txt,306,306,1
type,thumbnail,jpeg,306,306,1
vertical,stereo,black,306,306,1
yyyy.csv,file,3,305,305,1
international,tundra,experiment,301,301,17
oblique,image,folders,290,290,1
national,science,foundation,289,289,52
calm,data,north.htm,274,137,1
gwu.edu,calm,data,274,137,1
https,www2,gwu.edu,274,137,1
www2,gwu.edu,calm,274,137,1
change,file,layout,273,273,1
glacier,change,file,273,273,1
file,layout,1,272,272,1
arctic,observing,network,271,248,51
u.s,coast,guard,254,246,33
science,foundation,nsf,241,241,26
scanner,specifications,unique,238,238,1
greenland,ice,sheet,214,139,82
guard,cutter,uscgc,214,213,32
cutter,uscgc,healy,211,211,31
toolik,field,station,189,105,22
active,layer,monitoring,187,187,10
layer,monitoring,calm,182,182,8
conductivity,temperature,depth,181,176,62
circumpolar,active,layer,174,174,9
temperature,depth,ctd,166,162,52
guard,cutter,healy,164,164,28
observing,network,aon,164,160,35
acoustic,doppler,current,152,152,28
active,layer,thickness,150,148,8
doppler,current,profiler,144,144,27
networked,info,mechanical,141,141,9
monitoring,calm,program,140,140,3
decadal,time,scales,139,139,3
tundra,experiment,itex,139,139,15
khz,sample,rate,138,130,1
project,page,https,138,138,2
1,square,kilometer,137,137,1
1304555,polar,programs,137,137,1
15,countries,majority,137,137,1
analytical,procedures,continue,137,137,1
award,1304555,polar,137,137,1
calm,observational,network,137,137,1
component,calm,south,137,137,1
foundation,nsf,calm,137,137,1
hemisphere,component,calm,137,137,1
http,gtnpdatabase.org,activelayers,137,137,1
lowlands,southern,hemisphere,137,137,1
measure,active,layer,137,137,1
multi,decadal,time,137,137,1
nsf,award,1304555,137,137,1
observational,network,established,137,137,1
observe,soil,temperatures,137,137,1
original,project,page,137,137,1
page,https,www2,137,137,1
sites,measure,active,137,137,1
southern,hemisphere,component,137,137,1
subarctic,lowlands,southern,137,137,1
passive,acoustic,data,130,130,1
data,set,includes,114,109,52
summit,station,greenland,111,111,9
bering,sea,ecosystem,107,107,25
bering,strait,region,107,106,8
mass,balance,data,107,107,4
5,csv,files,104,104,1
balance,data,temperature,104,104,1
csv,files,position,104,104,1
data,mass,balance,104,104,1
data,meteorological,data,104,104,1
data,temperature,data,104,104,1
files,position,data,104,104,1
meteorological,data,mass,104,104,1
position,data,meteorological,104,104,1
distributed,biological,observatory,103,78,17
sea,ecosystem,study,102,102,22
info,mechanical,systems,100,100,8
mechanical,systems,nims,100,100,8
summer,field,season,98,98,6
current,profiler,adcp,96,96,23
biological,observatory,dbo,95,73,16
national,science,foundation's,91,91,7
arctic,system,science,86,86,30
energy,clouds,atmospheric,86,86,4
science,foundation's,arctic,86,86,5
foundation's,arctic,observing,85,85,4
netcdf,header,information,85,85,3
network,aon,program,85,85,4
sea,ice,retreat,85,48,17
summit,icecaps,project,84,84,2
data,set,consists,83,81,32
arctic,sea,ice,81,54,32
depth,ctd,data,79,79,25
alaska,fairbanks,uaf,78,78,7
arctic,regional,synthesis,76,75,21
marine,arctic,regional,76,75,21
pacific,marine,arctic,76,75,21
regional,synthesis,pacmars,76,75,21
alaska's,north,slope,72,72,10
dataset,includes,data,69,69,9
systems,nims,grid,69,69,6
color,information,unique,68,68,1
synthesis,pacmars,project,63,63,21
2001,nsf,award,62,62,1
aquatic,program,designed,62,62,1
arctic,biology,university,62,62,1
base,line,data,62,62,1
data,development,spatial,62,62,1
development,spatial,analyses,62,62,1
enhance,arctic,research,62,62,1
fairbanks,uaf,toolik,62,62,1
geodatabase,project,specific,62,62,1
geographical,information,systems,62,62,1
gis,geographical,information,62,62,1
gis,rs,support,62,62,1
global,posititioning,system,62,62,1
gps,support,services,62,62,1
include,terrestrial,atmospheric,62,62,1
inland,coastal,ponds,62,62,1
international,institutions,growth,62,62,1
management,efficiency,effectiveness,62,62,1
obtain,base,line,62,62,1
posititioning,system,gps,62,62,1
project,specific,data,62,62,1
projects,representing,individual,62,62,1
rapidly,expanding,community,62,62,1
remote,sensing,rs,62,62,1
research,projects,representing,62,62,1
research,station,prompted,62,62,1
rich,spatial,geodatabase,62,62,1
sensing,rs,program,62,62,1
spatial,analyses,consultation,62,62,1
spatial,geodatabase,project,62,62,1
specific,data,development,62,62,1
system,gps,support,62,62,1
terrestrial,atmospheric,vertebrate,62,62,1
toolik,based,science,62,62,1
toolik,gis,geographical,62,62,1
uaf,toolik,field,62,62,1
10,hz,8192,61,61,1
16,khz,sample,61,61,1
8192,hz,16,61,61,1
hz,16,khz,61,61,1
hz,8192,hz,61,61,1
system,science,arcss,61,61,10
sea,ice,cover,60,47,28
cloud,microphysical,properties,58,21,2
council,region,gathered,58,58,1
hly,02,03,58,52,14
atmospheric,administration,noaa,56,55,19
cruise,hly,02,56,56,9
environmental,arctic,change,55,55,23
pressure,depth,temperature,55,53,17
time,lapse,cameras,55,55,3
1995,1996,1997,54,54,3
science,arcss,grid,54,54,4
seasonal,sea,ice,54,47,17
latnjajaure,site,sweden,53,53,2
sea,ice,extent,53,48,22
sir,wilfrid,laurier,53,53,8
pressure,temperature,salinity,52,52,9
term,ecological,research,52,50,9
arctic,change,search,51,51,20
automatic,time,lapse,51,51,1
canadian,coast,guard,50,50,12
conductivity,oxygen,fluorescence,50,50,15
depth,temperature,conductivity,50,50,15
fluorescence,practical,salinity,50,50,15
oxygen,fluorescence,practical,50,50,15
parameters,pressure,depth,50,50,15
practical,salinity,density,50,50,15
temperature,conductivity,oxygen,50,50,15
toolik,snowfence,experiment,50,32,4
30,plot,subset,49,49,4
difference,vegetation,index,49,49,15
normalized,difference,vegetation,49,49,15
soil,moisture,measurements,49,38,5
dissolved,organic,carbon,48,45,22
field,operations,support,48,48,1
ice,mass,balance,47,40,16
july,2013,july,47,47,1
st,lawrence,island,47,47,18
2013,july,2014,46,46,1
arctic,climate,system,46,46,9
land,atmosphere,system,46,46,12
spring,sea,ice,46,45,14
bottom,pressure,recorder,45,45,7
hly,02,01,45,45,13
jaz,combo,2,45,45,5
time,series,data,45,45,6
1996,1997,1999,44,44,1
active,layer,depth,44,21,8
clip,data,comprises,44,44,1
community,level,interaction,44,44,1
interaction,program,clip,44,44,1
level,interaction,program,44,44,1
particulate,organic,carbon,44,41,15
program,clip,data,44,44,1
sea,level,rise,44,32,29
southern,chukchi,sea,44,42,12
bering,sea,integrated,43,43,16
dbo,program,data,43,43,10
observatory,dbo,program,43,43,10
scalable,earth,grid,43,43,8
soil,temperature,measurements,43,33,3
10,hz,4096,42,42,1
2014,july,2015,42,42,1
4096,hz,8,42,42,1
8,khz,sample,42,42,1
established,repeat,hydrography,42,42,10
global,climate,change,42,40,19
hz,4096,hz,42,42,1
hz,8,khz,42,42,1
integrated,ecosystem,research,42,42,15
july,2014,july,42,42,1
sea,ice,formation,42,42,14
sea,integrated,ecosystem,42,42,15
sea,surface,temperatures,42,42,14
vegetation,index,ndvi,42,42,13
1997,1999,2000,41,41,1
biological,hotspot,locations,41,41,13
