word1,word2,n
quality,control,7192
control,flag,7186
data,quality,5735
sampling,biases,5720
surface,temperature,5359
missing,data,4979
ice,surface,4821
1,removed,4290
removed,data,4290
temperature,measured,3422
00,00,3154
north,winds,2860
wind,speed,2779
meters,depth,2711
water,content,1901
depth,temperature,1839
north,latitude,1703
sea,level,1694
latitude,east,1561
liquid,water,1546
01,01,1544
01,00,1542
decimal,degrees,1535
00,time,1507
1970,01,1462
surface,time,1450
wind,velocity,1443
sample,volume,1441
probe,air,1435
base_time,north,1432
concentration,corrected,1432
east,latitude,1432
particle,counts,1432
size,distribution,1432
1,data,1430
1,missing,1430
1,north,1430
1,sample,1430
130,deg,1430
180,degrees,1430
292.5,130,1430
2nd,moments,1430
air,speed,1430
ambient,wind,1430
angle,theta_s,1430
bias,calculation,1430
biases,effective,1430
biases,liquid,1430
biases,quality,1430
bin,center,1430
center,probe,1430
content,lwc,1430
counts,corrected,1430
current,1,1430
data,1,1430
defined,292.5,1430
deg,1,1430
degrees,ambient,1430
diameter,ratio,1430
distribution,corrected,1430
effective,diameter,1430
efficiency,total,1430
failure,1,1430
fm,height,1430
inlet,sampling,1430
laser,current,1430
latitude,meters,1430
level,bin,1430
lwc,corrected,1430
pas,particle,1430
pas,recalculation,1430
pitot,failure,1430
range,pump,1430
recalculated,flag,1430
recalculation,1,1430
recovery,temp,1430
sampling,angle,1430
sampling,bias,1430
sampling,efficiency,1430
speed,pas,1430
temp,1,1430
theta_s,180,1430
total,fm,1430
volume,sampling,1430
winds,defined,1430
winds,flag,1430
soil,sample,1382
data,collection,1319
measurement,research,1266
research,corp,1266
onset,hobo,1241
heat,flux,1039
corp,probe,983
air,temperature,976
hobo,tmc,969
gap,filled,933
ground,surface,919
snow,depth,880
surface,measured,812
mm,dd,796
soil,temperature,788
measured,temperature,771
yyyy,mm,770
longwave,radiation,761
missing,ntot,750
ntot,set,750
tmc,series,731
data,set,699
shortwave,radiation,689
sample,temperature,659
dissolved,salts,631
ctd,cast,614
probe,temperature,612
standard,deviation,607
probe,manufactured,595
time,averaged,588
cast,site,572
collection,temperature,558
collection,date,552
degrees,longitude,550
relative,humidity,545
107,probe,536
depth,recorded,533
ghz,smoothed,528
noise,temp,528
system,noise,528
temperature,measurement,527
ice,position,520
speed,component,518
nominal,depth,504
recorded,temperature,501
campbell,scientific,492
boundary,identification,478
depth,centimeter,461
individual,measurements,461
swe,millimeter,461
centimeter,individual,460
vertical,wind,451
thermistor,probe,448
temperature,time,445
virtual,temperature,436
wet,labs,431
dissolved,oxygen,418
time,axis,417
5,meters,416
date,yyyy,415
travel,time,413
dd,hh,408
decibels,depth,405
active,antenna,402
antenna,pair,402
trace,header,402
meridional,wind,400
sonic,virtual,400
speed,meridional,400
speed,sonic,400
speed,vertical,400
zonal,wind,400
permafrost,lab,391
10,meters,385
brightness,temperature,383
scientific,107,383
depth,depth,376
diode,temp,374
labs,cstar,374
noise,diode,374
floating,ice,354
ghz,ln2,352
ln2,derived,352
offset,position,352
vertical,offset,352
mrc,probe,346
sea,ice,344
hh,date,340
observation,dates,336
conducts,electricity,331
material,conducts,331
3,meters,330
cloud,cover,328
degrees,celsius,326
practical,salinity,326
measurement,temperature,319
beam,transmission,315
latent,heat,315
soil,moisture,312
depth,interval,310
water,sample,309
additional,relevant,305
bw,color,305
capture,feet,305
color,additional,305
dd,location,305
degrees,altitude,305
digit,representing,305
feet,type,305
frame,capture,305
frame,respective,305
letter,representing,305
photograph,bw,305
photographic,frame,305
photographic,set,305
relevant,information,305
roll,latitude,305
calculated,salinity,304
depth,cm,302
radiation,downwelling,302
winter,snow,301
random,sample,297
quality,flag,295
sample,measured,292
specific,humidity,292
normalized,difference,288
difference,vegetation,287
vegetation,index,287
water,concentration,283
cm,random,282
downwelling,longwave,281
upwelling,longwave,281
pressure,measured,278
ghz,median,275
east,longitude,274
soil,heat,274
decimal,day,271
cnr4,temperature,270
radiation,corrected,270
sampling,transect,269
salinity,measured,268
temperature,measurements,267
sensor,temperature,265
2,meter,264
grid,2,262
water,calculated,262
signal,intensity,261
sample,date,259
battery,voltage,258
soil,surface,257
oxygen,measured,256
sampling,temperature,255
conductivity,pressure,253
converted,temperature,253
measurements,pressure,252
water,temperature,251
active,radiation,250
absorbing,protons,249
chemical,shift,249
relative,signal,249
vertical,displacement,249
nucleus,relative,248
greenland,polar,242
polar,stereo,242
wave,downward,242
ocean,pressure,239
10,centimeters,238
tmc,temp,238
sound,velocity,236
wm,2,233
concentration,time,231
beam,attenuation,229
temp,sensor,229
data,record,225
wind,direction,225
individuals,observed,223
species,listed,222
20,centimeters,221
column,heading,221
field,activities,221
blackbody,temperature,220
conductivity,measured,219
grid,cells,218
photosynthetically,active,214
1,january,213
sea,floor,213
salinity,units,212
40,centimeters,211
90,deg,211
floor,image,211
net,radiation,211
salinity,practical,211
scan,sonar,211
30,centimeters,209
sonar,sea,209
1979,2013,208
2014,zeros,208
31,december,208
data,extend,208
depth,measurement,208
ice,transition,208
meet,sea,208
ocean,grid,208
practical,psu,208
snow,surface,208
transition,criteria,208
37,instrument,207
concent,cloud,207
sbe,37,207
time,sample,206
sample,interval,204
hobo,tmb,203
water,salinity,202
10,21,201
10,9s,201
1000,1250,201
1000,row3,201
1250,rows,201
24,irrelavant,201
25,rows,201
4,empty,201
5,empty,201
6,irrelevant,201
antenna,separation,201
antennas,mhz,201
appended,beneath,201
axis,4,201
axis,8,201
axis,e.g,201
beneath,row,201
data,matrix,201
e.g,1000,201
empty,22,201
empty,5,201
empty,6,201
gpr,antennas,201
gpr,traces,201
horizontal,antenna,201
initial,25,201
irrelavant,25,201
irrelevant,7,201
mhz,10,201
multiplexed,gpr,201
nominal,frequency,201
pair,23,201
pair,24,201
picoseconds,10,201
position,dx,201
row,25,201
row,3,201
row3,row7,201
row7,twt,201
skipped,trace,201
skipped,traces,201
species,counted,201
stacks,recorded,201
trace,9,201
traces,1,201
traces,2,201
twt,axis,201
typically,1000,201
unprocessed,multiplexed,201
vector,3,201
ground,heat,199
short,wave,199
julian,day,196
50,centimeters,195
30,minute,194
diatom,species,192
ice,melt,192
relative,percentage,192
surface,height,192
counted,relative,191
flux,plate,190
phytoplankton,1,189
time,steps,189
ice,regime,188
60,centimeters,186
salt,water,186
ice,core,181
sky,brightness,181
bedfast,ice,180
potential,temperature,179
volumetric,water,178
derived,noise,176
derived,system,176
ghz,gain,176
ghz,voltage,176
linearity,parameter,176
median,system,176
sbe,43,176
smoothed,brightness,176
smoothed,gain,176
smoothed,system,176
percent,cover,171
chelsea,seatech,170
seatech,wet,170
sensor,depth,170
corp,measurement,169
centroid,greenland,168
phytoplankton,2,168
phytoplankton,3,168
radiometer,recorded,168
lake,ice,166
ghz,sky,165
ice,temperature,165
0,00,164
water,equivalent,163
radiation,upwelling,162
scan,count,162
par,irradiance,161
surface,negative,161
total,amount,161
warning,flag,161
depth,reached,160
ice,pixels,160
lake,pixels,160
meaning,temperature,160
temperature,node,160
threshold,established,160
water,path,160
0,bedfast,159
1,floating,159
format,regyymmmdd,159
precipitation,rate,159
sar,scene,159
scene,acquisition,159
active,layer,158
surface,depth,158
borehole,depths,157
cubic,meter,157
meters,ice,156
monthly,data,156
net,radiometer,156
ocean,surface,156
oxygen,voltage,156
transmission,wet,156
90.0,ghz,154
air,pressure,154
downcast,measured,154
pressure,values,154
soil,water,154
wetlabs,eco,154
radiation,net,153
43,instrument,152
downcast,calculated,152
sampling,measured,152
upcast,calculated,152
cast,pressure,151
downward,shortwave,151
recorded,oxygen,151
upcast,pressure,151
layer,index,150
