word1,word2,n,unique_ids,unique_authors
quality,control,7192,25,5
control,flag,7186,24,4
data,quality,5735,16,5
sampling,biases,5720,2,1
surface,temperature,5359,159,20
missing,data,4979,5,4
ice,surface,4821,115,9
1,removed,4290,2,1
removed,data,4290,2,1
temperature,measured,3422,41,23
00,00,3154,100,18
north,winds,2860,2,1
wind,speed,2778,103,43
meters,depth,2711,85,6
water,content,1899,89,32
depth,temperature,1839,5,4
north,latitude,1703,106,10
sea,level,1667,143,32
latitude,east,1561,101,6
liquid,water,1546,30,6
01,01,1544,35,16
01,00,1542,54,12
decimal,degrees,1535,561,55
00,time,1507,57,5
1970,01,1462,25,8
surface,time,1450,4,3
wind,velocity,1443,5,3
sample,volume,1441,13,4
probe,air,1435,3,2
base_time,north,1432,4,2
concentration,corrected,1432,4,2
east,latitude,1432,4,3
particle,counts,1432,3,2
size,distribution,1432,3,2
1,data,1430,2,1
1,missing,1430,2,1
1,north,1430,2,1
1,sample,1430,2,1
130,deg,1430,2,1
180,degrees,1430,2,1
292.5,130,1430,2,1
2nd,moments,1430,2,1
air,speed,1430,2,1
ambient,wind,1430,2,1
angle,theta_s,1430,2,1
bias,calculation,1430,2,1
biases,effective,1430,2,1
biases,liquid,1430,2,1
biases,quality,1430,2,1
bin,center,1430,2,1
center,probe,1430,2,1
content,lwc,1430,2,1
counts,corrected,1430,2,1
current,1,1430,2,1
data,1,1430,2,1
defined,292.5,1430,2,1
deg,1,1430,2,1
degrees,ambient,1430,2,1
diameter,ratio,1430,2,1
distribution,corrected,1430,2,1
effective,diameter,1430,2,1
efficiency,total,1430,2,1
failure,1,1430,2,1
fm,height,1430,2,1
inlet,sampling,1430,2,1
laser,current,1430,2,1
latitude,meters,1430,2,1
level,bin,1430,2,1
lwc,corrected,1430,2,1
pas,particle,1430,2,1
pas,recalculation,1430,2,1
pitot,failure,1430,2,1
range,pump,1430,2,1
recalculated,flag,1430,2,1
recalculation,1,1430,2,1
recovery,temp,1430,2,1
sampling,angle,1430,2,1
sampling,bias,1430,2,1
sampling,efficiency,1430,2,1
speed,pas,1430,2,1
temp,1,1430,2,1
theta_s,180,1430,2,1
total,fm,1430,2,1
volume,sampling,1430,2,1
winds,defined,1430,2,1
winds,flag,1430,2,1
soil,sample,1382,10,8
data,collection,1319,17,11
measurement,research,1266,4,1
research,corp,1266,4,1
onset,hobo,1241,7,3
heat,flux,1038,65,20
corp,probe,983,3,1
air,temperature,972,252,51
hobo,tmc,969,4,1
gap,filled,930,49,10
ground,surface,919,11,10
snow,depth,868,67,25
surface,measured,812,3,2
mm,dd,796,335,18
soil,temperature,780,88,36
measured,temperature,771,13,8
yyyy,mm,770,327,12
longwave,radiation,759,34,15
missing,ntot,750,1,1
ntot,set,750,1,1
tmc,series,731,3,1
data,set,699,12,8
shortwave,radiation,686,32,21
sample,temperature,659,5,3
dissolved,salts,631,21,9
ctd,cast,614,15,6
probe,temperature,612,7,3
standard,deviation,607,123,50
probe,manufactured,595,4,1
time,averaged,588,1,1
cast,site,572,1,1
collection,temperature,558,3,1
collection,date,552,5,5
degrees,longitude,550,407,31
relative,humidity,544,115,42
107,probe,536,8,3
depth,recorded,533,20,1
ghz,smoothed,528,10,1
noise,temp,528,10,1
system,noise,528,10,1
temperature,measurement,527,121,11
ice,position,520,104,1
speed,component,518,1,1
recorded,temperature,501,30,3
campbell,scientific,492,7,3
boundary,identification,478,1,1
depth,centimeter,461,1,1
individual,measurements,461,1,1
swe,millimeter,461,1,1
centimeter,individual,460,1,1
vertical,wind,451,25,4
thermistor,probe,448,5,1
temperature,time,445,22,6
virtual,temperature,436,2,2
wet,labs,431,10,5
dissolved,oxygen,418,50,19
time,axis,417,2,2
5,meters,416,6,3
date,yyyy,415,4,4
travel,time,413,3,3
dd,hh,408,1,1
decibels,depth,405,2,1
active,antenna,402,1,1
antenna,pair,402,1,1
trace,header,402,1,1
meridional,wind,400,1,1
sonic,virtual,400,1,1
speed,meridional,400,1,1
speed,sonic,400,1,1
speed,vertical,400,1,1
zonal,wind,400,1,1
permafrost,lab,391,4,1
10,meters,385,3,2
brightness,temperature,383,17,6
scientific,107,383,5,2
depth,depth,376,19,3
diode,temp,374,10,1
labs,cstar,374,6,3
noise,diode,374,10,1
floating,ice,354,1,1
ghz,ln2,352,10,1
ln2,derived,352,10,1
offset,position,352,3,1
vertical,offset,352,3,1
mrc,probe,346,2,1
sea,ice,344,17,15
hh,date,340,1,1
observation,dates,336,1,1
conducts,electricity,331,17,9
material,conducts,331,17,9
3,meters,330,6,3
cloud,cover,328,1,1
degrees,celsius,326,36,26
practical,salinity,326,25,14
measurement,temperature,319,17,7
beam,transmission,315,21,10
latent,heat,313,63,17
soil,moisture,312,23,20
depth,interval,310,62,2
water,sample,309,17,9
additional,relevant,305,305,1
bw,color,305,305,1
capture,feet,305,305,1
color,additional,305,305,1
dd,location,305,305,1
degrees,altitude,305,305,1
digit,representing,305,305,1
feet,type,305,305,1
frame,capture,305,305,1
frame,respective,305,305,1
