token,n,unique_ids,unique_authors
temperature,22395,583,177
depth,16481,583,199
data,13925,250,107
1,13914,317,135
sampling,11386,116,58
flag,11184,120,42
surface,11026,386,125
measured,8911,268,125
ice,8167,235,80
time,7864,406,157
quality,7660,79,25
control,7347,88,35
corrected,6614,134,40
meters,6531,302,108
measurement,6245,448,143
missing,5875,25,11
biases,5723,4,3
sample,5494,279,142
water,5469,394,164
north,5079,226,62
00,5055,119,28
centimeters,4831,160,39
probe,4707,59,29
latitude,4574,876,158
wind,4545,118,54
removed,4344,17,13
speed,4315,115,53
pas,4290,2,1
soil,4264,153,70
celsius,3935,105,46
concentration,3807,213,94
date,3774,782,167
degrees,3645,643,106
01,3283,81,26
air,3039,287,75
180,2967,107,4
winds,2860,2,1
temp,2801,24,10
2,2676,224,107
total,2546,175,96
height,2509,141,53
sea,2503,191,62
pressure,2391,349,87
radiation,2352,116,56
ratio,2226,134,75
day,2064,257,92
content,2031,118,48
velocity,2015,117,45
decimal,2007,663,75
ghz,2006,11,2
snow,1997,238,67
absorbance,1927,13,9
level,1888,182,53
wavenumber,1882,3,2
salinity,1880,127,53
east,1866,191,43
recorded,1838,151,46
volume,1833,116,39
ambient,1826,85,17
sensor,1817,95,53
flux,1816,103,47
set,1803,344,22
longitude,1782,875,156
current,1769,58,23
range,1757,75,32
site,1741,192,90
deg,1688,17,10
bin,1678,41,9
size,1654,43,30
10,1635,232,68
liquid,1634,49,11
collection,1624,79,44
position,1623,182,39
center,1621,60,22
angle,1613,47,15
1970,1545,90,11
3,1544,126,67
base_time,1544,108,6
oxygen,1544,108,52
130,1538,107,3
defined,1538,40,20
species,1538,54,40
laser,1521,30,7
counts,1518,26,11
vertical,1518,71,28
calculation,1504,12,9
diameter,1503,26,20
field,1487,83,47
grid,1484,38,17
effective,1480,19,4
inlet,1472,5,3
2nd,1460,22,8
efficiency,1458,6,5
distribution,1452,7,6
particle,1442,7,6
3rd,1437,4,3
failure,1434,4,3
fm,1434,4,2
bias,1432,3,2
pump,1431,3,2
292.5,1430,2,1
lwc,1430,2,1
moments,1430,2,1
pitot,1430,2,1
recalculated,1430,2,1
recalculation,1430,2,1
recovery,1430,2,1
theta_s,1430,2,1
calculated,1423,71,48
relative,1369,162,78
ground,1367,124,38
voltage,1358,72,26
0,1336,167,71
cast,1319,28,13
research,1297,18,9
dissolved,1290,107,49
onset,1272,16,7
measurements,1270,107,64
trace,1270,5,5
corp,1266,4,1
hobo,1244,8,4
heat,1238,81,24
lake,1203,118,34
5,1187,136,67
cm,1143,97,60
filtered,1140,54,15
percent,1117,116,70
conductivity,1100,75,38
layer,1076,70,48
type,1047,467,81
dd,1029,343,23
observation,1008,73,42
percentage,996,91,38
cover,995,30,25
rate,992,50,30
yyyy,988,339,19
noise,979,36,6
meter,975,72,45
tmc,969,4,1
gap,963,49,10
net,960,110,37
density,956,145,78
information,955,358,26
filled,933,52,13
average,931,113,61
series,928,7,5
mm,906,362,39
location,903,512,91
cloud,889,43,6
top,882,183,50
humidity,868,131,47
channel,855,63,9
4,846,130,63
active,834,93,44
digits,817,323,15
standard,817,162,77
ctd,809,41,22
longwave,809,40,19
shortwave,808,38,25
averaged,800,41,14
core,789,67,43
representing,788,314,8
system,781,42,27
component,777,20,14
length,773,91,49
hourly,751,24,12
ntot,750,1,1
month,740,94,48
frame,728,330,10
coordinate,725,106,38
specific,722,113,51
frequency,712,72,14
flight,710,327,8
axis,708,21,7
plot,703,94,38
25,687,24,16
centimeter,687,35,15
instrument,675,102,34
manufactured,674,5,1
orientation,673,318,4
station,668,123,64
logger,666,33,12
analysis,663,31,28
dates,662,12,10
vegetation,660,68,31
identification,659,87,46
index,659,57,30
albedo,654,56,15
distance,654,87,43
collected,649,106,59
90,643,149,27
difference,641,51,28
horizontal,632,54,26
salts,631,21,9
individual,630,47,24
wave,626,61,15
phytoplankton,624,3,3
traces,624,4,4
intensity,620,25,13
row,616,11,9
empty,614,5,5
antenna,613,4,4
deviation,613,125,52
interval,613,98,15
co2,612,96,37
photographic,611,306,2
weight,609,52,28
wet,605,43,24
rows,604,2,2
campbell,599,15,6
identifier,592,170,69
units,584,55,46
m2,583,50,24
negative,582,164,32
scientific,579,13,9
thermistor,579,21,5
bottom,577,184,47
beam,568,33,12
code,568,118,54
6,555,95,42
ocean,554,38,23
smoothed,550,11,2
transect,548,68,25
degree,545,56,33
107,543,12,4
gpr,543,5,5
yy,541,8,7
7,540,68,32
practical,538,31,16
al,532,43,27
firn,532,23,12
sonic,521,25,9
offset,519,109,10
values,517,125,50
1000,515,11,10
signal,515,80,15
individuals,514,13,10
fluorescence,513,25,17
scan,512,34,11
organic,511,86,54
par,506,58,24
boundary,505,7,7
30,502,155,22
change,502,21,15
image,502,15,12
carbon,499,160,86
model,486,43,29
base,484,110,22
material,476,40,29
decibels,473,3,2
swe,464,3,3
downwelling,463,29,9
millimeter,461,1,1
scene,461,13,2
observed,460,39,20
median,457,21,12
elevation,456,138,60
upwelling,453,27,7
maximum,450,56,33
samples,450,81,47
counted,449,13,10
virtual,449,3,3
8,448,66,35
15,444,47,29
altitude,443,419,13
365,435,8,6
minute,432,59,30
labs,431,10,5
melt,431,116,13
pair,425,4,4
lab,424,22,16
travel,423,5,5
count,419,47,21
hh,417,4,3
header,414,12,2
permafrost,414,15,10
downward,413,9,9
moisture,412,30,22
correction,411,90,25
reported,411,65,31
sediment,410,94,20
gain,409,46,6
meridional,406,3,3
zonal,406,3,3
20,405,152,31
2015,405,51,22
derived,405,30,14
skipped,404,3,2
configure,402,1,1
parameter,399,20,11
hour,398,124,47
digit,397,334,17
nitrogen,397,73,48
column,396,34,24
dry,395,67,39
brightness,392,20,9
thickness,392,145,34
transition,392,25,5
diode,388,22,2
mrc,388,5,3
color,387,315,10
sbe,383,15,7
cstar,382,7,4
respective,381,309,3
floating,380,5,5
calibrated,371,45,19
output,367,36,12
fraction,366,82,41
located,360,44,22
mass,360,58,48
60,358,130,11
ln2,352,10,1
letter,350,322,12
momentum,348,40,5
raw,347,33,18
id,345,171,73
lower,345,21,18
normalized,344,38,19
winter,344,14,11
additional,343,327,20
capture,342,310,5
roll,341,319,4
precipitation,336,35,28
secondary,336,14,9
error,334,53,35
blackbody,332,22,2
conducts,331,17,9
electricity,331,17,9
psu,330,14,5
saturation,330,25,17
2014,326,22,19
doi,326,3,2
nominal,326,18,7
kg,325,19,15
direction,324,98,45
primary,324,25,20
volumetric,324,75,31
100,322,152,40
camera,321,313,7
initial,321,39,19
january,321,44,18
feet,320,308,4
occur,320,1,1
pixels,320,1,1
transmission,319,23,12
array,318,3,3
coefficient,317,25,11
record,317,60,27
relevant,315,310,6
latent,313,63,17
coordinates,312,58,35
sky,312,36,6
buoy,311,110,6
micro,308,29,11
sound,308,22,12
million,307,12,10
downcast,306,2,1
upcast,306,2,1
bw,305,305,1
photograph,305,305,1
profile,304,22,17
attenuation,303,17,11
liter,302,46,21
scale,302,31,25
random,300,5,3
degc,299,3,2
amount,297,44,29
displacement,297,26,5
half,296,12,9
julian,296,58,22
polar,296,9,8
qc,296,29,12
nitrate,295,44,29
tram,293,19,1
chemical,291,3,3
24,289,23,17
switch,289,14,3
format,287,40,28
9,280,30,19
period,279,55,27
mineral,277,18,15
factor,275,46,14
fluxes,274,6,2
kilogram,274,16,9
biospherical,272,11,5
wetlabs,272,3,3
irradiance,271,18,7
uncertainty,271,33,27
cnr4,270,7,1
estimated,270,52,35
ion,270,28,8
cubic,269,24,20
greenland,267,18,7
converted,266,6,5
days,264,44,31
mv,264,10,4
borehole,263,21,13
receiver,263,27,6
short,261,48,13
sbe43,260,6,4
2013,259,19,15
northing,259,76,15
rain,259,47,12
based,258,81,46
e.g,258,24,18
utc,258,75,34
31,257,14,8
easting,257,74,13
typically,255,26,11
expressed,254,16,13
photosynthetically,252,68,28
protons,251,1,1
40,250,126,15
absorbing,249,1,1
integral,249,1,1
na,249,22,14
nm,249,36,16
nucleus,249,1,1
