word1,word2,n,unique_ids,unique_authors
scan,sonar,211,1,1
dissolved,oxygen,202,3,3
timestamp,record,158,30,3
pressure,temperature,151,4,3
time,plot,147,19,1
probe,1,138,1,1
probe,2,138,1,1
air_temp,time,136,8,2
albedo,rn,135,7,1
batt_volt,ptemp,135,7,1
cnr4_t_c,cnr4_t_k,135,7,1
cnr4_t_k,long_up_corr,135,7,1
count,ndvi,135,7,1
long_dn,cnr4_t_c,135,7,1
long_dn_corr,rs_net,135,7,1
long_up,long_dn,135,7,1
long_up_corr,long_dn_corr,135,7,1
ndvi,sandvi,135,7,1
plot,count,135,7,1
ptemp,targetmv,135,7,1
record,batt_volt,135,7,1
rl_net,albedo,135,7,1
rn,air_temp,135,7,1
rs_net,rl_net,135,7,1
sbtempc,targtempc,135,7,1
short_dn,long_up,135,7,1
short_up,short_dn,135,7,1
targetmv,sbtempc,135,7,1
targtempc,short_up,135,7,1
sandvi,tram_distance,134,6,1
tram_distance,dist_corr,132,5,1
dist_corr,timestamp,128,4,1
temperature,salinity,112,5,4
oxygen,dissolved,101,3,3
depth,pressure,99,1,1
oxygen,percent,99,1,1
salinity,dissolved,99,1,1
percent,depth,98,1,1
wave,radiation,96,12,1
conductivity,probe,92,1,1
salinity,probe,92,1,1
temperature,probe,92,1,1
latitude,longitude,68,30,22
longitude,latitude,50,5,5
depth,depth,47,3,3
1,conductivity,46,1,1
1,salinity,46,1,1
1,temperature,46,1,1
2,conductivity,46,1,1
2,longitude,46,1,1
2,oxygen,46,1,1
date,cast,46,1,1
latitude,date,46,1,1
oxygen,salinity,46,1,1
cast,pressure,45,1,1
time,depth,45,4,3
date,time,39,15,8
rg_f,rg_gf,37,37,2
rh_f,rh_gf,37,37,2
ta_f,ta_gf,37,37,2
vpd_f,vpd_gf,37,37,2
layer,time,36,1,1
meter,simulated,36,1,1
model,layer,36,1,1
simulated,firn,36,1,1
mixing,ratio,31,2,2
record,float,30,15,1
wind,speed,28,15,4
firn,temperature,27,2,1
specific,conductance,27,1,1
tsoil_1_f,tsoil_1_gf,25,25,2
cnr4,temperature,24,12,1
difference,vegetation,24,12,1
normalized,difference,24,12,1
radiation,corrected,24,12,1
radiation,downwelling,24,12,1
short,wave,24,12,1
tram,distance,24,12,1
vegetation,index,24,12,1
agc_avg,c_spike,23,23,2
albedo,albedo_f,23,23,2
albedo_f,rnet,23,23,2
amp_h_f_tot,amp_l_f_tot,23,23,2
amp_l_f_tot,chopper_f_tot,23,23,2
battvolt_avg,battvolt_min,23,23,2
battvolt_min,tpanel,23,23,2
c_spike,q_spike,23,23,2
c_stationarity,q_stationarity,23,23,2
chopper_f_tot,detector_f_tot,23,23,2
co2,co2_f,23,23,2
co2_1,co2_1_f,23,23,2
co2_1_f,co2_1_gf,23,23,2
co2_1_gf,h2o_1,23,23,2
co2_f,co2_gf,23,23,2
co2_gf,rhocp,23,23,2
csat_error,c_stationarity,23,23,2
csat_warnings,irga_warnings,23,23,2
del_t_f,sig_lck_f_tot,23,23,2
detector_f_tot,pll_f_tot,23,23,2
dom,hhmm,23,23,2
doy,month,23,23,2
ebc,ta_1,23,23,2
fc,zol,23,23,2
fc_c,wpl_le,23,23,2
fc_cw,fc_cw_f,23,23,2
fc_cw_f,fc_cw_gf,23,23,2
fc_cw_gf,fc_cwb_gf,23,23,2
fc_cwb_gf,fc_cwbu_gf,23,23,2
fcle_freqresp,uw_c,23,23,2
footp,ebc,23,23,2
g1,g1_f,23,23,2
g1_f,g1_gf,23,23,2
g1_gf,g2,23,23,2
g2,g2_f,23,23,2
g2_f,g2_gf,23,23,2
g2_gf,g3,23,23,2
g3,g3_f,23,23,2
g3_f,g3_gf,23,23,2
g3_gf,g4,23,23,2
g4,g4_f,23,23,2
g4_f,g4_gf,23,23,2
g4_gf,swc_1,23,23,2
h_c,h_c_f,23,23,2
h_c_f,h_c_gf,23,23,2
h_c_gf,le_c,23,23,2
h_freqresp,fcle_freqresp,23,23,2
h2o_1,h2o_1_f,23,23,2
