token,n,unique_ids,unique_authors
na,1225,1225,295
temperature,401,47,24
time,352,70,24
depth,346,45,35
probe,300,3,2
oxygen,256,10,8
salinity,232,13,7
dissolved,223,10,8
record,215,57,4
scan,211,1,1
sonar,211,1,1
date,190,88,37
pressure,189,10,7
plot,183,40,10
1,180,18,14
2,175,9,9
albedo,170,42,3
timestamp,162,32,5
count,147,19,1
ndvi,147,9,2
float,141,16,2
air_temp,136,8,2
batt_volt,135,7,1
cnr4_t_c,135,7,1
cnr4_t_k,135,7,1
dist_corr,135,7,1
long_dn,135,7,1
long_dn_corr,135,7,1
long_up,135,7,1
long_up_corr,135,7,1
ptemp,135,7,1
rl_net,135,7,1
rn,135,7,1
rs_net,135,7,1
sandvi,135,7,1
sbtempc,135,7,1
short_dn,135,7,1
short_up,135,7,1
targetmv,135,7,1
targtempc,135,7,1
tram_distance,134,6,1
latitude,127,40,31
longitude,127,40,31
conductivity,116,5,3
radiation,113,15,4
percent,112,6,6
wave,105,13,2
concentration,92,12,8
short,75,29,4
site,69,37,17
station,69,18,9
co2,68,46,7
water,67,24,17
firn,66,4,2
index,62,15,4
meter,58,5,4
profile,58,5,5
layer,50,6,6
cast,46,1,1
corrected,44,15,4
cm,43,25,10
doy,41,41,3
ice,40,13,12
soil,40,10,7
net,38,14,3
organic,38,12,10
albedo_f,37,37,2
fc,37,37,2
fc_cw,37,37,2
g1_f,37,37,2
g2_f,37,37,2
g3_f,37,37,2
g4_f,37,37,2
h_c_f,37,37,2
h_c_gf,37,37,2
le,37,37,2
le_cw_f,37,37,2
le_cw_gf,37,37,2
model,37,2,2
pa_1,37,37,2
par_f,37,37,2
par_out_f,37,37,2
precip,37,37,2
rg_f,37,37,2
rg_gf,37,37,2
rg_out_f,37,37,2
rh_f,37,37,2
rh_gf,37,37,2
rnet_f,37,37,2
swc_1_f,37,37,2
swc_2_f,37,37,2
ta_f,37,37,2
ta_gf,37,37,2
tau,37,37,2
tau_c,37,37,2
ust,37,37,2
vpd_f,37,37,2
vpd_gf,37,37,2
wd,37,37,2
ws_1,37,37,2
carbon,36,17,13
downwelling,36,12,1
simulated,36,1,1
snowd_f,36,36,2
speed,36,17,6
upwelling,36,12,1
vegetation,36,15,4
ratio,34,4,4
wind,34,16,5
transect,33,14,3
fc_cwbu_gf,32,32,2
sami,32,2,1
sample,32,15,12
specific,32,4,3
total,32,25,13
tsoil_2_f,32,32,2
core,31,8,8
ebc,31,31,2
mixing,31,2,2
month,31,27,6
day,30,15,10
g1,30,27,3
g2,30,27,3
g3,30,27,3
g4,30,27,3
par,29,28,7
velocity,29,5,5
air,28,19,8
top,28,7,5
conductance,27,1,1
data,27,17,9
tsoil_2,27,27,2
billion,26,3,3
fraction,26,3,3
treatment,26,14,9
tsurf,26,24,3
delta,25,8,6
distance,25,13,2
height,25,8,8
source,25,5,4
tsoil_1_f,25,25,2
tsoil_1_gf,25,25,2
cnr4,24,12,1
difference,24,12,1
id,24,19,9
normalized,24,12,1
tram,24,12,1
type,24,18,10
utm,24,1,1
10,23,5,4
agc_avg,23,23,2
amp_h_f_tot,23,23,2
amp_l_f_tot,23,23,2
battvolt_avg,23,23,2
battvolt_min,23,23,2
c_spike,23,23,2
c_stationarity,23,23,2
chopper_f_tot,23,23,2
co2_1,23,23,2
co2_1_f,23,23,2
co2_1_gf,23,23,2
co2_f,23,23,2
co2_gf,23,23,2
content,23,3,2
csat_error,23,23,2
csat_warnings,23,23,2
del_t_f,23,23,2
