word1,word2,word3,n,unique_ids,unique_authors
air_temp,time,plot,135,7,1
albedo,rn,air_temp,135,7,1
batt_volt,ptemp,targetmv,135,7,1
cnr4_t_c,cnr4_t_k,long_up_corr,135,7,1
cnr4_t_k,long_up_corr,long_dn_corr,135,7,1
count,ndvi,sandvi,135,7,1
long_dn,cnr4_t_c,cnr4_t_k,135,7,1
long_dn_corr,rs_net,rl_net,135,7,1
long_up,long_dn,cnr4_t_c,135,7,1
long_up_corr,long_dn_corr,rs_net,135,7,1
plot,count,ndvi,135,7,1
ptemp,targetmv,sbtempc,135,7,1
record,batt_volt,ptemp,135,7,1
rl_net,albedo,rn,135,7,1
rn,air_temp,time,135,7,1
rs_net,rl_net,albedo,135,7,1
sbtempc,targtempc,short_up,135,7,1
short_dn,long_up,long_dn,135,7,1
short_up,short_dn,long_up,135,7,1
targetmv,sbtempc,targtempc,135,7,1
targtempc,short_up,short_dn,135,7,1
time,plot,count,135,7,1
timestamp,record,batt_volt,135,7,1
ndvi,sandvi,tram_distance,134,6,1
sandvi,tram_distance,dist_corr,132,5,1
dist_corr,timestamp,record,128,4,1
tram_distance,dist_corr,timestamp,127,3,1
dissolved,oxygen,dissolved,101,3,3
oxygen,dissolved,oxygen,101,3,3
depth,pressure,temperature,99,1,1
dissolved,oxygen,percent,99,1,1
pressure,temperature,salinity,99,1,1
salinity,dissolved,oxygen,99,1,1
temperature,salinity,dissolved,99,1,1
oxygen,percent,depth,98,1,1
percent,depth,pressure,98,1,1
1,conductivity,probe,46,1,1
1,salinity,probe,46,1,1
1,temperature,probe,46,1,1
2,conductivity,probe,46,1,1
2,longitude,latitude,46,1,1
2,oxygen,salinity,46,1,1
conductivity,probe,1,46,1,1
conductivity,probe,2,46,1,1
latitude,date,cast,46,1,1
longitude,latitude,date,46,1,1
oxygen,salinity,probe,46,1,1
pressure,temperature,probe,46,1,1
probe,1,conductivity,46,1,1
probe,1,salinity,46,1,1
probe,1,temperature,46,1,1
probe,2,conductivity,46,1,1
probe,2,longitude,46,1,1
probe,2,oxygen,46,1,1
salinity,probe,1,46,1,1
salinity,probe,2,46,1,1
temperature,probe,1,46,1,1
temperature,probe,2,46,1,1
cast,pressure,temperature,45,1,1
date,cast,pressure,45,1,1
depth,depth,depth,39,1,1
meter,simulated,firn,36,1,1
model,layer,time,36,1,1
layer,time,depth,35,1,1
difference,vegetation,index,24,12,1
normalized,difference,vegetation,24,12,1
short,wave,radiation,24,12,1
wave,radiation,corrected,24,12,1
wave,radiation,downwelling,24,12,1
agc_avg,c_spike,q_spike,23,23,2
albedo,albedo_f,rnet,23,23,2
albedo_f,rnet,rnet_f,23,23,2
amp_h_f_tot,amp_l_f_tot,chopper_f_tot,23,23,2
amp_l_f_tot,chopper_f_tot,detector_f_tot,23,23,2
battvolt_avg,battvolt_min,tpanel,23,23,2
battvolt_min,tpanel,n_tot,23,23,2
c_spike,q_spike,u_spike,23,23,2
c_stationarity,q_stationarity,t_stationarity,23,23,2
chopper_f_tot,detector_f_tot,pll_f_tot,23,23,2
co2,co2_f,co2_gf,23,23,2
co2_1,co2_1_f,co2_1_gf,23,23,2
co2_1_f,co2_1_gf,h2o_1,23,23,2
co2_1_gf,h2o_1,h2o_1_f,23,23,2
co2_f,co2_gf,rhocp,23,23,2
co2_gf,rhocp,ust,23,23,2
csat_error,c_stationarity,q_stationarity,23,23,2
csat_warnings,irga_warnings,del_t_f,23,23,2
del_t_f,sig_lck_f_tot,amp_h_f_tot,23,23,2
detector_f_tot,pll_f_tot,sync_f_tot,23,23,2
dom,hhmm,timestamp,23,23,2
doy,month,dom,23,23,2
ebc,ta_1,ta_1_f,23,23,2
fc,zol,uw_freqr,23,23,2
fc_c,wpl_le,le_cw,23,23,2
fc_cw,fc_cw_f,fc_cw_gf,23,23,2
fc_cw_f,fc_cw_gf,fc_cwb_gf,23,23,2
fc_cw_gf,fc_cwb_gf,fc_cwbu_gf,23,23,2
fcle_freqresp,uw_c,tau_c,23,23,2
footp,ebc,ta_1,23,23,2
g1,g1_f,g1_gf,23,23,2
g1_f,g1_gf,g2,23,23,2
g1_gf,g2,g2_f,23,23,2
g2,g2_f,g2_gf,23,23,2
g2_f,g2_gf,g3,23,23,2
g2_gf,g3,g3_f,23,23,2
g3,g3_f,g3_gf,23,23,2
g3_f,g3_gf,g4,23,23,2
g3_gf,g4,g4_f,23,23,2
g4,g4_f,g4_gf,23,23,2
g4_f,g4_gf,swc_1,23,23,2
g4_gf,swc_1,swc_1_f,23,23,2
h_c,h_c_f,h_c_gf,23,23,2
h_c_f,h_c_gf,le_c,23,23,2
h_c_gf,le_c,fc_c,23,23,2
h_freqresp,fcle_freqresp,uw_c,23,23,2
h2o_1,h2o_1_f,h2o_1_gf,23,23,2
h2o_1_f,h2o_1_gf,rg,23,23,2
h2o_1_gf,rg,rg_f,23,23,2
hhmm,timestamp,record,23,23,2
irga_error,csat_error,c_stationarity,23,23,2
irga_warnings,del_t_f,sig_lck_f_tot,23,23,2
le,fc,zol,23,23,2
le_c,fc_c,wpl_le,23,23,2
le_cw,le_cw_f,le_cw_gf,23,23,2
le_cw_f,le_cw_gf,wpl_fc,23,23,2
le_cw_gf,wpl_fc,fc_cw,23,23,2
month,dom,hhmm,23,23,2
n_tot,csat_warnings,irga_warnings,23,23,2
pa,ws,ws_f,23,23,2
pa_1,vp_1,vp_1_f,23,23,2
par,par_f,par_gf,23,23,2
par_f,par_gf,par_totflx_tot,23,23,2
par_gf,par_totflx_tot,par_out,23,23,2
par_out,par_out_f,par_out_gf,23,23,2
par_out_f,par_out_gf,par_out_totflx_tot,23,23,2
par_out_gf,par_out_totflx_tot,precip,23,23,2
par_out_totflx_tot,precip,precip_f,23,23,2
par_totflx_tot,par_out,par_out_f,23,23,2
pll_f_tot,sync_f_tot,agc_avg,23,23,2
precip,precip_f,snowd,23,23,2
precip_f,snowd,snowd_f,23,23,2
q_spike,u_spike,v_spike,23,23,2
q_stationarity,t_stationarity,sdv,23,23,2
record,battvolt_avg,battvolt_min,23,23,2
rg,rg_f,rg_gf,23,23,2
rg_f,rg_gf,rg_out,23,23,2
rg_gf,rg_out,rg_out_f,23,23,2
rg_out,rg_out_f,rg_out_gf,23,23,2
rg_out_f,rg_out_gf,rl,23,23,2
rg_out_gf,rl,rl_f,23,23,2
rh,rh_f,rh_gf,23,23,2
rh_f,rh_gf,co2_1,23,23,2
rh_gf,co2_1,co2_1_f,23,23,2
rl,rl_f,rl_gf,23,23,2
rl_f,rl_gf,rl_out,23,23,2
rl_gf,rl_out,rl_out_f,23,23,2
rl_out,rl_out_f,rl_out_gf,23,23,2
rl_out_f,rl_out_gf,albedo,23,23,2
rl_out_gf,albedo,albedo_f,23,23,2
rnet,rnet_f,rnet_gf,23,23,2
rnet_f,rnet_gf,par,23,23,2
rnet_gf,par,par_f,23,23,2
sdv,footp,ebc,23,23,2
sig_lck_f_tot,amp_h_f_tot,amp_l_f_tot,23,23,2
signal_quality,g1,g1_f,23,23,2
snowd,snowd_f,snowd_gf,23,23,2
snowd_f,snowd_gf,signal_quality,23,23,2
snowd_gf,signal_quality,g1,23,23,2
solar_elevation,pa,ws,23,23,2
swc_1,swc_1_f,swc_1_gf,23,23,2
swc_1_f,swc_1_gf,swc_2,23,23,2
swc_1_gf,swc_2,swc_2_f,23,23,2
swc_2,swc_2_f,swc_2_gf,23,23,2
swc_2_f,swc_2_gf,tsoil_1,23,23,2
swc_2_gf,tsoil_1,tsoil_1_f,23,23,2
sync_f_tot,agc_avg,c_spike,23,23,2
t_spike,irga_error,csat_error,23,23,2
t_stationarity,sdv,footp,23,23,2
ta,ta_f,ta_gf,23,23,2
ta_1,ta_1_f,ta_1_gf,23,23,2
ta_1_f,ta_1_gf,pa_1,23,23,2
ta_1_gf,pa_1,vp_1,23,23,2
ta_f,ta_gf,vp,23,23,2
ta_gf,vp,vp_f,23,23,2
tau,le,fc,23,23,2
tau_c,h_c,h_c_f,23,23,2
timestamp,record,battvolt_avg,23,23,2
tpanel,n_tot,csat_warnings,23,23,2
tsoil_1,tsoil_1_f,tsoil_1_gf,23,23,2
tsoil_1_f,tsoil_1_gf,tsoil_2,23,23,2
tsoil_1_gf,tsoil_2,tsoil_2_f,23,23,2
tsoil_2,tsoil_2_f,tsoil_2_gf,23,23,2
tsoil_2_f,tsoil_2_gf,tsurf,23,23,2
tsoil_2_gf,tsurf,tsurf_f,23,23,2
tsurf,tsurf_f,tsurf_gf,23,23,2
tsurf_f,tsurf_gf,ws_1,23,23,2
tsurf_gf,ws_1,ws_1_f,23,23,2
u_spike,v_spike,w_spike,23,23,2
uw,tau,le,23,23,2
uw_c,tau_c,h_c,23,23,2
uw_freqr,h_freqresp,fcle_freqresp,23,23,2
v_spike,w_spike,t_spike,23,23,2
vp,vp_f,vp_gf,23,23,2
vp_1,vp_1_f,vp_1_gf,23,23,2
vp_1_f,vp_1_gf,vpd,23,23,2
vp_1_gf,vpd,vpd_f,23,23,2
vp_f,vp_gf,co2,23,23,2
vp_gf,co2,co2_f,23,23,2
vpd,vpd_f,vpd_gf,23,23,2
vpd_f,vpd_gf,rh,23,23,2
vpd_gf,rh,rh_f,23,23,2
w_spike,t_spike,irga_error,23,23,2
wd,wd_f,wd_gf,23,23,2
wd_1,wd_1_f,wd_1_gf,23,23,2
wd_1_f,wd_1_gf,solar_elevation,23,23,2
wd_1_gf,solar_elevation,pa,23,23,2
wd_f,wd_gf,ta,23,23,2
