token,n,unique_ids,unique_authors
lat,1752,141,33
lon,1704,110,28
alt,1551,107,9
base_time,1546,105,7
time_offset,1546,105,7
Depth,1533,142,44
U,1442,10,8
Date,1432,543,74
size,1432,4,3
ED,1431,3,2
eta_total,1430,2,1
flag_md_corr,1430,2,1
flag_qc1,1430,2,1
flag_qc2,1430,2,1
flag_qc3,1430,2,1
flag_qc4,1430,2,1
flag_qc5,1430,2,1
flag_recalc,1430,2,1
instHt,1430,2,1
LWC,1430,2,1
number_conc,1430,2,1
particle_count,1430,2,1
PAS,1430,2,1
thetaS,1430,2,1
Vs,1430,2,1
Longitude,810,607,71
Latitude,809,606,70
Temperature,795,26,18
DATE,757,14,11
YEAR,649,7,4
Pressure,582,17,12
Salinity,503,25,15
Data,462,2,2
timestamp,441,6,4
T,406,3,3
sal00,370,26,13
Timestamp,363,24,6
10_meters,347,1,1
Location,341,328,16
5_meters,330,1,1
Time,325,88,37
Altitude,321,319,4
time,321,92,28
Comments,316,312,8
Year,316,99,50
Roll,311,306,2
Frame,305,305,1
Media,305,305,1
prDM,291,14,7
depSM,277,18,11
flag,277,32,16
3_meters,276,1,1
t090C,273,16,8
Air_Temp,265,129,7
sal11,246,13,7
t190C,246,13,7
PAR,221,42,17
svCM,217,16,8
side scan sonar,211,1,1
CStarTr0,203,6,4
Header,201,1,1
Multiplexed Radargram,201,1,1
latitude,198,61,27
longitude,198,61,27
Plot,195,44,14
DOY,185,63,13
date,183,80,37
flSP,181,5,4
RECORD,181,47,7
v1,178,11,5
Count,172,37,6
sbeox0ML/L,172,14,6
day,167,31,13
sbeox0V,164,5,4
scan,163,15,7
TIMESTAMP,163,30,6
Surface,162,2,1
NDVI,157,25,4
Rn,156,21,3
wetCDOM,154,2,2
albedo,153,23,4
Salinity_d,152,1,1
Salinity_u,152,1,1
Temperature_d,152,1,1
Temperature_u,152,1,1
PTemp_C,149,20,2
saNDVI,148,20,2
Batt_Volt,147,19,1
cnr4_T_C,147,19,1
cnr4_T_K,147,19,1
Dist_corr,147,19,1
long_dn,147,19,1
long_dn_corr,147,19,1
long_up,147,19,1
long_up_corr,147,19,1
Rl_net,147,19,1
Rs_net,147,19,1
SBTempC,147,19,1
short_dn,147,19,1
short_up,147,19,1
TargmV,147,19,1
TargTempC,147,19,1
tram_distance,146,18,1
v4,146,11,5
altM,144,12,6
c0mS/cm,144,12,6
c1mS/cm,144,12,6
Easting,141,67,7
Northing,141,67,7
T2,138,5,2
Site,136,61,34
par,135,11,7
Area,132,68,7
PRCP,132,2,2
Day,131,24,12
NT,131,1,1
RH2,131,1,1
SWDOWN,131,1,1
TER,131,1,1
w10,131,1,1
XLAT,131,1,1
XLON,131,1,1
15_meters,130,1,1
_meters,129,1,1
Month,129,39,14
depth,128,12,11
Id,127,63,3
nbin,127,5,3
v2,125,7,4
Hour,122,29,11
v0,121,6,3
upoly0,119,4,2
Conductivity,118,10,6
0,115,113,3
Temp_TMC_surf,113,4,1
RH,111,24,17
sigma-theta,110,8,5
Temp_TMC_+001.00m,110,4,1
1_meters,109,1,1
10,109,106,3
celsius,109,1,1
20,108,106,3
-10,107,105,2
-20,107,105,2
-30,107,105,2
-40,107,105,2
-50,107,105,2
-60,107,105,2
-70,107,105,2
-80,107,105,2
Temp_TMC_+001.50m,107,4,1
temperature,107,30,8
-100,106,104,2
-110,106,104,2
-120,106,104,2
-130,106,104,2
-90,106,104,2
Temp_TMC_+000.50m,106,4,1
Snow_Depth,105,105,2
Air_Pressure,104,104,1
Bottom_of_Ice_Position,104,104,1
Depth_m,104,10,6
flECO-AFL,104,3,2
Ice_Thickness,104,104,1
month,104,14,12
Pres,104,21,8
Top_of_Ice_Position,104,104,1
sigma-t00,103,2,2
-140,102,102,1
-150,102,102,1
-160,102,102,1
-170,102,102,1
-180,102,102,1
-190,102,102,1
-200,102,102,1
-210,102,102,1
30,102,100,2
CstarAt0,102,1,1
oxsolMm/kg,102,1,1
sbeox0Mm/kg,102,1,1
-220,101,101,1
-230,101,101,1
-240,100,100,1
pressure,100,29,7
Dissolved Oxygen,99,1,1
Dissolved Oxygen (percent),99,1,1
Temp_TMC_+002.00m,99,4,1
Temp_TMC_+004.00m,99,4,1
Temp_TMC_+006.00m,99,4,1
-250,98,98,1
Name,98,78,15
salinity,97,24,7
40,96,94,2
-260,94,94,1
tv290C,94,7,4
LAT,90,10,7
DAY,89,2,2
SF,88,4,3
density,87,5,5
-270,86,86,1
50,86,84,2
c0S/m,85,8,6
TIME,85,13,8
H,84,53,12
Air,83,2,1
plot,83,17,12
ID,82,77,13
elevation,81,13,8
site,81,26,17
-280,80,80,1
prdM,80,11,6
SH,80,12,8
60,79,77,2
LE,79,52,11
LHF,79,3,3
SHF,79,3,3
SMB,79,3,3
Type,79,24,17
nbf,77,4,2
-290,75,75,1
-300,75,75,1
-310,75,75,1
-320,75,75,1
-330,75,75,1
Date_Time,75,25,11
LON,75,7,5
-340,74,74,1
-350,73,73,1
conductivity,73,3,3
MIN,73,4,4
SP,73,4,4
potemp090C,72,6,6
SAL,72,3,3
AL,70,2,2
AL1,70,2,2
AL2,70,2,2
ATMLAY,70,2,2
ATMLAY3_3,70,2,2
CC,70,2,2
CD,70,2,2
CM,70,2,2
COD,70,2,2
CP,70,2,2
CU,70,2,2
CWP,70,2,2
CZ,70,2,2
DD,70,2,2
FRA,70,2,2
FRV,70,2,2
G11,70,2,2
G21,70,2,2
HH,70,2,2
IWP,70,2,2
LWD,70,2,2
LWU,70,2,2
ME,70,2,2
MM,70,2,2
MSK,70,2,2
OUTLAY,70,2,2
OUTLAY_bnds,70,2,2
OUTLAY1_1,70,2,2
OUTLAY1_1_bnds,70,2,2
PBL,70,2,2
PDD,70,2,2
PLEV,70,2,2
PLEV_bnds,70,2,2
QI,70,2,2
QQ,70,2,2
QQP,70,2,2
QQZ,70,2,2
QR,70,2,2
QS,70,2,2
QW,70,2,2
RF,70,2,2
RO1,70,2,2
RU,70,2,2
RZ,70,2,2
SECTOR,70,2,2
SECTOR1_1,70,2,2
SHSN0,70,2,2
SHSN2,70,2,2
SHSN3,70,2,2
SLO,70,2,2
SOL,70,2,2
SRF,70,2,2
ST,70,2,2
ST2,70,2,2
SU,70,2,2
SW,70,2,2
SWD,70,2,2
SWSN,70,2,2
TI1,70,2,2
TT,70,2,2
TTMAX,70,2,2
TTMIN,70,2,2
TTP,70,2,2
TTZ,70,2,2
UU,70,2,2
UUP,70,2,2
UUZ,70,2,2
UV,70,2,2
UVMAX,70,2,2
UVZ,70,2,2
VEG,70,2,2
VV,70,2,2
VVP,70,2,2
VVZ,70,2,2
WA1,70,2,2
WVP,70,2,2
X12_84,70,2,2
Y21_155,70,2,2
YYYY,70,2,2
ZTQLEV,70,2,2
ZTQLEV_bnds,70,2,2
ZUVLEV,70,2,2
ZUVLEV_bnds,70,2,2
ZZ,70,2,2
ZZP,70,2,2
-360,68,68,1
ATMLAY_bnds,68,2,2
ATMLAY3_3_bnds,68,2,2
dec_rate,68,1,1
dt,68,5,2
pot_temp,68,1,1
sp_of_sound,68,1,1
RINEX VERSION 2.10 N: GPS NAV DATA,67,1,1
RINEX VERSION 2.11  OBSERVATION DATA   G (GPS),67,1,1
timeJ,67,3,1
FC,66,50,10
v5,65,5,3
-370,64,64,1
WD,64,55,15
Temp_107_surf,63,4,1
pism_config,62,3,1
run_stats,62,3,1
Temp_107_air,62,4,1
Altimeter,61,8,3
Contour,61,61,1
DDLat,61,61,1
DDLon,61,61,1
End_Depth_m,61,61,1
Min,61,3,2
Sediment_Area_m2,61,61,1
Start_Depth_m,61,61,1
Water_Surface_Area_m2,61,61,1
Water_Volume_m3,61,61,1
7_meters,60,1,1
Flur,60,7,2
OxCur,60,7,2
OXYG,60,7,2
Sal(1),60,7,2
Sec,60,2,1
T90(1),60,7,2
T90(2),60,7,2
Trans,60,7,2
wocecode,60,7,2
R0,59,2,2
Z0,59,2,2
Elevation,58,29,18
Observer,58,5,3
Temp,58,28,15
Lat,57,35,24
T (deg),57,1,1
Station,56,33,18
xmiss,56,6,3
Oxygen,55,5,4
Species,55,23,19
HHMM,54,24,3
-380,53,53,1
ALH,53,2,2
ATMXH,53,2,2
CCH,53,2,2
ice_mass,53,4,1
LHFH,53,2,2
limnsw,53,4,1
LWDH,53,2,2
LWUH,53,2,2
QQH,53,2,2
SHFH,53,2,2
SPH,53,2,2
