word1,word2,n
smtfm02,qc,750
cdf,smtfm02,749
smtfm10,qc,680
cdf,smtfm10,679
csv,ru,662
dspk,unflag.txt,392
ru,03,386
05,31,322
31,daily.csv,320
06,01,302
csv,scarfs2016,252
ru,10,206
csv,scarfs2015,151
10,csv,131
nc,jc,130
dat,cr3000,128
12,csv,125
2019,dat,118
single.csv,ru,116
11,csv,115
2016,06,114
nc,5,109
balance,data.csv,104
mass,balance,104
meteorological,data.csv,104
position,data.csv,104
temperature,data.csv,104
cnv,skq201612s,99
13,csv,98
dat,ctd,98
ru,04,95
09,csv,94
2016,05,92
nc,6,91
2017,05,90
01,2016,89
2015,06,85
2018,06,83
0,1000,82
1000,nc,82
ru,06,82
v3a,rcp,82
01,2017,81
2016,csv,79
2018,05,79
01,2019,77
01,2018,75
2017,06,75
2015,2016,74
gtr,rov1,74
2019,05,73
v1,csv,71
01,12,69
12,nc,69
nc,ice,68
14,csv,67
17n,gtr,67
19,csv,67
txt,1703,67
17o,gtr,66
nsidc.csv,ru,64
cnv,ctd,63
2015,csv,62
cr3000,toolik,62
toolik,irr,62
bathy,interp.zip,61
bathy,points.zip,61
final,adc.csv,61
sonar,final,61
deep,spots.zip,60
gtr,base,60
cr3000,imnavait,59
imnavait,irr,59
barrow,atqasuk,56
16,csv,54
2016,orcutt,54
2019,csv,54
d2019,87,52
cnv,d2019,51
08,nsidc.csv,50
sonic,1,50
sonic,2,50
sonic,3,50
sonic,4,50
sonic,5,50
sonic,6,50
sonic,7,50
sonic,8,50
1,dspk,49
2,dspk,49
3,dspk,49
4,dspk,49
5,dspk,49
6,dspk,49
7,dspk,49
8,dspk,49
irr,07,49
ru,08,47
07,01,45
15,csv,45
30,daily.csv,45
ctd.txt,od1507,45
06,30,44
daily.csv,app,44
iceberg,meltinfo.txt,42
ctrl,0,39
id,ctrl,39
line00,nc,39
line01,nc,38
07,nsidc.csv,37
crevasse,sizes,37
irr,06,37
1,nc,36
bin,1,36
line02,nc,36
sea,ice,35
final,hr.tif,34
08,csv,33
2013,nc,33
2018,csv,33
hr.tif,suib,33
1979,2013,32
arctic,sea,32
ice,seasonal,32
seasonal,transition,32
ts,gris,32
xtf,portrefugio,32
30min,v1,31
logger,30min,31
app,2009,30
dbo,station,30
eddy,30min,30
ru,13,30
2015,07,29
nc,ts,29
dpen3,10snw3,28
g1800m,v3a,28
gris,g1800m,28
line03,nc,28
rcp,85,28
strdprctc,skq201711s,28
2017,csv,27
atqasuk,itex,27
rcp,26,27
rcp,45,27
xtf,portsantacruz,27
csv,dbo,26
daily,2016,26
data,final,26
final,report,26
station,coordinates.csv,26
station,table,26
suib,2018,26
2015,08,25
2018,07,25
csv,strainrate,25
csv,viper,25
final.dat,uptempo,24
g900m,v3a,24
gris,g900m,24
irr,08,24
lake,bathy,24
nc,gris,24
2018,2019,23
xtf,portdelores,23
101,2016,22
30min,v2,22
85,id,22
aon,ic,22
line04,nc,22
v2,csv,22
01,2015,21
26,id,21
45,id,21
csv,96,21
jun,2010,21
101,2017,20
101,2018,20
1979,2012,20
2016datarpt,tbl,20
arcsees,2016datarpt,20
avg.nc,fjord,20
daily.csv,ca,20
line05,nc,20
thule2017,thermistor,20
09,cadis.csv,19
dat,thule2017,19
data,2018,19
sizes,oib.txt,19
txt,96,19
08,cadis.csv,18
1,csv,18
201118,swl,18
airportsite,2015,18
arcsees,airportsite,18
ru,cyn,18
sizes,wv.txt,18
v73,mat,18
001,2017,17
11,cadis.csv,17
2014,07,17
2014,2015,17
2019,06,17
6,17,17
attribute,table,17
cnv,qc,17
dem,final,17
m1,2b,17
nc,aon,17
ortho,final,17
strainrate,2007,17
12,17,16
2015,winter,16
age,scale.csv,16
arcsees,colleen,16
arcss,plant,16
atqasuk,arcss,16
campsite,lake,16
cnv,201118,16
csv,2015,16
ctd,www1202,16
ctd,www1204,16
dates,1979,16
dating,filecorrected.csv,16
misp,spectral.zip,16
periods,1979,16
scs,3,16
suib,2019,16
transition,dates,16
transition,periods,16
uptempo,2014,16
zev,lake,16
001,2016,15
10,single.csv,15
11,single.csv,15
14,17,15
16,cadis.csv,15
2012,monthly.nc,15
2013,2014,15
2014,winter,15
2017,07,15
7,17,15
arctic,atmospheric,15
atmospheric,observatories,15
cloud,microphysical,15
crop,v73,15
microphysical,properties,15
migtk,crop,15
plant,v1,15
00,txt,14
001,2018,14
102,2016,14
10snw3,flux.dat,14
10snw3,nc,14
12,single.csv,14
13,single.csv,14
2011,txt,14
2016,07,14
2016,winter,14
99,txt,14
m1,5b,14
txt,council2000,14
txt,m1,14
03,0029,13
06,single.csv,13
07,12,13
08,single.csv,13
102,2017,13
102,2018,13
2007,sedna,13
2014,csv,13
2016,08,13
2018,ongoing,13
cr3000,irr,13
csv,2016,13
csv,suib,13
flight,routes.zip,13
ic,1993,13
itex,barrow,13
toolik,lake,13
v2,txt,13
1,cnv,12
10,17,12
14,single.csv,12
17,17,12
2014,2016,12
4,csv,12
5,14,12
9,17,12
base,hh,12
consolidated,datalogger,12
corrected,0,12
csv,95,12
cyn,tr1,12
datalogger,output,12
dbo5,csv,12
g18000m,v3a,12
gris,g18000m,12
lake,area.zip,12
lake,deep,12
lake,hypsography.csv,12
lake,perimeter.zip,12
lake,sonar,12
n83,11,12
nc,nasa,12
soilmoisture,data,12
table,dbo5,12
winter,n2,12
03,0037,11
04,0007,11
05,nsidc.csv,11
06,nsidc.csv,11
101,2019,11
102,2015,11
15,17,11
2,cnv,11
2016,terrace,11
csv,2014,11
csv,mat,11
ic,1523,11
lakee5,data,11
rgb.tif,ru,11
txt,council1999,11
v1,txt,11
winter,toolik,11
03,0002,10
03,0008,10
03,0025,10
03,0034,10
03,0035,10
04,0008,10
07,17,10
07,single.csv,10
11,g12b,10
16,17,10
17,core16summittraverse1,10
18,17,10
1980,2010,10
2012,2013,10
2012,2016,10
2b,sbe37,10
5,7,10
6,18,10
8,17,10
basins,model,10
bc,5,10
calm,soilmoisture,10
community,v1,10
csv,atq,10
csv,brw,10
estimates,1980,10
ic,1991,10
irr,05,10
model,estimates,10
north,slope,10
slope,basins,10
txt,95,10
winter,e1,10
winter,e5,10
winter,e6,10
xtf,esquibel,10
001,2015,9
001,2019,9
03,0009,9
03,0011,9
03,0017,9
03,0031,9
03,0036,9
04,0002,9
04,0006,9
04,0020,9
07,11,9
08,11,9
13,txt,9
17,core8b,9
19,jun,9
1993,csv,9
1x5,v1,9
2017,08,9
2017,laketimeseries,9
2020,nc,9
5,17,9
5,6,9
98,txt,9
app,2010,9
arcss,1x5,9
atq,calm,9
barrow,alaska,9
compaction,bin,9
ctd,www1104,9
esquibel,19,9
firn,obs.nc,9
g12b,diffdem.tif,9
ice,bin,9
id,ntrl,9
itex,arcss,9
lake,contours.zip,9
laketimeseries,calon.csv,9
line06,nc,9
m1,4b,9
m3f,sbe56,9
mcat,bs3,9
meltinfo.txt,ko,9
ntrl,0,9
observatories,barrow,9
personnel,list,9
petermannglacier,sbe37sm,9
pressure.csv,2015,9
rho,bin,9
ru,ans,9
siberia,12,9
slwc,bin,9
txt,m3f,9
txt,warm,9
000000,cdf,8
