word1,word2,n,unique_ids,unique_authors
smtfm02,qc,750,1,1
cdf,smtfm02,749,1,1
smtfm10,qc,680,1,1
cdf,smtfm10,679,1,1
csv,ru,662,3,1
dspk,unflag.txt,392,1,1
ru,03,386,3,1
05,31,322,6,2
31,daily.csv,320,4,1
06,01,302,6,2
csv,scarfs2016,252,1,1
ru,10,206,2,1
csv,scarfs2015,151,1,1
10,csv,131,7,2
nc,jc,130,1,1
dat,cr3000,128,4,1
12,csv,125,9,3
2019,dat,118,2,1
single.csv,ru,116,2,1
11,csv,115,6,1
2016,06,113,3,2
nc,5,109,1,1
balance,data.csv,104,104,1
mass,balance,104,104,1
meteorological,data.csv,104,104,1
position,data.csv,104,104,1
temperature,data.csv,104,104,1
cnv,skq201612s,99,1,1
13,csv,98,4,1
dat,ctd,98,1,1
ru,04,95,3,1
09,csv,94,5,1
2016,05,91,2,1
nc,6,91,1,1
01,2016,89,3,1
2017,05,89,2,1
2015,06,85,3,2
2018,06,83,2,2
0,1000,82,7,1
1000,nc,82,7,1
ru,06,82,3,1
v3a,rcp,82,7,1
01,2017,81,1,1
2016,csv,79,37,21
2018,05,79,2,1
01,2019,77,3,2
01,2018,75,1,1
2017,06,75,1,1
2015,2016,74,17,5
gtr,rov1,74,1,1
2019,05,73,1,1
v1,csv,71,24,3
01,12,69,1,1
12,nc,69,1,1
nc,ice,68,1,1
14,csv,67,3,1
17n,gtr,67,1,1
19,csv,67,4,3
txt,1703,67,1,1
17o,gtr,66,1,1
nsidc.csv,ru,64,1,1
cnv,ctd,63,5,3
2015,csv,62,18,9
cr3000,toolik,62,2,1
toolik,irr,62,2,1
bathy,interp.zip,61,61,1
bathy,points.zip,61,61,1
final,adc.csv,61,61,1
sonar,final,61,61,1
deep,spots.zip,60,60,1
gtr,base,60,1,1
cr3000,imnavait,59,2,1
imnavait,irr,59,2,1
barrow,atqasuk,56,23,2
16,csv,54,6,2
2016,orcutt,54,9,1
2019,csv,53,10,9
d2019,87,52,1,1
cnv,d2019,51,1,1
08,nsidc.csv,50,1,1
sonic,1,50,1,1
sonic,2,50,1,1
sonic,3,50,1,1
sonic,4,50,1,1
sonic,5,50,1,1
sonic,6,50,1,1
sonic,7,50,1,1
sonic,8,50,1,1
1,dspk,49,1,1
2,dspk,49,1,1
3,dspk,49,1,1
4,dspk,49,1,1
5,dspk,49,1,1
6,dspk,49,1,1
7,dspk,49,1,1
8,dspk,49,1,1
irr,07,49,2,1
ru,08,47,1,1
07,01,45,4,2
15,csv,45,7,2
30,daily.csv,45,4,1
ctd.txt,od1507,45,1,1
06,30,44,3,1
daily.csv,app,44,3,1
iceberg,meltinfo.txt,42,1,1
ctrl,0,39,1,1
id,ctrl,39,1,1
line00,nc,39,1,1
line01,nc,38,1,1
07,nsidc.csv,37,2,1
crevasse,sizes,37,1,1
irr,06,37,2,1
1,nc,36,1,1
bin,1,36,1,1
line02,nc,36,1,1
sea,ice,35,2,2
final,hr.tif,34,1,1
08,csv,33,8,2
2013,nc,33,2,2
2018,csv,33,19,12
hr.tif,suib,33,1,1
1979,2013,32,1,1
arctic,sea,32,1,1
ice,seasonal,32,1,1
seasonal,transition,32,1,1
ts,gris,32,3,1
xtf,portrefugio,32,1,1
30min,v1,31,1,1
logger,30min,31,1,1
app,2009,30,3,1
dbo,station,30,30,10
eddy,30min,30,1,1
ru,13,30,3,1
2015,07,29,3,2
nc,ts,29,1,1
dpen3,10snw3,28,1,1
g1800m,v3a,28,7,1
gris,g1800m,28,7,1
line03,nc,28,1,1
rcp,85,28,5,1
strdprctc,skq201711s,28,2,1
2017,csv,27,20,12
atqasuk,itex,27,11,2
rcp,26,27,4,1
rcp,45,27,4,1
xtf,portsantacruz,27,1,1
csv,dbo,26,26,9
daily,2016,26,1,1
data,final,26,1,1
final,report,26,1,1
station,coordinates.csv,26,26,9
station,table,26,26,9
suib,2018,26,1,1
2015,08,25,2,2
2018,07,25,3,2
csv,strainrate,25,1,1
csv,viper,25,8,2
g900m,v3a,24,1,1
gris,g900m,24,1,1
irr,08,24,4,1
lake,bathy,24,12,1
nc,gris,24,1,1
2018,2019,23,3,3
xtf,portdelores,23,1,1
101,2016,22,2,1
30min,v2,22,1,1
85,id,22,3,1
aon,ic,22,20,3
line04,nc,22,1,1
v2,csv,22,9,6
01,2015,21,2,1
26,id,21,2,1
45,id,21,2,1
csv,96,21,1,1
jun,2010,21,1,1
101,2017,20,2,1
101,2018,20,2,1
1979,2012,20,1,1
avg.nc,fjord,20,1,1
daily.csv,ca,20,4,1
line05,nc,20,1,1
thule2017,thermistor,20,1,1
09,cadis.csv,19,1,1
dat,thule2017,19,1,1
data,2018,19,7,3
sizes,oib.txt,19,1,1
txt,96,19,1,1
08,cadis.csv,18,1,1
201118,swl,18,2,1
airportsite,2015,18,1,1
arcsees,airportsite,18,1,1
ru,cyn,18,1,1
sizes,wv.txt,18,1,1
v73,mat,18,1,1
001,2017,17,3,2
1,csv,17,16,12
11,cadis.csv,17,1,1
2014,2015,17,7,2
2019,06,17,2,2
6,17,17,1,1
attribute,table,17,17,3
cnv,qc,17,1,1
dem,final,17,1,1
m1,2b,17,1,1
nc,aon,17,5,1
ortho,final,17,1,1
strainrate,2007,17,1,1
12,17,16,8,3
2014,07,16,1,1
2015,winter,16,6,1
age,scale.csv,16,1,1
arcsees,colleen,16,1,1
arcss,plant,16,6,2
atqasuk,arcss,16,6,2
campsite,lake,16,2,1
cnv,201118,16,2,1
csv,2015,16,14,3
ctd,www1202,16,2,2
ctd,www1204,16,1,1
dates,1979,16,1,1
dating,filecorrected.csv,16,1,1
misp,spectral.zip,16,16,2
periods,1979,16,1,1
scs,3,16,2,1
suib,2019,16,1,1
transition,dates,16,1,1
transition,periods,16,1,1
zev,lake,16,2,1
001,2016,15,2,1
10,single.csv,15,1,1
11,single.csv,15,1,1
14,17,15,1,1
16,cadis.csv,15,1,1
2012,monthly.nc,15,1,1
2013,2014,15,5,1
2014,winter,15,5,1
2017,07,15,2,1
7,17,15,1,1
arctic,atmospheric,15,15,1
atmospheric,observatories,15,15,1
cloud,microphysical,15,15,1
crop,v73,15,1,1
microphysical,properties,15,15,1
migtk,crop,15,1,1
plant,v1,15,6,2
00,txt,14,1,1
001,2018,14,2,1
102,2016,14,2,1
10snw3,flux.dat,14,1,1
10snw3,nc,14,1,1
12,single.csv,14,1,1
13,single.csv,14,1,1
2011,txt,14,1,1
2016,07,14,2,1
2016,winter,14,5,1
99,txt,14,2,2
m1,5b,14,3,1
txt,council2000,14,1,1
txt,m1,14,1,1
03,0029,13,2,1
06,single.csv,13,1,1
07,12,13,7,3
08,single.csv,13,1,1
102,2017,13,3,2
102,2018,13,1,1
2007,sedna,13,1,1
2014,csv,13,11,8
2018,ongoing,13,4,2
cr3000,irr,13,2,1
csv,2016,13,10,4
csv,suib,13,1,1
flight,routes.zip,13,13,1
ic,1993,13,12,3
itex,barrow,13,6,2
toolik,lake,13,6,5
v2,txt,13,1,1
1,cnv,12,4,2
10,17,12,1,1
14,single.csv,12,1,1
17,17,12,1,1
2014,2016,12,5,4
2016,08,12,2,1
4,csv,12,5,5
5,14,12,1,1
9,17,12,1,1
consolidated,datalogger,12,12,1
corrected,0,12,1,1
csv,95,12,1,1
cyn,tr1,12,1,1
datalogger,output,12,12,1
dbo5,csv,12,12,7
g18000m,v3a,12,1,1
gris,g18000m,12,1,1
lake,area.zip,12,12,1
lake,deep,12,12,1
lake,hypsography.csv,12,12,1
lake,perimeter.zip,12,12,1
lake,sonar,12,12,1
n83,11,12,1,1
nc,nasa,12,1,1
soilmoisture,data,12,5,1
table,dbo5,12,12,7
winter,n2,12,4,1
03,0037,11,3,1
04,0007,11,3,1
05,nsidc.csv,11,1,1
06,nsidc.csv,11,1,1
