token,n
csv,2327
cdf,1542
qc,1453
ru,893
smtfm02,750
smtfm10,680
nc,641
06,541
2016,488
data.csv,461
01,445
03,400
sonic,400
dspk,392
unflag.txt,392
daily.csv,391
2015,385
10,382
05,370
31,337
2019,327
2018,312
cnv,310
2017,306
txt,277
08,262
dat,260
scarfs2016,253
12,245
17,236
07,230
xtf,205
ctd,189
5,188
6,179
1,178
13,176
11,174
data,162
2014,158
scarfs2015,152
09,150
ice,136
cr3000,135
irr,135
gtr,134
jc,131
2013,124
lake,124
final,123
bathy,122
2,118
single.csv,116
nsidc.csv,115
temperature,115
skq201612s,109
16,108
04,107
toolik,107
mass,106
14,104
balance,104
meteorological,104
position,104
3,101
0,99
v1,89
2012,87
19,86
4,85
gris,84
1000,82
101,82
rcp,82
v3a,82
cadis.csv,79
7,78
15,77
barrow,76
rov1,74
imnavait,73
8,72
base,72
001,69
1703,68
17n,67
17o,67
2010,67
id,67
station,65
adc.csv,64
deep,63
atqasuk,62
30min,61
arctic,61
area.zip,61
hypsography.csv,61
interp.zip,61
perimeter.zip,61
points.zip,61
sonar,61
spots.zip,60
dcc,59
winter,56
1979,55
2009,55
a09,55
arcsees,55
orcutt,54
102,53
od1507,53
87,52
aon,52
d2019,52
26,51
30,51
m1,49
app,47
ctd.txt,47
suib,47
2011,46
table,46
dbo,44
bl,43
temperature.csv,43
iceberg,42
meltinfo.txt,42
96,40
itex,40
missing.csv,40
0002,39
0008,39
ctrl,39
line00,39
contours.zip,38
crevasse,38
line01,38
0009,37
sea,37
sizes,37
v2,37
bin,36
ic,36
line02,36
sbe37,35
uptempo,35
viper,35
zip,35
hr.tif,34
daily,33
skq201711s,33
dpen3,32
portrefugio,32
seasonal,32
soil,32
strdprctc,32
swk,32
transition,32
ts,32
brw,31
logger,31
mat,31
water,31
0007,30
18,30
eddy,30
0006,29
dem,29
strainrate,29
0020,28
10snw3,28
2007,28
85,28
depth,28
g1800m,28
line03,28
misp,28
portsantacruz,28
swl,28
tif,28
45,27
ca,27
coordinates.csv,27
fbf,27
final.dat,27
n2,27
report,27
0017,26
0019,26
25,26
a10,26
climate,26
peters,26
plant,26
0001,25
0003,25
0018,25
27,25
arcss,25
e1,25
flux,25
ortho,25
site,25
summer,25
0013,24
atq,24
calm,24
e5,24
e6,24
g900m,24
sbe56,24
thule2017,24
002,23
0022,23
contour.zip,23
portdelores,23
0021,22
95,22
asdn,22
bs3,22
ch4,22
dhs,22
imn,22
line04,22
spconductance.csv,22
0005,21
0011,21
0014,21
2008,21
21,21
9,21
avg.nc,21
fjord,21
jun,21
0010,20
0012,20
0015,20
0023,20
0025,20
2016datarpt,20
age,20
line05,20
tbl,20
thermistor,20
tr1,20
tr2,20
00,19
0024,19
2b,19
alaska,19
corrected,19
density.csv,19
fa16,19
oib.txt,19
