token,n,unique_ids,unique_authors
csv,2321,582,127
cdf,1542,101,6
qc,1453,3,2
ru,893,5,3
smtfm02,750,1,1
smtfm10,680,1,1
nc,641,35,22
06,539,22,9
2016,481,93,39
data.csv,461,138,29
01,442,25,10
sonic,400,1,1
03,397,10,6
dspk,392,1,1
unflag.txt,392,1,1
daily.csv,391,9,2
2015,385,85,38
10,381,13,6
05,367,15,8
31,337,11,5
2019,326,40,24
2018,312,58,31
cnv,310,17,12
2017,301,64,33
txt,277,47,27
08,260,19,8
dat,260,11,3
scarfs2016,253,1,1
12,244,25,8
17,236,17,8
07,229,19,6
xtf,205,1,1
ctd,189,17,12
5,188,12,9
1,177,42,34
6,177,10,7
13,175,18,5
11,173,11,5
data,162,75,46
scarfs2015,152,1,1
09,148,13,5
2014,142,65,32
ice,136,16,16
cr3000,135,7,1
irr,135,7,1
gtr,134,1,1
jc,131,1,1
2013,124,52,26
lake,124,24,11
final,123,65,5
bathy,122,61,1
2,117,32,24
single.csv,116,2,1
nsidc.csv,115,2,1
temperature,115,111,7
skq201612s,109,4,2
16,107,19,10
toolik,107,24,12
04,106,12,7
mass,106,106,3
balance,104,104,1
meteorological,104,104,1
position,104,104,1
14,103,10,5
3,101,17,14
0,99,10,4
v1,89,26,4
2012,87,43,23
19,86,9,7
4,85,15,12
gris,84,8,2
1000,82,7,1
101,82,10,3
rcp,82,7,1
v3a,82,7,1
cadis.csv,79,1,1
7,78,8,6
15,76,13,7
barrow,76,38,6
rov1,74,1,1
imnavait,73,9,5
8,72,7,5
base,71,12,8
001,69,14,5
1703,68,1,1
17n,67,1,1
17o,67,1,1
2010,67,28,20
id,67,8,4
station,65,33,13
adc.csv,64,64,4
deep,63,63,2
atqasuk,62,28,4
30min,61,1,1
arctic,61,25,10
area.zip,61,61,1
hypsography.csv,61,61,1
interp.zip,61,61,1
perimeter.zip,61,61,1
points.zip,61,61,1
sonar,61,61,1
spots.zip,60,60,1
dcc,59,7,2
winter,56,23,3
1979,55,5,5
2009,55,21,13
a09,55,4,1
orcutt,54,9,1
102,53,9,4
od1507,53,3,3
87,52,1,1
aon,52,33,6
d2019,52,1,1
26,51,10,6
30,51,7,2
m1,49,3,1
app,47,3,1
ctd.txt,47,2,2
suib,47,1,1
2011,46,25,16
table,46,45,14
dbo,44,35,12
bl,43,3,2
temperature.csv,43,24,5
iceberg,42,1,1
meltinfo.txt,42,1,1
96,40,1,1
itex,40,17,2
missing.csv,40,40,1
0002,39,4,2
0008,39,5,3
ctrl,39,1,1
line00,39,1,1
contours.zip,38,38,1
crevasse,38,1,1
line01,38,1,1
0009,37,4,2
sea,37,3,3
sizes,37,1,1
v2,37,10,7
bin,36,1,1
ic,36,33,4
line02,36,1,1
arcsees,35,2,1
sbe37,35,2,2
viper,35,8,2
zip,35,9,9
hr.tif,34,1,1
daily,33,5,5
skq201711s,33,2,1
dpen3,32,1,1
portrefugio,32,1,1
seasonal,32,1,1
soil,32,21,17
strdprctc,32,2,1
swk,32,4,1
transition,32,1,1
ts,32,3,1
brw,31,18,5
logger,31,1,1
mat,31,3,3
0007,30,5,3
18,30,11,6
eddy,30,1,1
water,30,21,18
0006,29,5,3
dem,29,2,2
strainrate,29,1,1
0020,28,5,3
10snw3,28,1,1
2007,28,10,8
85,28,5,1
depth,28,13,11
g1800m,28,7,1
line03,28,1,1
misp,28,21,3
portsantacruz,28,1,1
swl,28,5,2
tif,28,9,6
45,27,4,1
ca,27,9,5
coordinates.csv,27,27,10
fbf,27,8,1
n2,27,7,2
report,27,2,2
0017,26,5,3
0019,26,6,3
25,26,10,5
a10,26,4,1
climate,26,7,6
peters,26,3,3
plant,26,11,4
0001,25,4,2
0003,25,4,2
0018,25,4,3
27,25,9,4
arcss,25,9,2
e1,25,7,2
flux,25,6,6
ortho,25,5,2
site,25,23,10
summer,25,18,1
0013,24,4,2
atq,24,12,4
calm,24,12,2
e5,24,7,2
e6,24,7,2
g900m,24,1,1
sbe56,24,1,1
thule2017,24,3,1
002,23,11,5
0022,23,6,3
contour.zip,23,23,1
portdelores,23,1,1
0021,22,5,3
95,22,1,1
asdn,22,1,1
bs3,22,5,1
ch4,22,17,9
dhs,22,8,1
