word1,word2,word3,n
cdf,smtfm02,qc,749
cdf,smtfm10,qc,679
05,31,daily.csv,320
csv,ru,03,240
csv,ru,10,186
2019,dat,cr3000,116
single.csv,ru,03,113
11,csv,ru,104
mass,balance,data.csv,104
10,csv,ru,99
2016,05,31,87
2017,05,31,87
09,csv,ru,85
12,csv,ru,85
2016,06,01,85
csv,ru,04,85
0,1000,nc,82
06,01,2017,81
01,2017,05,80
06,01,2019,76
01,2018,05,75
06,01,2018,75
2017,06,01,75
2018,05,31,74
2018,06,01,74
01,2019,05,72
2019,05,31,72
13,csv,ru,71
csv,ru,06,70
01,12,nc,69
12,nc,ice,68
2015,06,01,66
06,01,2016,65
cr3000,toolik,irr,62
01,2016,05,61
sonar,final,adc.csv,61
dat,cr3000,toolik,60
cr3000,imnavait,irr,59
dat,cr3000,imnavait,57
19,csv,ru,55
2015,2016,orcutt,54
cnv,d2019,87,51
1,dspk,unflag.txt,49
16,csv,ru,49
2,dspk,unflag.txt,49
3,dspk,unflag.txt,49
4,dspk,unflag.txt,49
5,dspk,unflag.txt,49
6,dspk,unflag.txt,49
7,dspk,unflag.txt,49
8,dspk,unflag.txt,49
sonic,1,dspk,49
sonic,2,dspk,49
sonic,3,dspk,49
sonic,4,dspk,49
sonic,5,dspk,49
sonic,6,dspk,49
sonic,7,dspk,49
sonic,8,dspk,49
csv,ru,08,47
06,30,daily.csv,44
08,nsidc.csv,ru,44
14,csv,ru,44
30,daily.csv,app,44
ctrl,0,1000,39
id,ctrl,0,39
15,csv,ru,37
17n,gtr,rov1,37
17o,gtr,rov1,37
bin,1,nc,36
final,hr.tif,suib,33
1979,2013,nc,32
arctic,sea,ice,32
ice,seasonal,transition,32
sea,ice,seasonal,32
nsidc.csv,ru,03,31
17n,gtr,base,30
csv,ru,13,30
1000,nc,ts,29
17o,gtr,base,29
nc,ts,gris,29
g1800m,v3a,rcp,28
gris,g1800m,v3a,28
v3a,rcp,85,28
08,csv,ru,27
barrow,atqasuk,itex,27
daily.csv,app,2009,27
v3a,rcp,26,27
v3a,rcp,45,27
01,2016,06,26
csv,dbo,station,26
daily,2016,csv,26
data,final,report,26
dbo,station,coordinates.csv,26
imnavait,irr,07,25
07,01,2016,24
1000,nc,gris,24
2015,07,01,24
2016,06,30,24
g900m,v3a,rcp,24
gris,g900m,v3a,24
toolik,irr,07,24
line00,nc,5,22
rcp,85,id,22
2018,2019,csv,21
line01,nc,5,21
rcp,26,id,21
rcp,45,id,21
07,nsidc.csv,ru,20
2015,csv,viper,20
30min,v1,csv,20
31,daily.csv,ca,20
arcsees,2016datarpt,tbl,20
line02,nc,5,20
logger,30min,v1,20
crevasse,sizes,oib.txt,19
dat,thule2017,thermistor,19
toolik,irr,06,19
01,2015,06,18
arcsees,airportsite,2015,18
crevasse,sizes,wv.txt,18
imnavait,irr,06,18
dem,final,hr.tif,17
hr.tif,suib,2018,17
line00,nc,6,17
line01,nc,6,17
ortho,final,hr.tif,17
07,01,2015,16
2014,07,01,16
2014,2015,winter,16
2015,06,30,16
atqasuk,arcss,plant,16
barrow,atqasuk,arcss,16
cnv,201118,swl,16
cnv,ctd,www1204,16
dates,1979,2013,16
hr.tif,suib,2019,16
line02,nc,6,16
line03,nc,5,16
periods,1979,2013,16
seasonal,transition,dates,16
seasonal,transition,periods,16
transition,dates,1979,16
transition,periods,1979,16
10,single.csv,ru,15
11,single.csv,ru,15
1979,2012,monthly.nc,15
2013,2014,winter,15
arctic,atmospheric,observatories,15
cloud,microphysical,properties,15
crop,v73,mat,15
csv,strainrate,2007,15
final.dat,uptempo,2014,15
migtk,crop,v73,15
plant,v1,csv,15
suib,2018,07,15
12,single.csv,ru,14
13,single.csv,ru,14
2015,2016,winter,14
cnv,ctd,www1202,14
data,2018,csv,14
dpen3,10snw3,flux.dat,14
dpen3,10snw3,nc,14
nsidc.csv,ru,10,14
00,txt,council2000,13
06,single.csv,ru,13
08,single.csv,ru,13
102,2018,06,13
26,id,ctrl,13
30min,v2,txt,13
45,id,ctrl,13
85,id,ctrl,13
eddy,30min,v2,13
itex,barrow,atqasuk,13
ru,03,0029,13
strainrate,2007,sedna,13
1,nc,nasa,12
14,single.csv,ru,12
5,14,17,12
consolidated,datalogger,output,12
dbo5,csv,dbo,12
g18000m,v3a,rcp,12
gris,g18000m,v3a,12
imnavait,irr,08,12
lake,bathy,interp.zip,12
lake,bathy,points.zip,12
lake,deep,spots.zip,12
lake,sonar,final,12
line03,nc,6,12
line04,nc,5,12
nc,5,14,12
nsidc.csv,ru,06,12
ru,cyn,tr1,12
station,table,dbo5,12
table,dbo5,csv,12
toolik,irr,08,12
v2,txt,96,12
30min,v1,txt,11
99,txt,council1999,11
dat,cr3000,irr,11
eddy,30min,v1,11
lakee5,data,final,11
ru,03,0037,11
ru,04,0007,11
v1,csv,95,11
07,single.csv,ru,10
102,2016,06,10
18,17,core16summittraverse1,10
2012,2016,csv,10
6,18,17,10
basins,model,estimates,10
calm,soilmoisture,data,10
community,v1,csv,10
estimates,1980,2010,10
line04,nc,6,10
line05,nc,5,10
