word1,word2,n,unique_ids,unique_authors
earth,science,4937,1929,348
laboratory,instruments,2790,894,232
situ,laboratory,2790,894,232
remote,sensing,1920,763,143
instruments,probes,1112,347,91
science,cryosphere,1063,554,152
earth,remote,957,756,139
sensing,instruments,956,755,138
passive,remote,877,717,125
instruments,passive,876,716,125
science,oceans,796,371,112
science,atmosphere,779,566,63
1,kilometer,720,578,24
atmosphere,atmospheric,665,499,53
land,surface,658,206,101
1,minute,616,614,101
science,land,605,200,96
1,hour,597,597,95
30,meters,586,442,65
arctic,surface,584,584,62
optical,detectors,577,572,74
photon,optical,577,572,74
detectors,cameras,532,532,52
sensing,photon,530,530,52
oceans,ocean,521,332,92
field,survey,516,516,101
probes,soil,504,217,27
frozen,ground,485,317,94
science,biosphere,449,279,92
cryosphere,frozen,447,297,88
humidity,sensors,441,235,40
snow,ice,433,169,41
1,meter,430,423,85
ice,snow,429,265,37
100,meters,421,279,30
oceanography,arctic,414,414,91
instruments,temperature,413,235,40
temperature,humidity,413,235,40
image,1,399,399,6
10,kilometers,381,380,19
terrestrial,hydrosphere,376,183,75
atmospheric,pressure,373,369,9
profilers,sounders,364,302,86
science,terrestrial,364,179,73
500,meters,361,218,17
cryosphere,snow,355,163,36
camera,observatory,350,350,1
cameras,asc,350,350,1
gravity,wave,350,350,1
pressure,gravity,350,350,1
sky,camera,350,350,1
wave,earth,350,350,1
hour,geoscientificinformation,348,348,6
kilometers,1,345,345,3
observatory,image,343,343,1
erosion,sedimentation,331,62,61
surface,erosion,331,62,61
temperature,earth,328,227,91
ice,sheets,321,183,77
250,meters,313,171,15
aerial,usgs,306,306,1
alaska,glacier,306,306,1
glacier,aerial,306,306,1
ship,oceanography,303,303,54
soil,temperature,297,266,77
sea,ice,296,223,55
glaciers,ice,292,169,70
mass,balance,270,157,48
probes,probes,259,259,64
science,paleoclimate,256,99,75
field,station,254,254,103
instruments,profilers,252,228,28
spectrometers,radiometers,238,180,67
active,layer,231,225,28
soil,moisture,231,206,23
instruments,recorders,221,220,57
recorders,loggers,221,220,57
ground,active,219,213,21
loggers,temperature,215,215,55
temperature,loggers,215,215,55
survey,transect,208,208,20
biota,oceans,207,207,65
sensors,temperature,198,198,25
temperature,sensors,198,198,25
moisture,probe,178,178,15
manned,field,177,177,96
sheets,glaciers,174,138,52
temperature,probe,174,174,18
terrestrial,ecosystems,173,154,43
biosphere,terrestrial,172,153,43
cameras,cameras,168,168,47
sensing,spectrometers,168,141,38
acoustic,sounders,167,163,49
glaciers,earth,167,131,47
sounders,acoustic,167,163,49
sediments,earth,164,59,57
arctic,oceans,163,163,39
cryosphere,glaciers,163,113,66
lake,records,161,67,63
ocean,lake,161,67,63
sensors,thermistors,161,161,10
thermistors,thermistors,160,160,9
kilometer,monthly,159,159,8
soil,depth,153,153,13
depth,probe,151,151,11
paleoclimate,ocean,149,61,59
probes,temperature,149,149,13
temperature,probes,149,149,13
annual,field,147,147,2
human,dimensions,147,61,26
science,human,147,61,26
ship,arctic,145,145,48
surface,water,145,119,30
alpine,tundra,144,144,30
kilometer,1,144,144,6
meters,30,144,144,5
measuring,rod,143,143,6
meters,250,143,143,5
meters,500,143,143,5
ocean,temperature,143,117,58
probes,snow,143,143,6
snow,measuring,143,143,6
meters,100,142,142,4
surface,soils,142,97,31
transect,grid,139,139,3
grid,multiple,138,138,2
multiple,grids,138,138,2
vectors,environment,137,137,1
hydrosphere,surface,136,117,28
instruments,corers,136,83,72
science,climate,134,68,46
climate,indicators,133,67,45
snow,depth,133,104,36
ambient,noise,132,132,2
chemical,meters,131,107,58
instruments,chemical,131,107,58
meters,analyzers,131,107,58
records,sediments,131,79,59
ecosystems,alpine,126,126,27
hydrosphere,glaciers,126,92,40
snow,cover,120,118,11
soils,soil,117,88,31
ice,sheet,114,72,61
ocean,circulation,113,101,27
biological,classification,112,57,21
biosphere,ecological,112,73,45
ecological,dynamics,112,73,45
science,biological,112,57,21
cover,earth,111,108,16
sensing,profilers,111,76,60
instruments,samplers,110,107,86
ice,earth,107,100,17
water,temperature,107,107,62
current,wind,106,101,67
instruments,current,106,101,67
snow,arctic,106,106,2
wind,meters,106,101,67
arctic,buoy,105,105,1
buoy,mass,105,105,1
ctd,ocean,104,104,31
ocean,cast,104,104,31
ocean,chemistry,104,55,28
oceans,salinity,103,63,19
salinity,density,103,63,19
meters,hourly,102,102,17
automated,surface,100,100,19
observing,system,100,100,19
surface,observing,100,100,19
positioning,navigation,99,96,72
sensing,positioning,99,96,72
tower,arctic,97,97,10
annual,biota,96,96,17
classification,animals,95,42,9
sediment,transport,95,58,57
vertical,profile,95,95,24
water,chemistry,95,49,23
arctic,biota,94,94,53
transport,earth,94,57,56
conductivity,temperature,93,93,26
cryosphere,sea,93,59,25
land,records,93,90,67
navigation,gps,92,92,69
meteorological,tower,91,91,10
aquatic,ecosystems,90,70,35
ctd,conductivity,90,90,23
temperature,depth,90,90,23
sounders,ctd,89,89,22
hour,biota,88,88,6
drifting,buoy,87,87,19
gps,gps,87,87,65
ocean,acoustics,87,87,3
oceans,marine,87,49,47
depth,earth,86,59,11
instruments,gauges,86,77,54
sheets,glacier,86,48,46
global,positioning,85,85,63
gps,global,85,85,63
marine,sediments,85,48,46
paleoclimate,land,85,82,62
positioning,system,85,85,63
water,quality,84,41,15
biosphere,aquatic,83,63,33
acoustics,ambient,82,82,2
arctic,satellite,82,82,17
