word1,n
earth,5942
science,4986
instruments,3783
laboratory,2791
situ,2790
1,2389
arctic,2326
meters,2103
temperature,1985
remote,1959
sensing,1920
surface,1636
oceans,1585
ice,1554
probes,1520
cryosphere,1077
snow,1058
ocean,937
land,900
passive,878
sensors,795
atmosphere,782
field,772
soil,768
kilometer,720
water,720
atmospheric,707
cameras,700
detectors,625
minute,616
ship,607
hour,597
sounders,596
30,590
optical,588
photon,577
terrestrial,553
ground,550
environment,537
na,537
climatologymeteorologyatmosphere,535
oceanography,535
pressure,527
survey,522
probe,504
humidity,499
geoscientificinformation,498
daily,493
frozen,485
station,484
alaska,482
depth,476
glaciers,476
biota,471
glacier,461
lake,454
biosphere,450
annual,441
loggers,436
profilers,436
meter,430
100,426
image,422
observatory,422
spectrometers,421
kilometers,414
monthly,397
sea,392
sedimentation,391
10,382
hydrosphere,375
camera,362
500,361
chemistry,357
gravity,353
wave,353
sky,352
erosion,351
asc,350
active,335
hourly,327
paleoclimate,324
sheets,321
thermistors,321
250,313
balance,311
mass,308
aerial,307
usgs,307
radiometers,287
sediments,279
ecosystems,276
layer,276
records,275
grid,274
mooring,272
sediment,272
conductivity,269
indicators,268
transect,263
weekly,262
tundra,252
acoustic,251
ctd,249
carbon,242
moisture,232
manned,229
recorders,221
satellite,214
current,212
data,209
system,209
buoy,204
analyzers,203
corers,203
unknown,203
measuring,201
vegetation,195
gps,185
positioning,184
climate,180
gauges,177
human,176
soils,170
multiple,168
ecology,162
permafrost,161
wind,158
radiation,157
processes,156
cover,153
toolik,153
salinity,152
dynamics,150
dimensions,147
density,145
alpine,144
grids,144
vectors,144
rod,143
biological,142
aon,139
models,137
chemical,134
ambient,132
inlandwaters,132
noise,132
landscape,128
drifting,119
circulation,118
samplers,117
aircraft,116
classification,115
marine,115
traps,115
sheet,114
ecological,113
vertical,110
observing,106
sampling,106
navigation,105
cast,104
automated,103
lakes,103
tower,102
physical,101
profile,100
radar,99
aquatic,98
ecosystem,97
transport,97
meteorological,96
animals,95
winds,94
hydrology,93
quality,91
global,88
river,88
acoustics,87
greenland,86
limnology,82
thickness,82
hydrophones,81
organic,81
oxygen,81
vertebrates,81
analyses,77
nitrogen,77
flux,76
mammals,76
fire,75
spectroradiometers,75
weather,74
character,73
cloud,73
air,72
devices,72
species,72
noaa,70
periglacial,70
dissolved,69
bathymetry,68
community,68
core,68
coring,67
melt,67
lter,66
population,66
height,65
trace,64
coastal,63
dbo,63
society,63
toolikgis,63
bathymetric,62
hypsography,62
ans,61
collectors,61
grabbers,61
agriculture,60
biology,60
functions,60
net,60
suspended,60
bottles,59
vapor,59
plant,58
landforms,57
solids,57
degradation,56
primary,56
steel,55
tape,55
isotopes,54
seawater,54
content,53
deposits,53
entrainment,52
permanent,52
varve,52
gas,51
ancillary,50
exchange,50
hydrophone,50
info,50
lagoon,49
precipitation,49
solid,49
stream,49
benthic,47
doppler,47
eddy,47
methane,47
arcss,46
compounds,46
ncar,45
analysis,44
energy,44
fluxes,44
profiler,44
sonar,44
automatic,43
fresh,43
lidar,43
imagery,42
matter,42
nutrients,42
plankton,42
productivity,42
thermometers,42
avhrr,41
research,41
turbidity,41
zooplankton,41
echo,40
properties,40
size,40
adcp,39
location,39
clouds,38
covariance,38
broadband,37
micrometeorology,37
mixed,37
carnivores,36
cetaceans,36
dioxide,36
ek80,36
levels,36
seals,36
sounder,36
walruses,36
co2,35
echogram,35
firn,35
lions,35
ozone,35
deep,34
habitat,34
tree,34
ultraviolet,34
biomass,33
geomorphic,33
thermal,33
aerosols,32
beaufort,32
convergence,32
gases,32
growth,32
heat,32
level,32
streams,32
currents,31
divergence,31
flasks,31
kite,31
management,31
social,31
basin,30
discharge,30
jars,30
optics,30
services,30
budget,29
conductance,29
environmental,29
imaging,29
model,29
observations,29
physics,29
production,29
specific,29
wetlands,29
albedo,28
biogeochemical,28
reflectance,28
chlorophyll,27
cryospheric,27
gts,27
photosynthetically,27
platforms,27
settlements,27
50,26
barometers,26
cycles,26
ph,25
aerosol,24
altimeters,24
licor,24
motion,24
plants,24
thermocline,24
trajectory,24
concentration,23
laser,23
ltreb,23
north,23
total,23
anemometers,22
ble,22
camp,22
dmsp,22
inorganic,22
isotope,22
phenology,22
rain,22
sound,22
chromatographs,21
distributed,21
liquid,21
mackenzie,21
microphysics,21
moist,21
niskin,21
nitrate,21
ranging,21
tussock,21
types,21
elevation,20
flow,20
glacial,20
imagerybasemapsearthcover,20
mesonet,20
nets,20
pam,20
populations,20
pycnocline,20
radiocarbon,20
stable,20
watercolumn,20
bering,19
dbo5,19
light,19
osmosampler,19
peatlands,19
polar,19
respiration,19
rivers,19
runoff,19
speed,19
turbulence,19
change,18
chukchi,18
disturbance,18
hydrocarbon,18
index,18
kuparuk,18
par,18
thaw,18
visual,18
creek,17
forest,17
kaktovik,17
photography,17
rangifer,17
reindeer,17
sensor,17
sounding,17
taimyr,17
topography,17
decadal,16
deer,16
direction,16
dunes,16
ion,16
natural,16
stefansson,16
tarandus,16
watercolum,16
detection,15
eos,15
freshwater,15
hazards,15
hydrogen,15
interactions,15
pyranometers,15
130,14
archaeology,14
behavior,14
boreal,14
bottom,14
common,14
geochemistry,14
invertebrates,14
latitude,14
masses,14
nasa,14
nsf,14
thermokarst,14
abundance,13
atlantic,13
evaporation,13
forests,13
infrared,13
island,13
movement,13
national,13
phosphorus,13
phytoplankton,13
ring,13
rings,13
tools,13
western,13
wet,13
assp,12
borehole,12
dry,12
fluorescence,12
governance,12
jago,12
microwave,12
nmc,12
orbiters,12
particles,12
program,12
radiative,12
radiometer,12
wildlife,12
accumulation,11
aeolian,11
agricultural,11
beaches,11
characteristics,11
chn,11
eastern,11
elements,11
estuaries,11
forecast,11
interview,11
microscopes,11
occurrence,11
penetrating,11
radio,11
refuge,11
siberia,11
transducers,11
transects,11
uv,11
aqua,10
buoys,10
dbo3,10
distribution,10
elson,10
experiment,10
forecasts,10
garden,10
gpr,10
impacts,10
larix,10
microbial,10
ponds,10
pyrgeometers,10
rate,10
resources,10
sedge,10
strait,10
sustainability,10
trawls,10
video,10
alkalinity,9
altitude,9
animal,9
antarctica,9
archaeological,9
correlation,9
cosmogenic,9
cycling,9
dbo4,9
delta,9
economic,9
electromagnetic,9
eurasian,9
fires,9
geophysics,9
grain,9
grazing,9
heath,9
helicopter,9
infrastructure,9
invasive,9
iss,9
leaf,9
measurements,9
network,9
nitrite,9
particulate,9
photosynthesis,9
quantum,9
reconstruction,9
shelf,9
shrub,9
teleconnections,9
warming,9
14,8
advection,8
ammonium,8
biogeochemistry,8
boundaries,8
boundary,8
chamber,8
charcoal,8
colorimeters,8
dbo6,8
glaciology,8
history,8
islands,8
jarvis,8
meltwater,8
mollusks,8
northern,8
peters,8
phosphate,8
phosphorous,8
pism,8
planning,8
ray,8
resolution,8
sampler,8
scattering,8
slope,8
spatial,8
storms,8
treeline,8
activity,7
age,7
airglow,7
ais,7
american,7
amsa,7
attenuation,7
avak,7
bacteria,7
barter,7
bongo,7
carbonate,7
cherskii,7
diatoms,7
doc,7
equivalent,7
fertilization,7
fishes,7
food,7
geochemical,7
gt,7
herbivory,7
holocene,7
hydrographic,7
imager,7
indices,7
ioeb,7
itex,7
leaves,7
macroinfauna,7
magnetic,7
mayoeak,7
modis,7
monoxide,7
nabos,7
nutrient,7
o2,7
oceanographic,7
oscillation,7
patterns,7
pigments,7
platform,7
position,7
ratio,7
reconstructions,7
record,7
revegetation,7
rural,7
salix,7
sequence,7
silica,7
simpson,7
special,7
spectrometer,7
ssmi,7
stratigraphic,7
sulfate,7
tidewater,7
traffic,7
tropopause,7
waves,7
advanced,6
aleutian,6
america,6
analyzer,6
anemometer,6
aquifer,6
argos,6
ash,6
barrow,6
biospheric,6
canopy,6
column,6
divisions,6
dust,6
extent,6
fjord,6
foliar,6
ii,6
irradiance,6
isotopic,6
larch,6
leconte,6
mountains,6
native,6
ozonesondes,6
pelagic,6
petermann,6
piston,6
radarsat,6
reclamation,6
relative,6
restoration,6
roughness,6
sagavanirktok,6
scanning,6
seismic,6
sense,6
severe,6
sheba,6
siberian,6
smoke,6
sonic,6
structure,6
surveying,6
svalbard,6
tem,6
time,6
transplant,6
utqiagvik,6
webs,6
acidic,5
atwain,5
betula,5
birds,5
bivalves,5
bone,5
boreholes,5
break,5
burning,5
cap,5
carbonaceous,5
climatology,5
commodities,5
composition,5
conversion,5
decomposition,5
delineation,5
dgps,5
drilling,5
expansion,5
extreme,5
facies,5
fine,5
fish,5
fragmentation,5
freeze,5
fungi,5
gelbstoff,5
geochronology,5
geomorphology,5
glauca,5
greenhouse,5
hydrography,5
icebergs,5
indigenous,5
inflow,5
macrofossils,5
mammal,5
nana,5
oxides,5
pacific,5
percolation,5
rawinsonde,5
response,5
root,5
sciences,5
seasonally,5
shorelines,5
spruce,5
stratigraphy,5
subarctic,5
term,5
thermohaline,5
tidal,5
tides,5
tomography,5
transmission,5
transpiration,5
twain,5
underway,5
viking,5
visualization,5
volcanic,5
white,5
winter,5
12,4
20m,4
acids,4
amino,4
amount,4
arcticus,4
artifacts,4
balloon,4
basc,4
bulk,4
calanus,4
calm,4
cdom,4
chamberlin,4
ci,4
communication,4
computed,4
cooperative,4
cyberinfrastructure,4
dalton,4
dating,4
debris,4
deformation,4
dendrochronology,4
dna,4
drained,4
evergreen,4
floes,4
glaciochemistry,4
grayling,4
green,4
groundwater,4
highway,4
historical,4
hydrogeophysics,4
insar,4
inuit,4
ions,4
irms,4
lands,4
language,4
laptev,4
lithics,4
makarov,4
meteorology,4
microbe,4
minerals,4
moderate,4
multispectral,4
nesdis,4
normal,4
nuclear,4
nws,4
observer,4
pleistocene,4
pond,4
potential,4
products,4
quickbird,4
range,4
resrch,4
retention,4
rocks,4
sap,4
saturation,4
spectroradiometer,4
succession,4
summit,4
supprt,4
systems,4
table,4
taku,4
tethered,4
thymallus,4
tongue,4
tracers,4
transient,4
uas,4
upward,4
vanes,4
velocity,4
volume,4
wildfires,4
yukon,4
1000,3
18,3
2,3
2016,3
3,3
7,3
915mhz,3
aboveground,3
absorption,3
accelerator,3
administrative,3
alt,3
ammonia,3
ams,3
aperture,3
ar,3
archaea,3
argon,3
arm,3
atigun,3
atqasuk,3
basal,3
beavers,3
biodiversity,3
biogenic,3
burns,3
cajanderi,3
canada,3
capacity,3
chromophoric,3
collection,3
compaction,3
concentrations,3
conservation,3
continent,3
coordinate,3
crystals,3
ct,3
cultural,3
cycle,3
cyclones,3
