token,n,unique_ids,unique_authors
earth,5944,1932,351
science,4988,1960,363
instruments,3783,1521,266
laboratory,2791,895,233
situ,2790,894,232
1,2389,1083,170
arctic,2326,2287,412
meters,2103,715,176
temperature,1987,633,177
remote,1959,788,152
sensing,1920,763,143
surface,1637,976,217
oceans,1585,835,214
ice,1554,713,213
probes,1520,347,91
cryosphere,1078,568,158
snow,1059,528,92
ocean,937,521,175
land,900,315,145
passive,878,718,126
sensors,795,329,89
atmosphere,782,569,66
field,772,729,187
soil,771,376,110
water,722,441,154
kilometer,720,578,24
atmospheric,707,512,61
cameras,700,532,52
detectors,625,584,80
minute,616,614,101
ship,607,607,126
hour,597,597,95
sounders,596,302,86
30,590,446,67
optical,588,583,80
photon,577,572,74
terrestrial,554,336,113
ground,550,339,106
environment,537,535,159
na,537,537,131
climatologymeteorologyatmosphere,535,535,188
oceanography,535,535,109
pressure,527,435,41
survey,522,522,104
probe,504,217,27
humidity,499,275,46
geoscientificinformation,498,498,60
daily,493,422,150
frozen,485,317,94
station,484,436,180
alaska,482,478,59
depth,476,423,88
glaciers,476,180,78
biota,471,471,128
glacier,461,405,73
lake,454,231,92
biosphere,450,280,92
annual,441,406,82
loggers,436,220,57
profilers,436,302,86
meter,430,423,85
100,426,284,32
image,422,422,14
observatory,422,422,27
spectrometers,421,180,67
kilometers,414,386,22
monthly,397,361,96
sea,392,296,77
sedimentation,391,64,63
10,382,381,20
hydrosphere,376,183,75
camera,362,362,4
500,361,218,17
chemistry,357,228,114
gravity,353,353,2
wave,353,353,4
sky,352,352,3
erosion,351,64,63
asc,350,350,1
active,335,322,99
hourly,327,327,108
paleoclimate,324,132,97
sheets,321,183,77
thermistors,321,161,10
250,313,171,15
balance,311,197,53
mass,308,194,77
aerial,307,307,2
usgs,307,307,2
radiometers,287,180,67
sediments,279,100,76
ecosystems,276,225,72
layer,276,268,38
records,275,111,84
grid,274,274,27
mooring,272,272,36
sediment,272,116,84
conductivity,269,169,79
indicators,268,68,45
transect,263,263,34
weekly,262,209,123
tundra,252,228,52
acoustic,251,187,51
ctd,249,249,67
carbon,244,193,85
moisture,232,207,24
manned,229,227,109
recorders,221,220,57
satellite,214,122,41
current,212,145,79
system,210,208,94
data,209,119,26
buoy,204,200,25
analyzers,203,107,58
corers,203,83,72
unknown,203,203,60
measuring,201,200,61
vegetation,195,132,56
gps,185,98,73
positioning,184,96,72
climate,180,106,75
gauges,177,79,56
human,176,63,28
soils,170,107,39
multiple,169,169,21
ecology,162,148,48
permafrost,161,145,56
wind,160,119,76
radiation,157,84,37
processes,156,96,82
cover,153,144,26
toolik,153,84,11
salinity,152,81,31
dynamics,150,78,50
dimensions,147,61,26
density,145,89,38
alpine,144,144,30
grids,144,144,6
vectors,144,144,6
rod,143,143,6
biological,142,84,30
aon,139,139,59
models,137,111,47
chemical,134,109,59
ambient,132,132,2
inlandwaters,132,132,80
noise,132,132,2
landscape,128,61,16
drifting,119,110,24
circulation,118,101,27
samplers,117,107,86
aircraft,116,91,35
classification,115,59,22
marine,115,76,65
traps,115,61,59
sheet,114,72,61
ecological,113,74,46
vertical,110,110,28
observing,106,106,20
sampling,106,105,44
navigation,105,102,75
cast,104,104,31
automated,103,103,22
lakes,103,101,30
tower,102,102,13
physical,101,46,8
profile,100,100,28
radar,99,82,22
aquatic,98,76,38
ecosystem,97,84,31
transport,97,60,58
meteorological,96,96,13
animals,95,42,9
winds,94,56,14
hydrology,93,93,35
quality,91,46,20
global,88,88,66
river,88,59,20
acoustics,87,87,3
greenland,86,86,51
limnology,82,27,1
nitrogen,82,67,35
thickness,82,73,29
hydrophones,81,81,1
organic,81,63,37
oxygen,81,73,27
vertebrates,81,37,5
analyses,77,77,39
flux,76,72,24
mammals,76,38,6
fire,75,36,14
spectroradiometers,75,38,7
weather,74,72,37
air,73,66,44
character,73,73,33
cloud,73,46,4
devices,72,72,65
species,72,57,28
noaa,70,63,18
periglacial,70,70,59
dissolved,69,53,17
bathymetry,68,67,5
community,68,62,18
core,68,57,28
coring,67,67,63
melt,67,60,28
lter,66,44,6
population,66,36,8
height,65,61,26
trace,64,39,17
coastal,63,19,16
dbo,63,63,16
society,63,63,26
toolikgis,63,63,2
bathymetric,62,62,1
hypsography,62,62,1
ans,61,61,56
collectors,61,61,59
grabbers,61,61,59
agriculture,60,19,13
biology,60,60,25
functions,60,47,29
net,60,60,15
suspended,60,60,57
bottles,59,29,15
vapor,59,58,15
plant,58,49,21
landforms,57,9,8
primary,57,56,13
solids,57,57,55
degradation,56,56,56
steel,55,55,55
tape,55,55,55
isotopes,54,51,44
seawater,54,54,21
content,53,53,18
deposits,53,53,53
entrainment,52,52,52
permanent,52,52,17
varve,52,52,52
gas,51,47,31
ancillary,50,50,14
exchange,50,50,11
hydrophone,50,50,1
info,50,50,14
precipitation,50,36,23
lagoon,49,13,5
solid,49,19,16
stream,49,49,41
benthic,47,47,14
doppler,47,47,12
eddy,47,47,8
methane,47,45,19
arcss,46,46,43
compounds,46,31,15
ncar,45,45,6
analysis,44,44,13
energy,44,44,6
fluxes,44,42,5
profiler,44,44,13
sonar,44,43,10
automatic,43,43,22
fresh,43,42,7
lidar,43,28,12
nutrients,43,42,19
imagery,42,42,15
matter,42,38,27
plankton,42,34,11
productivity,42,41,5
thermometers,42,20,10
avhrr,41,41,12
research,41,41,18
turbidity,41,41,40
zooplankton,41,41,14
echo,40,40,39
properties,40,38,16
size,40,40,6
adcp,39,39,10
location,39,39,14
clouds,38,35,5
covariance,38,38,3
broadband,37,21,2
micrometeorology,37,37,2
mixed,37,36,6
carnivores,36,36,4
cetaceans,36,36,3
dioxide,36,34,20
ek80,36,20,1
levels,36,36,36
seals,36,36,3
sounder,36,36,2
walruses,36,36,3
co2,35,35,15
echogram,35,35,1
firn,35,26,18
lions,35,35,3
ozone,35,21,4
deep,34,34,4
habitat,34,24,18
tree,34,21,8
ultraviolet,34,33,2
biomass,33,30,15
geomorphic,33,9,8
thermal,33,22,14
