word1,word2,word3,n,unique_ids,unique_authors
situ,laboratory,instruments,2790,894,232
laboratory,instruments,probes,1112,347,91
earth,science,cryosphere,1063,554,152
earth,remote,sensing,957,756,139
remote,sensing,instruments,956,755,138
passive,remote,sensing,877,717,125
instruments,passive,remote,876,716,125
sensing,instruments,passive,876,716,125
earth,science,oceans,796,371,112
earth,science,atmosphere,779,566,63
science,atmosphere,atmospheric,665,499,53
earth,science,land,605,200,96
science,land,surface,605,200,96
photon,optical,detectors,577,572,74
optical,detectors,cameras,532,532,52
remote,sensing,photon,530,530,52
sensing,photon,optical,530,530,52
science,oceans,ocean,521,332,92
instruments,probes,soil,504,217,27
earth,science,biosphere,449,279,92
cryosphere,frozen,ground,447,297,88
science,cryosphere,frozen,446,296,87
instruments,temperature,humidity,413,235,40
laboratory,instruments,temperature,413,235,40
temperature,humidity,sensors,413,235,40
atmosphere,atmospheric,pressure,370,368,8
earth,science,terrestrial,364,179,73
science,terrestrial,hydrosphere,364,179,73
cryosphere,snow,ice,355,163,36
science,cryosphere,snow,355,163,36
atmospheric,pressure,gravity,350,350,1
detectors,cameras,asc,350,350,1
gravity,wave,earth,350,350,1
pressure,gravity,wave,350,350,1
sky,camera,observatory,350,350,1
1,hour,geoscientificinformation,348,348,6
kilometers,1,minute,345,345,3
10,kilometers,1,343,343,1
camera,observatory,image,343,343,1
image,1,kilometer,343,343,1
observatory,image,1,343,343,1
wave,earth,remote,343,343,1
land,surface,erosion,331,62,61
surface,erosion,sedimentation,331,62,61
temperature,earth,science,326,225,90
alaska,glacier,aerial,306,306,1
glacier,aerial,usgs,306,306,1
glaciers,ice,sheets,292,169,70
ship,oceanography,arctic,291,291,52
snow,ice,snow,279,149,30
instruments,probes,probes,259,259,64
earth,science,paleoclimate,256,99,75
instruments,profilers,sounders,252,228,28
laboratory,instruments,profilers,252,228,28
instruments,recorders,loggers,221,220,57
laboratory,instruments,recorders,221,220,57
frozen,ground,active,219,213,21
ground,active,layer,219,213,21
loggers,temperature,loggers,215,215,55
recorders,loggers,temperature,215,215,55
field,survey,transect,208,208,20
humidity,sensors,temperature,198,198,25
sensors,temperature,sensors,198,198,25
probes,soil,moisture,178,178,15
soil,moisture,probe,178,178,15
manned,field,station,177,177,96
ice,sheets,glaciers,174,138,52
probes,soil,temperature,174,174,18
soil,temperature,probe,174,174,18
biosphere,terrestrial,ecosystems,172,153,43
science,biosphere,terrestrial,172,153,43
detectors,cameras,cameras,168,168,47
remote,sensing,spectrometers,168,141,38
sensing,spectrometers,radiometers,168,141,38
sheets,glaciers,earth,167,131,47
sounders,acoustic,sounders,167,163,49
profilers,sounders,acoustic,165,163,49
sediments,earth,science,164,59,57
cryosphere,glaciers,ice,163,113,66
science,cryosphere,glaciers,163,113,66
humidity,sensors,thermistors,161,161,10
ocean,lake,records,161,67,63
sensors,thermistors,thermistors,160,160,9
1,kilometer,monthly,159,159,8
probes,soil,depth,151,151,11
soil,depth,probe,151,151,11
instruments,probes,temperature,149,149,13
paleoclimate,ocean,lake,149,61,59
probes,temperature,probes,149,149,13
science,paleoclimate,ocean,149,61,59
annual,field,survey,147,147,2
earth,science,human,147,61,26
science,human,dimensions,147,61,26
sea,ice,snow,145,141,9
1,kilometer,1,144,144,6
30,meters,30,144,144,5
meters,30,meters,144,144,5
instruments,probes,snow,143,143,6
meters,250,meters,143,143,5
meters,500,meters,143,143,5
probes,snow,measuring,143,143,6
snow,measuring,rod,143,143,6
100,meters,100,142,142,4
250,meters,250,142,142,4
500,meters,500,142,142,4
kilometer,1,kilometer,142,142,4
land,surface,soils,142,97,31
meters,100,meters,142,142,4
survey,transect,grid,139,139,3
grid,multiple,grids,138,138,2
oceans,ocean,temperature,138,112,56
transect,grid,multiple,137,137,1
hydrosphere,surface,water,136,117,28
laboratory,instruments,corers,136,83,72
terrestrial,hydrosphere,surface,136,117,28
oceanography,arctic,oceans,135,135,24
earth,science,climate,134,68,46
science,climate,indicators,133,67,45
chemical,meters,analyzers,131,107,58
instruments,chemical,meters,131,107,58
laboratory,instruments,chemical,131,107,58
glaciers,earth,science,128,92,39
ecosystems,alpine,tundra,126,126,27
hydrosphere,glaciers,ice,126,92,40
terrestrial,ecosystems,alpine,126,126,27
terrestrial,hydrosphere,glaciers,126,92,40
ice,snow,cover,116,115,8
biosphere,ecological,dynamics,112,73,45
earth,science,biological,112,57,21
oceans,ocean,circulation,112,100,26
science,biological,classification,112,57,21
