word1,word2,n,unique_ids,unique_authors
data,alaska,353,353,8
airglow,image,350,350,1
image,data,350,350,1
north,american,310,310,5
aerial,photographs,308,308,3
photogrammetric,scans,306,306,1
american,glaciers,301,301,1
active,layer,211,204,16
layer,monitoring,164,164,5
thaw,depth,164,164,21
circumpolar,active,158,158,5
monitoring,calm,158,158,4
arctic,ocean,145,144,59
depth,measurements,145,145,6
passive,acoustic,140,140,4
calm,project,137,137,1
hly,02,136,136,24
chukchi,sea,135,129,34
acoustic,data,132,132,3
bering,strait,127,127,7
mass,balance,126,126,16
north,slope,124,124,41
atqasuk,alaska,123,123,11
collaborative,research,120,120,108
sea,ice,117,114,53
ice,mass,113,113,7
barrow,alaska,112,112,21
station,greenland,111,111,5
beaufort,sea,110,110,30
summit,station,110,110,5
balance,buoy,108,108,4
ctd,data,108,108,36
autonomous,ice,106,106,2
buoy,observations,105,105,1
observations,buoy,104,104,1
field,station,94,94,21
bering,sea,89,89,38
toolik,field,89,89,16
conductivity,temperature,87,87,30
roll,1,87,87,1
station,alaska,87,87,14
alaska,2015,85,85,37
nims,grid,84,84,5
coast,guard,83,83,12
temperature,depth,83,81,28
grid,barrow,81,81,4
depth,ctd,77,77,25
hly,04,77,77,17
toolik,lake,75,75,32
02,03,71,71,21
hly,08,70,65,14
grid,atqasuk,69,69,6
time,series,68,68,21
community,data,67,67,9
mobile,instrumented,67,67,3
roll,2,67,67,1
ice,camp,66,66,16
alaska,2016,65,65,29
alaska,march,65,65,2
arcss,grid,65,65,6
adcp,data,63,63,15
alaska,2013,63,63,22
bathymetric,data,62,62,1
lake,toolik,61,61,1
02,01,60,60,18
beaufort,gyre,60,60,9
data,collected,60,60,24
ncar,eol,59,56,2
alaska,north,58,58,9
time,lapse,58,58,5
latnjajaure,site,57,57,3
uscgc,healy,57,57,14
alaska,2012,56,56,15
ice,core,56,54,27
imnavait,creek,56,56,16
central,arctic,55,55,5
platform,misp,55,55,3
siberia,russia,55,55,3
summit,greenland,55,55,20
ice,tethered,54,54,6
lapse,photography,53,53,2
alaska,february,52,52,1
daily,time,52,52,1
roll,3,51,51,1
sea,arctic,51,51,6
alaska,april,50,50,2
soil,moisture,50,50,13
flux,data,49,49,8
ice,sheet,49,49,27
tethered,profiler,49,49,4
climate,data,48,48,11
exploration,project,48,48,4
greenland,ice,48,48,30
guard,cutter,48,48,9
gyre,exploration,48,48,4
project,mooring,48,48,4
barrow,canyon,47,47,15
hly,09,47,47,8
sir,wilfrid,47,47,6
wilfrid,laurier,47,47,6
alaska,2011,46,46,15
lake,alaska,45,45,20
canyon,chukchi,44,44,13
alaska,2014,43,43,18
slope,united,43,43,1
soil,temperature,43,43,14
alaska,december,42,42,1
davis,strait,42,42,2
data,2013,41,41,7
data,alatalo,41,41,1
flux,measurements,41,41,6
instrumented,sensor,41,41,2
sensor,platform,41,41,2
site,clip,41,41,1
creek,alaska,40,40,7
current,profiler,40,40,8
slope,alaska,40,40,13
snow,depth,40,38,20
alaska,november,39,39,1
eddy,flux,39,39,4
roll,4,39,39,1
site,excel,39,39,5
2015,2016,38,38,20
2016,2017,38,38,18
alaska,january,38,38,1
ascii,beringer,38,38,1
data,ascii,38,38,17
data,excel,38,38,16
excel,beringer,38,38,1
site,ascii,38,38,3
water,temperature,37,37,12
1,tiffs,36,36,1
arctic,observing,36,36,19
data,ashjian,36,36,1
04,02,35,35,16
observing,network,35,35,19
specific,conductance,35,35,3
04,03,34,34,15
nabos,ii,34,34,1
2013,2015,33,33,4
alaska,2010,33,33,12
environmental,observatory,33,33,14
hly,07,33,32,10
organic,carbon,33,33,14
alaska,2017,32,32,10
council,climate,32,32,2
cutter,healy,32,32,5
data,barrow,32,32,11
data,cooper,32,32,1
data,sambrotto,32,32,1
data,walker,32,32,2
toolik,site,32,32,3
08,02,31,31,12
2010,2015,31,31,3
acoustic,dopper,31,31,4
aerial,photography,31,31,6
alaska,september,31,31,1
dopper,current,31,31,4
data,station,30,30,2
healy,hly,30,30,3
station,imnavait,30,30,2
whoi,ice,30,30,3
alaska,2018,29,29,11
isotope,data,29,28,21
kite,aerial,29,29,4
snowfence,experiment,29,29,4
spectral,reflectance,29,29,5
arctic,lakes,28,28,5
ashjian,ldeo,28,28,1
averages,muenchow,28,28,1
backscatter,diffraction,28,28,2
chukchi,seas,28,28,9
electron,backscatter,28,28,2
min,averages,28,28,1
reflectance,measurements,28,28,4
shipboard,acoustic,28,28,4
toolik,snowfence,28,28,3
09,02,27,27,6
1,jpegs,27,27,1
mooring,data,27,27,8
polycrystalline,ice,27,27,1
sadcp,data,27,27,4
2,tiffs,26,26,1
arctic,atmospheric,26,26,1
arctic,sea,26,26,16
arcticrims,ncep,26,26,2
atmospheric,observatories,26,26,1
council,flux,26,26,1
diffraction,data,26,26,1
east,siberia,26,26,1
ground,temperatures,26,26,2
ice,test,26,26,1
ii,mooring,26,26,1
instrumented,system,26,26,1
ncep,reanalysis,26,26,2
north,east,26,26,1
ship,log,26,26,1
system,platform,26,26,1
test,specimen,26,26,1
tundra,site,26,26,4
alaska,2019,25,25,6
alaska,october,25,25,1
climate,change,25,25,24
greenland,2014,25,25,12
greenland,2015,25,25,12
northwest,territories,25,25,2
oceans,c3o,25,25,4
remote,sensing,25,25,10
sambrotto,ldeo,25,25,1
sea,2011,25,25,10
sediment,core,25,25,6
southern,chukchi,25,25,9
temperature,data,25,25,10
temperature,specific,25,25,1
tiffs,fiducials,25,25,1
1,thumbnails,24,24,1
alaska,interior,24,24,1
barrow,atqasuk,24,24,2
carbon,data,24,24,6
data,site,24,24,1
dissolved,organic,24,23,10
interior,united,24,24,1
international,tundra,24,24,6
logger,data,24,24,4
ncar,pam,24,24,2
pam,iii,24,24,2
profiler,sadcp,24,24,3
territories,canada,24,24,1
tundra,experiment,24,24,6
07,01,23,23,8
administrative,regions,23,23,1
alaska,population,23,23,1
aperture,radar,23,23,2
experiment,itex,23,23,6
mnt,site,23,23,2
model,output,23,23,11
pan,arctic,23,23,17
roll,5,23,23,1
synthetic,aperture,23,23,2
western,arctic,23,23,11
2,jpegs,22,22,1
arctic,alaska,22,22,14
cloud,microphysical,22,22,3
data,core,22,22,4
data,eastern,22,22,3
echogram,data,22,22,1
microphysical,properties,22,22,3
northern,bering,22,22,7
radar,processing,22,22,1
samples,collected,22,22,2
satellite,data,22,22,4
1990,2006,21,21,1
antenna,array,21,21,1
array,processing,21,21,1
biological,observatory,21,21,5
distributed,biological,21,21,5
glaciers,1994,21,21,1
meteorological,data,21,21,10
northern,alaska,21,21,11
population,1990,21,21,1
processing,greenland,21,21,1
uvsimn,version2,21,21,1
08,01,20,20,4
09,01,20,20,3
1994,roll,20,20,1
glaciers,1992,20,20,1
greenland,2011,20,20,9
kuskokwim,delta,20,15,5
northeastern,siberia,20,20,7
observatory,dbo,20,20,4
p1,92,20,20,3
particulate,organic,20,18,8
photography,nims,20,20,4
plant,community,20,20,7
sea,2010,20,20,10
water,table,20,20,8
yukon,kuskokwim,20,15,5
08,03,19,19,6
1992,roll,19,19,1
1996,2018,19,19,1
2,thumbnails,19,19,1
3,tiffs,19,19,1
ascii,walker,19,19,1
camp,surface,19,19,3
excel,walker,19,19,1
focused,synthetic,19,19,1
glaciers,1975,19,19,1
glaciers,1977,19,19,1
glaciers,1979,19,19,1
imagery,ncar,19,19,1
site,3,19,19,2
sonar,data,19,19,3
svalbard,norway,19,19,19
1,community,18,18,2
1975,roll,18,18,1
1977,roll,18,18,1
1979,roll,18,18,1
2,community,18,18,2
analysis,station,18,18,1
bottle,data,18,18,6
camp,preliminary,18,18,4
core,lipid,18,18,1
data,grebmeier,18,18,2
deployment,data,18,18,1
ek80,sonar,18,18,1
excel,data,18,18,10
field,deployment,18,18,1
greenland,2016,18,18,6
hydrographic,data,18,18,9
ice,thickness,18,17,13
lipid,analysis,18,18,1
mesonet,ncar,18,18,2
misp,grid,18,18,1
north,pole,18,18,8
ocean,water,18,18,2
sea,shelf,18,18,6
strait,c1,18,18,1
surface,mesonet,18,18,2
underway,data,18,18,2
01,ship,17,17,1
2015,2017,17,17,14
3,jpegs,17,17,1
acid,concentrations,17,17,3
daily,average,17,17,3
data,nims,17,17,3
depth,wtd,17,17,4
discharge,data,17,17,5
grebmeier,ldeo,17,17,1
kuparuk,river,17,17,12
microwave,radiometer,17,17,5
observations,reported,17,17,1
ocean,flux,17,17,3
peatland,carbon,17,17,5
profiler,itp,17,17,1
property,observations,17,17,1
sea,2012,17,17,11
seasonal,soil,17,17,1
siberian,arctic,17,17,2
site,2,17,17,5
soil,air,17,17,2
station,data,17,17,7
strait,c6,17,17,1
table,depth,17,17,5
taimyr,russia,17,17,1
water,property,17,17,1
1991,roll,16,16,1
2012,2013,16,16,8
2014,2015,16,16,8
2015,2018,16,16,12
2017,2018,16,16,10
4,tiffs,16,16,1
aerial,census,16,16,1
aerosol,properties,16,16,1
alaska,2007,16,16,6
autonomous,ocean,16,16,2
average,soil,16,16,1
benthic,faunal,16,16,1
cutter,uscgc,16,16,8
eastern,siberian,16,16,1
functional,type,16,16,1
glaciers,1974,16,16,1
glaciers,1978,16,16,1
north,america,16,16,4
organic,matter,16,16,10
site,1,16,16,4
site,romanovsky,16,16,1
swerus,c3,16,16,1
water,quality,16,16,5
weather,data,16,16,5
10,01,15,15,8
1974,roll,15,15,1
1978,roll,15,15,1
3,thumbnails,15,15,1
arctic,ecosystem,15,15,5
arctic,margin,15,15,1
bowhead,whale,15,15,6
c3,expedition,15,15,1
c3o,conductivity,15,15,2
canadian,coast,15,15,4
core,data,15,15,7
data,ncar,15,15,3
eastern,bering,15,15,6
expedition,ek80,15,15,1
greenland,2013,15,15,9
guard,ship,15,15,4
sea,2013,15,15,5
seward,peninsula,15,15,10
shrub,site,15,15,3
stable,isotope,15,15,15
tree,ring,15,15,5
water,column,15,15,10
west,greenland,15,15,11
west,siberia,15,14,2
01,raw,14,14,3
06,01,14,14,3
2013,2014,14,14,7
ascii,harvey,14,14,1
atmospheric,emitted,14,14,2
atqasuk,itex,14,14,1
beaufort,seas,14,14,8
calm,grid,14,14,2
canadian,arctic,14,14,4
carbon,dioxide,14,13,11
central,siberia,14,14,1
cloud,radar,14,14,1
data,epstein,14,14,1
data,whp,14,14,3
delta,alaska,14,14,5
depth,data,14,14,9
doppler,current,14,14,7
emitted,radiance,14,14,2
excel,harvey,14,14,1
flux,buoy,14,14,1
geochemistry,data,14,14,4
glacier,alaska,14,14,7
glaciers,1990,14,14,1
greenland,environmental,14,14,4
hly,06,14,14,3
lake,water,14,14,5
major,ion,14,14,2
marine,mammal,14,14,5
measurements,nims,14,14,4
