token,n,unique_ids,unique_authors
data,2169,2143,393
alaska,1351,1273,244
arctic,738,703,301
ice,655,614,187
north,525,524,70
sea,503,461,148
measurements,498,496,107
site,458,458,44
greenland,439,435,144
2011,420,420,91
hly,390,383,39
aerial,381,381,22
2012,374,372,103
depth,372,362,88
2015,361,361,133
barrow,355,353,76
image,352,352,3
airglow,350,350,1
hydroxyl,345,345,1
temperature,327,323,118
photographs,321,321,6
station,321,321,53
american,317,317,9
lake,314,294,111
glaciers,313,313,12
scans,308,308,3
photogrammetric,307,307,2
2016,287,287,125
roll,277,277,1
toolik,271,267,57
2013,270,269,106
buoy,260,154,16
ocean,260,245,86
bering,256,253,55
2014,254,254,97
02,250,249,34
project,249,249,37
2010,236,235,106
grid,230,230,21
2018,229,228,81
water,227,222,92
soil,225,209,70
2017,221,219,98
1,218,213,35
layer,217,210,21
active,213,206,18
ascii,204,204,46
observations,204,204,52
2,197,192,41
beaufort,195,193,45
monitoring,193,191,28
summit,191,191,32
acoustic,190,190,17
chukchi,187,177,49
excel,186,186,39
thaw,183,183,32
atqasuk,180,180,16
research,179,173,136
strait,178,177,15
carbon,177,173,82
calm,169,169,6
core,169,167,57
ctd,169,169,54
snow,168,154,73
circumpolar,165,165,11
surface,163,158,81
wav,160,80,1
01,157,157,29
field,154,154,52
time,147,147,35
mooring,146,138,22
flux,145,145,42
03,144,136,27
balance,144,144,29
climate,144,142,78
passive,144,144,8
tundra,138,138,54
3,137,134,23
sediment,136,135,64
mass,134,134,22
slope,133,133,47
walker,131,131,6
autonomous,130,130,10
2009,128,128,73
collaborative,124,124,111
community,124,121,42
united,123,123,14
2008,119,119,54
glacier,119,114,57
nims,114,114,7
russia,113,113,19
tiffs,110,110,1
model,108,101,60
ncar,108,99,8
ldeo,107,100,6
4,105,102,18
river,104,102,53
collected,101,101,41
council,101,101,8
daily,101,101,14
creek,99,99,30
ivotuk,98,98,14
2019,97,97,57
system,97,96,38
coast,96,96,16
profiler,96,96,15
cloud,94,92,12
healy,94,94,19
10,91,88,31
conductivity,90,90,33
jpegs,88,88,1
5,87,85,21
network,86,83,46
photography,85,85,9
04,84,77,17
guard,83,83,12
satellite,83,83,21
siberia,83,82,16
atmospheric,82,80,28
permafrost,82,80,44
sensor,81,81,15
analysis,80,78,42
experiment,80,80,27
march,80,80,10
beringer,79,79,1
thumbnails,79,79,1
central,78,78,14
ground,78,78,32
2006,77,77,32
2007,77,77,39
radar,77,74,16
arcss,75,74,8
imnavait,75,75,19
adcp,73,73,19
cruise,73,73,21
08,72,67,16
sites,71,71,34
biomass,70,70,27
april,69,66,8
camp,69,69,18
platform,69,69,5
series,69,69,22
canada,68,68,29
isotope,68,67,46
mobile,68,68,4
weather,68,68,24
instrumented,67,67,3
na,67,67,1
organic,67,64,32
bathymetric,66,66,4
plant,66,64,26
svalbard,66,65,59
vegetation,66,64,37
ecosystem,65,64,34
northern,65,64,34
uscgc,65,65,15
environmental,64,64,36
misp,64,64,3
properties,64,64,24
ship,64,64,10
air,63,63,33
september,63,58,11
oxygen,62,60,22
polar,62,61,32
2003,61,61,31
marine,61,60,32
observatory,61,61,24
ashjian,60,60,2
gyre,60,60,9
temperatures,60,60,24
eol,59,56,2
laurier,59,59,7
sir,59,59,7
c1,58,24,4
current,58,56,15
february,58,58,5
lapse,58,58,5
nitrogen,58,55,25
change,57,57,48
latnjajaure,57,57,3
seasonal,57,57,19
tethered,57,57,7
2000,56,56,40
cooper,56,56,2
cutter,56,56,10
eastern,56,56,18
western,56,56,34
2005,55,55,32
abundance,55,55,24
dissolved,55,52,24
west,55,54,26
chemistry,54,54,33
concentrations,53,53,29
moisture,53,53,16
november,53,53,4
17,52,50,7
1990,52,52,12
2004,52,52,30
december,52,52,5
east,52,52,17
lakes,52,52,24
09,51,51,10
exploration,51,51,6
study,51,51,30
observing,50,49,27
plot,50,50,10
shelf,50,48,23
warming,50,49,24
1995,49,49,17
c6,49,17,1
lidar,49,49,10
plots,49,49,14
sheet,49,49,27
16,48,47,11
arcticrims,48,48,3
canyon,48,48,16
hourly,48,48,20
july,48,44,19
backscatter,47,47,7
canadian,47,45,12
gif,47,44,10
january,47,47,4
processing,47,26,4
raw,47,47,14
survey,47,47,31
underway,47,47,13
wilfrid,47,47,6
