word1,word2,word3,n
airglow,image,data,350
image,data,alaska,345
north,american,glaciers,301
active,layer,monitoring,163
circumpolar,active,layer,157
layer,monitoring,calm,157
thaw,depth,measurements,141
monitoring,calm,project,137
passive,acoustic,data,131
ice,mass,balance,113
summit,station,greenland,109
mass,balance,buoy,108
autonomous,ice,mass,106
balance,buoy,observations,105
buoy,observations,buoy,104
toolik,field,station,89
field,station,alaska,86
conductivity,temperature,depth,78
grid,barrow,alaska,77
temperature,depth,ctd,74
depth,ctd,data,73
hly,02,03,71
grid,atqasuk,alaska,69
data,alaska,march,64
lake,toolik,field,61
hly,02,01,60
alaska,north,slope,58
time,lapse,photography,53
daily,time,lapse,52
data,alaska,february,52
data,alaska,april,49
ice,tethered,profiler,49
beaufort,gyre,exploration,48
coast,guard,cutter,48
exploration,project,mooring,48
gyre,exploration,project,48
sea,arctic,ocean,48
sir,wilfrid,laurier,47
barrow,canyon,chukchi,44
canyon,chukchi,sea,44
latnjajaure,site,clip,44
north,slope,united,43
data,alaska,december,42
instrumented,sensor,platform,41
mobile,instrumented,sensor,41
community,data,alatalo,40
ctd,data,collected,40
north,slope,alaska,40
beaufort,sea,arctic,39
data,alaska,november,39
data,alaska,january,38
greenland,ice,sheet,38
eddy,flux,measurements,37
toolik,lake,alaska,37
imnavait,creek,alaska,36
roll,1,tiffs,36
hly,04,02,35
hly,04,03,34
arctic,observing,network,33
nims,grid,barrow,33
sensor,platform,misp,33
guard,cutter,healy,32
nims,grid,atqasuk,32
acoustic,dopper,current,31
arcss,grid,barrow,31
data,alaska,september,31
hly,08,02,31
station,imnavait,creek,30
uscgc,healy,hly,30
whoi,ice,tethered,30
data,2013,2015,29
kite,aerial,photography,29
electron,backscatter,diffraction,28
min,averages,muenchow,28
spectral,reflectance,measurements,28
toolik,snowfence,experiment,28
dopper,current,profiler,27
hly,09,02,27
roll,1,jpegs,27
arctic,atmospheric,observatories,26
arctic,sea,ice,26
arcticrims,ncep,reanalysis,26
backscatter,diffraction,data,26
council,climate,data,26
council,flux,data,26
data,ashjian,ldeo,26
east,siberia,russia,26
ice,test,specimen,26
instrumented,system,platform,26
mobile,instrumented,system,26
nabos,ii,mooring,26
north,east,siberia,26
polycrystalline,ice,test,26
roll,2,tiffs,26
shipboard,acoustic,dopper,26
data,alaska,october,25
data,sambrotto,ldeo,25
southern,chukchi,sea,25
temperature,specific,conductance,25
water,temperature,specific,25
alaska,interior,united,24
arcss,grid,atqasuk,24
current,profiler,sadcp,24
ncar,pam,iii,24
northwest,territories,canada,24
roll,1,thumbnails,24
site,ascii,beringer,24
site,excel,beringer,24
data,barrow,canyon,23
hly,07,01,23
profiler,sadcp,data,23
station,alaska,2013,23
synthetic,aperture,radar,23
aperture,radar,processing,22
carbon,data,core,22
cloud,microphysical,properties,22
international,tundra,experiment,22
roll,2,jpegs,22
system,platform,misp,22
alaska,population,1990,21
american,glaciers,1994,21
antenna,array,processing,21
array,processing,greenland,21
distributed,biological,observatory,21
northern,bering,sea,21
population,1990,2006,21
aerial,photography,nims,20
american,glaciers,1992,20
biological,observatory,dbo,20
glaciers,1994,roll,20
hly,08,01,20
hly,09,01,20
photography,nims,grid,20
yukon,kuskokwim,delta,20
american,glaciers,1975,19
american,glaciers,1977,19
american,glaciers,1979,19
chukchi,sea,2011,19
focused,synthetic,aperture,19
glaciers,1992,roll,19
hly,08,03,19
ice,camp,surface,19
imagery,ncar,eol,19
roll,2,thumbnails,19
roll,3,tiffs,19
tundra,experiment,itex,19
1,community,data,18
2,community,data,18
bering,sea,shelf,18
camp,surface,mesonet,18
core,lipid,analysis,18
davis,strait,c1,18
field,deployment,data,18
glaciers,1975,roll,18
glaciers,1977,roll,18
glaciers,1979,roll,18
ice,camp,preliminary,18
lipid,analysis,station,18
mesonet,ncar,pam,18
sediment,core,lipid,18
surface,mesonet,ncar,18
data,grebmeier,ldeo,17
davis,strait,c6,17
ek80,sonar,data,17
logger,data,nims,17
ocean,water,property,17
property,observations,reported,17
roll,3,jpegs,17
tethered,profiler,itp,17
water,property,observations,17
water,table,depth,17
american,glaciers,1974,16
american,glaciers,1978,16
autonomous,ocean,flux,16
average,soil,air,16
barrow,alaska,2015,16
chukchi,sea,2010,16
cutter,uscgc,healy,16
guard,cutter,uscgc,16
peatland,carbon,data,16
platform,misp,grid,16
roll,4,tiffs,16
table,depth,wtd,16
atqasuk,alaska,2016,15
atqasuk,alaska,2018,15
atqasuk,alaska,2019,15
c3,expedition,ek80,15
c3o,conductivity,temperature,15
canadian,coast,guard,15
chukchi,sea,2013,15
coast,guard,ship,15
data,eastern,siberian,15
dissolved,organic,carbon,15
eastern,bering,sea,15
eastern,siberian,arctic,15
expedition,ek80,sonar,15
glaciers,1974,roll,15
glaciers,1978,roll,15
oceans,c3o,conductivity,15
roll,3,thumbnails,15
siberian,arctic,margin,15
swerus,c3,expedition,15
toolik,site,3,15
american,glaciers,1990,14
atmospheric,emitted,radiance,14
atqasuk,alaska,2012,14
barrow,alaska,2011,14
barrow,atqasuk,itex,14
central,siberia,russia,14
chukchi,sea,2012,14
data,whp,format,14
emitted,radiance,interferometer,14
greenland,environmental,observatory,14
hly,06,01,14
kuskokwim,delta,alaska,14
millimeter,cloud,radar,14
moisture,nims,grid,14
