token,n
data,13882
arctic,4414
ice,4308
image,3964
project,3080
set,2946
file,2699
dataset,2511
images,2393
collected,2351
level,2308
measurements,2234
sea,2231
temperature,2226
1,2219
water,2215
information,2165
research,2073
2,1951
north,1894
files,1869
surface,1852
climate,1800
time,1788
alaska,1627
format,1565
site,1564
depth,1496
change,1485
system,1428
metadata,1340
includes,1338
sites,1328
calm,1307
ocean,1303
roll,1268
carbon,1267
program,1259
snow,1245
glacier,1231
glaciers,1157
layer,1146
greenland,1132
station,1118
soil,1098
5,1065
field,1058
3,1039
active,1016
include,1014
latitude,992
study,974
location,958
specific,950
date,947
longitude,919
network,915
folders,910
tundra,895
summer,885
permafrost,859
samples,859
lake,858
observation,838
cruise,837
science,832
csv,821
range,813
aerial,799
analysis,797
provided,792
national,787
text,777
unique,775
based,763
entire,757
located,754
period,747
post,747
atmospheric,741
grid,736
1997,730
term,730
international,708
american,702
digital,695
ecosystem,687
photos,680
primarily,679
bering,677
camera,677
day,676
model,670
future,662
environmental,658
barrow,654
media,643
altitude,638
individual,638
10,636
color,632
jpegs,628
community,623
comments,616
1964,614
sediment,614
austin,613
university,613
nagapdata.csv,612
yyyy.csv,612
nsf,611
toolik,609
vertical,609
experiment,607
provide,606
temperatures,606
measured,604
scientific,603
structure,603
oblique,598
processes,598
hour,594
vegetation,594
observations,590
past,582
polar,582
lakes,580
flux,571
raw,568
coast,565
collection,565
spatial,565
response,562
july,559
pressure,558
region,557
warming,556
obtained,553
plots,550
sheet,548
specifications,548
ctd,546
core,544
deployed,543
low,540
note,536
season,536
stored,534
seasonal,524
included,523
including,520
1999,511
healy,511
quality,509
global,503
guard,503
thickness,501
standard,494
systems,493
mass,490
resolution,489
2014,486
america,486
subset,486
type,485
effects,483
majority,483
marine,479
understanding,478
current,476
organic,474
parameters,471
emissions,468
biological,463
document,463
products,463
salinity,461
imagery,460
itex,458
south,455
na,452
white,452
results,450
energy,449
monitoring,449
sample,447
spring,447
pi,445
single,443
daily,441
4,440
derived,439
cloud,438
support,438
august,437
start,437
month,435
purpose,435
readme,432
datasets,430
properties,430
conditions,429
fluxes,429
species,429
contact,428
expected,424
series,424
center,423
record,422
flight,421
occurred,420
2011,418
2015,418
profiles,418
mooring,416
primary,416
slope,416
established,414
river,408
conductivity,405
cores,405
cover,405
plot,405
acoustic,404
cutter,404
regions,404
2013,401
al,400
contained,400
observing,400
sensor,398
air,397
excel,397
physical,396
decades,393
recorded,391
sampling,391
goal,390
search,390
acquisition,382
variations,382
finally,380
png,380
medium,379
users,379
15,377
publications,377
values,377
biomass,376
atmosphere,375
min,374
strait,373
2012,372
precipitation,372
regional,372
https,371
locations,370
interpreted,369
balance,368
northern,368
united,368
2010,367
require,366
emission,365
u.s,365
found,364
instruments,364
impacts,363
land,362
observational,362
oxygen,361
sec,361
identifier,359
summit,359
filename,358
pfrr,357
encourage,356
flat,356
models,356
beaufort,355
concentrations,354
correctly,354
measure,354
pictures,354
2008,353
poker,353
wind,352
airglow,351
authorship,351
melt,351
ethic,350
position,350
total,350
rates,349
ascii,347
black,347
chukchi,347
remote,347
growth,346
32,345
led,343
serve,343
path,341
usgs,338
variability,337
2009,336
dissolved,336
records,336
satellite,334
notes,333
decade,332
landscape,332
30,331
aon,330
contents,328
scale,328
kml,327
script,327
2000,326
communities,326
buoy,325
funded,325
measurement,325
bottom,324
plant,324
production,323
jpeg,322
moorings,322
2016,320
transect,320
instrument,318
stations,318
preserve,317
subjects,317
folder,316
visually,316
composition,314
tif,314
velocity,314
ground,313
size,313
distinguished,312
multiple,312
rate,312
scales,311
1958,310
instructions,310
stereo,310
gis,309
integrated,309
foundation,308
introduction,308
terrestrial,308
aggregate,307
annual,307
film,307
searchdata.r,307
dynamics,306
filelayout.pdf,306
histo.txt,306
info.txt,306
layout,306
thumbnail,306
thumbnails,306
tifs,306
june,305
moisture,305
human,304
assess,303
20,302
september,302
6,301
decadal,301
meteorological,301
observe,300
shelf,299
1998,297
conducted,297
development,297
major,296
sensors,295
critical,294
http,294
uscgc,294
local,292
potential,292
control,291
fiducial,290
weather,290
cm,288
studies,288
radiation,285
award,284
chlorophyll,282
component,282
coastal,280
line,280
khz,279
aboard,278
basin,278
meter,278
km,276
scientists,276
concentration,275
pacific,275
temporal,275
winter,275
gas,274
gwu.edu,274
north.htm,274
sensing,274
www2,274
management,273
key,271
atqasuk,270
density,269
2002,267
analyses,267
cycle,266
infrastructure,266
multi,266
hz,265
periods,264
meters,263
column,262
8,261
dbo,261
ecosystems,259
accumulation,258
minutes,257
grids,256
recent,252
relative,252
researchers,250
understand,250
dry,249
scanner,249
fire,248
approximately,246
web,246
heat,244
degrees,242
nitrogen,242
variables,242
determine,241
observatory,241
southern,240
isotope,238
matchreport.txt,238
spectral,238
continuously,237
detailed,237
original,237
profiler,237
related,237
students,236
12,235
impact,235
supported,235
earth,234
net,233
abundance,231
nutrient,231
depths,230
2017,229
broader,229
chemical,228
hourly,226
hypothesis,226
200,225
programs,225
western,225
content,223
delta,223
gathered,223
designed,222
discharge,222
increased,222
extent,221
institute,221
generated,220
albedo,219
co2,219
flow,219
modeling,219
levels,218
passive,218
additional,217
changing,217
distribution,216
hemisphere,216
fairbanks,215
speed,215
cold,214
increase,214
observed,214
24,213
radar,213
upper,213
growing,212
late,211
trends,211
2004,210
sources,210
creek,208
2001,207
times,207
laboratory,206
canada,205
circumpolar,205
estimates,205
patterns,205
channel,203
fall,203
waters,203
continue,202
survey,202
gps,201
microbial,201
significant,201
circulation,200
ncar,200
thaw,200
consists,199
eastern,199
noaa,199
sheba,199
square,199
antarctic,198
16,197
methane,197
photographs,197
processing,197
50,196
doppler,196
gases,195
netcdf,195
role,194
2007,193
analyzed,193
knowledge,192
adcp,191
participants,191
nims,190
sediments,190
subarctic,190
due,189
greenhouse,189
april,188
stream,188
ecology,187
rs,186
days,185
ranging,184
ship,184
analytical,183
organized,183
quantify,183
top,183
developed,182
oceanographic,182
historical,181
source,180
interactions,179
sets,179
west,179
glacial,178
age,176
doi,176
form,176
sampled,176
activities,175
investigators,175
simulations,175
distributed,174
i.e,174
light,174
reanalysis,174
boundary,173
benthic,172
widespread,172
elevation,171
1991,170
m2,170
02,168
1990s,168
arcss,168
deployment,168
sbi,168
currents,167
height,167
holocene,167
island,167
table,167
11,166
1995,166
collaborative,166
environment,166
experimental,166
amp,165
array,165
detect,165
develop,165
continuous,164
projects,164
situ,164
zone,164
documentation,163
initially,163
canadian,162
deep,162
exchange,162
transects,162
calculated,161
dioxide,161
process,161
proposed,161
seasons,161
7,159
kilometer,159
oceanic,159
feedbacks,158
hly,158
soils,158
central,157
improve,157
seas,157
stable,157
2018,156
east,156
ecological,156
output,156
atlantic,155
function,155
addition,154
page,154
track,154
base,153
effort,153
procedures,153
retreat,153
2005,152
camp,152
e.g,152
methods,152
report,152
representing,152
cumulative,151
efforts,151
fluorescence,151
selected,151
profound,150
timing,150
watershed,150
bottle,149
direct,149
info,149
0,148
clouds,148
countries,148
events,148
freshwater,148
main,148
mechanical,148
grants,147
networked,147
shrub,147
history,146
estimate,145
firn,145
gradient,145
lidar,145
systematic,145
2003,144
independently,144
nitrate,144
objectives,144
2006,143
automatically,143
