token,n
temperature,22762
depth,17001
data,14087
1,13946
sampling,11387
flag,11184
surface,11034
measured,8976
ice,8187
time,7895
quality,7660
control,7347
corrected,6614
meters,6532
measurement,6277
missing,5875
biases,5723
water,5508
sample,5498
north,5106
00,5057
centimeters,4832
probe,4711
latitude,4602
wind,4547
removed,4344
speed,4316
pas,4290
soil,4282
celsius,3935
concentration,3810
date,3785
degrees,3646
01,3283
air,3046
180,2967
winds,2860
temp,2801
2,2697
pressure,2644
total,2548
sea,2530
height,2527
radiation,2360
ratio,2229
day,2097
snow,2039
content,2033
velocity,2016
decimal,2007
ghz,2006
absorbance,1927
level,1915
salinity,1897
east,1893
sensor,1892
wavenumber,1882
recorded,1842
volume,1839
ambient,1830
flux,1826
longitude,1810
set,1803
current,1769
range,1761
site,1747
deg,1688
bin,1678
size,1654
10,1635
liquid,1634
position,1629
center,1625
collection,1624
angle,1613
3,1563
1970,1545
base_time,1544
oxygen,1544
calculated,1543
130,1538
defined,1538
species,1538
laser,1521
counts,1518
vertical,1518
calculation,1504
diameter,1503
field,1487
grid,1484
effective,1480
inlet,1472
2nd,1460
efficiency,1458
distribution,1452
particle,1442
3rd,1437
failure,1434
fm,1434
bias,1432
pump,1431
292.5,1430
lwc,1430
moments,1430
pitot,1430
recalculated,1430
recalculation,1430
recovery,1430
theta_s,1430
voltage,1385
relative,1376
0,1367
ground,1367
cast,1319
research,1297
dissolved,1296
measurements,1282
onset,1272
trace,1270
corp,1266
hobo,1244
heat,1243
lake,1203
5,1187
cm,1143
filtered,1143
percent,1141
layer,1122
conductivity,1100
type,1053
dd,1029
observation,1009
percentage,996
cover,995
rate,993
yyyy,988
noise,979
meter,977
gap,969
tmc,969
density,965
net,962
information,955
filled,936
average,931
series,928
mm,906
location,905
top,890
cloud,889
humidity,869
channel,855
4,847
active,840
digits,817
standard,817
averaged,814
longwave,811
shortwave,811
ctd,809
core,803
month,795
representing,788
system,781
component,777
length,773
ocean,772
hourly,751
ntot,750
nominal,736
plot,729
frame,728
coordinate,725
specific,723
frequency,712
flight,710
axis,708
25,687
