token,n
lat,1752
lon,1704
alt,1551
base_time,1546
time_offset,1546
Depth,1533
U,1442
Date,1434
size,1432
ED,1431
eta_total,1430
flag_md_corr,1430
flag_qc1,1430
flag_qc2,1430
flag_qc3,1430
flag_qc4,1430
flag_qc5,1430
flag_recalc,1430
instHt,1430
LWC,1430
number_conc,1430
particle_count,1430
PAS,1430
thetaS,1430
Vs,1430
Longitude,810
Latitude,809
Temperature,795
DATE,761
YEAR,649
Pressure,582
Salinity,503
Data,462
timestamp,443
v,434
u,431
w,421
T,406
sal00,370
Timestamp,363
10_meters,347
Location,341
5_meters,330
Time,325
Altitude,321
time,321
Comments,316
Year,316
Roll,311
Frame,305
Media,305
prDM,291
depSM,277
flag,277
3_meters,276
t090C,273
Air_Temp,265
sal11,246
t190C,246
PAR,221
svCM,217
side scan sonar,211
CStarTr0,203
Header,201
Multiplexed Radargram,201
latitude,198
longitude,198
Plot,195
year,195
day,194
DOY,185
date,183
flSP,181
RECORD,181
v1,178
Count,172
sbeox0ML/L,172
sbeox0V,164
scan,163
TIMESTAMP,163
Surface,162
NDVI,157
Rn,156
wetCDOM,154
albedo,153
Salinity_d,152
Salinity_u,152
Temperature_d,152
Temperature_u,152
PTemp_C,149
saNDVI,148
Batt_Volt,147
cnr4_T_C,147
cnr4_T_K,147
Dist_corr,147
long_dn,147
long_dn_corr,147
long_up,147
long_up_corr,147
Rl_net,147
Rs_net,147
SBTempC,147
short_dn,147
short_up,147
TargmV,147
TargTempC,147
tram_distance,146
v4,146
altM,144
c0mS/cm,144
c1mS/cm,144
Easting,142
Northing,142
Site,139
T2,138
par,135
Area,132
PRCP,132
Day,131
month,131
NT,131
RH2,131
SWDOWN,131
TER,131
w10,131
XLAT,131
XLON,131
15_meters,130
_meters,129
Month,129
depth,128
Id,127
nbin,127
v2,125
Hour,122
v0,121
upoly0,119
Conductivity,118
0,115
Temp_TMC_surf,113
RH,112
sigma-theta,110
Temp_TMC_+001.00m,110
1_meters,109
10,109
celsius,109
20,108
-10,107
-20,107
-30,107
-40,107
-50,107
-60,107
-70,107
-80,107
Temp_TMC_+001.50m,107
temperature,107
-100,106
-110,106
-120,106
-130,106
-90,106
Temp_TMC_+000.50m,106
Snow_Depth,105
Air_Pressure,104
Bottom_of_Ice_Position,104
Depth_m,104
flECO-AFL,104
Ice_Thickness,104
Pres,104
Top_of_Ice_Position,104
sigma-t00,103
-140,102
-150,102
-160,102
-170,102
-180,102
-190,102
-200,102
-210,102
30,102
CstarAt0,102
oxsolMm/kg,102
sbeox0Mm/kg,102
-220,101
-230,101
-240,100
pressure,100
Dissolved Oxygen,99
Dissolved Oxygen (percent),99
Temp_TMC_+002.00m,99
Temp_TMC_+004.00m,99
Temp_TMC_+006.00m,99
-250,98
Name,98
salinity,97
40,96
-260,94
tv290C,94
LAT,90
DAY,89
SF,88
density,87
-270,86
50,86
c0S/m,85
H,85
TIME,85
Air,83
plot,83
ID,82
elevation,81
SH,81
site,81
-280,80
LE,80
prdM,80
60,79
LHF,79
SHF,79
SMB,79
Type,79
nbf,77
-290,75
-300,75
-310,75
-320,75
-330,75
Date_Time,75
LON,75
-340,74
-350,73
conductivity,73
MIN,73
SP,73
potemp090C,72
SAL,72
AL,70
AL1,70
AL2,70
ATMLAY,70
ATMLAY3_3,70
CC,70
CD,70
CM,70
COD,70
CP,70
CU,70
CWP,70
CZ,70
DD,70
FRA,70
FRV,70
G11,70
G21,70
HH,70
IWP,70
LWD,70
LWU,70
ME,70
MM,70
MSK,70
OUTLAY,70
OUTLAY_bnds,70
OUTLAY1_1,70
OUTLAY1_1_bnds,70
PBL,70
PDD,70
PLEV,70
PLEV_bnds,70
QI,70
QQ,70
QQP,70
QQZ,70
QR,70
QS,70
QW,70
RF,70
RO1,70
RU,70
RZ,70
SECTOR,70
SECTOR1_1,70
SHSN0,70
SHSN2,70
SHSN3,70
SLO,70
SOL,70
SRF,70
ST,70
ST2,70
SU,70
SW,70
SWD,70
SWSN,70
TI1,70
TT,70
TTMAX,70
TTMIN,70
TTP,70
TTZ,70
UU,70
UUP,70
UUZ,70
UV,70
UVMAX,70
UVZ,70
VEG,70
VV,70
VVP,70
VVZ,70
WA1,70
WVP,70
X12_84,70
Y21_155,70
YYYY,70
ZTQLEV,70
ZTQLEV_bnds,70
ZUVLEV,70
ZUVLEV_bnds,70
ZZ,70
ZZP,70
-360,68
ATMLAY_bnds,68
ATMLAY3_3_bnds,68
dec_rate,68
dt,68
pot_temp,68
sp_of_sound,68
FC,67
RINEX VERSION 2.10 N: GPS NAV DATA,67
RINEX VERSION 2.11  OBSERVATION DATA   G (GPS),67
timeJ,67
v5,65
WD,65
-370,64
Temp_107_surf,63
pism_config,62
run_stats,62
Temp_107_air,62
Altimeter,61
Contour,61
DDLat,61
DDLon,61
End_Depth_m,61
Min,61
Sediment_Area_m2,61
Start_Depth_m,61
Water_Surface_Area_m2,61
Water_Volume_m3,61
7_meters,60
Flur,60
OxCur,60
OXYG,60
Sal(1),60
Sec,60
T90(1),60
T90(2),60
Trans,60
wocecode,60
R0,59
Z0,59
Elevation,58
Observer,58
Temp,58
Lat,57
T (deg),57
Station,56
xmiss,56
Oxygen,55
Species,55
HHMM,54
-380,53
ALH,53
ATMXH,53
CCH,53
ice_mass,53
LHFH,53
limnsw,53
LWDH,53
LWUH,53
QQH,53
SHFH,53
SPH,53
surface_accumulation_rate,53
surface_melt_rate,53
surface_runoff_rate,53
SWDH,53
tendency_of_ice_mass,53
tendency_of_ice_mass_due_to_conservation_error,53
tendency_of_ice_mass_due_to_discharge,53
time_bnds,53
TTH,53
UUH,53
v6,53
VVH,53
x,53
y,53
sigma-_00,52
spar,52
C (mS/cm),50
CO2,50
dovdt,50
FID,50
nscans,50
P (db),50
S (psu),50
Sal(2),50
0.5_meters,49
Cast,49
hour,49
notes,49
Temperature_c,49
Temperature_C,49
long,48
site_id,48
basal_mass_flux_floating,47
basal_mass_flux_grounded,47
CStarAt0,47
ice_area_glacierized,47
ice_area_glacierized_cold_base,47
ice_area_glacierized_floating,47
ice_area_glacierized_grounded,47
ice_area_glacierized_temperate_base,47
ice_enthalpy,47
ice_enthalpy_glacierized,47
ice_mass_glacierized,47
ice_volume,47
ice_volume_cold,47
ice_volume_glacierized,47
ice_volume_glacierized_cold,47
ice_volume_glacierized_floating,47
ice_volume_glacierized_grounded,47
ice_volume_glacierized_temperate,47
ice_volume_temperate,47
id,47
liquified_ice_flux,47
tendency_of_ice_mass_due_to_basal_mass_balance,47
tendency_of_ice_mass_due_to_influx,47
tendency_of_ice_mass_due_to_surface_mass_balance,47
tendency_of_ice_mass_glacierized,47
tendency_of_ice_volume,47
tendency_of_ice_volume_glacierized,47
Depth1,46
Depth2,46
WS,46
level,45
Mean,45
StDEV,45
z,45
TempC_0.03m,44
beg_scan_num,43
end_scan_num,43
firing_number,43
firing_position,43
Temp_TMC_+009.00m,43
TempC_0.50m,43
TempC_1.00m,43
TempC_1.50m,43
TempC_2.00m,43
TempC_4.00m,43
TempC_6.00m,43
v7,43
area,42
avgMedDraft,42
avgSubmergedArea,42
avgSurfArea,42
Common.Name,42
easting_earlyimage,42
easting_lateimage,42
elevation_earlyimage,42
elevation_lateimage,42
halfRangeMedDraft,42
halfRangeSubmergedArea,42
halfRangeSurfArea,42
JD,42
meanElevChange,42
northing_earlyimage,42
northing_lateimage,42
sdElevChange,42
uncVolChangeRate,42
verticalAdj_earlyelev,42
verticalAdj_lateelev,42
volChangeRate,42
1.5_meters,41
DBO_Region,41
Description,41
FC_cw,41
PRECIP,41
TAU_c,41
Temp_TMB_surf,41
timeS,41
UST,41
v3,41
WS_1,41
h1,40
h2,40
TAU,40
Grid_Pt,39
Notes,39
numMonth,39
PA,39
Rg,39
Shape,39
strUTC,39
Temperature_10.m,39
bat,38
pH,38
SPP,38
strSitCom,38
SWC_1,38
SWC_2,38
Temperature_5.m,38
ALBEDO_f,37
crevasse_depth,37
crevasse_width,37
G1,37
G1_f,37
G2,37
G2_f,37
G3_f,37
G4_f,37
H_c_f,37
H_c_gf,37
LE_cw_f,37
LE_cw_gf,37
location_along_centerline_relative_terminus,37
PA_1,37
PAR_f,37
PAR_out_f,37
Rg_f,37
Rg_gf,37
Rg_out_f,37
RNET_f,37
SWC_1_f,37
SWC_2_f,37
Ta_f,37
Ta_gf,37
Transect,37
VPD_f,37
VPD_gf,37
Block,36
ip,36
kHz,36
op,36
pT,36
time_bounds,36
5 m,35
lat_bnds,35
Length,35
lon_bnds,35
mapping,35
NH4,35
Sample,35
sftgif,35
transect,35
VPD,35
10 m,34
CO2_1,34
dovdt2,34
green,34
OxCur2,34
OXYG2,34
red,34
snow_depth,34
temp,34
air_temp,33
BAT,33
burn_year,33
doy,33
Family,33
region,33
Spar,33
strIdLo,33
strTrea,33
FC_cwbu_gf,32
species,32
thk,32
topg,32
Treatment,32
velsurf_mag,32
_meters.1,31
14_meters,31
BATT,31
DRYB_L,31
DRYB_U,31
EBC,31
GLOBR,31
HYDRA1,31
HYDRA2,31
HYDRA3,31
HYDRA4,31
NO3,31
numJulian,31
numYear,31
PRESS,31
R_HUM,31
RN_RB,31
RN_ST,31
SHFP_1,31
SHFP_2,31
SHFP_3,31
SHFP_4,31
STP_1,31
STP_2,31
STP_3,31
STP_4,31
Submergence Percent,31
T_AIR,31
WETB_L,31
WETB_U,31
column1,30
column10,30
column11,30
column12,30
column13,30
column14,30
column2,30
column3,30
column4,30
column5,30
column6,30
column7,30
column8,30
column9,30
d18O,30
DBO_Station,30
elev,30
G3,30
G4,30
Lon,30
max_diffusivity,30
max_hor_vel,30
rho,30
slvol,30
station,30
Temp_MRC_surf,30
3 m,29
block,29
divergence,29
Flag,29
Latitude (N),29
Longitude (E),29
maximum shear,29
mean latitude,29
mean longitude,29
normal shear,29
pure shear,29
shape factor,29
Temp_107_+003.00m,29
Temp_MRC_+000.17m,29
Temp_TMB_+000.25m,29
Temperature_3.m,29
vorticity,29
Ba,28
blue,28
DOM,28
Latin.Name,28
LATITUDE,28
LONGITUDE,28
0.25_meters,27
agc_Avg,27
Battery Voltage (V),27
book,27
csat_warnings,27
H_c,27
hour (GMT),27
irga_warnings,27
LE_cw,27
Minute,27
Rg_out,27
RNET,27
sbeox0PS,27
Sea Level Pressure (mBar),27
signal_quality,27
Temp_MRC_air,27
Temperature at nominal depth   0.0 (m),27
Temperature at nominal depth   2.5 (m),27
Temperature at nominal depth   5.0 (m),27
Temperature at nominal depth   7.5 (m),27
Temperature at nominal depth  10.0 (m),27
Temperature at nominal depth  15.0 (m),27
Temperature at nominal depth  20.0 (m),27
Temperature at nominal depth  25.0 (m),27
Temperature_15.m,27
UW_c,27
ZoL,27
4_meters,26
basal_melt_rate_grounded,26
bc_mask,26
bheatflx,26
Corrresponding_File,26
dbdt,26
DBO_region,26
DBO_station,26
effective_climatic_mass_balance,26
effective_ice_surface_liquid_water_fraction,26
effective_ice_surface_temp,26
effective_melange_back_pressure_fraction,26
effective_sea_level_elevation,26
effective_shelf_base_mass_flux,26
effective_shelf_base_temperature,26
effective_surface_layer_mass,26
effective_surface_layer_thickness,26
enthalpy,26
firn_depth,26
ice_area_specific_volume,26
litho_temp,26
P,26
precipitation,26
pres,26
Psal,26
shelfbmassflux,26
Temp_107_+002.00m,26
Temp_MRC_+000.25m,26
tillwat,26
u_ssa_bc,26
v_ssa_bc,26
viscous_bed_displacement,26
x_lc,26
y_lc,26
zb,26
Long,25
Region,25
strYear,25
TA,25
Temp_107_+001.50m,25
Temp_MRC_+000.40m,25
selfbtemp,24
surface_accumulation_rate_accumulator,24
surface_accumulation_rate_time_since_reset,24
surface_melt_rate_accumulator,24
surface_melt_rate_time_since_reset,24
surface_runoff_rate_accumulator,24
surface_runoff_rate_time_since_reset,24
Ta,24
Temp_MRC_+000.10m,24
tendency_of_ice_mass_due_to_basal_mass_flux_accumulator,24
tendency_of_ice_mass_due_to_basal_mass_flux_time_since_reset,24
tendency_of_ice_mass_due_to_conservation_error_accumulator,24
tendency_of_ice_mass_due_to_conservation_error_time_since_reset,24
tendency_of_ice_mass_due_to_discharge_accumulator,24
tendency_of_ice_mass_due_to_discharge_time_since_reset,24
tendency_of_ice_mass_due_to_flow_accumulator,24
tendency_of_ice_mass_due_to_flow_time_since_reset,24
tendency_of_ice_mass_due_to_surface_mass_flux_accumulator,24
tendency_of_ice_mass_due_to_surface_mass_flux_time_since_reset,24
70,23
ALBEDO,23
amp_h_f_Tot,23
amp_l_f_Tot,23
BATTVOLT_Avg,23
BATTVOLT_Min,23
C_spike,23
C_stationarity,23
chopper_f_Tot,23
CO2_1_f,23
CO2_1_gf,23
CO2_f,23
CO2_gf,23
Cruise,23
csat_error,23
del_T_f,23
detector_f_Tot,23
FC_c,23
FC_cw_f,23
FC_cw_gf,23
FC_cwb_gf,23
FCLE_FreqResp,23
footp,23
G1_gf,23
G2_gf,23
G3_gf,23
G4_gf,23
h,23
H_FreqResp,23
H2O_1,23
H2O_1_f,23
H2O_1_gf,23
herds,23
irga_error,23
JOSS_TIM,23
LE_c,23
n_Tot,23
PAR_gf,23
PAR_out,23
PAR_out_gf,23
PAR_out_totflx_Tot,23
PAR_totflx_Tot,23
pll_f_Tot,23
PRECIP_f,23
Q_spike,23
Q_stationarity,23
Rg_out_gf,23
Rh,23
Rh_f,23
Rh_gf,23
rhoCp,23
Rl,23
Rl_f,23
Rl_gf,23
Rl_out,23
Rl_out_f,23
Rl_out_gf,23
RNET_gf,23
sdv,23
sig_lck_f_Tot,23
SNOWD,23
SNOWD_f,23
SNOWD_gf,23
Solar_elevation,23
SWC_1_gf,23
SWC_2_gf,23
sync_f_Tot,23
T_spike,23
T_stationarity,23
Ta_1,23
Ta_1_f,23
Ta_1_gf,23
Temp_MRC_+000.02m,23
Temp_TMB_+000.70m,23
TPANEL,23
TSOIL_1,23
TSOIL_1_f,23
TSOIL_1_gf,23
TSOIL_2,23
TSOIL_2_f,23
TSOIL_2_gf,23
TSURF,23
TSURF_f,23
TSURF_gf,23
U_spike,23
UW,23
UW_FreqR,23
V_spike,23
VP,23
VP_1,23
VP_1_f,23
VP_1_gf,23
VP_f,23
VP_gf,23
W_spike,23
WD_1,23
WD_1_f,23
WD_1_gf,23
WD_f,23
WD_gf,23
WPL_FC,23
