word1,word2,n
earth,science,4935
laboratory,instruments,2790
situ,laboratory,2790
remote,sensing,1920
instruments,probes,1112
science,cryosphere,1062
earth,remote,957
sensing,instruments,956
passive,remote,877
instruments,passive,876
science,oceans,796
science,atmosphere,779
1,kilometer,720
atmosphere,atmospheric,665
land,surface,658
1,minute,616
science,land,605
1,hour,597
30,meters,586
arctic,surface,584
optical,detectors,577
photon,optical,577
detectors,cameras,532
sensing,photon,530
oceans,ocean,521
field,survey,516
probes,soil,504
frozen,ground,485
science,biosphere,449
cryosphere,frozen,447
humidity,sensors,441
snow,ice,433
1,meter,430
ice,snow,429
100,meters,421
oceanography,arctic,414
instruments,temperature,413
temperature,humidity,413
image,1,399
10,kilometers,381
terrestrial,hydrosphere,375
atmospheric,pressure,373
profilers,sounders,364
science,terrestrial,363
500,meters,361
cryosphere,snow,355
camera,observatory,350
cameras,asc,350
gravity,wave,350
pressure,gravity,350
sky,camera,350
wave,earth,350
hour,geoscientificinformation,348
kilometers,1,345
observatory,image,343
erosion,sedimentation,331
surface,erosion,331
temperature,earth,328
ice,sheets,321
250,meters,313
aerial,usgs,306
alaska,glacier,306
glacier,aerial,306
ship,oceanography,303
sea,ice,296
soil,temperature,296
glaciers,ice,292
mass,balance,270
probes,probes,259
science,paleoclimate,256
field,station,254
instruments,profilers,252
spectrometers,radiometers,238
active,layer,231
soil,moisture,231
instruments,recorders,221
recorders,loggers,221
ground,active,219
loggers,temperature,215
temperature,loggers,215
survey,transect,208
biota,oceans,207
sensors,temperature,198
temperature,sensors,198
moisture,probe,178
manned,field,177
sheets,glaciers,174
temperature,probe,174
terrestrial,ecosystems,173
biosphere,terrestrial,172
cameras,cameras,168
sensing,spectrometers,168
acoustic,sounders,167
glaciers,earth,167
sounders,acoustic,167
sediments,earth,164
arctic,oceans,163
cryosphere,glaciers,163
lake,records,161
ocean,lake,161
sensors,thermistors,161
thermistors,thermistors,160
kilometer,monthly,159
soil,depth,153
depth,probe,151
paleoclimate,ocean,149
probes,temperature,149
temperature,probes,149
annual,field,147
human,dimensions,147
science,human,147
ship,arctic,145
alpine,tundra,144
kilometer,1,144
meters,30,144
surface,water,144
measuring,rod,143
meters,250,143
meters,500,143
ocean,temperature,143
probes,snow,143
snow,measuring,143
meters,100,142
surface,soils,142
transect,grid,139
grid,multiple,138
multiple,grids,138
vectors,environment,137
instruments,corers,136
hydrosphere,surface,135
science,climate,134
climate,indicators,133
snow,depth,133
ambient,noise,132
chemical,meters,131
instruments,chemical,131
meters,analyzers,131
records,sediments,131
ecosystems,alpine,126
hydrosphere,glaciers,126
snow,cover,120
soils,soil,117
ice,sheet,114
ocean,circulation,113
biological,classification,112
biosphere,ecological,112
ecological,dynamics,112
science,biological,112
cover,earth,111
sensing,profilers,111
instruments,samplers,110
ice,earth,107
water,temperature,107
current,wind,106
instruments,current,106
snow,arctic,106
wind,meters,106
arctic,buoy,105
buoy,mass,105
ctd,ocean,104
ocean,cast,104
ocean,chemistry,104
oceans,salinity,103
salinity,density,103
meters,hourly,102
automated,surface,100
observing,system,100
surface,observing,100
positioning,navigation,99
sensing,positioning,99
tower,arctic,97
annual,biota,96
classification,animals,95
sediment,transport,95
vertical,profile,95
water,chemistry,95
arctic,biota,94
transport,earth,94
conductivity,temperature,93
cryosphere,sea,93
land,records,93
navigation,gps,92
meteorological,tower,91
aquatic,ecosystems,90
ctd,conductivity,90
temperature,depth,90
sounders,ctd,89
hour,biota,88
drifting,buoy,87
gps,gps,87
ocean,acoustics,87
oceans,marine,87
depth,earth,86
instruments,gauges,86
sheets,glacier,86
global,positioning,85
gps,global,85
marine,sediments,85
paleoclimate,land,85
positioning,system,85
water,quality,84
biosphere,aquatic,83
acoustics,ambient,82
arctic,satellite,82
daily,climatologymeteorologyatmosphere,82
hydrosphere,water,82
physical,limnology,82
quality,water,82
science,physical,82
animals,vertebrates,81
balance,ice,81
hydrophones,mooring,81
processes,earth,81
radiometers,spectrometers,81
sounders,hydrophones,81
biosphere,vegetation,80
daily,oceans,80
active,remote,79
instruments,active,79
glacier,mass,78
temperature,water,78
arctic,oceanography,77
models,analyses,77
sheet,mass,77
toolik,field,77
alaska,arctic,75
arctic,climatologymeteorologyatmosphere,75
lakes,earth,75
water,lakes,75
balance,earth,74
oceans,environment,74
vertebrates,mammals,74
land,character,73
atmospheric,chemistry,72
environment,climatologymeteorologyatmosphere,71
spectrometers,spectrometers,70
tundra,earth,70
daily,daily,69
ground,periglacial,69
periglacial,processes,69
transect,30,68
corers,sediment,67
ground,permafrost,67
ground,soil,67
ice,ice,67
sediment,corers,67
coring,devices,66
station,alaska,66
corers,coring,65
layer,earth,65
meters,monthly,65
survey,grid,65
lake,ice,64
probes,field,64
atmospheric,winds,63
character,arctic,63
satellite,noaa,63
arctic,toolikgis,62
bathymetric,data,62
bathymetry,hypsography,62
climatologymeteorologyatmosphere,oceans,62
data,toolik,62
hypsography,lake,62
lake,data,62
toolik,toolik,62
toolikgis,bathymetry,62
grabbers,traps,61
landscape,landscape,61
samplers,grabbers,61
traps,collectors,61
height,meters,60
instruments,pressure,60
pressure,height,60
arctic,hydrology,59
conductivity,sensors,59
current,meters,59
instruments,conductivity,59
meters,current,59
sedimentation,earth,59
conductivity,meters,58
sensors,conductivity,58
water,vapor,58
climatologymeteorologyatmosphere,environment,57
dynamics,ecosystem,57
ecosystem,functions,57
atmospheric,water,56
cast,ship,56
degradation,earth,56
ice,lake,56
measuring,tape,55
probes,steel,55
sedimentation,degradation,55
sedimentation,sediment,55
steel,measuring,55
suspended,solids,55
atmospheric,temperature,54
collectors,sediment,54
monthly,inlandwaters,54
sampling,arctic,54
sediment,traps,54
sedimentation,sedimentation,54
station,hourly,54
deposits,earth,53
sedimentation,sediments,53
annual,environment,52
arctic,ecology,52
cameras,automated,52
entrainment,earth,52
humidity,earth,52
ice,temperature,52
inlandwaters,environment,52
manned,permanent,52
permanent,station,52
records,varve,52
sedimentation,entrainment,52
sedimentation,suspended,52
system,image,52
vapor,humidity,52
varve,deposits,52
meters,manned,51
seawater,sampling,51
air,temperature,50
ancillary,info,50
arctic,ancillary,50
atmospheric,radiation,50
cameras,earth,50
hour,climatologymeteorologyatmosphere,50
ice,core,50
permafrost,earth,50
water,content,50
landscape,ecology,49
surface,temperature,49
conductivity,earth,48
moisture,water,48
instruments,photon,47
probe,field,47
solid,earth,47
indicators,paleoclimate,46
instruments,spectrometers,46
paleoclimate,indicators,46
radiometers,radiometers,46
science,solid,46
oceans,sea,45
profile,1,45
science,agriculture,45
water,flux,45
gauges,stream,44
stream,gauges,44
surface,land,44
unknown,hourly,44
weather,station,44
fresh,water,43
ice,thickness,43
station,station,43
daily,1,42
grid,500,42
meters,1,42
meters,annual,42
radiation,earth,42
survey,manned,42
analyses,arctic,41
circulation,fresh,41
hydrophone,mooring,41
current,profiler,40
mooring,vertical,40
ship,station,40
acoustic,doppler,39
automatic,remote,39
circulation,ocean,39
doppler,current,39
echo,sounders,39
energy,balance,39
noise,hydrophone,39
remote,weather,39
surface,landscape,39
adcp,acoustic,38
avhrr,imagery,38
eddy,covariance,38
noaa,avhrr,38
radiometers,spectroradiometers,38
sediments,sediment,38
snow,melt,38
sounders,adcp,38
sounders,temperature,38
system,earth,38
temperature,profilers,38
turbidity,earth,38
analysis,arctic,37
balance,micrometeorology,37
carbon,fluxes,37
ecosystem,exchange,37
hour,oceans,37
instruments,sensors,37
land,temperature,37
landforms,processes,37
mixed,layer,37
net,ecosystem,37
ocean,mixed,37
primary,productivity,37
spectroradiometers,spectroradiometers,37
temperature,land,37
atmosphere,clouds,36
ecosystems,plankton,36
ek80,broadband,36
imagery,arctic,36
inlandwaters,oceans,36
mammals,carnivores,36
organic,carbon,36
sensors,ek80,36
weekly,1,36
annual,weekly,35
carbon,dioxide,35
depth,sounder,35
echogram,ice,35
gauges,earth,35
ground,ice,35
lions,walruses,35
meters,earth,35
radar,depth,35
sea,lions,35
seals,sea,35
sediments,turbidity,35
sounder,echogram,35
carnivores,seals,34
chemistry,trace,34
clouds,cloud,34
deep,sonar,34
lake,levels,34
levels,earth,34
noise,earth,34
records,lake,34
sounders,echo,34
spectrometers,field,34
station,inlandwaters,34
annual,1,33
benthic,sampling,33
cetaceans,earth,33
depth,thickness,33
geomorphic,landforms,33
hour,monthly,33
mammals,cetaceans,33
oceanography,oceans,33
weekly,annual,33
annual,geoscientificinformation,32
buoy,vertical,32
covariance,carbon,32
density,conductivity,32
dissolved,oxygen,32
exchange,eddy,32
organic,matter,32
sonar,arctic,32
sounders,profilers,32
arctic,ocean,31
atmospheric,ocean,31
convergence,divergence,31
density,salinity,31
divergence,earth,31
indicators,atmospheric,31
ocean,indicators,31
weekly,biota,31
winds,convergence,31
bottles,flasks,30
flasks,jars,30
lter,lake,30
mass,spectrometers,30
ocean,optics,30
samplers,bottles,30
science,services,30
arctic,models,29
cast,oceanography,29
chemistry,carbon,29
chemistry,earth,29
chemistry,water,29
coastal,processes,29
depth,drifting,29
earth,geomorphic,29
fluxes,aon,29
grid,30,29
ground,ground,29
ice,depth,29
ice,physics,29
sensors,earth,29
arctic,chemistry,28
cameras,kite,28
ecology,earth,28
location,oceans,28
radiation,detectors,28
sensing,thermal,28
sensors,humidity,28
thermal,radiation,28
thickness,earth,28
unknown,geoscientificinformation,28
analyzers,carbon,27
cryospheric,indicators,27
depth,ship,27
dimensions,human,27
dimensions,population,27
gts,surface,27
human,settlements,27
indicators,cryospheric,27
melt,earth,27
meters,pressure,27
nutrients,earth,27
platforms,arctic,27
radiometers,mass,27
surface,platforms,27
unknown,climatologymeteorologyatmosphere,27
50,kilometers,26
analyzers,co2,26
biogeochemical,cycles,26
biology,oceanography,26
co2,analyzers,26
conductance,earth,26
kilometer,annual,26
limnology,dissolved,26
limnology,specific,26
limnology,temperature,26
meter,1,26
meters,barometers,26
ocean,currents,26
oceans,coastal,26
specific,conductance,26
spectroradiometers,manned,26
survey,unknown,26
trace,gases,26
arctic,ice,25
atmosphere,aerosols,25
ocean,heat,25
radiation,sensors,25
ship,biology,25
surface,frozen,25
system,biota,25
active,radiation,24
carbon,earth,24
chemistry,nutrients,24
density,earth,24
ecology,vegetation,24
fire,ecology,24
gases,trace,24
heat,budget,24
photosynthetically,active,24
population,population,24
population,size,24
radiation,ultraviolet,24
sounders,lidar,24
station,unknown,24
temperature,thermocline,24
trace,species,24
ultraviolet,radiation,24
vegetation,vegetation,24
agriculture,soils,23
dynamics,fire,23
ecosystems,wetlands,23
functions,biogeochemical,23
imaging,spectrometers,23
indicators,earth,23
lidar,laser,23
ltreb,lake,23
pressure,earth,23
radiometers,imaging,23
services,models,23
species,earth,23
vegetation,community,23
atmosphere,precipitation,22
biology,arctic,22
chemistry,oxygen,22
drifting,ice,22
ice,camp,22
kite,grid,22
meters,anemometers,22
meters,daily,22
mooring,arctic,22
profilers,mooring,22
satellite,dmsp,22
sensors,thermometers,22
surface,winds,22
survey,station,22
temperature,air,22
temperature,ocean,22
thermocline,earth,22
unknown,society,22
vegetation,sampling,22
weekly,oceans,22
winds,surface,22
biological,observatory,21
cloud,microphysics,21
dimensions,environmental,21
distributed,biological,21
habitat,earth,21
jars,niskin,21
mackenzie,river,21
microphysics,cloud,21
niskin,bottles,21
satellite,climatologymeteorologyatmosphere,21
science,landscape,21
survey,environment,21
acoustic,data,20
biota,climatologymeteorologyatmosphere,20
broadband,watercolumn,20
buoy,trajectory,20
cloud,liquid,20
density,pycnocline,20
dioxide,earth,20
ice,chemistry,20
liquid,water,20
ncar,pam,20
ozone,detectors,20
pam,mesonet,20
productivity,tundra,20
survey,monthly,20
tundra,net,20
tussock,tundra,20
water,ice,20
watercolumn,acoustic,20
arctic,aircraft,19
chemistry,arctic,19
dissolved,organic,19
dynamics,community,19
hydrology,arctic,19
matter,earth,19
methane,observatory,19
pressure,gauges,19
primary,production,19
sounders,radar,19
surface,air,19
temperature,surface,19
vegetation,species,19
water,level,19
water,water,19
wind,speed,19
biota,environment,18
corers,earth,18
depth,mooring,18
dmsp,arctic,18
ecology,arctic,18
erosion,earth,18
greenland,snow,18
hour,weekly,18
indicators,land,18
kuparuk,river,18
models,earth,18
plankton,zooplankton,18
sampling,oceanography,18
spectrometers,automated,18
station,1,18
visual,observations,18
wetlands,peatlands,18
aerosol,albedo,17
albedo,greenland,17
coastal,landforms,17
community,dynamics,17
daily,inlandwaters,17
depth,arctic,17
ecology,fire,17
gauges,water,17
grid,1,17
hydrocarbon,compounds,17
inlandwaters,climatologymeteorologyatmosphere,17
level,gauges,17
meter,oceans,17
observatory,permafrost,17
processes,coastal,17
productivity,net,17
transect,1,17
vegetation,cover,17
vegetation,plant,17
acoustic,watercolum,16
broadband,acoustic,16
carbon,analyzers,16
cast,arctic,16
chemistry,conductivity,16
compounds,carbon,16
data,instruments,16
deer,reindeer,16
ground,field,16
ice,sea,16
mesonet,arctic,16
meter,daily,16
moist,tussock,16
ocean,pressure,16
oceanography,biota,16
rangifer,tarandus,16
reindeer,rangifer,16
sampling,land,16
speed,wind,16
stefansson,sound,16
tarandus,taimyr,16
total,organic,16
unknown,biota,16
water,depth,16
watercolum,data,16
weekly,environment,16
wind,direction,16
winds,wind,16
analyzers,licor,15
aon,energy,15
arctic,location,15
arctic,sounding,15
chemistry,oceans,15
climatologymeteorologyatmosphere,manned,15
density,density,15
detectors,par,15
detectors,pyranometers,15
detectors,visual,15
discharge,flow,15
micrometeorology,moist,15
natural,hazards,15
par,sensors,15
plant,community,15
sensors,photosynthetically,15
sheets,ice,15
tundra,energy,15
water,discharge,15
winds,earth,15
aircraft,geoscientificinformation,14
aircraft,nsf,14
analyzers,field,14
analyzers,gas,14
animals,invertebrates,14
arctic,science,14
bottom,pressure,14
carbon,nitrogen,14
chukchi,sea,14
circulation,water,14
core,records,14
dunes,earth,14
dynamics,species,14
gauges,bottom,14
greenland,ice,14
ice,growth,14
