word1,word2,n
data,alaska,353
airglow,image,350
image,data,350
north,american,310
aerial,photographs,308
photogrammetric,scans,306
american,glaciers,301
active,layer,210
thaw,depth,164
layer,monitoring,163
circumpolar,active,157
monitoring,calm,157
depth,measurements,145
arctic,ocean,141
passive,acoustic,140
calm,project,137
hly,02,136
chukchi,sea,135
acoustic,data,132
bering,strait,127
mass,balance,126
north,slope,124
atqasuk,alaska,123
collaborative,research,121
sea,ice,117
ice,mass,113
barrow,alaska,112
station,greenland,111
summit,station,110
beaufort,sea,109
balance,buoy,108
ctd,data,108
autonomous,ice,106
buoy,observations,105
observations,buoy,104
field,station,94
bering,sea,89
toolik,field,89
conductivity,temperature,87
roll,1,87
station,alaska,87
nims,grid,84
alaska,2015,83
coast,guard,83
temperature,depth,83
grid,barrow,81
depth,ctd,77
hly,04,77
toolik,lake,75
02,03,71
hly,08,70
grid,atqasuk,69
time,series,68
community,data,67
mobile,instrumented,67
roll,2,67
ice,camp,66
alaska,2016,65
alaska,march,65
arcss,grid,65
adcp,data,63
alaska,2013,63
bathymetric,data,62
lake,toolik,61
02,01,60
beaufort,gyre,60
data,collected,60
ncar,eol,59
alaska,north,58
time,lapse,58
latnjajaure,site,57
uscgc,healy,57
alaska,2012,56
ice,core,56
imnavait,creek,56
central,arctic,55
platform,misp,55
siberia,russia,55
summit,greenland,55
ice,tethered,54
lapse,photography,53
alaska,february,52
daily,time,52
roll,3,51
sea,arctic,51
alaska,april,50
soil,moisture,50
flux,data,49
ice,sheet,49
tethered,profiler,49
climate,data,48
exploration,project,48
greenland,ice,48
guard,cutter,48
gyre,exploration,48
project,mooring,48
barrow,canyon,47
hly,09,47
sir,wilfrid,47
wilfrid,laurier,47
alaska,2011,46
lake,alaska,45
canyon,chukchi,44
data,alatalo,44
site,clip,44
alaska,2014,43
slope,united,43
soil,temperature,43
alaska,december,42
davis,strait,42
data,2013,41
flux,measurements,41
instrumented,sensor,41
sensor,platform,41
creek,alaska,40
current,profiler,40
slope,alaska,40
snow,depth,40
alaska,november,39
eddy,flux,39
roll,4,39
site,excel,39
2015,2016,38
2016,2017,38
alaska,january,38
ascii,beringer,38
data,ascii,38
data,excel,38
excel,beringer,38
site,ascii,38
water,temperature,37
1,tiffs,36
arctic,observing,36
data,ashjian,36
04,02,35
observing,network,35
specific,conductance,35
04,03,34
nabos,ii,34
2013,2015,33
alaska,2010,33
environmental,observatory,33
hly,07,33
organic,carbon,33
council,climate,32
cutter,healy,32
data,barrow,32
data,cooper,32
data,sambrotto,32
data,walker,32
toolik,site,32
08,02,31
2010,2015,31
acoustic,dopper,31
aerial,photography,31
alaska,september,31
dopper,current,31
alaska,2017,30
data,station,30
healy,hly,30
station,imnavait,30
whoi,ice,30
alaska,2018,29
isotope,data,29
kite,aerial,29
snowfence,experiment,29
spectral,reflectance,29
arctic,lakes,28
ashjian,ldeo,28
averages,muenchow,28
backscatter,diffraction,28
chukchi,seas,28
electron,backscatter,28
min,averages,28
reflectance,measurements,28
shipboard,acoustic,28
toolik,snowfence,28
09,02,27
1,jpegs,27
mooring,data,27
polycrystalline,ice,27
sadcp,data,27
2,tiffs,26
arctic,atmospheric,26
arctic,sea,26
arcticrims,ncep,26
atmospheric,observatories,26
council,flux,26
diffraction,data,26
east,siberia,26
ground,temperatures,26
ice,test,26
ii,mooring,26
instrumented,system,26
ncep,reanalysis,26
north,east,26
ship,log,26
system,platform,26
test,specimen,26
tundra,site,26
alaska,2019,25
alaska,october,25
climate,change,25
greenland,2014,25
greenland,2015,25
northwest,territories,25
oceans,c3o,25
remote,sensing,25
sambrotto,ldeo,25
sea,2011,25
sediment,core,25
southern,chukchi,25
temperature,data,25
temperature,specific,25
tiffs,fiducials,25
1,thumbnails,24
alaska,interior,24
barrow,atqasuk,24
carbon,data,24
data,site,24
dissolved,organic,24
interior,united,24
logger,data,24
ncar,pam,24
pam,iii,24
profiler,sadcp,24
territories,canada,24
07,01,23
administrative,regions,23
alaska,population,23
aperture,radar,23
mnt,site,23
pan,arctic,23
roll,5,23
synthetic,aperture,23
western,arctic,23
2,jpegs,22
arctic,alaska,22
cloud,microphysical,22
data,core,22
data,eastern,22
echogram,data,22
international,tundra,22
microphysical,properties,22
model,output,22
northern,bering,22
radar,processing,22
samples,collected,22
satellite,data,22
tundra,experiment,22
1990,2006,21
antenna,array,21
array,processing,21
biological,observatory,21
distributed,biological,21
experiment,itex,21
glaciers,1994,21
meteorological,data,21
northern,alaska,21
population,1990,21
processing,greenland,21
uvsimn,version2,21
08,01,20
09,01,20
1994,roll,20
glaciers,1992,20
greenland,2011,20
kuskokwim,delta,20
northeastern,siberia,20
observatory,dbo,20
p1,92,20
particulate,organic,20
photography,nims,20
plant,community,20
sea,2010,20
