token,n
data,2157
alaska,1348
arctic,732
ice,655
north,525
sea,501
measurements,497
site,457
greenland,439
2011,420
hly,390
aerial,381
2012,374
depth,372
2015,359
barrow,355
image,352
airglow,350
hydroxyl,345
photographs,321
station,321
temperature,320
american,317
lake,314
glaciers,313
scans,308
photogrammetric,307
2016,287
roll,277
toolik,271
2013,269
buoy,260
bering,256
2014,253
02,250
project,249
ocean,248
2010,235
grid,230
2018,228
water,226
soil,223
1,218
2017,217
layer,216
active,212
ascii,204
observations,204
2,197
beaufort,194
summit,191
acoustic,190
monitoring,190
chukchi,187
excel,186
thaw,183
atqasuk,180
research,179
strait,178
carbon,176
calm,169
core,169
ctd,169
snow,167
circumpolar,164
surface,162
wav,160
01,157
field,154
time,147
mooring,146
03,144
climate,144
flux,144
passive,144
balance,143
3,137
sediment,136
tundra,136
mass,134
slope,133
walker,131
autonomous,130
2009,128
collaborative,125
united,123
community,121
glacier,119
2008,118
nims,114
russia,113
tiffs,110
ncar,108
ldeo,107
4,105
model,105
river,104
collected,101
council,101
daily,101
creek,99
ivotuk,98
2019,96
coast,96
profiler,96
cloud,94
healy,94
system,94
10,91
conductivity,90
jpegs,88
5,87
network,85
photography,85
04,84
guard,83
siberia,83
atmospheric,82
permafrost,82
satellite,82
sensor,81
analysis,80
march,80
beringer,79
thumbnails,79
central,78
experiment,78
ground,78
2006,77
radar,77
2007,76
arcss,75
imnavait,75
adcp,73
cruise,73
08,72
sites,71
biomass,70
april,69
camp,69
platform,69
series,69
canada,68
isotope,68
mobile,68
weather,68
instrumented,67
na,67
organic,67
plant,66
svalbard,66
bathymetric,65
northern,65
uscgc,65
ecosystem,64
environmental,64
misp,64
properties,64
ship,64
air,63
september,63
vegetation,63
oxygen,62
polar,62
observatory,61
ashjian,60
gyre,60
marine,60
temperatures,60
eol,59
laurier,59
sir,59
2003,58
c1,58
current,58
february,58
lapse,58
nitrogen,58
change,57
latnjajaure,57
seasonal,57
tethered,57
cooper,56
cutter,56
eastern,56
western,56
abundance,55
dissolved,55
west,55
2005,54
chemistry,54
concentrations,53
moisture,53
17,52
2000,52
december,52
east,52
lakes,52
november,52
09,51
1990,51
2004,51
exploration,51
observing,50
plot,50
shelf,50
study,50
warming,50
c6,49
lidar,49
plots,49
sheet,49
16,48
arcticrims,48
canyon,48
hourly,48
july,48
backscatter,47
canadian,47
gif,47
january,47
processing,47
raw,47
survey,47
underway,47
wilfrid,47
averages,46
epstein,46
information,46
1995,45
aerosol,45
dynamics,45
format,45
imagery,45
reflectance,45
seas,45
summer,45
1996,44
alatalo,44
clip,44
davis,44
grebmeier,44
hinzman,44
precipitation,44
array,43
fluxes,43
itex,43
preliminary,43
2002,42
august,42
benthic,42
discharge,42
distribution,42
nutrient,42
species,42
eddy,41
integrated,41
melt,41
ndvi,41
zooplankton,41
forest,40
hydrographic,40
shrub,40
census,39
ii,39
international,39
profiles,39
rates,39
specific,39
spectral,39
07,38
1994,38
6,38
nabos,38
ncep,38
watershed,38
webber,38
basin,37
conductance,37
cover,37
interior,37
linnévatnet,37
physical,37
siberian,37
whoi,37
island,36
june,36
linnébreen,36
log,36
methane,36
observatories,36
resolution,36
season,36
composition,35
dataset,35
radiation,35
winter,35
12,34
average,34
chlorophyll,34
density,34
deployment,34
effects,34
isotopes,34
northwest,34
production,34
reanalysis,34
samples,34
science,34
test,34
1979,33
1992,33
7,33
biological,33
chemical,33
firn,33
fjord,33
holocene,33
october,33
peninsula,33
regions,33
tree,33
14,32
1998,32
a3,32
al,32
co2,32
meteorological,32
min,32
particulate,32
sambrotto,32
spring,32
ak,31
ccgs,31
cores,31
csasn,31
dopper,31
level,31
term,31
yukon,31
bottle,30
fire,30
iii,30
population,30
program,30
9,29
alaskan,29
diffraction,29
kite,29
mnt,29
shipboard,29
snowfence,29
stable,29
1993,28
delta,28
electron,28
global,28
harvey,28
images,28
muenchow,28
pam,28
sadcp,28
southern,28
8,27
geochemistry,27
output,27
polycrystalline,27
pressure,27
rate,27
ring,27
scale,27
upper,27
uvsimn,27
18,26
based,26
control,26
growth,26
kuparuk,26
specimen,26
summary,26
variability,26
1997,25
a2,25
acid,25
bay,25
c3o,25
channel,25
coastal,25
concentration,25
fiducials,25
navigation,25
oceans,25
p1,25
parameters,25
remote,25
report,25
sensing,25
stream,25
synthetic,25
territories,25
15,24
2001,24
21,24
a4,24
andreas,24
boreal,24
borehole,24
dbo,24
distributed,24
expedition,24
graph,24
lai,24
logger,24
low,24
mesozooplankton,24
microbial,24
norway,24
pacific,24
russian,24
service,24
simulations,24
table,24
thickness,24
wind,24
11,23
19,23
1977,23
administrative,23
aggregated,23
aperture,23
archipelago,23
avhrr,23
functional,23
gas,23
hill,23
microphysical,23
pan,23
phenology,23
region,23
romanovsky,23
sonar,23
transect,23
1991,22
1999,22
30,22
echogram,22
gradient,22
index,22
northeastern,22
radiometer,22
response,22
terascan,22
1975,21
antenna,21
bottom,21
calon,21
conditions,21
energy,21
leaf,21
moist,21
processes,21
st,21
version2,21
1974,20
23,20
92,20
aon,20
bates,20
buoys,20
c3,20
experimental,20
files,20
grazing,20
hydrology,20
impacts,20
kuskokwim,20
lipid,20
mat,20
measured,20
minute,20
occurrence,20
quality,20
reindeer,20
respiration,20
taimyr,20
welker,20
1980,19
27,19
annual,19
basins,19
canada's,19
focused,19
ibp,19
impact,19
merged,19
microwave,19
microzooplankton,19
noaa,19
northeast,19
oil,19
peatland,19
sagwon,19
sbi,19
sediments,19
sheba,19
size,19
studies,19
surveys,19
thule,19
uscg,19
utqiagvik,19
woodgate,19
workshop,19
13,18
24,18
boulder,18
column,18
derived,18
dmsp,18
ek80,18
exchange,18
frozen,18
glacial,18
industry,18
ion,18
ipy,18
islands,18
late,18
major,18
margin,18
mesonet,18
observation,18
peat,18
photo,18
photos,18
pole,18
property,18
reported,18
spatial,18
sturm,18
tussock,18
type,18
velocity,18
22,17
25,17
development,17
event,17
faunal,17
final,17
gps,17
grids,17
height,17
history,17
itp,17
jarvis,17
land,17
matter,17
nitrate,17
nutrients,17
structure,17
thermal,17
thermokarst,17
whale,17
wtd,17
06,16
1970,16
1978,16
aboard,16
acidic,16
america,16
detection,16
ecosystems,16
elevation,16
environment,16
fen,16
isotopic,16
kolyma,16
lloyd,16
national,16
phytoplankton,16
regional,16
ridge,16
salinity,16
sample,16
sbe,16
soils,16
swerus,16
1976,15
1981,15
ahlquist,15
analyses,15
ar,15
bacterial,15
base,15
bowhead,15
communities,15
database,15
deployed,15
distributions,15
earth,15
ecology,15
eureka,15
framing,15
historical,15
humidity,15
locations,15
matlab,15
millimeter,15
moritz,15
oberbauer,15
optics,15
petermann,15
primary,15
radiance,15
range,15
ratio,15
record,15
sampling,15
seward,15
soundings,15
tn249,15
understanding,15
uw,15
1972,14
28,14
agashashok,14
albedo,14
black,14
burned,14
characteristics,14
controls,14
doppler,14
drift,14
emitted,14
heat,14
inorganic,14
interferometer,14
jia,14
larch,14
mammal,14
meas,14
moored,14
moorings,14
multiple,14
oasis,14
observational,14
oceanographic,14
pit,14
position,14
psea,14
seabeam,14
seasons,14
situ,14
sonic,14
spitsbergen,14
spruce,14
subsistence,14
synthesis,14
systems,14
taku,14
valley,14
whp,14
20,13
2020,13
26,13
31,13
accumulation,13
b62,13
brightness,13
campbell,13
cap,13
columbia,13
content,13
continuous,13
copass,13
datalogger,13
deep,13
digital,13
dioxide,13
doc,13
dunton,13
estimates,13
eurasian,13
fatty,13
flagg,13
forefield,13
future,13
implications,13
interactions,13
iss,13
jamstec,13
jaz,13
lagoon,13
laurent,13
light,13
liston,13
louis,13
methanesulfonic,13
modeling,13
moss,13
net,13
nome,13
poc,13
ponds,13
records,13
riedel,13
rivers,13
snowpack,13
spectrometer,13
spectroradiometer,13
suspended,13
swl,13
terrestrial,13
track,13
waters,13
04a,12
1973,12
1986,12
1988,12
234,12
ameriflux,12
biogeochemical,12
burn,12
ceilometer,12
crrel,12
csv,12
depths,12
driven,12
ensemble,12
fahnestock,12
function,12
geochemical,12
hansell,12
infrared,12
intensive,12
kamchatka,12
kn195,12
knowledge,12
landscape,12
micropulse,12
monthly,12
mpl,12
nbp03,12
npeo,12
nunavut,12
observed,12
oechel,12
patch,12
polarization,12
prudhoe,12
radiosonde,12
ranging,12
sky,12
sodar,12
technology,12
tower,12
transport,12
turbulent,12
vaginatum,12
values,12
vessel,12
wilfred,12
wrf,12
152,11
1984,11
2100,11
29,11
37,11
agency,11
aircraft,11
arcmip,11
atmosphere,11
calibration,11
characterization,11
circumarctic,11
classification,11
contribution,11
delay,11
dem,11
difference,11
era,11
eriophorum,11
etl,11
evidence,11
forecasting,11
holmgren,11
i8,11
inlet,11
japan,11
kadko,11
measurement,11
microclimate,11
multi,11
n2,11
normalized,11
ongoing,11
outlet,11
penetrating,11
perovich,11
plain,11
quantitative,11
root,11
seawater,11
south,11
sum,11
temp,11
thorium,11
throughflow,11
tidewater,11
tracers,11
trap,11
trefry,11
uranium,11
usa,11
1987,10
3007,10
anaktuvuk,10
atlantic,10
baffin,10
bears,10
broad,10
cast,10
chamber,10
cycling,10
darby,10
dry,10
e5,10
echograms,10
forage,10
gridded,10
happy,10
hly1104,10
hour,10
iabp,10
indigenous,10
influences,10
investigation,10
kirchman,10
kougarok,10
kronebreen,10
laptev,10
lter,10
makarov,10
mapping,10
mile,10
modern,10
mountains,10
nearshore,10
nsf,10
optical,10
particle,10
performance,10
pigment,10
plants,10
polaris,10
pore,10
radiocarbon,10
results,10
scs,10
sedimentation,10
snacs,10
sounder,10
source,10
southeast,10
trace,10
viper,10
zone,10
320b,9
ablation,9
archive,9
arm,9
assessing,9
basal,9
bin,9
biocomplexity,9
biogeochemistry,9
boundary,9
box,9
brw,9
changing,9
chukotka,9
climatic,9
comparison,9
description,9
disko,9
dissipation,9
drilling,9
edge,9
elog,9
fe,9
flight,9
flow,9
iceland,9
imnaviat,9
khz,9
knudsen,9
kongsvegen,9
labrador,9
landfast,9
leconte,9
link,9
local,9
map,9
melting,9
models,9
molau,9
papp,9
park,9
peters,9
phytomass,9
plateau,9
pleistocene,9
post,9
proglacial,9
rapid,9
rapids,9
reciprocal,9
refuge,9
salix,9
sar,9
shaver,9
sources,9
subglacial,9
summaries,9
transplant,9
uptempo,9
uttal,9
vapor,9
vertical,9
watch,9
wildlife,9
1969,8
1971,8
1km,8
a2w,8
acids,8
alle,8
archaeological,8
automated,8
averaged,8
baid,8
bret,8
ch4,8
cherskii,8
chromatography,8
cns,8
coldfoot,8
compilation,8
component,8
continuing,8
dissertation,8
doctoral,8
dominance,8
drained,8
e1,8
e6,8
effect,8
empty,8
euphausiid,8
factors,8
feeding,8
fert,8
fog,8
generation,8
genetics,8
gradinger,8
growing,8
harte,8
heating,8
heights,8
hrpt,8
hydrogen,8
identification,8
irradiance,8
km,8
kongsfjorden,8
location,8
manitoba,8
meltwater,8
met,8
meteorology,8
microphysics,8
microtopographic,8
millennium,8
morison,8
native,8
neem,8
niwot,8
pacmars,8
posmv,8
products,8
psc,8
quantifying,8
ratios,8
seabird,8
set,8
sherr,8
simulated,8
stations,8
subarctic,8
switchyard,8
tf,8
timelapse,8
traditional,8
traffic,8
transects,8
uaf,8
video,8
warm,8
weekly,8
winds,8
14c,7
1982,7
1985,7
2071,7
40,7
75,7
age,7
ais,7
antarctica,7
aquatic,7
aquifer,7
arcveg,7
assessments,7
auks,7
automatic,7
aws,7
baseline,7
boreholes,7
bowfest,7
budgets,7
c2,7
calanus,7
calef,7
canopy,7
cesm,7
chaoz,7
charcoal,7
christensen,7
circulation,7
contaminants,7
coring,7
counts,7
coupled,7
ct,7
