"","word1","word2","n"
"1","earth","science",4935
"2","laboratory","instruments",2790
"3","situ","laboratory",2790
"4","remote","sensing",1920
"5","instruments","probes",1112
"6","science","cryosphere",1062
"7","earth","remote",957
"8","sensing","instruments",956
"9","passive","remote",877
"10","instruments","passive",876
"11","science","oceans",796
"12","science","atmosphere",779
"13","1","kilometer",720
"14","atmosphere","atmospheric",665
"15","land","surface",658
"16","1","minute",616
"17","science","land",605
"18","1","hour",597
"19","30","meters",586
"20","arctic","surface",584
"21","optical","detectors",577
"22","photon","optical",577
"23","detectors","cameras",532
"24","sensing","photon",530
"25","oceans","ocean",521
"26","field","survey",516
"27","probes","soil",504
"28","frozen","ground",485
"29","science","biosphere",449
"30","cryosphere","frozen",447
"31","humidity","sensors",441
"32","snow","ice",433
"33","1","meter",430
"34","ice","snow",429
"35","100","meters",421
"36","oceanography","arctic",414
"37","instruments","temperature",413
"38","temperature","humidity",413
"39","image","1",399
"40","10","kilometers",381
"41","terrestrial","hydrosphere",375
"42","atmospheric","pressure",373
"43","profilers","sounders",364
"44","science","terrestrial",363
"45","500","meters",361
"46","cryosphere","snow",355
"47","camera","observatory",350
"48","cameras","asc",350
"49","gravity","wave",350
"50","pressure","gravity",350
"51","sky","camera",350
"52","wave","earth",350
"53","hour","geoscientificinformation",348
"54","kilometers","1",345
"55","observatory","image",343
"56","erosion","sedimentation",331
"57","surface","erosion",331
"58","temperature","earth",328
"59","ice","sheets",321
"60","250","meters",313
"61","aerial","usgs",306
"62","alaska","glacier",306
"63","glacier","aerial",306
"64","ship","oceanography",303
"65","sea","ice",296
"66","soil","temperature",296
"67","glaciers","ice",292
"68","mass","balance",270
"69","probes","probes",259
"70","science","paleoclimate",256
"71","field","station",254
"72","instruments","profilers",252
"73","spectrometers","radiometers",238
"74","active","layer",231
"75","soil","moisture",231
"76","instruments","recorders",221
"77","recorders","loggers",221
"78","ground","active",219
"79","loggers","temperature",215
"80","temperature","loggers",215
"81","survey","transect",208
"82","biota","oceans",207
"83","sensors","temperature",198
"84","temperature","sensors",198
"85","moisture","probe",178
"86","manned","field",177
"87","sheets","glaciers",174
"88","temperature","probe",174
"89","terrestrial","ecosystems",173
"90","biosphere","terrestrial",172
"91","cameras","cameras",168
"92","sensing","spectrometers",168
"93","acoustic","sounders",167
"94","glaciers","earth",167
"95","sounders","acoustic",167
"96","sediments","earth",164
"97","arctic","oceans",163
"98","cryosphere","glaciers",163
"99","lake","records",161
"100","ocean","lake",161
"101","sensors","thermistors",161
"102","thermistors","thermistors",160
"103","kilometer","monthly",159
"104","soil","depth",153
"105","depth","probe",151
"106","paleoclimate","ocean",149
"107","probes","temperature",149
"108","temperature","probes",149
"109","annual","field",147
"110","human","dimensions",147
"111","science","human",147
"112","ship","arctic",145
"113","alpine","tundra",144
"114","kilometer","1",144
"115","meters","30",144
"116","surface","water",144
"117","measuring","rod",143
"118","meters","250",143
"119","meters","500",143
"120","ocean","temperature",143
"121","probes","snow",143
"122","snow","measuring",143
"123","meters","100",142
"124","surface","soils",142
"125","transect","grid",139
"126","grid","multiple",138
"127","multiple","grids",138
"128","vectors","environment",137
"129","instruments","corers",136
"130","hydrosphere","surface",135
"131","science","climate",134
"132","climate","indicators",133
"133","snow","depth",133
"134","ambient","noise",132
"135","chemical","meters",131
"136","instruments","chemical",131
"137","meters","analyzers",131
"138","records","sediments",131
"139","ecosystems","alpine",126
