"word","n"
"arctic",2287
"science",1959
"earth",1931
"instruments",1521
"1",1083
"surface",975
"laboratory",895
"situ",894
"oceans",835
"remote",788
"sensing",763
"field",729
"passive",718
"meters",715
"ice",713
"temperature",632
"minute",614
"ship",607
"hour",597
"detectors",584
"optical",583
"kilometer",578
"photon",572
"atmosphere",569
"cryosphere",567
NA,537
"climatologymeteorologyatmosphere",535
"environment",535
"oceanography",535
"cameras",532
"snow",527
"survey",522
"ocean",521
"atmospheric",512
"geoscientificinformation",498
"alaska",478
"biota",471
"30",446
"water",440
"station",436
"pressure",435
"depth",423
"meter",423
"daily",422
"image",422
"observatory",422
"annual",406
"glacier",405
"kilometers",386
"10",381
"soil",374
"camera",362
"monthly",361
"gravity",353
"wave",353
"sky",352
"asc",350
"probes",347
"ground",339
"terrestrial",335
"sensors",329
"hourly",327
"active",322
"frozen",317
"land",315
"aerial",307
"usgs",307
"profilers",302
"sounders",302
"sea",296
"100",284
"biosphere",280
"humidity",275
"grid",274
"mooring",272
"layer",268
"transect",263
"ctd",249
"lake",231
"chemistry",228
"tundra",228
"manned",227
"ecosystems",225
"loggers",220
"recorders",220
"500",218
"probe",217
"weekly",209
"moisture",207
"system",207
"unknown",203
"buoy",200
"measuring",200
"balance",197
"mass",194
"carbon",192
"acoustic",187
"sheets",183
"hydrosphere",182
"glaciers",180
"radiometers",180
"spectrometers",180
"250",171
"conductivity",169
"multiple",168
"thermistors",161
"ecology",148
"current",145
"permafrost",145
"alpine",144
"cover",144
"grids",144
"vectors",144
"rod",143
"aon",139
"ambient",132
"inlandwaters",132
"noise",132
"paleoclimate",132
"vegetation",132
"satellite",122
"data",119
"wind",118
"sediment",116
"models",111
"records",111
"drifting",110
"vertical",110
"chemical",109
"analyzers",107
"samplers",107
"soils",107
"climate",106
"observing",106
"sampling",105
"cast",104
"automated",103
"navigation",102
"tower",102
"circulation",101
"lakes",101
"profile",100
"sediments",100
"gps",98
"meteorological",96
"positioning",96
"processes",96
"hydrology",93
"aircraft",91
"density",89
"global",88
"acoustics",87
"greenland",86
"biological",84
"ecosystem",84
"radiation",84
"toolik",84
"corers",83
"radar",82
"hydrophones",81
"salinity",81
"gauges",79
"dynamics",78
"analyses",77
"aquatic",76
"marine",76
"ecological",74
"character",73
"oxygen",73
"thickness",73
"devices",72
"flux",72
"sheet",72
"weather",72
"periglacial",70
"indicators",68
"bathymetry",67
"coring",67
"air",65
"nitrogen",65
"erosion",64
"sedimentation",64
"dbo",63
"human",63
"noaa",63
"organic",63
"society",63
"toolikgis",63
"bathymetric",62
"community",62
"hypsography",62
"ans",61
"collectors",61
"dimensions",61
"grabbers",61
"height",61
"landscape",61
"traps",61
"biology",60
"melt",60
"net",60
"suspended",60
"transport",60
"classification",59
"river",59
"vapor",58
"core",57
"solids",57
"species",57
"degradation",56
"winds",56
"primary",55
"steel",55
"tape",55
"seawater",54
"content",53
"deposits",53
"dissolved",53
"entrainment",52
"permanent",52
"varve",52
"isotopes",51
"ancillary",50
"exchange",50
"hydrophone",50
"info",50
"plant",49
"stream",49
"benthic",47
"doppler",47
"eddy",47
"functions",47
"gas",47
"arcss",46
"cloud",46
"physical",46
"quality",46
"methane",45
"ncar",45
"analysis",44
"energy",44
"lter",44
"profiler",44
"automatic",43
"sonar",43
"animals",42
"fluxes",42
"fresh",42
"imagery",42
"avhrr",41
"nutrients",41
"productivity",41
"research",41
"turbidity",41
"zooplankton",41
"echo",40
"size",40
"adcp",39
"location",39
"trace",39
"covariance",38
"mammals",38
"matter",38
"properties",38
"spectroradiometers",38
"micrometeorology",37
"vertebrates",37
"carnivores",36
"cetaceans",36
"fire",36
"levels",36
"mixed",36
"population",36
"seals",36
"sounder",36
"walruses",36
"clouds",35
"co2",35
"echogram",35
"lions",35
"precipitation",35
"deep",34
"dioxide",34
"plankton",34
"ultraviolet",33
"convergence",32
"level",32
"compounds",31
"currents",31
"divergence",31
"kite",31
"biomass",30
