"word1","word2","word3","n"
"situ","laboratory","instruments",2790
"laboratory","instruments","probes",1112
"earth","science","cryosphere",1062
"earth","remote","sensing",957
"remote","sensing","instruments",956
"passive","remote","sensing",877
"instruments","passive","remote",876
"sensing","instruments","passive",876
"earth","science","oceans",796
"earth","science","atmosphere",779
"science","atmosphere","atmospheric",665
"earth","science","land",605
"science","land","surface",605
"photon","optical","detectors",577
"optical","detectors","cameras",532
"remote","sensing","photon",530
"sensing","photon","optical",530
"science","oceans","ocean",521
"instruments","probes","soil",504
"earth","science","biosphere",449
"cryosphere","frozen","ground",447
"science","cryosphere","frozen",446
"instruments","temperature","humidity",413
"laboratory","instruments","temperature",413
"temperature","humidity","sensors",413
"atmosphere","atmospheric","pressure",370
"earth","science","terrestrial",363
"science","terrestrial","hydrosphere",363
"cryosphere","snow","ice",355
"science","cryosphere","snow",355
"atmospheric","pressure","gravity",350
"detectors","cameras","asc",350
"gravity","wave","earth",350
"pressure","gravity","wave",350
"sky","camera","observatory",350
"1","hour","geoscientificinformation",348
"kilometers","1","minute",345
"10","kilometers","1",343
"camera","observatory","image",343
"image","1","kilometer",343
"observatory","image","1",343
"wave","earth","remote",343
"land","surface","erosion",331
"surface","erosion","sedimentation",331
"temperature","earth","science",326
"alaska","glacier","aerial",306
"glacier","aerial","usgs",306
"glaciers","ice","sheets",292
"ship","oceanography","arctic",291
"snow","ice","snow",279
"instruments","probes","probes",259
"earth","science","paleoclimate",256
"instruments","profilers","sounders",252
"laboratory","instruments","profilers",252
"instruments","recorders","loggers",221
"laboratory","instruments","recorders",221
"frozen","ground","active",219
"ground","active","layer",219
"loggers","temperature","loggers",215
"recorders","loggers","temperature",215
"field","survey","transect",208
"humidity","sensors","temperature",198
"sensors","temperature","sensors",198
"probes","soil","moisture",178
"soil","moisture","probe",178
"manned","field","station",177
"ice","sheets","glaciers",174
"probes","soil","temperature",174
"soil","temperature","probe",174
"biosphere","terrestrial","ecosystems",172
"science","biosphere","terrestrial",172
"detectors","cameras","cameras",168
"remote","sensing","spectrometers",168
"sensing","spectrometers","radiometers",168
"sheets","glaciers","earth",167
"sounders","acoustic","sounders",167
"profilers","sounders","acoustic",165
"sediments","earth","science",164
"cryosphere","glaciers","ice",163
"science","cryosphere","glaciers",163
"humidity","sensors","thermistors",161
"ocean","lake","records",161
"sensors","thermistors","thermistors",160
"1","kilometer","monthly",159
"probes","soil","depth",151
"soil","depth","probe",151
"instruments","probes","temperature",149
"paleoclimate","ocean","lake",149
"probes","temperature","probes",149
"science","paleoclimate","ocean",149
"annual","field","survey",147
"earth","science","human",147
"science","human","dimensions",147
"sea","ice","snow",145
"1","kilometer","1",144
"30","meters","30",144
"meters","30","meters",144
"instruments","probes","snow",143
"meters","250","meters",143
"meters","500","meters",143
"probes","snow","measuring",143
"snow","measuring","rod",143
"100","meters","100",142
"250","meters","250",142
"500","meters","500",142
"kilometer","1","kilometer",142
"land","surface","soils",142
"meters","100","meters",142
"survey","transect","grid",139
"grid","multiple","grids",138
"oceans","ocean","temperature",138
"transect","grid","multiple",137
"laboratory","instruments","corers",136
"hydrosphere","surface","water",135
"oceanography","arctic","oceans",135
"terrestrial","hydrosphere","surface",135
"earth","science","climate",134
"science","climate","indicators",133
"chemical","meters","analyzers",131
"instruments","chemical","meters",131
"laboratory","instruments","chemical",131
"glaciers","earth","science",128
"ecosystems","alpine","tundra",126
"hydrosphere","glaciers","ice",126
"terrestrial","ecosystems","alpine",126
"terrestrial","hydrosphere","glaciers",126
"ice","snow","cover",116
"biosphere","ecological","dynamics",112
"earth","science","biological",112
"oceans","ocean","circulation",112
"science","biological","classification",112
"science","biosphere","ecological",112
"remote","sensing","profilers",111
"sensing","profilers","sounders",111
"laboratory","instruments","samplers",110
"records","sediments","earth",108
"current","wind","meters",106
"instruments","current","wind",106
"laboratory","instruments","current",106
"arctic","buoy","mass",105
"buoy","mass","balance",105
"ice","snow","arctic",105
"snow","arctic","buoy",105
"ctd","ocean","cast",104
"oceans","ocean","chemistry",104
"surface","soils","soil",103
"oceans","salinity","density",102
"science","oceans","salinity",102
"ice","earth","science",101
"30","meters","hourly",100
"automated","surface","observing",100
"surface","observing","system",100
"remote","sensing","positioning",99
"sensing","positioning","navigation",99
"snow","cover","earth",97
"tower","arctic","surface",96
"biological","classification","animals",95
"sediment","transport","earth",94
"transport","earth","science",94
"cryosphere","sea","ice",93
"science","cryosphere","sea",93
"positioning","navigation","gps",92
"ice","snow","depth",91
"conductivity","temperature","depth",90
"ctd","conductivity","temperature",90
"profilers","sounders","ctd",89
"water","temperature","earth",89
"1","hour","biota",88
"meteorological","tower","arctic",88
"sounders","ctd","conductivity",88
"navigation","gps","gps",87
"oceans","ocean","acoustics",87
"science","oceans","marine",87
"ice","sheets","glacier",86
"laboratory","instruments","gauges",86
"depth","earth","science",85
"global","positioning","system",85
"gps","global","positioning",85
"gps","gps","global",85
"oceans","marine","sediments",85
"paleoclimate","land","records",85
"science","paleoclimate","land",85
"biosphere","aquatic","ecosystems",83
"science","biosphere","aquatic",83
"snow","depth","earth",83
"acoustics","ambient","noise",82
"earth","science","physical",82
"hour","biota","oceans",82
"hydrosphere","water","quality",82
"ocean","acoustics","ambient",82
"quality","water","chemistry",82
"science","physical","limnology",82
"terrestrial","hydrosphere","water",82
"water","quality","water",82
"acoustic","sounders","hydrophones",81
"classification","animals","vertebrates",81
"mass","balance","ice",81
"sounders","hydrophones","mooring",81
"spectrometers","radiometers","spectrometers",81
"science","biosphere","vegetation",80
"active","remote","sensing",79
"instruments","active","remote",79
"processes","earth","science",79
"sensing","instruments","active",79
"glacier","mass","balance",78
"ice","sheet","mass",77
"sheet","mass","balance",77
"toolik","field","station",77
"balance","ice","sheet",76
"lakes","earth","science",75
"ocean","temperature","water",75
"soil","temperature","earth",75
"surface","water","lakes",75
"temperature","water","temperature",75
"animals","vertebrates","mammals",74
"balance","earth","science",74
"land","records","sediments",74
"mass","balance","earth",74
"sheets","glacier","mass",74
"water","lakes","earth",73
"alpine","tundra","earth",70
"atmosphere","atmospheric","chemistry",70
"radiometers","spectrometers","spectrometers",70
"frozen","ground","periglacial",69
"ground","periglacial","processes",69
"periglacial","processes","earth",69
"transect","30","meters",68
"corers","sediment","corers",67
"frozen","ground","permafrost",67
"frozen","ground","soil",67
"ground","soil","temperature",67
"instruments","corers","sediment",67
"field","station","alaska",66
"arctic","biota","oceans",65
"corers","coring","devices",65
"field","survey","grid",65
"instruments","corers","coring",65
"layer","earth","science",65
"cover","earth","remote",64
"probes","field","survey",64
"atmosphere","atmospheric","winds",63
"ice","snow","ice",63
"land","character","arctic",63
"probes","probes","field",63
"station","alaska","arctic",63
"alaska","arctic","toolikgis",62
"arctic","toolikgis","bathymetry",62
"bathymetric","data","toolik",62
"bathymetry","hypsography","lake",62
"data","toolik","toolik",62
"hypsography","lake","data",62
"toolik","toolik","field",62
"toolikgis","bathymetry","hypsography",62
"grabbers","traps","collectors",61
"instruments","samplers","grabbers",61
"samplers","grabbers","traps",61
"instruments","pressure","height",60
"laboratory","instruments","pressure",60
"pressure","height","meters",60
"sea","ice","ice",60
"instruments","conductivity","sensors",59
"laboratory","instruments","conductivity",59
"meters","current","meters",59
"sedimentation","earth","science",59
"wind","meters","current",59
"conductivity","sensors","conductivity",58
"sensors","conductivity","meters",58
"dynamics","ecosystem","functions",57
"ecological","dynamics","ecosystem",57
"lake","records","sediments",57
"atmosphere","atmospheric","water",56
"atmospheric","water","vapor",56
"degradation","earth","science",56
"ice","lake","ice",56
"image","1","meter",56
"lake","ice","earth",56
"ocean","cast","ship",56
"snow","ice","lake",56
"erosion","sedimentation","degradation",55
"erosion","sedimentation","sediment",55
"instruments","probes","steel",55
"probes","steel","measuring",55
"sedimentation","degradation","earth",55
"sedimentation","sediment","transport",55
"steel","measuring","tape",55
"collectors","sediment","traps",54
"erosion","sedimentation","sedimentation",54
"sedimentation","sedimentation","earth",54
"traps","collectors","sediment",54
"atmosphere","atmospheric","temperature",53
"deposits","earth","science",53
"erosion","sedimentation","sediments",53
"sedimentation","sediments","earth",53
"100","meters","monthly",52
"cameras","automated","surface",52
"cameras","cameras","automated",52
"entrainment","earth","science",52
"erosion","sedimentation","entrainment",52
"erosion","sedimentation","suspended",52
"field","station","hourly",52
"lake","records","varve",52
"manned","permanent","station",52
"observing","system","image",52
"records","varve","deposits",52
"sedimentation","entrainment","earth",52
"sedimentation","suspended","solids",52
"system","image","1",52
"vapor","humidity","earth",52
"varve","deposits","earth",52
"water","vapor","humidity",52
"current","meters","manned",51
"humidity","earth","science",51
"meters","manned","field",51
"1","hour","climatologymeteorologyatmosphere",50
"arctic","ancillary","info",50
"atmosphere","atmospheric","radiation",50
"cameras","earth","remote",50
"permafrost","earth","science",50
"tundra","earth","remote",49
"cameras","cameras","earth",48
