"","word1","word2","word3","n"
"1","situ","laboratory","instruments",2790
"2","laboratory","instruments","probes",1112
"3","earth","science","cryosphere",1062
"4","earth","remote","sensing",957
"5","remote","sensing","instruments",956
"6","passive","remote","sensing",877
"7","instruments","passive","remote",876
"8","sensing","instruments","passive",876
"9","earth","science","oceans",796
"10","earth","science","atmosphere",779
"11","science","atmosphere","atmospheric",665
"12","earth","science","land",605
"13","science","land","surface",605
"14","photon","optical","detectors",577
"15","optical","detectors","cameras",532
"16","remote","sensing","photon",530
"17","sensing","photon","optical",530
"18","science","oceans","ocean",521
"19","instruments","probes","soil",504
"20","earth","science","biosphere",449
"21","cryosphere","frozen","ground",447
"22","science","cryosphere","frozen",446
"23","instruments","temperature","humidity",413
"24","laboratory","instruments","temperature",413
"25","temperature","humidity","sensors",413
"26","atmosphere","atmospheric","pressure",370
"27","earth","science","terrestrial",363
"28","science","terrestrial","hydrosphere",363
"29","cryosphere","snow","ice",355
"30","science","cryosphere","snow",355
"31","atmospheric","pressure","gravity",350
"32","detectors","cameras","asc",350
"33","gravity","wave","earth",350
"34","pressure","gravity","wave",350
"35","sky","camera","observatory",350
"36","1","hour","geoscientificinformation",348
"37","kilometers","1","minute",345
"38","10","kilometers","1",343
"39","camera","observatory","image",343
"40","image","1","kilometer",343
"41","observatory","image","1",343
"42","wave","earth","remote",343
"43","land","surface","erosion",331
"44","surface","erosion","sedimentation",331
"45","temperature","earth","science",326
"46","alaska","glacier","aerial",306
"47","glacier","aerial","usgs",306
"48","glaciers","ice","sheets",292
"49","ship","oceanography","arctic",291
"50","snow","ice","snow",279
"51","instruments","probes","probes",259
"52","earth","science","paleoclimate",256
"53","instruments","profilers","sounders",252
"54","laboratory","instruments","profilers",252
"55","instruments","recorders","loggers",221
"56","laboratory","instruments","recorders",221
"57","frozen","ground","active",219
"58","ground","active","layer",219
"59","loggers","temperature","loggers",215
"60","recorders","loggers","temperature",215
"61","field","survey","transect",208
"62","humidity","sensors","temperature",198
"63","sensors","temperature","sensors",198
"64","probes","soil","moisture",178
"65","soil","moisture","probe",178
"66","manned","field","station",177
"67","ice","sheets","glaciers",174
"68","probes","soil","temperature",174
"69","soil","temperature","probe",174
"70","biosphere","terrestrial","ecosystems",172
"71","science","biosphere","terrestrial",172
"72","detectors","cameras","cameras",168
"73","remote","sensing","spectrometers",168
"74","sensing","spectrometers","radiometers",168
"75","sheets","glaciers","earth",167
"76","sounders","acoustic","sounders",167
"77","profilers","sounders","acoustic",165
"78","sediments","earth","science",164
"79","cryosphere","glaciers","ice",163
"80","science","cryosphere","glaciers",163
"81","humidity","sensors","thermistors",161
"82","ocean","lake","records",161
"83","sensors","thermistors","thermistors",160
"84","1","kilometer","monthly",159
"85","probes","soil","depth",151
"86","soil","depth","probe",151
"87","instruments","probes","temperature",149
"88","paleoclimate","ocean","lake",149
"89","probes","temperature","probes",149
"90","science","paleoclimate","ocean",149
"91","annual","field","survey",147
"92","earth","science","human",147
"93","science","human","dimensions",147
"94","sea","ice","snow",145
"95","1","kilometer","1",144
"96","30","meters","30",144
"97","meters","30","meters",144
"98","instruments","probes","snow",143
"99","meters","250","meters",143
"100","meters","500","meters",143
"101","probes","snow","measuring",143
"102","snow","measuring","rod",143
"103","100","meters","100",142
"104","250","meters","250",142
"105","500","meters","500",142
"106","kilometer","1","kilometer",142
"107","land","surface","soils",142
"108","meters","100","meters",142
"109","survey","transect","grid",139
"110","grid","multiple","grids",138
"111","oceans","ocean","temperature",138
"112","transect","grid","multiple",137
"113","laboratory","instruments","corers",136
"114","hydrosphere","surface","water",135
"115","oceanography","arctic","oceans",135
"116","terrestrial","hydrosphere","surface",135
"117","earth","science","climate",134
"118","science","climate","indicators",133
"119","chemical","meters","analyzers",131
"120","instruments","chemical","meters",131
"121","laboratory","instruments","chemical",131
"122","glaciers","earth","science",128
"123","ecosystems","alpine","tundra",126
"124","hydrosphere","glaciers","ice",126
"125","terrestrial","ecosystems","alpine",126
"126","terrestrial","hydrosphere","glaciers",126
"127","ice","snow","cover",116
"128","biosphere","ecological","dynamics",112
"129","earth","science","biological",112
"130","oceans","ocean","circulation",112
"131","science","biological","classification",112
"132","science","biosphere","ecological",112
"133","remote","sensing","profilers",111
"134","sensing","profilers","sounders",111
"135","laboratory","instruments","samplers",110
"136","records","sediments","earth",108
"137","current","wind","meters",106
"138","instruments","current","wind",106
"139","laboratory","instruments","current",106
"140","arctic","buoy","mass",105
"141","buoy","mass","balance",105
"142","ice","snow","arctic",105
"143","snow","arctic","buoy",105
"144","ctd","ocean","cast",104
"145","oceans","ocean","chemistry",104
"146","surface","soils","soil",103
"147","oceans","salinity","density",102
"148","science","oceans","salinity",102
"149","ice","earth","science",101
"150","30","meters","hourly",100
"151","automated","surface","observing",100
"152","surface","observing","system",100
"153","remote","sensing","positioning",99
"154","sensing","positioning","navigation",99
"155","snow","cover","earth",97
"156","tower","arctic","surface",96
"157","biological","classification","animals",95
"158","sediment","transport","earth",94
"159","transport","earth","science",94
"160","cryosphere","sea","ice",93
"161","science","cryosphere","sea",93
"162","positioning","navigation","gps",92
"163","ice","snow","depth",91
"164","conductivity","temperature","depth",90
"165","ctd","conductivity","temperature",90
"166","profilers","sounders","ctd",89
"167","water","temperature","earth",89
"168","1","hour","biota",88
"169","meteorological","tower","arctic",88
"170","sounders","ctd","conductivity",88
"171","navigation","gps","gps",87
"172","oceans","ocean","acoustics",87
"173","science","oceans","marine",87
"174","ice","sheets","glacier",86
"175","laboratory","instruments","gauges",86
"176","depth","earth","science",85
"177","global","positioning","system",85
"178","gps","global","positioning",85
"179","gps","gps","global",85
"180","oceans","marine","sediments",85
"181","paleoclimate","land","records",85
"182","science","paleoclimate","land",85
"183","biosphere","aquatic","ecosystems",83
"184","science","biosphere","aquatic",83
"185","snow","depth","earth",83
"186","acoustics","ambient","noise",82
"187","earth","science","physical",82
"188","hour","biota","oceans",82
"189","hydrosphere","water","quality",82
"190","ocean","acoustics","ambient",82
"191","quality","water","chemistry",82
"192","science","physical","limnology",82
"193","terrestrial","hydrosphere","water",82
"194","water","quality","water",82
"195","acoustic","sounders","hydrophones",81
"196","classification","animals","vertebrates",81
"197","mass","balance","ice",81
"198","sounders","hydrophones","mooring",81
"199","spectrometers","radiometers","spectrometers",81
"200","science","biosphere","vegetation",80
"201","active","remote","sensing",79
"202","instruments","active","remote",79
"203","processes","earth","science",79
"204","sensing","instruments","active",79
"205","glacier","mass","balance",78
"206","ice","sheet","mass",77
"207","sheet","mass","balance",77
"208","toolik","field","station",77
"209","balance","ice","sheet",76
"210","lakes","earth","science",75
"211","ocean","temperature","water",75
"212","soil","temperature","earth",75
"213","surface","water","lakes",75
"214","temperature","water","temperature",75
"215","animals","vertebrates","mammals",74
"216","balance","earth","science",74
"217","land","records","sediments",74
"218","mass","balance","earth",74
"219","sheets","glacier","mass",74
"220","water","lakes","earth",73
"221","alpine","tundra","earth",70
"222","atmosphere","atmospheric","chemistry",70
"223","radiometers","spectrometers","spectrometers",70
"224","frozen","ground","periglacial",69
"225","ground","periglacial","processes",69
"226","periglacial","processes","earth",69
"227","transect","30","meters",68
"228","corers","sediment","corers",67
"229","frozen","ground","permafrost",67
"230","frozen","ground","soil",67
"231","ground","soil","temperature",67
"232","instruments","corers","sediment",67
"233","field","station","alaska",66
"234","arctic","biota","oceans",65
"235","corers","coring","devices",65
"236","field","survey","grid",65
"237","instruments","corers","coring",65
"238","layer","earth","science",65
"239","cover","earth","remote",64
"240","probes","field","survey",64
"241","atmosphere","atmospheric","winds",63
"242","ice","snow","ice",63
"243","land","character","arctic",63
"244","probes","probes","field",63
"245","station","alaska","arctic",63
"246","alaska","arctic","toolikgis",62
"247","arctic","toolikgis","bathymetry",62
"248","bathymetric","data","toolik",62
"249","bathymetry","hypsography","lake",62
"250","data","toolik","toolik",62
"251","hypsography","lake","data",62
"252","toolik","toolik","field",62
"253","toolikgis","bathymetry","hypsography",62
"254","grabbers","traps","collectors",61
"255","instruments","samplers","grabbers",61
"256","samplers","grabbers","traps",61
"257","instruments","pressure","height",60
"258","laboratory","instruments","pressure",60
"259","pressure","height","meters",60
"260","sea","ice","ice",60
"261","instruments","conductivity","sensors",59
"262","laboratory","instruments","conductivity",59
"263","meters","current","meters",59
"264","sedimentation","earth","science",59
"265","wind","meters","current",59
"266","conductivity","sensors","conductivity",58
"267","sensors","conductivity","meters",58
"268","dynamics","ecosystem","functions",57
"269","ecological","dynamics","ecosystem",57
"270","lake","records","sediments",57
"271","atmosphere","atmospheric","water",56
"272","atmospheric","water","vapor",56
"273","degradation","earth","science",56
"274","ice","lake","ice",56
"275","image","1","meter",56
"276","lake","ice","earth",56
"277","ocean","cast","ship",56
"278","snow","ice","lake",56
"279","erosion","sedimentation","degradation",55
"280","erosion","sedimentation","sediment",55
"281","instruments","probes","steel",55
"282","probes","steel","measuring",55
"283","sedimentation","degradation","earth",55
"284","sedimentation","sediment","transport",55
"285","steel","measuring","tape",55
"286","collectors","sediment","traps",54
"287","erosion","sedimentation","sedimentation",54
"288","sedimentation","sedimentation","earth",54
"289","traps","collectors","sediment",54
"290","atmosphere","atmospheric","temperature",53
"291","deposits","earth","science",53
"292","erosion","sedimentation","sediments",53
"293","sedimentation","sediments","earth",53
"294","100","meters","monthly",52
"295","cameras","automated","surface",52
"296","cameras","cameras","automated",52
"297","entrainment","earth","science",52
"298","erosion","sedimentation","entrainment",52
"299","erosion","sedimentation","suspended",52
"300","field","station","hourly",52
"301","lake","records","varve",52
"302","manned","permanent","station",52
"303","observing","system","image",52
"304","records","varve","deposits",52
"305","sedimentation","entrainment","earth",52
"306","sedimentation","suspended","solids",52
"307","system","image","1",52
"308","vapor","humidity","earth",52
"309","varve","deposits","earth",52
"310","water","vapor","humidity",52
"311","current","meters","manned",51
"312","humidity","earth","science",51
"313","meters","manned","field",51
"314","1","hour","climatologymeteorologyatmosphere",50
"315","arctic","ancillary","info",50
"316","atmosphere","atmospheric","radiation",50
"317","cameras","earth","remote",50
"318","permafrost","earth","science",50
"319","tundra","earth","remote",49
"320","cameras","cameras","earth",48
"321","moisture","water","content",48
"322","soil","moisture","water",48
"323","conductivity","earth","science",47
"324","cover","earth","science",47
"325","instruments","photon","optical",47
"326","laboratory","instruments","photon",47
"327","landscape","landscape","ecology",47
"328","probe","field","survey",47
"329","earth","science","solid",46
"330","instruments","spectrometers","radiometers",46
"331","laboratory","instruments","spectrometers",46
"332","science","solid","earth",46
"333","soils","soil","moisture",46
"334","climate","indicators","paleoclimate",45
"335","earth","science","agriculture",45
"336","ice","temperature","earth",45
"337","indicators","paleoclimate","indicators",45
"338","oceanography","arctic","biota",45
"339","oceans","sea","ice",45
"340","profile","1","meter",45
"341","science","oceans","sea",45
"342","vertical","profile","1",45
"343","gauges","stream","gauges",44
"344","instruments","gauges","stream",44
"345","land","surface","land",44
"346","ship","arctic","surface",44
"347","survey","transect","30",44
"348","oceanography","arctic","climatologymeteorologyatmosphere",43
"349","snow","ice","temperature",43
"350","active","layer","earth",42
"351","cast","ship","oceanography",42
"352","field","survey","manned",42
"353","fresh","water","flux",42
"354","grid","500","meters",42
"355","circulation","fresh","water",41
"356","models","analyses","arctic",41
"357","ocean","circulation","fresh",41
"358","surface","temperature","earth",41
"359","mooring","vertical","profile",40
"360","survey","manned","field",40
"361","acoustic","doppler","current",39
"362","ambient","noise","hydrophone",39
"363","automatic","remote","weather",39
"364","biota","oceans","environment",39
"365","daily","1","minute",39
"366","doppler","current","profiler",39
"367","glaciers","earth","remote",39
"368","land","surface","landscape",39
"369","noise","hydrophone","mooring",39
"370","ocean","circulation","ocean",39
"371","remote","weather","station",39
"372","surface","landscape","landscape",39
"373","acoustic","sounders","adcp",38
"374","adcp","acoustic","doppler",38
"375","land","surface","temperature",38
"376","marine","sediments","sediment",38
"377","noaa","avhrr","imagery",38
"378","profilers","sounders","temperature",38
"379","satellite","noaa","avhrr",38
"380","sounders","adcp","acoustic",38
"381","sounders","temperature","profilers",38
"382","spectrometers","radiometers","spectroradiometers",38
"383","turbidity","earth","science",38
"384","1","hour","oceans",37
"385","energy","balance","micrometeorology",37
"386","ground","permafrost","earth",37
"387","land","temperature","land",37
"388","net","ecosystem","exchange",37
"389","ocean","mixed","layer",37
"390","radiometers","spectroradiometers","spectroradiometers",37
"391","surface","land","temperature",37
"392","aquatic","ecosystems","plankton",36
"393","avhrr","imagery","arctic",36
"394","imagery","arctic","satellite",36
"395","instruments","sensors","ek80",36
"396","positioning","system","earth",36
"397","science","atmosphere","clouds",36
"398","sensors","ek80","broadband",36
"399","system","earth","remote",36
"400","temperature","land","surface",36
"401","vertebrates","mammals","carnivores",36
"402","weekly","1","minute",36
"403","depth","sounder","echogram",35
"404","echogram","ice","thickness",35
"405","gauges","earth","remote",35
"406","ice","snow","melt",35
"407","marine","sediments","turbidity",35
"408","radar","depth","sounder",35
"409","sea","lions","walruses",35
"410","seals","sea","lions",35
"411","sediments","turbidity","earth",35
"412","sounder","echogram","ice",35
"413","acoustic","sounders","echo",34
"414","ambient","noise","earth",34
"415","atmosphere","clouds","cloud",34
"416","carnivores","seals","sea",34
"417","conductivity","meters","earth",34
"418","field","station","inlandwaters",34
"419","inlandwaters","oceans","environment",34
"420","lake","levels","earth",34
"421","lake","records","lake",34
"422","levels","earth","science",34
"423","mammals","carnivores","seals",34
"424","meters","earth","remote",34
"425","oceans","environment","climatologymeteorologyatmosphere",34
"426","records","lake","levels",34
"427","sediments","sediment","transport",34
"428","sounders","echo","sounders",34
"429","spectrometers","field","survey",34
"430","stream","gauges","earth",34
