"identifier","word"
"urn:uuid:f3d9d431-9bc2-4be1-89e4-c9e45b8e786b","ctd"
"urn:uuid:f3d9d431-9bc2-4be1-89e4-c9e45b8e786b","ocean"
"urn:uuid:f3d9d431-9bc2-4be1-89e4-c9e45b8e786b","cast"
"urn:uuid:f3d9d431-9bc2-4be1-89e4-c9e45b8e786b","oceanography"
"urn:uuid:f3d9d431-9bc2-4be1-89e4-c9e45b8e786b","arctic"
"doi:10.18739/A2130H","earth"
"doi:10.18739/A2130H","science"
"doi:10.18739/A2130H","human"
"doi:10.18739/A2130H","dimensions"
"doi:10.18739/A2130H","population"
"doi:10.18739/A2130H","population"
"doi:10.18739/A2130H","size"
"doi:10.18739/A2130H","other"
"doi:10.18739/A2130H","unknown"
"doi:10.18739/A2130H","society"
"urn:uuid:6ed865aa-c88c-4096-98a6-fabab0a8ced9","aircraft"
"urn:uuid:6ed865aa-c88c-4096-98a6-fabab0a8ced9","ncar"
"urn:uuid:6ed865aa-c88c-4096-98a6-fabab0a8ced9","electra"
"urn:uuid:6ed865aa-c88c-4096-98a6-fabab0a8ced9","n308d"
"urn:uuid:6ed865aa-c88c-4096-98a6-fabab0a8ced9","aircraft"
"doi:10.5065/D6GF0RHK","ship"
"doi:10.5065/D6GF0RHK","oceanography"
"doi:10.5065/D6GF0RHK","arctic"
"doi:10.5065/D6GF0RHK","oceans"
"urn:uuid:7e009729-5b6d-46d3-8af9-f450f7cfce00","arctic"
"urn:uuid:7e009729-5b6d-46d3-8af9-f450f7cfce00","surface"
"doi:10.18739/A2QF9K","earth"
"doi:10.18739/A2QF9K","science"
"doi:10.18739/A2QF9K","atmosphere"
"doi:10.18739/A2QF9K","atmospheric"
"doi:10.18739/A2QF9K","pressure"
"doi:10.18739/A2QF9K","gravity"
"doi:10.18739/A2QF9K","wave"
"doi:10.18739/A2QF9K","earth"
"doi:10.18739/A2QF9K","remote"
"doi:10.18739/A2QF9K","sensing"
"doi:10.18739/A2QF9K","instruments"
"doi:10.18739/A2QF9K","passive"
"doi:10.18739/A2QF9K","remote"
"doi:10.18739/A2QF9K","sensing"
"doi:10.18739/A2QF9K","photon"
"doi:10.18739/A2QF9K","optical"
"doi:10.18739/A2QF9K","detectors"
"doi:10.18739/A2QF9K","cameras"
"doi:10.18739/A2QF9K","asc"
"doi:10.18739/A2QF9K","all"
"doi:10.18739/A2QF9K","sky"
"doi:10.18739/A2QF9K","camera"
"doi:10.18739/A2QF9K","observatory"
"doi:10.18739/A2QF9K","image"
"doi:10.18739/A2QF9K","1"
"doi:10.18739/A2QF9K","kilometer"
"doi:10.18739/A2QF9K","to"
"doi:10.18739/A2QF9K","10"
"doi:10.18739/A2QF9K","kilometers"
"doi:10.18739/A2QF9K","1"
"doi:10.18739/A2QF9K","minute"
"doi:10.18739/A2QF9K","to"
"doi:10.18739/A2QF9K","1"
"doi:10.18739/A2QF9K","hour"
"doi:10.18739/A2QF9K","geoscientificinformation"
"doi:10.5065/D65T3HJ8","ship"
"doi:10.5065/D65T3HJ8","oceanography"
