"","identifier","word1","word2","word3"
"1","doi:10.18739/A20000081",NA,NA,NA
"2","doi:10.18739/A2000012K",NA,NA,NA
"3","doi:10.18739/A2000014J",NA,NA,NA
"4","doi:10.18739/A2028PC7G",NA,NA,NA
"5","doi:10.18739/A2028PD2H",NA,NA,NA
"6","doi:10.18739/A2028PD5Z","date","time",NA
"7","doi:10.18739/A2028PD5Z","time","tree1_dt_c",NA
"8","doi:10.18739/A2028PD5Z","tree1_dt_c","tree2_dt_c",NA
"9","doi:10.18739/A2028PD5Z","tree2_dt_c","tree3_dt_c",NA
"10","doi:10.18739/A2028PD5Z","tree3_dt_c","tree4_dt_c",NA
"11","doi:10.18739/A2028PD5Z","tree4_dt_c","tree5_dt_c",NA
"12","doi:10.18739/A2028PD5Z","tree5_dt_c","tree6_dt_c",NA
"13","doi:10.18739/A2028PD5Z","tree6_dt_c","tree7_dt_c",NA
"14","doi:10.18739/A2028PD5Z","tree7_dt_c","tree8_dt_c",NA
"15","doi:10.18739/A2028PD5Z","tree8_dt_c","tree9_dt_c",NA
"16","doi:10.18739/A2028PD5Z","tree9_dt_c","tree10_dt_c",NA
"17","doi:10.18739/A2028PD8D",NA,NA,NA
"18","doi:10.18739/A20531",NA,NA,NA
"19","doi:10.18739/A2057CR99",NA,NA,NA
"20","doi:10.18739/A2057CS2C",NA,NA,NA
"21","doi:10.18739/A2057CS4B",NA,NA,NA
"22","doi:10.18739/A2057CS9R",NA,NA,NA
"23","doi:10.18739/A2058X","date","and",NA
"24","doi:10.18739/A2058X","and","time",NA
"25","doi:10.18739/A2058X","time","record",NA
"26","doi:10.18739/A2058X","record","number",NA
"27","doi:10.18739/A2058X","number","battery",NA
"28","doi:10.18739/A2058X","battery","voltage",NA
"29","doi:10.18739/A2058X","voltage","datalogger",NA
"30","doi:10.18739/A2058X","datalogger","panel",NA
"31","doi:10.18739/A2058X","panel","temperature",NA
"32","doi:10.18739/A2058X","temperature","mv",NA
"33","doi:10.18739/A2058X","mv","output",NA
"34","doi:10.18739/A2058X","output","of",NA
"35","doi:10.18739/A2058X","of","thermopile",NA
"36","doi:10.18739/A2058X","thermopile","infrared",NA
"37","doi:10.18739/A2058X","infrared","detector",NA
"38","doi:10.18739/A2058X","detector","sensor",NA
"39","doi:10.18739/A2058X","sensor","body",NA
"40","doi:10.18739/A2058X","body","temperature",NA
"41","doi:10.18739/A2058X","temperature","in",NA
"42","doi:10.18739/A2058X","in","c",NA
"43","doi:10.18739/A2058X","c","target",NA
"44","doi:10.18739/A2058X","target","temperature",NA
"45","doi:10.18739/A2058X","temperature","in",NA
"46","doi:10.18739/A2058X","in","c",NA
"47","doi:10.18739/A2058X","c","upwelling",NA
"48","doi:10.18739/A2058X","upwelling","short",NA
"49","doi:10.18739/A2058X","short","wave",NA
"50","doi:10.18739/A2058X","wave","radiation",NA
"51","doi:10.18739/A2058X","radiation","downwelling",NA
"52","doi:10.18739/A2058X","downwelling","wave",NA
"53","doi:10.18739/A2058X","wave","radiation",NA
"54","doi:10.18739/A2058X","radiation","upwelling",NA
"55","doi:10.18739/A2058X","upwelling","long",NA
"56","doi:10.18739/A2058X","long","wave",NA
"57","doi:10.18739/A2058X","wave","radiation",NA
"58","doi:10.18739/A2058X","radiation","downwelling",NA
"59","doi:10.18739/A2058X","downwelling","long",NA
"60","doi:10.18739/A2058X","long","wave",NA
"61","doi:10.18739/A2058X","wave","radiation",NA
"62","doi:10.18739/A2058X","radiation","cnr4",NA
"63","doi:10.18739/A2058X","cnr4","temperature",NA
"64","doi:10.18739/A2058X","temperature","in",NA
"65","doi:10.18739/A2058X","in","c",NA
"66","doi:10.18739/A2058X","c","cnr4",NA
"67","doi:10.18739/A2058X","cnr4","temperature",NA
"68","doi:10.18739/A2058X","temperature","in",NA
"69","doi:10.18739/A2058X","in","k",NA
"70","doi:10.18739/A2058X","k","upwelling",NA
"71","doi:10.18739/A2058X","upwelling","long",NA
"72","doi:10.18739/A2058X","long","wave",NA
"73","doi:10.18739/A2058X","wave","radiation",NA
"74","doi:10.18739/A2058X","radiation","corrected",NA
"75","doi:10.18739/A2058X","corrected","for",NA
"76","doi:10.18739/A2058X","for","wind",NA
"77","doi:10.18739/A2058X","wind","speed",NA
"78","doi:10.18739/A2058X","speed","downwelling",NA
"79","doi:10.18739/A2058X","downwelling","long",NA
"80","doi:10.18739/A2058X","long","wave",NA
"81","doi:10.18739/A2058X","wave","radiation",NA
"82","doi:10.18739/A2058X","radiation","corrected",NA
"83","doi:10.18739/A2058X","corrected","for",NA
"84","doi:10.18739/A2058X","for","wind",NA
"85","doi:10.18739/A2058X","wind","speed",NA
"86","doi:10.18739/A2058X","speed","net",NA
"87","doi:10.18739/A2058X","net","short",NA
"88","doi:10.18739/A2058X","short","wave",NA
"89","doi:10.18739/A2058X","wave","radiation",NA
"90","doi:10.18739/A2058X","radiation","net",NA
"91","doi:10.18739/A2058X","net","long",NA
"92","doi:10.18739/A2058X","long","wave",NA
"93","doi:10.18739/A2058X","wave","radiation",NA
"94","doi:10.18739/A2058X","radiation","albedo",NA
