"","identifier","word1","word2","word3"
"1","doi:10.18739/A20000081","swl15","bottle",NA
"2","doi:10.18739/A20000081","bottle","data",NA
"3","doi:10.18739/A20000081","data","v2",NA
"4","doi:10.18739/A20000081","v2","csv",NA
"5","doi:10.18739/A2000012K","smtpossx1","c1.20170117.000100",NA
"6","doi:10.18739/A2000012K","c1.20170117.000100","cdf",NA
"7","doi:10.18739/A2000012K","cdf","smtpossx1",NA
"8","doi:10.18739/A2000012K","smtpossx1","c1.20170101.000100",NA
"9","doi:10.18739/A2000012K","c1.20170101.000100","cdf",NA
"10","doi:10.18739/A2000014J","access","cm2",NA
"11","doi:10.18739/A2000014J","cm2","arctic",NA
"12","doi:10.18739/A2000014J","arctic","sea",NA
"13","doi:10.18739/A2000014J","sea","ice",NA
"14","doi:10.18739/A2000014J","ice","seasonal",NA
"15","doi:10.18739/A2000014J","seasonal","transition",NA
"16","doi:10.18739/A2000014J","transition","dates",NA
"17","doi:10.18739/A2000014J","dates","1979",NA
"18","doi:10.18739/A2000014J","1979","2013",NA
"19","doi:10.18739/A2000014J","2013","nc",NA
"20","doi:10.18739/A2000014J","nc","access",NA
"21","doi:10.18739/A2000014J","access","cm2",NA
"22","doi:10.18739/A2000014J","cm2","arctic",NA
"23","doi:10.18739/A2000014J","arctic","sea",NA
"24","doi:10.18739/A2000014J","sea","ice",NA
"25","doi:10.18739/A2000014J","ice","seasonal",NA
"26","doi:10.18739/A2000014J","seasonal","transition",NA
"27","doi:10.18739/A2000014J","transition","periods",NA
"28","doi:10.18739/A2000014J","periods","1979",NA
"29","doi:10.18739/A2000014J","1979","2013",NA
"30","doi:10.18739/A2000014J","2013","nc",NA
"31","doi:10.18739/A2000014J","nc","bcc",NA
"32","doi:10.18739/A2000014J","bcc","csm2",NA
"33","doi:10.18739/A2000014J","csm2","mr",NA
"34","doi:10.18739/A2000014J","mr","arctic",NA
"35","doi:10.18739/A2000014J","arctic","sea",NA
"36","doi:10.18739/A2000014J","sea","ice",NA
"37","doi:10.18739/A2000014J","ice","seasonal",NA
"38","doi:10.18739/A2000014J","seasonal","transition",NA
"39","doi:10.18739/A2000014J","transition","dates",NA
"40","doi:10.18739/A2000014J","dates","1979",NA
"41","doi:10.18739/A2000014J","1979","2013",NA
"42","doi:10.18739/A2000014J","2013","nc",NA
"43","doi:10.18739/A2000014J","nc","bcc",NA
"44","doi:10.18739/A2000014J","bcc","csm2",NA
"45","doi:10.18739/A2000014J","csm2","mr",NA
"46","doi:10.18739/A2000014J","mr","arctic",NA
"47","doi:10.18739/A2000014J","arctic","sea",NA
"48","doi:10.18739/A2000014J","sea","ice",NA
"49","doi:10.18739/A2000014J","ice","seasonal",NA
"50","doi:10.18739/A2000014J","seasonal","transition",NA
"51","doi:10.18739/A2000014J","transition","periods",NA
"52","doi:10.18739/A2000014J","periods","1979",NA
"53","doi:10.18739/A2000014J","1979","2013",NA
"54","doi:10.18739/A2000014J","2013","nc",NA
"55","doi:10.18739/A2000014J","nc","bcc",NA
"56","doi:10.18739/A2000014J","bcc","esm1",NA
"57","doi:10.18739/A2000014J","esm1","arctic",NA
"58","doi:10.18739/A2000014J","arctic","sea",NA
"59","doi:10.18739/A2000014J","sea","ice",NA
"60","doi:10.18739/A2000014J","ice","seasonal",NA
"61","doi:10.18739/A2000014J","seasonal","transition",NA
"62","doi:10.18739/A2000014J","transition","dates",NA
"63","doi:10.18739/A2000014J","dates","1979",NA
"64","doi:10.18739/A2000014J","1979","2013",NA
"65","doi:10.18739/A2000014J","2013","nc",NA
"66","doi:10.18739/A2000014J","nc","bcc",NA
"67","doi:10.18739/A2000014J","bcc","esm1",NA
"68","doi:10.18739/A2000014J","esm1","arctic",NA
"69","doi:10.18739/A2000014J","arctic","sea",NA
"70","doi:10.18739/A2000014J","sea","ice",NA
"71","doi:10.18739/A2000014J","ice","seasonal",NA
"72","doi:10.18739/A2000014J","seasonal","transition",NA
"73","doi:10.18739/A2000014J","transition","periods",NA
"74","doi:10.18739/A2000014J","periods","1979",NA
"75","doi:10.18739/A2000014J","1979","2013",NA
"76","doi:10.18739/A2000014J","2013","nc",NA
"77","doi:10.18739/A2000014J","nc","canesm5",NA
"78","doi:10.18739/A2000014J","canesm5","arctic",NA
"79","doi:10.18739/A2000014J","arctic","sea",NA
"80","doi:10.18739/A2000014J","sea","ice",NA
"81","doi:10.18739/A2000014J","ice","seasonal",NA
"82","doi:10.18739/A2000014J","seasonal","transition",NA
"83","doi:10.18739/A2000014J","transition","dates",NA
"84","doi:10.18739/A2000014J","dates","1979",NA
"85","doi:10.18739/A2000014J","1979","2013",NA
"86","doi:10.18739/A2000014J","2013","nc",NA
"87","doi:10.18739/A2000014J","nc","canesm5",NA
"88","doi:10.18739/A2000014J","canesm5","arctic",NA
"89","doi:10.18739/A2000014J","arctic","sea",NA
"90","doi:10.18739/A2000014J","sea","ice",NA
"91","doi:10.18739/A2000014J","ice","seasonal",NA
"92","doi:10.18739/A2000014J","seasonal","transition",NA
"93","doi:10.18739/A2000014J","transition","periods",NA
"94","doi:10.18739/A2000014J","periods","1979",NA
"95","doi:10.18739/A2000014J","1979","2013",NA
"96","doi:10.18739/A2000014J","2013","nc",NA
"97","doi:10.18739/A2000014J","nc","cesm",NA
"98","doi:10.18739/A2000014J","cesm","le",NA
"99","doi:10.18739/A2000014J","le","arctic",NA
"100","doi:10.18739/A2000014J","arctic","sea",NA
"101","doi:10.18739/A2000014J","sea","ice",NA
"102","doi:10.18739/A2000014J","ice","seasonal",NA
"103","doi:10.18739/A2000014J","seasonal","transition",NA
"104","doi:10.18739/A2000014J","transition","dates",NA
"105","doi:10.18739/A2000014J","dates","1979",NA
"106","doi:10.18739/A2000014J","1979","2013",NA
"107","doi:10.18739/A2000014J","2013","nc",NA
"108","doi:10.18739/A2000014J","nc","cesm",NA
"109","doi:10.18739/A2000014J","cesm","le",NA
"110","doi:10.18739/A2000014J","le","arctic",NA
"111","doi:10.18739/A2000014J","arctic","sea",NA
"112","doi:10.18739/A2000014J","sea","ice",NA
"113","doi:10.18739/A2000014J","ice","seasonal",NA
"114","doi:10.18739/A2000014J","seasonal","transition",NA
"115","doi:10.18739/A2000014J","transition","periods",NA
"116","doi:10.18739/A2000014J","periods","1979",NA
"117","doi:10.18739/A2000014J","1979","2013",NA
"118","doi:10.18739/A2000014J","2013","nc",NA
"119","doi:10.18739/A2000014J","nc","cesm2",NA
"120","doi:10.18739/A2000014J","cesm2","arctic",NA
"121","doi:10.18739/A2000014J","arctic","sea",NA
"122","doi:10.18739/A2000014J","sea","ice",NA
"123","doi:10.18739/A2000014J","ice","seasonal",NA
"124","doi:10.18739/A2000014J","seasonal","transition",NA
"125","doi:10.18739/A2000014J","transition","dates",NA
"126","doi:10.18739/A2000014J","dates","1979",NA
"127","doi:10.18739/A2000014J","1979","2013",NA
"128","doi:10.18739/A2000014J","2013","nc",NA
"129","doi:10.18739/A2000014J","nc","cesm2",NA
"130","doi:10.18739/A2000014J","cesm2","arctic",NA
"131","doi:10.18739/A2000014J","arctic","sea",NA
"132","doi:10.18739/A2000014J","sea","ice",NA
"133","doi:10.18739/A2000014J","ice","seasonal",NA
"134","doi:10.18739/A2000014J","seasonal","transition",NA
"135","doi:10.18739/A2000014J","transition","periods",NA
"136","doi:10.18739/A2000014J","periods","1979",NA
"137","doi:10.18739/A2000014J","1979","2013",NA
"138","doi:10.18739/A2000014J","2013","nc",NA
"139","doi:10.18739/A2000014J","nc","cesm2",NA
"140","doi:10.18739/A2000014J","cesm2","fv2",NA
"141","doi:10.18739/A2000014J","fv2","arctic",NA
"142","doi:10.18739/A2000014J","arctic","sea",NA
"143","doi:10.18739/A2000014J","sea","ice",NA
"144","doi:10.18739/A2000014J","ice","seasonal",NA
"145","doi:10.18739/A2000014J","seasonal","transition",NA
"146","doi:10.18739/A2000014J","transition","dates",NA
"147","doi:10.18739/A2000014J","dates","1979",NA
"148","doi:10.18739/A2000014J","1979","2013",NA
"149","doi:10.18739/A2000014J","2013","nc",NA
"150","doi:10.18739/A2000014J","nc","cesm2",NA
"151","doi:10.18739/A2000014J","cesm2","fv2",NA
"152","doi:10.18739/A2000014J","fv2","arctic",NA
"153","doi:10.18739/A2000014J","arctic","sea",NA
"154","doi:10.18739/A2000014J","sea","ice",NA
"155","doi:10.18739/A2000014J","ice","seasonal",NA
"156","doi:10.18739/A2000014J","seasonal","transition",NA
"157","doi:10.18739/A2000014J","transition","periods",NA
"158","doi:10.18739/A2000014J","periods","1979",NA
"159","doi:10.18739/A2000014J","1979","2013",NA
"160","doi:10.18739/A2000014J","2013","nc",NA
