"","identifier","word1","word2","word3"
"1","doi:10.18739/A20000081","swl15",NA,NA
"2","doi:10.18739/A20000081","bottle",NA,NA
"3","doi:10.18739/A20000081","data",NA,NA
"4","doi:10.18739/A20000081","v2",NA,NA
"5","doi:10.18739/A20000081","csv",NA,NA
"6","doi:10.18739/A2000012K","smtpossx1",NA,NA
"7","doi:10.18739/A2000012K","c1.20170117.000100",NA,NA
"8","doi:10.18739/A2000012K","cdf",NA,NA
"9","doi:10.18739/A2000012K","smtpossx1",NA,NA
"10","doi:10.18739/A2000012K","c1.20170101.000100",NA,NA
"11","doi:10.18739/A2000012K","cdf",NA,NA
"12","doi:10.18739/A2000014J","access",NA,NA
"13","doi:10.18739/A2000014J","cm2",NA,NA
"14","doi:10.18739/A2000014J","arctic",NA,NA
"15","doi:10.18739/A2000014J","sea",NA,NA
"16","doi:10.18739/A2000014J","ice",NA,NA
"17","doi:10.18739/A2000014J","seasonal",NA,NA
"18","doi:10.18739/A2000014J","transition",NA,NA
"19","doi:10.18739/A2000014J","dates",NA,NA
"20","doi:10.18739/A2000014J","1979",NA,NA
"21","doi:10.18739/A2000014J","2013",NA,NA
"22","doi:10.18739/A2000014J","nc",NA,NA
"23","doi:10.18739/A2000014J","access",NA,NA
"24","doi:10.18739/A2000014J","cm2",NA,NA
"25","doi:10.18739/A2000014J","arctic",NA,NA
"26","doi:10.18739/A2000014J","sea",NA,NA
"27","doi:10.18739/A2000014J","ice",NA,NA
"28","doi:10.18739/A2000014J","seasonal",NA,NA
"29","doi:10.18739/A2000014J","transition",NA,NA
"30","doi:10.18739/A2000014J","periods",NA,NA
"31","doi:10.18739/A2000014J","1979",NA,NA
"32","doi:10.18739/A2000014J","2013",NA,NA
"33","doi:10.18739/A2000014J","nc",NA,NA
"34","doi:10.18739/A2000014J","bcc",NA,NA
"35","doi:10.18739/A2000014J","csm2",NA,NA
"36","doi:10.18739/A2000014J","mr",NA,NA
"37","doi:10.18739/A2000014J","arctic",NA,NA
"38","doi:10.18739/A2000014J","sea",NA,NA
"39","doi:10.18739/A2000014J","ice",NA,NA
"40","doi:10.18739/A2000014J","seasonal",NA,NA
"41","doi:10.18739/A2000014J","transition",NA,NA
"42","doi:10.18739/A2000014J","dates",NA,NA
"43","doi:10.18739/A2000014J","1979",NA,NA
"44","doi:10.18739/A2000014J","2013",NA,NA
"45","doi:10.18739/A2000014J","nc",NA,NA
"46","doi:10.18739/A2000014J","bcc",NA,NA
"47","doi:10.18739/A2000014J","csm2",NA,NA
"48","doi:10.18739/A2000014J","mr",NA,NA
"49","doi:10.18739/A2000014J","arctic",NA,NA
"50","doi:10.18739/A2000014J","sea",NA,NA
"51","doi:10.18739/A2000014J","ice",NA,NA
