"","identifier","word1","word2","word3"
"1","doi:10.18739/A20000081","swl15","bottle","data"
"2","doi:10.18739/A20000081","bottle","data","v2"
"3","doi:10.18739/A20000081","data","v2","csv"
"4","doi:10.18739/A2000012K","smtpossx1","c1.20170117.000100","cdf"
"5","doi:10.18739/A2000012K","c1.20170117.000100","cdf","smtpossx1"
"6","doi:10.18739/A2000012K","cdf","smtpossx1","c1.20170101.000100"
"7","doi:10.18739/A2000012K","smtpossx1","c1.20170101.000100","cdf"
"8","doi:10.18739/A2000014J","access","cm2","arctic"
"9","doi:10.18739/A2000014J","cm2","arctic","sea"
"10","doi:10.18739/A2000014J","arctic","sea","ice"
"11","doi:10.18739/A2000014J","sea","ice","seasonal"
"12","doi:10.18739/A2000014J","ice","seasonal","transition"
"13","doi:10.18739/A2000014J","seasonal","transition","dates"
"14","doi:10.18739/A2000014J","transition","dates","1979"
"15","doi:10.18739/A2000014J","dates","1979","2013"
"16","doi:10.18739/A2000014J","1979","2013","nc"
"17","doi:10.18739/A2000014J","2013","nc","access"
"18","doi:10.18739/A2000014J","nc","access","cm2"
"19","doi:10.18739/A2000014J","access","cm2","arctic"
"20","doi:10.18739/A2000014J","cm2","arctic","sea"
"21","doi:10.18739/A2000014J","arctic","sea","ice"
"22","doi:10.18739/A2000014J","sea","ice","seasonal"
"23","doi:10.18739/A2000014J","ice","seasonal","transition"
"24","doi:10.18739/A2000014J","seasonal","transition","periods"
"25","doi:10.18739/A2000014J","transition","periods","1979"
"26","doi:10.18739/A2000014J","periods","1979","2013"
"27","doi:10.18739/A2000014J","1979","2013","nc"
"28","doi:10.18739/A2000014J","2013","nc","bcc"
"29","doi:10.18739/A2000014J","nc","bcc","csm2"
"30","doi:10.18739/A2000014J","bcc","csm2","mr"
"31","doi:10.18739/A2000014J","csm2","mr","arctic"
"32","doi:10.18739/A2000014J","mr","arctic","sea"
"33","doi:10.18739/A2000014J","arctic","sea","ice"
"34","doi:10.18739/A2000014J","sea","ice","seasonal"
"35","doi:10.18739/A2000014J","ice","seasonal","transition"
"36","doi:10.18739/A2000014J","seasonal","transition","dates"
"37","doi:10.18739/A2000014J","transition","dates","1979"
"38","doi:10.18739/A2000014J","dates","1979","2013"
"39","doi:10.18739/A2000014J","1979","2013","nc"
"40","doi:10.18739/A2000014J","2013","nc","bcc"
"41","doi:10.18739/A2000014J","nc","bcc","csm2"
"42","doi:10.18739/A2000014J","bcc","csm2","mr"
"43","doi:10.18739/A2000014J","csm2","mr","arctic"
"44","doi:10.18739/A2000014J","mr","arctic","sea"
"45","doi:10.18739/A2000014J","arctic","sea","ice"
"46","doi:10.18739/A2000014J","sea","ice","seasonal"
"47","doi:10.18739/A2000014J","ice","seasonal","transition"
"48","doi:10.18739/A2000014J","seasonal","transition","periods"
"49","doi:10.18739/A2000014J","transition","periods","1979"
"50","doi:10.18739/A2000014J","periods","1979","2013"
"51","doi:10.18739/A2000014J","1979","2013","nc"
"52","doi:10.18739/A2000014J","2013","nc","bcc"
"53","doi:10.18739/A2000014J","nc","bcc","esm1"
"54","doi:10.18739/A2000014J","bcc","esm1","arctic"
"55","doi:10.18739/A2000014J","esm1","arctic","sea"
"56","doi:10.18739/A2000014J","arctic","sea","ice"
"57","doi:10.18739/A2000014J","sea","ice","seasonal"
"58","doi:10.18739/A2000014J","ice","seasonal","transition"
"59","doi:10.18739/A2000014J","seasonal","transition","dates"
"60","doi:10.18739/A2000014J","transition","dates","1979"
"61","doi:10.18739/A2000014J","dates","1979","2013"
"62","doi:10.18739/A2000014J","1979","2013","nc"
"63","doi:10.18739/A2000014J","2013","nc","bcc"
"64","doi:10.18739/A2000014J","nc","bcc","esm1"
"65","doi:10.18739/A2000014J","bcc","esm1","arctic"
"66","doi:10.18739/A2000014J","esm1","arctic","sea"
"67","doi:10.18739/A2000014J","arctic","sea","ice"
"68","doi:10.18739/A2000014J","sea","ice","seasonal"
"69","doi:10.18739/A2000014J","ice","seasonal","transition"
"70","doi:10.18739/A2000014J","seasonal","transition","periods"
"71","doi:10.18739/A2000014J","transition","periods","1979"
"72","doi:10.18739/A2000014J","periods","1979","2013"
"73","doi:10.18739/A2000014J","1979","2013","nc"
"74","doi:10.18739/A2000014J","2013","nc","canesm5"
"75","doi:10.18739/A2000014J","nc","canesm5","arctic"
"76","doi:10.18739/A2000014J","canesm5","arctic","sea"
"77","doi:10.18739/A2000014J","arctic","sea","ice"
"78","doi:10.18739/A2000014J","sea","ice","seasonal"
"79","doi:10.18739/A2000014J","ice","seasonal","transition"
"80","doi:10.18739/A2000014J","seasonal","transition","dates"
"81","doi:10.18739/A2000014J","transition","dates","1979"
"82","doi:10.18739/A2000014J","dates","1979","2013"
"83","doi:10.18739/A2000014J","1979","2013","nc"
"84","doi:10.18739/A2000014J","2013","nc","canesm5"
"85","doi:10.18739/A2000014J","nc","canesm5","arctic"
"86","doi:10.18739/A2000014J","canesm5","arctic","sea"
"87","doi:10.18739/A2000014J","arctic","sea","ice"
"88","doi:10.18739/A2000014J","sea","ice","seasonal"
"89","doi:10.18739/A2000014J","ice","seasonal","transition"
"90","doi:10.18739/A2000014J","seasonal","transition","periods"
"91","doi:10.18739/A2000014J","transition","periods","1979"
"92","doi:10.18739/A2000014J","periods","1979","2013"
"93","doi:10.18739/A2000014J","1979","2013","nc"
"94","doi:10.18739/A2000014J","2013","nc","cesm"
"95","doi:10.18739/A2000014J","nc","cesm","le"
"96","doi:10.18739/A2000014J","cesm","le","arctic"
"97","doi:10.18739/A2000014J","le","arctic","sea"
"98","doi:10.18739/A2000014J","arctic","sea","ice"
"99","doi:10.18739/A2000014J","sea","ice","seasonal"
"100","doi:10.18739/A2000014J","ice","seasonal","transition"
"101","doi:10.18739/A2000014J","seasonal","transition","dates"
"102","doi:10.18739/A2000014J","transition","dates","1979"
"103","doi:10.18739/A2000014J","dates","1979","2013"
"104","doi:10.18739/A2000014J","1979","2013","nc"
"105","doi:10.18739/A2000014J","2013","nc","cesm"
"106","doi:10.18739/A2000014J","nc","cesm","le"
"107","doi:10.18739/A2000014J","cesm","le","arctic"
"108","doi:10.18739/A2000014J","le","arctic","sea"
"109","doi:10.18739/A2000014J","arctic","sea","ice"
"110","doi:10.18739/A2000014J","sea","ice","seasonal"
"111","doi:10.18739/A2000014J","ice","seasonal","transition"
"112","doi:10.18739/A2000014J","seasonal","transition","periods"
