identifier,author,word1,word2,word3
doi:10.18739/A20000081,Lee W. Cooper,na,NA,NA
doi:10.18739/A2000012K,Matthew Shupe,na,NA,NA
doi:10.18739/A2000014J,Abigail Smith,na,NA,NA
doi:10.18739/A2028PC7G,Donald Perovich,na,NA,NA
doi:10.18739/A2028PD2H,Giacomo DiTullio,na,NA,NA
doi:10.18739/A2028PD5Z,Patrick Sullivan,date,NA,NA
doi:10.18739/A2028PD5Z,Patrick Sullivan,time,NA,NA
doi:10.18739/A2028PD5Z,Patrick Sullivan,tree1_dt_c,NA,NA
doi:10.18739/A2028PD5Z,Patrick Sullivan,tree2_dt_c,NA,NA
doi:10.18739/A2028PD5Z,Patrick Sullivan,tree3_dt_c,NA,NA
doi:10.18739/A2028PD5Z,Patrick Sullivan,tree4_dt_c,NA,NA
doi:10.18739/A2028PD5Z,Patrick Sullivan,tree5_dt_c,NA,NA
doi:10.18739/A2028PD5Z,Patrick Sullivan,tree6_dt_c,NA,NA
doi:10.18739/A2028PD5Z,Patrick Sullivan,tree7_dt_c,NA,NA
doi:10.18739/A2028PD5Z,Patrick Sullivan,tree8_dt_c,NA,NA
doi:10.18739/A2028PD5Z,Patrick Sullivan,tree9_dt_c,NA,NA
doi:10.18739/A2028PD5Z,Patrick Sullivan,tree10_dt_c,NA,NA
doi:10.18739/A2028PD8D,Ben W. Abbott,na,NA,NA
doi:10.18739/A20531,Dr. Matt Nolan,na,NA,NA
doi:10.18739/A2057CR99,Donald Perovich,na,NA,NA
doi:10.18739/A2057CS2C,Jason Stuckey,na,NA,NA
doi:10.18739/A2057CS4B,Harry McCaughey,na,NA,NA
doi:10.18739/A2057CS9R,Matthew Shupe,na,NA,NA
doi:10.18739/A2058X,Jeremy May,date,NA,NA
doi:10.18739/A2058X,Jeremy May,and,NA,NA
doi:10.18739/A2058X,Jeremy May,time,NA,NA
doi:10.18739/A2058X,Jeremy May,record,NA,NA
doi:10.18739/A2058X,Jeremy May,number,NA,NA
doi:10.18739/A2058X,Jeremy May,battery,NA,NA
doi:10.18739/A2058X,Jeremy May,voltage,NA,NA
doi:10.18739/A2058X,Jeremy May,datalogger,NA,NA
doi:10.18739/A2058X,Jeremy May,panel,NA,NA
doi:10.18739/A2058X,Jeremy May,temperature,NA,NA
doi:10.18739/A2058X,Jeremy May,mv,NA,NA
doi:10.18739/A2058X,Jeremy May,output,NA,NA
doi:10.18739/A2058X,Jeremy May,of,NA,NA
doi:10.18739/A2058X,Jeremy May,thermopile,NA,NA
doi:10.18739/A2058X,Jeremy May,infrared,NA,NA
doi:10.18739/A2058X,Jeremy May,detector,NA,NA
doi:10.18739/A2058X,Jeremy May,sensor,NA,NA
doi:10.18739/A2058X,Jeremy May,body,NA,NA
doi:10.18739/A2058X,Jeremy May,temperature,NA,NA
doi:10.18739/A2058X,Jeremy May,in,NA,NA
doi:10.18739/A2058X,Jeremy May,c,NA,NA
doi:10.18739/A2058X,Jeremy May,target,NA,NA
doi:10.18739/A2058X,Jeremy May,temperature,NA,NA
doi:10.18739/A2058X,Jeremy May,in,NA,NA
doi:10.18739/A2058X,Jeremy May,c,NA,NA
doi:10.18739/A2058X,Jeremy May,upwelling,NA,NA
doi:10.18739/A2058X,Jeremy May,short,NA,NA
doi:10.18739/A2058X,Jeremy May,wave,NA,NA
doi:10.18739/A2058X,Jeremy May,radiation,NA,NA
doi:10.18739/A2058X,Jeremy May,downwelling,NA,NA
doi:10.18739/A2058X,Jeremy May,wave,NA,NA
doi:10.18739/A2058X,Jeremy May,radiation,NA,NA
doi:10.18739/A2058X,Jeremy May,upwelling,NA,NA
doi:10.18739/A2058X,Jeremy May,long,NA,NA
doi:10.18739/A2058X,Jeremy May,wave,NA,NA
doi:10.18739/A2058X,Jeremy May,radiation,NA,NA
doi:10.18739/A2058X,Jeremy May,downwelling,NA,NA
doi:10.18739/A2058X,Jeremy May,long,NA,NA
doi:10.18739/A2058X,Jeremy May,wave,NA,NA
doi:10.18739/A2058X,Jeremy May,radiation,NA,NA
doi:10.18739/A2058X,Jeremy May,cnr4,NA,NA
doi:10.18739/A2058X,Jeremy May,temperature,NA,NA
doi:10.18739/A2058X,Jeremy May,in,NA,NA
doi:10.18739/A2058X,Jeremy May,c,NA,NA
doi:10.18739/A2058X,Jeremy May,cnr4,NA,NA
doi:10.18739/A2058X,Jeremy May,temperature,NA,NA
doi:10.18739/A2058X,Jeremy May,in,NA,NA
doi:10.18739/A2058X,Jeremy May,k,NA,NA
doi:10.18739/A2058X,Jeremy May,upwelling,NA,NA
doi:10.18739/A2058X,Jeremy May,long,NA,NA
doi:10.18739/A2058X,Jeremy May,wave,NA,NA
doi:10.18739/A2058X,Jeremy May,radiation,NA,NA
doi:10.18739/A2058X,Jeremy May,corrected,NA,NA
doi:10.18739/A2058X,Jeremy May,for,NA,NA
doi:10.18739/A2058X,Jeremy May,wind,NA,NA
doi:10.18739/A2058X,Jeremy May,speed,NA,NA
doi:10.18739/A2058X,Jeremy May,downwelling,NA,NA
doi:10.18739/A2058X,Jeremy May,long,NA,NA
doi:10.18739/A2058X,Jeremy May,wave,NA,NA
doi:10.18739/A2058X,Jeremy May,radiation,NA,NA
doi:10.18739/A2058X,Jeremy May,corrected,NA,NA
doi:10.18739/A2058X,Jeremy May,for,NA,NA
doi:10.18739/A2058X,Jeremy May,wind,NA,NA
doi:10.18739/A2058X,Jeremy May,speed,NA,NA
doi:10.18739/A2058X,Jeremy May,net,NA,NA
doi:10.18739/A2058X,Jeremy May,short,NA,NA
doi:10.18739/A2058X,Jeremy May,wave,NA,NA
doi:10.18739/A2058X,Jeremy May,radiation,NA,NA
doi:10.18739/A2058X,Jeremy May,net,NA,NA
doi:10.18739/A2058X,Jeremy May,long,NA,NA
doi:10.18739/A2058X,Jeremy May,wave,NA,NA
doi:10.18739/A2058X,Jeremy May,radiation,NA,NA
doi:10.18739/A2058X,Jeremy May,albedo,NA,NA
doi:10.18739/A2058X,Jeremy May,total,NA,NA
doi:10.18739/A2058X,Jeremy May,net,NA,NA
doi:10.18739/A2058X,Jeremy May,radiation,NA,NA
doi:10.18739/A2058X,Jeremy May,air,NA,NA
doi:10.18739/A2058X,Jeremy May,temperature,NA,NA
doi:10.18739/A2058X,Jeremy May,time,NA,NA
doi:10.18739/A2058X,Jeremy May,plot,NA,NA
doi:10.18739/A2058X,Jeremy May,number,NA,NA
doi:10.18739/A2058X,Jeremy May,wheel,NA,NA
doi:10.18739/A2058X,Jeremy May,rotation,NA,NA
doi:10.18739/A2058X,Jeremy May,count,NA,NA
doi:10.18739/A2058X,Jeremy May,normalized,NA,NA
doi:10.18739/A2058X,Jeremy May,difference,NA,NA
doi:10.18739/A2058X,Jeremy May,vegetation,NA,NA
doi:10.18739/A2058X,Jeremy May,index,NA,NA
doi:10.18739/A2058X,Jeremy May,standardized,NA,NA
doi:10.18739/A2058X,Jeremy May,normalized,NA,NA
doi:10.18739/A2058X,Jeremy May,difference,NA,NA
doi:10.18739/A2058X,Jeremy May,vegetation,NA,NA
doi:10.18739/A2058X,Jeremy May,index,NA,NA
doi:10.18739/A2058X,Jeremy May,tram,NA,NA
doi:10.18739/A2058X,Jeremy May,distance,NA,NA
doi:10.18739/A2058X,Jeremy May,along,NA,NA
doi:10.18739/A2058X,Jeremy May,transect,NA,NA
doi:10.18739/A2058X,Jeremy May,cm,NA,NA
doi:10.18739/A2058X,Jeremy May,corrected,NA,NA
doi:10.18739/A2058X,Jeremy May,tram,NA,NA
doi:10.18739/A2058X,Jeremy May,distance,NA,NA
doi:10.18739/A2058X,Jeremy May,along,NA,NA
doi:10.18739/A2058X,Jeremy May,transect,NA,NA
doi:10.18739/A2058X,Jeremy May,file,NA,NA
doi:10.18739/A2058X,Jeremy May,name,NA,NA
doi:10.18739/A2086356K,Christopher Arp,station,NA,NA
doi:10.18739/A2086356K,Christopher Arp,latitude,NA,NA
doi:10.18739/A2086356K,Christopher Arp,longitude,NA,NA
doi:10.18739/A2086356K,Christopher Arp,year,NA,NA
doi:10.18739/A2086356K,Christopher Arp,date,NA,NA
doi:10.18739/A2086356K,Christopher Arp,depth_n,NA,NA
doi:10.18739/A2086356K,Christopher Arp,depth_average,NA,NA
doi:10.18739/A2086356K,Christopher Arp,depth_sd,NA,NA
doi:10.18739/A2086356K,Christopher Arp,depth_n,NA,NA
doi:10.18739/A2086356K,Christopher Arp,density_average,NA,NA
doi:10.18739/A2086356K,Christopher Arp,density_sd,NA,NA
doi:10.18739/A2086356K,Christopher Arp,surfacetype,NA,NA
doi:10.18739/A20863604,Sally MacIntyre,na,NA,NA
