identifier,author,word1,word2,word3
doi:10.18739/A20000081,Lee W. Cooper,NA,NA,NA
doi:10.18739/A2000012K,Matthew Shupe,NA,NA,NA
doi:10.18739/A2000014J,Abigail Smith,NA,NA,NA
doi:10.18739/A2028PC7G,Donald Perovich,NA,NA,NA
doi:10.18739/A2028PD2H,Giacomo DiTullio,NA,NA,NA
doi:10.18739/A2028PD5Z,Patrick Sullivan,date,time,tree1_dt_c
doi:10.18739/A2028PD5Z,Patrick Sullivan,time,tree1_dt_c,tree2_dt_c
doi:10.18739/A2028PD5Z,Patrick Sullivan,tree1_dt_c,tree2_dt_c,tree3_dt_c
doi:10.18739/A2028PD5Z,Patrick Sullivan,tree2_dt_c,tree3_dt_c,tree4_dt_c
doi:10.18739/A2028PD5Z,Patrick Sullivan,tree3_dt_c,tree4_dt_c,tree5_dt_c
doi:10.18739/A2028PD5Z,Patrick Sullivan,tree4_dt_c,tree5_dt_c,tree6_dt_c
doi:10.18739/A2028PD5Z,Patrick Sullivan,tree5_dt_c,tree6_dt_c,tree7_dt_c
doi:10.18739/A2028PD5Z,Patrick Sullivan,tree6_dt_c,tree7_dt_c,tree8_dt_c
doi:10.18739/A2028PD5Z,Patrick Sullivan,tree7_dt_c,tree8_dt_c,tree9_dt_c
doi:10.18739/A2028PD5Z,Patrick Sullivan,tree8_dt_c,tree9_dt_c,tree10_dt_c
doi:10.18739/A2028PD8D,Ben W. Abbott,NA,NA,NA
doi:10.18739/A20531,Dr. Matt Nolan,NA,NA,NA
doi:10.18739/A2057CR99,Donald Perovich,NA,NA,NA
doi:10.18739/A2057CS2C,Jason Stuckey,NA,NA,NA
doi:10.18739/A2057CS4B,Harry McCaughey,NA,NA,NA
doi:10.18739/A2057CS9R,Matthew Shupe,NA,NA,NA
doi:10.18739/A2058X,Jeremy May,date,and,time
doi:10.18739/A2058X,Jeremy May,and,time,record
doi:10.18739/A2058X,Jeremy May,time,record,number
doi:10.18739/A2058X,Jeremy May,record,number,battery
doi:10.18739/A2058X,Jeremy May,number,battery,voltage
doi:10.18739/A2058X,Jeremy May,battery,voltage,datalogger
doi:10.18739/A2058X,Jeremy May,voltage,datalogger,panel
doi:10.18739/A2058X,Jeremy May,datalogger,panel,temperature
doi:10.18739/A2058X,Jeremy May,panel,temperature,mv
doi:10.18739/A2058X,Jeremy May,temperature,mv,output
doi:10.18739/A2058X,Jeremy May,mv,output,of
doi:10.18739/A2058X,Jeremy May,output,of,thermopile
doi:10.18739/A2058X,Jeremy May,of,thermopile,infrared
doi:10.18739/A2058X,Jeremy May,thermopile,infrared,detector
doi:10.18739/A2058X,Jeremy May,infrared,detector,sensor
doi:10.18739/A2058X,Jeremy May,detector,sensor,body
doi:10.18739/A2058X,Jeremy May,sensor,body,temperature
doi:10.18739/A2058X,Jeremy May,body,temperature,in
doi:10.18739/A2058X,Jeremy May,temperature,in,c
doi:10.18739/A2058X,Jeremy May,in,c,target
doi:10.18739/A2058X,Jeremy May,c,target,temperature
doi:10.18739/A2058X,Jeremy May,target,temperature,in
doi:10.18739/A2058X,Jeremy May,temperature,in,c
doi:10.18739/A2058X,Jeremy May,in,c,upwelling
doi:10.18739/A2058X,Jeremy May,c,upwelling,short
doi:10.18739/A2058X,Jeremy May,upwelling,short,wave
doi:10.18739/A2058X,Jeremy May,short,wave,radiation
doi:10.18739/A2058X,Jeremy May,wave,radiation,downwelling
doi:10.18739/A2058X,Jeremy May,radiation,downwelling,wave
doi:10.18739/A2058X,Jeremy May,downwelling,wave,radiation
doi:10.18739/A2058X,Jeremy May,wave,radiation,upwelling
doi:10.18739/A2058X,Jeremy May,radiation,upwelling,long
doi:10.18739/A2058X,Jeremy May,upwelling,long,wave
doi:10.18739/A2058X,Jeremy May,long,wave,radiation
doi:10.18739/A2058X,Jeremy May,wave,radiation,downwelling
doi:10.18739/A2058X,Jeremy May,radiation,downwelling,long
doi:10.18739/A2058X,Jeremy May,downwelling,long,wave
doi:10.18739/A2058X,Jeremy May,long,wave,radiation
doi:10.18739/A2058X,Jeremy May,wave,radiation,cnr4
doi:10.18739/A2058X,Jeremy May,radiation,cnr4,temperature
doi:10.18739/A2058X,Jeremy May,cnr4,temperature,in
doi:10.18739/A2058X,Jeremy May,temperature,in,c
doi:10.18739/A2058X,Jeremy May,in,c,cnr4
doi:10.18739/A2058X,Jeremy May,c,cnr4,temperature
doi:10.18739/A2058X,Jeremy May,cnr4,temperature,in
doi:10.18739/A2058X,Jeremy May,temperature,in,k
doi:10.18739/A2058X,Jeremy May,in,k,upwelling
doi:10.18739/A2058X,Jeremy May,k,upwelling,long
doi:10.18739/A2058X,Jeremy May,upwelling,long,wave
doi:10.18739/A2058X,Jeremy May,long,wave,radiation
doi:10.18739/A2058X,Jeremy May,wave,radiation,corrected
doi:10.18739/A2058X,Jeremy May,radiation,corrected,for
doi:10.18739/A2058X,Jeremy May,corrected,for,wind
doi:10.18739/A2058X,Jeremy May,for,wind,speed
doi:10.18739/A2058X,Jeremy May,wind,speed,downwelling
doi:10.18739/A2058X,Jeremy May,speed,downwelling,long
doi:10.18739/A2058X,Jeremy May,downwelling,long,wave
doi:10.18739/A2058X,Jeremy May,long,wave,radiation
doi:10.18739/A2058X,Jeremy May,wave,radiation,corrected
doi:10.18739/A2058X,Jeremy May,radiation,corrected,for
doi:10.18739/A2058X,Jeremy May,corrected,for,wind
doi:10.18739/A2058X,Jeremy May,for,wind,speed
doi:10.18739/A2058X,Jeremy May,wind,speed,net
doi:10.18739/A2058X,Jeremy May,speed,net,short
doi:10.18739/A2058X,Jeremy May,net,short,wave
doi:10.18739/A2058X,Jeremy May,short,wave,radiation
doi:10.18739/A2058X,Jeremy May,wave,radiation,net
doi:10.18739/A2058X,Jeremy May,radiation,net,long
doi:10.18739/A2058X,Jeremy May,net,long,wave
doi:10.18739/A2058X,Jeremy May,long,wave,radiation
doi:10.18739/A2058X,Jeremy May,wave,radiation,albedo
doi:10.18739/A2058X,Jeremy May,radiation,albedo,total
doi:10.18739/A2058X,Jeremy May,albedo,total,net
doi:10.18739/A2058X,Jeremy May,total,net,radiation
doi:10.18739/A2058X,Jeremy May,net,radiation,air
doi:10.18739/A2058X,Jeremy May,radiation,air,temperature
doi:10.18739/A2058X,Jeremy May,air,temperature,time
doi:10.18739/A2058X,Jeremy May,temperature,time,plot
doi:10.18739/A2058X,Jeremy May,time,plot,number
doi:10.18739/A2058X,Jeremy May,plot,number,wheel
doi:10.18739/A2058X,Jeremy May,number,wheel,rotation
doi:10.18739/A2058X,Jeremy May,wheel,rotation,count
doi:10.18739/A2058X,Jeremy May,rotation,count,normalized
doi:10.18739/A2058X,Jeremy May,count,normalized,difference
doi:10.18739/A2058X,Jeremy May,normalized,difference,vegetation
doi:10.18739/A2058X,Jeremy May,difference,vegetation,index
doi:10.18739/A2058X,Jeremy May,vegetation,index,standardized
doi:10.18739/A2058X,Jeremy May,index,standardized,normalized
doi:10.18739/A2058X,Jeremy May,standardized,normalized,difference
doi:10.18739/A2058X,Jeremy May,normalized,difference,vegetation
doi:10.18739/A2058X,Jeremy May,difference,vegetation,index
doi:10.18739/A2058X,Jeremy May,vegetation,index,tram
doi:10.18739/A2058X,Jeremy May,index,tram,distance
doi:10.18739/A2058X,Jeremy May,tram,distance,along
doi:10.18739/A2058X,Jeremy May,distance,along,transect
doi:10.18739/A2058X,Jeremy May,along,transect,cm
doi:10.18739/A2058X,Jeremy May,transect,cm,corrected
doi:10.18739/A2058X,Jeremy May,cm,corrected,tram
doi:10.18739/A2058X,Jeremy May,corrected,tram,distance
doi:10.18739/A2058X,Jeremy May,tram,distance,along
doi:10.18739/A2058X,Jeremy May,distance,along,transect
doi:10.18739/A2058X,Jeremy May,along,transect,file
doi:10.18739/A2058X,Jeremy May,transect,file,name
doi:10.18739/A2086356K,Christopher Arp,station,latitude,longitude
doi:10.18739/A2086356K,Christopher Arp,latitude,longitude,year
doi:10.18739/A2086356K,Christopher Arp,longitude,year,date
doi:10.18739/A2086356K,Christopher Arp,year,date,depth_n
doi:10.18739/A2086356K,Christopher Arp,date,depth_n,depth_average
doi:10.18739/A2086356K,Christopher Arp,depth_n,depth_average,depth_sd
doi:10.18739/A2086356K,Christopher Arp,depth_average,depth_sd,depth_n
doi:10.18739/A2086356K,Christopher Arp,depth_sd,depth_n,density_average
doi:10.18739/A2086356K,Christopher Arp,depth_n,density_average,density_sd
doi:10.18739/A2086356K,Christopher Arp,density_average,density_sd,surfacetype
doi:10.18739/A20863604,Sally MacIntyre,NA,NA,NA
doi:10.18739/A20863623,Dr. Matt Nolan,NA,NA,NA
