identifier,author,word1,word2,word3
doi:10.18739/A20000081,Lee W. Cooper,swl15,bottle,NA
doi:10.18739/A20000081,Lee W. Cooper,bottle,data,NA
doi:10.18739/A20000081,Lee W. Cooper,data,v2,NA
doi:10.18739/A20000081,Lee W. Cooper,v2,csv,NA
doi:10.18739/A2000012K,Matthew Shupe,smtpossx1,c1.20170117.000100,NA
doi:10.18739/A2000012K,Matthew Shupe,c1.20170117.000100,cdf,NA
doi:10.18739/A2000012K,Matthew Shupe,cdf,smtpossx1,NA
doi:10.18739/A2000012K,Matthew Shupe,smtpossx1,c1.20170101.000100,NA
doi:10.18739/A2000012K,Matthew Shupe,c1.20170101.000100,cdf,NA
doi:10.18739/A2000014J,Abigail Smith,access,cm2,NA
doi:10.18739/A2000014J,Abigail Smith,cm2,arctic,NA
doi:10.18739/A2000014J,Abigail Smith,arctic,sea,NA
doi:10.18739/A2000014J,Abigail Smith,sea,ice,NA
doi:10.18739/A2000014J,Abigail Smith,ice,seasonal,NA
doi:10.18739/A2000014J,Abigail Smith,seasonal,transition,NA
doi:10.18739/A2000014J,Abigail Smith,transition,dates,NA
doi:10.18739/A2000014J,Abigail Smith,dates,1979,NA
doi:10.18739/A2000014J,Abigail Smith,1979,2013,NA
doi:10.18739/A2000014J,Abigail Smith,2013,nc,NA
doi:10.18739/A2000014J,Abigail Smith,nc,access,NA
doi:10.18739/A2000014J,Abigail Smith,access,cm2,NA
doi:10.18739/A2000014J,Abigail Smith,cm2,arctic,NA
doi:10.18739/A2000014J,Abigail Smith,arctic,sea,NA
doi:10.18739/A2000014J,Abigail Smith,sea,ice,NA
doi:10.18739/A2000014J,Abigail Smith,ice,seasonal,NA
doi:10.18739/A2000014J,Abigail Smith,seasonal,transition,NA
doi:10.18739/A2000014J,Abigail Smith,transition,periods,NA
doi:10.18739/A2000014J,Abigail Smith,periods,1979,NA
doi:10.18739/A2000014J,Abigail Smith,1979,2013,NA
doi:10.18739/A2000014J,Abigail Smith,2013,nc,NA
doi:10.18739/A2000014J,Abigail Smith,nc,bcc,NA
doi:10.18739/A2000014J,Abigail Smith,bcc,csm2,NA
doi:10.18739/A2000014J,Abigail Smith,csm2,mr,NA
doi:10.18739/A2000014J,Abigail Smith,mr,arctic,NA
doi:10.18739/A2000014J,Abigail Smith,arctic,sea,NA
doi:10.18739/A2000014J,Abigail Smith,sea,ice,NA
doi:10.18739/A2000014J,Abigail Smith,ice,seasonal,NA
doi:10.18739/A2000014J,Abigail Smith,seasonal,transition,NA
doi:10.18739/A2000014J,Abigail Smith,transition,dates,NA
doi:10.18739/A2000014J,Abigail Smith,dates,1979,NA
doi:10.18739/A2000014J,Abigail Smith,1979,2013,NA
doi:10.18739/A2000014J,Abigail Smith,2013,nc,NA
doi:10.18739/A2000014J,Abigail Smith,nc,bcc,NA
doi:10.18739/A2000014J,Abigail Smith,bcc,csm2,NA
doi:10.18739/A2000014J,Abigail Smith,csm2,mr,NA
doi:10.18739/A2000014J,Abigail Smith,mr,arctic,NA
doi:10.18739/A2000014J,Abigail Smith,arctic,sea,NA
doi:10.18739/A2000014J,Abigail Smith,sea,ice,NA
doi:10.18739/A2000014J,Abigail Smith,ice,seasonal,NA
doi:10.18739/A2000014J,Abigail Smith,seasonal,transition,NA
doi:10.18739/A2000014J,Abigail Smith,transition,periods,NA
doi:10.18739/A2000014J,Abigail Smith,periods,1979,NA
doi:10.18739/A2000014J,Abigail Smith,1979,2013,NA
doi:10.18739/A2000014J,Abigail Smith,2013,nc,NA
doi:10.18739/A2000014J,Abigail Smith,nc,bcc,NA
doi:10.18739/A2000014J,Abigail Smith,bcc,esm1,NA
doi:10.18739/A2000014J,Abigail Smith,esm1,arctic,NA
doi:10.18739/A2000014J,Abigail Smith,arctic,sea,NA
doi:10.18739/A2000014J,Abigail Smith,sea,ice,NA
doi:10.18739/A2000014J,Abigail Smith,ice,seasonal,NA
doi:10.18739/A2000014J,Abigail Smith,seasonal,transition,NA
doi:10.18739/A2000014J,Abigail Smith,transition,dates,NA
doi:10.18739/A2000014J,Abigail Smith,dates,1979,NA
doi:10.18739/A2000014J,Abigail Smith,1979,2013,NA
doi:10.18739/A2000014J,Abigail Smith,2013,nc,NA
doi:10.18739/A2000014J,Abigail Smith,nc,bcc,NA
doi:10.18739/A2000014J,Abigail Smith,bcc,esm1,NA
doi:10.18739/A2000014J,Abigail Smith,esm1,arctic,NA
doi:10.18739/A2000014J,Abigail Smith,arctic,sea,NA
doi:10.18739/A2000014J,Abigail Smith,sea,ice,NA
doi:10.18739/A2000014J,Abigail Smith,ice,seasonal,NA
doi:10.18739/A2000014J,Abigail Smith,seasonal,transition,NA
doi:10.18739/A2000014J,Abigail Smith,transition,periods,NA
doi:10.18739/A2000014J,Abigail Smith,periods,1979,NA
doi:10.18739/A2000014J,Abigail Smith,1979,2013,NA
doi:10.18739/A2000014J,Abigail Smith,2013,nc,NA
doi:10.18739/A2000014J,Abigail Smith,nc,canesm5,NA
doi:10.18739/A2000014J,Abigail Smith,canesm5,arctic,NA
doi:10.18739/A2000014J,Abigail Smith,arctic,sea,NA
doi:10.18739/A2000014J,Abigail Smith,sea,ice,NA
doi:10.18739/A2000014J,Abigail Smith,ice,seasonal,NA
doi:10.18739/A2000014J,Abigail Smith,seasonal,transition,NA
doi:10.18739/A2000014J,Abigail Smith,transition,dates,NA
