identifier,author,word1,word2,word3
doi:10.18739/A20000081,Lee W. Cooper,swl15,NA,NA
doi:10.18739/A20000081,Lee W. Cooper,bottle,NA,NA
doi:10.18739/A20000081,Lee W. Cooper,data,NA,NA
doi:10.18739/A20000081,Lee W. Cooper,v2,NA,NA
doi:10.18739/A20000081,Lee W. Cooper,csv,NA,NA
doi:10.18739/A2000012K,Matthew Shupe,smtpossx1,NA,NA
doi:10.18739/A2000012K,Matthew Shupe,c1.20170117.000100,NA,NA
doi:10.18739/A2000012K,Matthew Shupe,cdf,NA,NA
doi:10.18739/A2000012K,Matthew Shupe,smtpossx1,NA,NA
doi:10.18739/A2000012K,Matthew Shupe,c1.20170101.000100,NA,NA
doi:10.18739/A2000012K,Matthew Shupe,cdf,NA,NA
doi:10.18739/A2000014J,Abigail Smith,access,NA,NA
doi:10.18739/A2000014J,Abigail Smith,cm2,NA,NA
doi:10.18739/A2000014J,Abigail Smith,arctic,NA,NA
doi:10.18739/A2000014J,Abigail Smith,sea,NA,NA
doi:10.18739/A2000014J,Abigail Smith,ice,NA,NA
doi:10.18739/A2000014J,Abigail Smith,seasonal,NA,NA
doi:10.18739/A2000014J,Abigail Smith,transition,NA,NA
doi:10.18739/A2000014J,Abigail Smith,dates,NA,NA
doi:10.18739/A2000014J,Abigail Smith,1979,NA,NA
doi:10.18739/A2000014J,Abigail Smith,2013,NA,NA
doi:10.18739/A2000014J,Abigail Smith,nc,NA,NA
doi:10.18739/A2000014J,Abigail Smith,access,NA,NA
doi:10.18739/A2000014J,Abigail Smith,cm2,NA,NA
doi:10.18739/A2000014J,Abigail Smith,arctic,NA,NA
doi:10.18739/A2000014J,Abigail Smith,sea,NA,NA
doi:10.18739/A2000014J,Abigail Smith,ice,NA,NA
doi:10.18739/A2000014J,Abigail Smith,seasonal,NA,NA
doi:10.18739/A2000014J,Abigail Smith,transition,NA,NA
doi:10.18739/A2000014J,Abigail Smith,periods,NA,NA
doi:10.18739/A2000014J,Abigail Smith,1979,NA,NA
doi:10.18739/A2000014J,Abigail Smith,2013,NA,NA
doi:10.18739/A2000014J,Abigail Smith,nc,NA,NA
doi:10.18739/A2000014J,Abigail Smith,bcc,NA,NA
doi:10.18739/A2000014J,Abigail Smith,csm2,NA,NA
doi:10.18739/A2000014J,Abigail Smith,mr,NA,NA
doi:10.18739/A2000014J,Abigail Smith,arctic,NA,NA
doi:10.18739/A2000014J,Abigail Smith,sea,NA,NA
doi:10.18739/A2000014J,Abigail Smith,ice,NA,NA
doi:10.18739/A2000014J,Abigail Smith,seasonal,NA,NA
doi:10.18739/A2000014J,Abigail Smith,transition,NA,NA
doi:10.18739/A2000014J,Abigail Smith,dates,NA,NA
doi:10.18739/A2000014J,Abigail Smith,1979,NA,NA
doi:10.18739/A2000014J,Abigail Smith,2013,NA,NA
doi:10.18739/A2000014J,Abigail Smith,nc,NA,NA
doi:10.18739/A2000014J,Abigail Smith,bcc,NA,NA
doi:10.18739/A2000014J,Abigail Smith,csm2,NA,NA
doi:10.18739/A2000014J,Abigail Smith,mr,NA,NA
doi:10.18739/A2000014J,Abigail Smith,arctic,NA,NA
doi:10.18739/A2000014J,Abigail Smith,sea,NA,NA
doi:10.18739/A2000014J,Abigail Smith,ice,NA,NA
doi:10.18739/A2000014J,Abigail Smith,seasonal,NA,NA
doi:10.18739/A2000014J,Abigail Smith,transition,NA,NA
doi:10.18739/A2000014J,Abigail Smith,periods,NA,NA
doi:10.18739/A2000014J,Abigail Smith,1979,NA,NA
doi:10.18739/A2000014J,Abigail Smith,2013,NA,NA
doi:10.18739/A2000014J,Abigail Smith,nc,NA,NA
doi:10.18739/A2000014J,Abigail Smith,bcc,NA,NA
doi:10.18739/A2000014J,Abigail Smith,esm1,NA,NA
doi:10.18739/A2000014J,Abigail Smith,arctic,NA,NA
doi:10.18739/A2000014J,Abigail Smith,sea,NA,NA
doi:10.18739/A2000014J,Abigail Smith,ice,NA,NA
doi:10.18739/A2000014J,Abigail Smith,seasonal,NA,NA
doi:10.18739/A2000014J,Abigail Smith,transition,NA,NA
doi:10.18739/A2000014J,Abigail Smith,dates,NA,NA
doi:10.18739/A2000014J,Abigail Smith,1979,NA,NA
doi:10.18739/A2000014J,Abigail Smith,2013,NA,NA
doi:10.18739/A2000014J,Abigail Smith,nc,NA,NA
doi:10.18739/A2000014J,Abigail Smith,bcc,NA,NA
doi:10.18739/A2000014J,Abigail Smith,esm1,NA,NA
doi:10.18739/A2000014J,Abigail Smith,arctic,NA,NA
doi:10.18739/A2000014J,Abigail Smith,sea,NA,NA
