identifier,author,word1,word2,word3
doi:10.18739/A20000081,Lee W. Cooper,swl15,bottle,data
doi:10.18739/A20000081,Lee W. Cooper,bottle,data,v2
doi:10.18739/A20000081,Lee W. Cooper,data,v2,csv
doi:10.18739/A2000012K,Matthew Shupe,smtpossx1,c1.20170117.000100,cdf
doi:10.18739/A2000012K,Matthew Shupe,c1.20170117.000100,cdf,smtpossx1
doi:10.18739/A2000012K,Matthew Shupe,cdf,smtpossx1,c1.20170101.000100
doi:10.18739/A2000012K,Matthew Shupe,smtpossx1,c1.20170101.000100,cdf
doi:10.18739/A2000014J,Abigail Smith,access,cm2,arctic
doi:10.18739/A2000014J,Abigail Smith,cm2,arctic,sea
doi:10.18739/A2000014J,Abigail Smith,arctic,sea,ice
doi:10.18739/A2000014J,Abigail Smith,sea,ice,seasonal
doi:10.18739/A2000014J,Abigail Smith,ice,seasonal,transition
doi:10.18739/A2000014J,Abigail Smith,seasonal,transition,dates
doi:10.18739/A2000014J,Abigail Smith,transition,dates,1979
doi:10.18739/A2000014J,Abigail Smith,dates,1979,2013
doi:10.18739/A2000014J,Abigail Smith,1979,2013,nc
doi:10.18739/A2000014J,Abigail Smith,2013,nc,access
doi:10.18739/A2000014J,Abigail Smith,nc,access,cm2
doi:10.18739/A2000014J,Abigail Smith,access,cm2,arctic
doi:10.18739/A2000014J,Abigail Smith,cm2,arctic,sea
doi:10.18739/A2000014J,Abigail Smith,arctic,sea,ice
doi:10.18739/A2000014J,Abigail Smith,sea,ice,seasonal
doi:10.18739/A2000014J,Abigail Smith,ice,seasonal,transition
doi:10.18739/A2000014J,Abigail Smith,seasonal,transition,periods
doi:10.18739/A2000014J,Abigail Smith,transition,periods,1979
doi:10.18739/A2000014J,Abigail Smith,periods,1979,2013
doi:10.18739/A2000014J,Abigail Smith,1979,2013,nc
doi:10.18739/A2000014J,Abigail Smith,2013,nc,bcc
doi:10.18739/A2000014J,Abigail Smith,nc,bcc,csm2
doi:10.18739/A2000014J,Abigail Smith,bcc,csm2,mr
doi:10.18739/A2000014J,Abigail Smith,csm2,mr,arctic
doi:10.18739/A2000014J,Abigail Smith,mr,arctic,sea
doi:10.18739/A2000014J,Abigail Smith,arctic,sea,ice
doi:10.18739/A2000014J,Abigail Smith,sea,ice,seasonal
doi:10.18739/A2000014J,Abigail Smith,ice,seasonal,transition
doi:10.18739/A2000014J,Abigail Smith,seasonal,transition,dates
doi:10.18739/A2000014J,Abigail Smith,transition,dates,1979
doi:10.18739/A2000014J,Abigail Smith,dates,1979,2013
doi:10.18739/A2000014J,Abigail Smith,1979,2013,nc
doi:10.18739/A2000014J,Abigail Smith,2013,nc,bcc
doi:10.18739/A2000014J,Abigail Smith,nc,bcc,csm2
doi:10.18739/A2000014J,Abigail Smith,bcc,csm2,mr
doi:10.18739/A2000014J,Abigail Smith,csm2,mr,arctic
doi:10.18739/A2000014J,Abigail Smith,mr,arctic,sea
doi:10.18739/A2000014J,Abigail Smith,arctic,sea,ice
doi:10.18739/A2000014J,Abigail Smith,sea,ice,seasonal
doi:10.18739/A2000014J,Abigail Smith,ice,seasonal,transition
doi:10.18739/A2000014J,Abigail Smith,seasonal,transition,periods
doi:10.18739/A2000014J,Abigail Smith,transition,periods,1979
doi:10.18739/A2000014J,Abigail Smith,periods,1979,2013
doi:10.18739/A2000014J,Abigail Smith,1979,2013,nc
doi:10.18739/A2000014J,Abigail Smith,2013,nc,bcc
doi:10.18739/A2000014J,Abigail Smith,nc,bcc,esm1
doi:10.18739/A2000014J,Abigail Smith,bcc,esm1,arctic
doi:10.18739/A2000014J,Abigail Smith,esm1,arctic,sea
doi:10.18739/A2000014J,Abigail Smith,arctic,sea,ice
doi:10.18739/A2000014J,Abigail Smith,sea,ice,seasonal
doi:10.18739/A2000014J,Abigail Smith,ice,seasonal,transition
doi:10.18739/A2000014J,Abigail Smith,seasonal,transition,dates
doi:10.18739/A2000014J,Abigail Smith,transition,dates,1979
doi:10.18739/A2000014J,Abigail Smith,dates,1979,2013
doi:10.18739/A2000014J,Abigail Smith,1979,2013,nc
doi:10.18739/A2000014J,Abigail Smith,2013,nc,bcc
doi:10.18739/A2000014J,Abigail Smith,nc,bcc,esm1
doi:10.18739/A2000014J,Abigail Smith,bcc,esm1,arctic
doi:10.18739/A2000014J,Abigail Smith,esm1,arctic,sea
doi:10.18739/A2000014J,Abigail Smith,arctic,sea,ice
