identifier,word1,word2,word3
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,water,table,NA
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,table,depths,NA
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,depths,at,NA
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,at,water,NA
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,water,track,NA
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,track,sites,NA
0e6561e3-33bf-46d6-aba4-745be63c0e19,synoptic,discharge,NA
0e6561e3-33bf-46d6-aba4-745be63c0e19,discharge,at,NA
0e6561e3-33bf-46d6-aba4-745be63c0e19,at,water,NA
0e6561e3-33bf-46d6-aba4-745be63c0e19,water,track,NA
0e6561e3-33bf-46d6-aba4-745be63c0e19,track,sites,NA
15f8ac93-37f2-4045-b45b-35d078b82b46,soil,temperatures,NA
15f8ac93-37f2-4045-b45b-35d078b82b46,temperatures,at,NA
15f8ac93-37f2-4045-b45b-35d078b82b46,at,water,NA
15f8ac93-37f2-4045-b45b-35d078b82b46,water,track,NA
15f8ac93-37f2-4045-b45b-35d078b82b46,track,sites,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,manual,snow,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,snow,depths,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,depths,at,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,at,water,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,water,track,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,track,sites,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,water,isotopes,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,isotopes,of,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,of,precipitation,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,precipitation,surface,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,surface,and,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,and,soil,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,soil,waters,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,waters,of,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,of,the,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,the,kuparuk,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,kuparuk,river,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,river,basin,NA
8561e1c9-35c3-453f-903b-ea9ff91e1112,inorganic,nitrogen,NA
8561e1c9-35c3-453f-903b-ea9ff91e1112,nitrogen,during,NA
8561e1c9-35c3-453f-903b-ea9ff91e1112,during,snowmelt,NA
88652184-1c71-4e0a-a872-aa45b6463faf,dissolved,greenhouse,NA
88652184-1c71-4e0a-a872-aa45b6463faf,greenhouse,gases,NA
88652184-1c71-4e0a-a872-aa45b6463faf,gases,in,NA
88652184-1c71-4e0a-a872-aa45b6463faf,in,water,NA
