identifier,author,word1,word2,word3
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,Sarah Godsey,water,table,NA
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,Sarah Godsey,table,depths,NA
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,Sarah Godsey,depths,at,NA
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,Sarah Godsey,at,water,NA
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,Sarah Godsey,water,track,NA
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,Sarah Godsey,track,sites,NA
0e6561e3-33bf-46d6-aba4-745be63c0e19,Sarah Godsey,synoptic,discharge,NA
0e6561e3-33bf-46d6-aba4-745be63c0e19,Sarah Godsey,discharge,at,NA
0e6561e3-33bf-46d6-aba4-745be63c0e19,Sarah Godsey,at,water,NA
0e6561e3-33bf-46d6-aba4-745be63c0e19,Sarah Godsey,water,track,NA
0e6561e3-33bf-46d6-aba4-745be63c0e19,Sarah Godsey,track,sites,NA
15f8ac93-37f2-4045-b45b-35d078b82b46,Sarah Godsey,soil,temperatures,NA
15f8ac93-37f2-4045-b45b-35d078b82b46,Sarah Godsey,temperatures,at,NA
15f8ac93-37f2-4045-b45b-35d078b82b46,Sarah Godsey,at,water,NA
15f8ac93-37f2-4045-b45b-35d078b82b46,Sarah Godsey,water,track,NA
15f8ac93-37f2-4045-b45b-35d078b82b46,Sarah Godsey,track,sites,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,Sarah Godsey,manual,snow,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,Sarah Godsey,snow,depths,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,Sarah Godsey,depths,at,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,Sarah Godsey,at,water,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,Sarah Godsey,water,track,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,Sarah Godsey,track,sites,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,water,isotopes,NA
