identifier,word1,word2,word3
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,water,NA,NA
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,table,NA,NA
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,depths,NA,NA
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,at,NA,NA
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,water,NA,NA
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,track,NA,NA
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,sites,NA,NA
0e6561e3-33bf-46d6-aba4-745be63c0e19,synoptic,NA,NA
0e6561e3-33bf-46d6-aba4-745be63c0e19,discharge,NA,NA
0e6561e3-33bf-46d6-aba4-745be63c0e19,at,NA,NA
0e6561e3-33bf-46d6-aba4-745be63c0e19,water,NA,NA
0e6561e3-33bf-46d6-aba4-745be63c0e19,track,NA,NA
0e6561e3-33bf-46d6-aba4-745be63c0e19,sites,NA,NA
15f8ac93-37f2-4045-b45b-35d078b82b46,soil,NA,NA
15f8ac93-37f2-4045-b45b-35d078b82b46,temperatures,NA,NA
15f8ac93-37f2-4045-b45b-35d078b82b46,at,NA,NA
15f8ac93-37f2-4045-b45b-35d078b82b46,water,NA,NA
15f8ac93-37f2-4045-b45b-35d078b82b46,track,NA,NA
15f8ac93-37f2-4045-b45b-35d078b82b46,sites,NA,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,manual,NA,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,snow,NA,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,depths,NA,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,at,NA,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,water,NA,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,track,NA,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,sites,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,water,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,isotopes,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,of,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,precipitation,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,surface,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,and,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,soil,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,waters,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,of,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,the,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,kuparuk,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,river,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,basin,NA,NA
8561e1c9-35c3-453f-903b-ea9ff91e1112,inorganic,NA,NA
8561e1c9-35c3-453f-903b-ea9ff91e1112,nitrogen,NA,NA
8561e1c9-35c3-453f-903b-ea9ff91e1112,during,NA,NA
8561e1c9-35c3-453f-903b-ea9ff91e1112,snowmelt,NA,NA
88652184-1c71-4e0a-a872-aa45b6463faf,dissolved,NA,NA
88652184-1c71-4e0a-a872-aa45b6463faf,greenhouse,NA,NA
88652184-1c71-4e0a-a872-aa45b6463faf,gases,NA,NA
88652184-1c71-4e0a-a872-aa45b6463faf,in,NA,NA
88652184-1c71-4e0a-a872-aa45b6463faf,water,NA,NA
88652184-1c71-4e0a-a872-aa45b6463faf,tracks,NA,NA
8fa6477d-f846-4daa-b053-c799a8b11825,air,NA,NA
8fa6477d-f846-4daa-b053-c799a8b11825,temperature,NA,NA
8fa6477d-f846-4daa-b053-c799a8b11825,at,NA,NA
