identifier,author,word1,word2,word3
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,Sarah Godsey,water,NA,NA
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,Sarah Godsey,table,NA,NA
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,Sarah Godsey,depths,NA,NA
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,Sarah Godsey,at,NA,NA
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,Sarah Godsey,water,NA,NA
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,Sarah Godsey,track,NA,NA
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,Sarah Godsey,sites,NA,NA
0e6561e3-33bf-46d6-aba4-745be63c0e19,Sarah Godsey,synoptic,NA,NA
0e6561e3-33bf-46d6-aba4-745be63c0e19,Sarah Godsey,discharge,NA,NA
0e6561e3-33bf-46d6-aba4-745be63c0e19,Sarah Godsey,at,NA,NA
0e6561e3-33bf-46d6-aba4-745be63c0e19,Sarah Godsey,water,NA,NA
0e6561e3-33bf-46d6-aba4-745be63c0e19,Sarah Godsey,track,NA,NA
0e6561e3-33bf-46d6-aba4-745be63c0e19,Sarah Godsey,sites,NA,NA
15f8ac93-37f2-4045-b45b-35d078b82b46,Sarah Godsey,soil,NA,NA
15f8ac93-37f2-4045-b45b-35d078b82b46,Sarah Godsey,temperatures,NA,NA
15f8ac93-37f2-4045-b45b-35d078b82b46,Sarah Godsey,at,NA,NA
15f8ac93-37f2-4045-b45b-35d078b82b46,Sarah Godsey,water,NA,NA
15f8ac93-37f2-4045-b45b-35d078b82b46,Sarah Godsey,track,NA,NA
15f8ac93-37f2-4045-b45b-35d078b82b46,Sarah Godsey,sites,NA,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,Sarah Godsey,manual,NA,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,Sarah Godsey,snow,NA,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,Sarah Godsey,depths,NA,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,Sarah Godsey,at,NA,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,Sarah Godsey,water,NA,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,Sarah Godsey,track,NA,NA
5f80812b-9d8b-4439-b671-7b063a8cd82e,Sarah Godsey,sites,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,water,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,isotopes,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,of,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,precipitation,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,surface,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,and,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,soil,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,waters,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,of,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,the,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,kuparuk,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,river,NA,NA
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,basin,NA,NA
8561e1c9-35c3-453f-903b-ea9ff91e1112,Tamara Harms,inorganic,NA,NA
8561e1c9-35c3-453f-903b-ea9ff91e1112,Tamara Harms,nitrogen,NA,NA
8561e1c9-35c3-453f-903b-ea9ff91e1112,Tamara Harms,during,NA,NA
8561e1c9-35c3-453f-903b-ea9ff91e1112,Tamara Harms,snowmelt,NA,NA
88652184-1c71-4e0a-a872-aa45b6463faf,Tamara Harms,dissolved,NA,NA
88652184-1c71-4e0a-a872-aa45b6463faf,Tamara Harms,greenhouse,NA,NA
88652184-1c71-4e0a-a872-aa45b6463faf,Tamara Harms,gases,NA,NA
88652184-1c71-4e0a-a872-aa45b6463faf,Tamara Harms,in,NA,NA
88652184-1c71-4e0a-a872-aa45b6463faf,Tamara Harms,water,NA,NA
88652184-1c71-4e0a-a872-aa45b6463faf,Tamara Harms,tracks,NA,NA
8fa6477d-f846-4daa-b053-c799a8b11825,Sarah Godsey,air,NA,NA
8fa6477d-f846-4daa-b053-c799a8b11825,Sarah Godsey,temperature,NA,NA
8fa6477d-f846-4daa-b053-c799a8b11825,Sarah Godsey,at,NA,NA
8fa6477d-f846-4daa-b053-c799a8b11825,Sarah Godsey,water,NA,NA
8fa6477d-f846-4daa-b053-c799a8b11825,Sarah Godsey,track,NA,NA
8fa6477d-f846-4daa-b053-c799a8b11825,Sarah Godsey,site,NA,NA
8fa6477d-f846-4daa-b053-c799a8b11825,Sarah Godsey,wt6,NA,NA
a9a09131-0f21-4b3a-81a9-392b25f9a641,Tamara Harms,subsurface,NA,NA
