identifier,word1,word2,word3
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,water,table,depths
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,table,depths,at
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,depths,at,water
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,at,water,track
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,water,track,sites
0e6561e3-33bf-46d6-aba4-745be63c0e19,synoptic,discharge,at
0e6561e3-33bf-46d6-aba4-745be63c0e19,discharge,at,water
0e6561e3-33bf-46d6-aba4-745be63c0e19,at,water,track
0e6561e3-33bf-46d6-aba4-745be63c0e19,water,track,sites
15f8ac93-37f2-4045-b45b-35d078b82b46,soil,temperatures,at
15f8ac93-37f2-4045-b45b-35d078b82b46,temperatures,at,water
15f8ac93-37f2-4045-b45b-35d078b82b46,at,water,track
15f8ac93-37f2-4045-b45b-35d078b82b46,water,track,sites
5f80812b-9d8b-4439-b671-7b063a8cd82e,manual,snow,depths
5f80812b-9d8b-4439-b671-7b063a8cd82e,snow,depths,at
5f80812b-9d8b-4439-b671-7b063a8cd82e,depths,at,water
5f80812b-9d8b-4439-b671-7b063a8cd82e,at,water,track
5f80812b-9d8b-4439-b671-7b063a8cd82e,water,track,sites
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,water,isotopes,of
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,isotopes,of,precipitation
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,of,precipitation,surface
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,precipitation,surface,and
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,surface,and,soil
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,and,soil,waters
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,soil,waters,of
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,waters,of,the
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,of,the,kuparuk
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,the,kuparuk,river
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,kuparuk,river,basin
8561e1c9-35c3-453f-903b-ea9ff91e1112,inorganic,nitrogen,during
8561e1c9-35c3-453f-903b-ea9ff91e1112,nitrogen,during,snowmelt
88652184-1c71-4e0a-a872-aa45b6463faf,dissolved,greenhouse,gases
88652184-1c71-4e0a-a872-aa45b6463faf,greenhouse,gases,in
88652184-1c71-4e0a-a872-aa45b6463faf,gases,in,water
88652184-1c71-4e0a-a872-aa45b6463faf,in,water,tracks
8fa6477d-f846-4daa-b053-c799a8b11825,air,temperature,at
8fa6477d-f846-4daa-b053-c799a8b11825,temperature,at,water
8fa6477d-f846-4daa-b053-c799a8b11825,at,water,track
8fa6477d-f846-4daa-b053-c799a8b11825,water,track,site
8fa6477d-f846-4daa-b053-c799a8b11825,track,site,wt6
a9a09131-0f21-4b3a-81a9-392b25f9a641,subsurface,uptake,of
a9a09131-0f21-4b3a-81a9-392b25f9a641,uptake,of,inorganic
a9a09131-0f21-4b3a-81a9-392b25f9a641,of,inorganic,nitrogen
a9a09131-0f21-4b3a-81a9-392b25f9a641,inorganic,nitrogen,and
a9a09131-0f21-4b3a-81a9-392b25f9a641,nitrogen,and,phosphorus
