identifier,author,word1,word2,word3
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,Sarah Godsey,water,table,depths
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,Sarah Godsey,table,depths,at
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,Sarah Godsey,depths,at,water
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,Sarah Godsey,at,water,track
09f4b615-c70a-4d84-a4fd-f7faa9d25dc3,Sarah Godsey,water,track,sites
0e6561e3-33bf-46d6-aba4-745be63c0e19,Sarah Godsey,synoptic,discharge,at
0e6561e3-33bf-46d6-aba4-745be63c0e19,Sarah Godsey,discharge,at,water
0e6561e3-33bf-46d6-aba4-745be63c0e19,Sarah Godsey,at,water,track
0e6561e3-33bf-46d6-aba4-745be63c0e19,Sarah Godsey,water,track,sites
15f8ac93-37f2-4045-b45b-35d078b82b46,Sarah Godsey,soil,temperatures,at
15f8ac93-37f2-4045-b45b-35d078b82b46,Sarah Godsey,temperatures,at,water
15f8ac93-37f2-4045-b45b-35d078b82b46,Sarah Godsey,at,water,track
15f8ac93-37f2-4045-b45b-35d078b82b46,Sarah Godsey,water,track,sites
5f80812b-9d8b-4439-b671-7b063a8cd82e,Sarah Godsey,manual,snow,depths
5f80812b-9d8b-4439-b671-7b063a8cd82e,Sarah Godsey,snow,depths,at
5f80812b-9d8b-4439-b671-7b063a8cd82e,Sarah Godsey,depths,at,water
5f80812b-9d8b-4439-b671-7b063a8cd82e,Sarah Godsey,at,water,track
5f80812b-9d8b-4439-b671-7b063a8cd82e,Sarah Godsey,water,track,sites
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,water,isotopes,of
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,isotopes,of,precipitation
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,of,precipitation,surface
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,precipitation,surface,and
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,surface,and,soil
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,and,soil,waters
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,soil,waters,of
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,waters,of,the
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,of,the,kuparuk
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,the,kuparuk,river
668ee3cc-f1f8-43ca-b977-339a8eb0aea5,Tamara Harms,kuparuk,river,basin
8561e1c9-35c3-453f-903b-ea9ff91e1112,Tamara Harms,inorganic,nitrogen,during
8561e1c9-35c3-453f-903b-ea9ff91e1112,Tamara Harms,nitrogen,during,snowmelt
88652184-1c71-4e0a-a872-aa45b6463faf,Tamara Harms,dissolved,greenhouse,gases
88652184-1c71-4e0a-a872-aa45b6463faf,Tamara Harms,greenhouse,gases,in
88652184-1c71-4e0a-a872-aa45b6463faf,Tamara Harms,gases,in,water
88652184-1c71-4e0a-a872-aa45b6463faf,Tamara Harms,in,water,tracks
8fa6477d-f846-4daa-b053-c799a8b11825,Sarah Godsey,air,temperature,at
8fa6477d-f846-4daa-b053-c799a8b11825,Sarah Godsey,temperature,at,water
8fa6477d-f846-4daa-b053-c799a8b11825,Sarah Godsey,at,water,track
8fa6477d-f846-4daa-b053-c799a8b11825,Sarah Godsey,water,track,site
8fa6477d-f846-4daa-b053-c799a8b11825,Sarah Godsey,track,site,wt6
a9a09131-0f21-4b3a-81a9-392b25f9a641,Tamara Harms,subsurface,uptake,of
a9a09131-0f21-4b3a-81a9-392b25f9a641,Tamara Harms,uptake,of,inorganic
a9a09131-0f21-4b3a-81a9-392b25f9a641,Tamara Harms,of,inorganic,nitrogen
a9a09131-0f21-4b3a-81a9-392b25f9a641,Tamara Harms,inorganic,nitrogen,and
a9a09131-0f21-4b3a-81a9-392b25f9a641,Tamara Harms,nitrogen,and,phosphorus
arctic-data.13716.2,Lauren Juranek,ctd,transect,along
arctic-data.13716.2,Lauren Juranek,transect,along,the
arctic-data.13716.2,Lauren Juranek,along,the,distributed
arctic-data.13716.2,Lauren Juranek,the,distributed,biological
arctic-data.13716.2,Lauren Juranek,distributed,biological,observatory
arctic-data.13716.2,Lauren Juranek,biological,observatory,line
arctic-data.13716.2,Lauren Juranek,observatory,line,4
arctic-data.13716.2,Lauren Juranek,line,4,dbo4
arctic-data.13716.2,Lauren Juranek,4,dbo4,september
arctic-data.13716.2,Lauren Juranek,dbo4,september,2016
arctic-data.14372.3,Anna Liljedahl,numerical,simulations,of
arctic-data.14372.3,Anna Liljedahl,simulations,of,hydrology
arctic-data.14372.3,Anna Liljedahl,of,hydrology,permafrost
arctic-data.14372.3,Anna Liljedahl,hydrology,permafrost,and
arctic-data.14372.3,Anna Liljedahl,permafrost,and,glaciers
arctic-data.14372.3,Anna Liljedahl,and,glaciers,in
arctic-data.14372.3,Anna Liljedahl,glaciers,in,the
arctic-data.14372.3,Anna Liljedahl,in,the,jarvis
arctic-data.14372.3,Anna Liljedahl,the,jarvis,creek
arctic-data.14372.3,Anna Liljedahl,jarvis,creek,watershed
arctic-data.14372.3,Anna Liljedahl,creek,watershed,interior
arctic-data.14372.3,Anna Liljedahl,watershed,interior,alaska
arctic-data.14372.3,Anna Liljedahl,interior,alaska,2013
arctic-data.14372.3,Anna Liljedahl,alaska,2013,2016
arctic-data.14423.1,Anna Liljedahl,numerical,simulations,of
arctic-data.14423.1,Anna Liljedahl,simulations,of,hydrology
arctic-data.14423.1,Anna Liljedahl,of,hydrology,permafrost
arctic-data.14423.1,Anna Liljedahl,hydrology,permafrost,and
arctic-data.14423.1,Anna Liljedahl,permafrost,and,glaciers
arctic-data.14423.1,Anna Liljedahl,and,glaciers,in
arctic-data.14423.1,Anna Liljedahl,glaciers,in,the
arctic-data.14423.1,Anna Liljedahl,in,the,jarvis
arctic-data.14423.1,Anna Liljedahl,the,jarvis,creek
arctic-data.14423.1,Anna Liljedahl,jarvis,creek,watershed
arctic-data.14423.1,Anna Liljedahl,creek,watershed,interior
arctic-data.14423.1,Anna Liljedahl,watershed,interior,alaska
arctic-data.14423.1,Anna Liljedahl,interior,alaska,1991
arctic-data.14423.1,Anna Liljedahl,alaska,1991,2100
arctic-data.14669.1,Laurel Lynch,data,set,for
arctic-data.14669.1,Laurel Lynch,set,for,tracking
arctic-data.14669.1,Laurel Lynch,for,tracking,the
arctic-data.14669.1,Laurel Lynch,tracking,the,fate
arctic-data.14669.1,Laurel Lynch,the,fate,of
arctic-data.14669.1,Laurel Lynch,fate,of,fresh
arctic-data.14669.1,Laurel Lynch,of,fresh,carbon
arctic-data.14669.1,Laurel Lynch,fresh,carbon,in
arctic-data.14669.1,Laurel Lynch,carbon,in,the
arctic-data.14669.1,Laurel Lynch,in,the,arctic
arctic-data.14669.1,Laurel Lynch,the,arctic,tundra
arctic-data.14669.1,Laurel Lynch,arctic,tundra,will
arctic-data.14669.1,Laurel Lynch,tundra,will,shrub
arctic-data.14669.1,Laurel Lynch,will,shrub,expansion
arctic-data.14669.1,Laurel Lynch,shrub,expansion,alter
arctic-data.14669.1,Laurel Lynch,expansion,alter,responses
arctic-data.14669.1,Laurel Lynch,alter,responses,of
arctic-data.14669.1,Laurel Lynch,responses,of,soil
arctic-data.14669.1,Laurel Lynch,of,soil,organic
arctic-data.14669.1,Laurel Lynch,soil,organic,matter
arctic-data.14669.1,Laurel Lynch,organic,matter,to
arctic-data.14669.1,Laurel Lynch,matter,to,warming
arctic-data.14730.2,Jeremy May,toolik,seasons,plot
arctic-data.14730.2,Jeremy May,seasons,plot,thaw
arctic-data.14730.2,Jeremy May,plot,thaw,depth
arctic-data.14730.2,Jeremy May,thaw,depth,ndvi
arctic-data.14730.2,Jeremy May,depth,ndvi,and
arctic-data.14730.2,Jeremy May,ndvi,and,phenology
arctic-data.14730.2,Jeremy May,and,phenology,2017
arctic-data.14815.1,LEI CAI,dynamical,downscaling,data
arctic-data.14815.1,LEI CAI,downscaling,data,at
arctic-data.14815.1,LEI CAI,data,at,major
arctic-data.14815.1,LEI CAI,at,major,observational
arctic-data.14815.1,LEI CAI,major,observational,sites
arctic-data.14815.1,LEI CAI,observational,sites,on
arctic-data.14815.1,LEI CAI,sites,on,the
arctic-data.14815.1,LEI CAI,on,the,north
arctic-data.14815.1,LEI CAI,the,north,slope
arctic-data.14815.1,LEI CAI,north,slope,of
arctic-data.14815.1,LEI CAI,slope,of,alaksa
autogen.2016032220473125154.3,T.A. Douglas,chemical,weathering,and
autogen.2016032220473125154.3,T.A. Douglas,weathering,and,organic
autogen.2016032220473125154.3,T.A. Douglas,and,organic,carbon
