token,n,unique_ids,unique_authors,weighted_n,weighted_ids,score
ocean atmosphere,19,19,19,1,1,2
arctic natural,16,16,16,1,1,2
atmosphere sea,15,15,15,1,1,2
global change,14,14,14,1,1,2
sediment record,14,14,14,1,1,2
arctic lake,13,13,13,1,1,2
ice snowpack,13,13,13,1,1,2
sciences ans,12,12,12,1,1,2
field research,11,11,11,1,1,2
global positioning,11,11,11,1,1,2
positioning system,11,11,11,1,1,2
ans sponsor,10,10,10,1,1,2
continuous permafrost,10,10,10,1,1,2
microsoft excel,10,10,10,1,1,2
primary objective,10,10,10,1,1,2
spitsbergen svalbard,10,10,10,1,1,2
spring 2009,10,10,10,1,1,2
august 2004,9,9,9,1,1,2
deep ice,9,9,9,1,1,2
future sea,9,9,9,1,1,2
improve understanding,9,9,9,1,1,2
intensive campaign,9,9,9,1,1,2
island canada,9,9,9,1,1,2
local residents,9,9,9,1,1,2
measurement intensive,9,9,9,1,1,2
project team,9,9,9,1,1,2
situ measurements,9,9,9,1,1,2
snowpack oasis,9,9,9,1,1,2
30 minutes,8,8,8,1,1,2
arctic waters,8,8,8,1,1,2
electrical conductivity,8,8,8,1,1,2
fairbanks ak,8,8,8,1,1,2
ice atmosphere,8,8,8,1,1,2
isotope ratio,8,8,8,1,1,2
methane ch4,8,8,8,1,1,2
multi proxy,8,8,8,1,1,2
national aeronautics,8,8,8,1,1,2
primary research,8,8,8,1,1,2
resource management,8,8,8,1,1,2
test hypotheses,8,8,8,1,1,2
undergraduate research,8,8,8,1,1,2
ak 99775,7,7,7,1,1,2
arctic oscillation,7,7,7,1,1,2
arctic water,7,7,7,1,1,2
atmospheric reanalysis,7,7,7,1,1,2
atmospheric surface,7,7,7,1,1,2
award supports,7,7,7,1,1,2
baseline data,7,7,7,1,1,2
black carbon,7,7,7,1,1,2
changing subsistence,7,7,7,1,1,2
collect data,7,7,7,1,1,2
drifting stations,7,7,7,1,1,2
environmental sciences,7,7,7,1,1,2
holocene climatic,7,7,7,1,1,2
icp ms,7,7,7,1,1,2
indigenous communities,7,7,7,1,1,2
june 2004,7,7,7,1,1,2
meteorological observations,7,7,7,1,1,2
northern pacific,7,7,7,1,1,2
october 1997,7,7,7,1,1,2
potential future,7,7,7,1,1,2
previously published,7,7,7,1,1,2
proglacial lake,7,7,7,1,1,2
project pi,7,7,7,1,1,2
provide valuable,7,7,7,1,1,2
satellite remote,7,7,7,1,1,2
space administration,7,7,7,1,1,2
subsistence hunters,7,7,7,1,1,2
summer 2014,7,7,7,1,1,2
svalbard archipelago,7,7,7,1,1,2
term monitoring,7,7,7,1,1,2
150 khz,6,6,6,1,1,2
2 cm,6,6,6,1,1,2
2017 data,6,6,6,1,1,2
50 100,6,6,6,1,1,2
al 2009,6,6,6,1,1,2
animal populations,6,6,6,1,1,2
arctic circle,6,6,6,1,1,2
arctic landscape,6,6,6,1,1,2
atmospheric composition,6,6,6,1,1,2
atmospheric deposition,6,6,6,1,1,2
august 2008,6,6,6,1,1,2
central greenland,6,6,6,1,1,2
chemistry data,6,6,6,1,1,2
climatic change,6,6,6,1,1,2
colored dissolved,6,6,6,1,1,2
contact periods,6,6,6,1,1,2
continuous flow,6,6,6,1,1,2
