token,n,unique_ids,unique_authors,weighted_n,weighted_ids,score
independent,23,23,23,1,1,2
infer,16,16,16,1,1,2
share,16,16,16,1,1,2
societal,15,15,15,1,1,2
excellent,14,14,14,1,1,2
sufficient,14,14,14,1,1,2
ans,13,13,13,1,1,2
constrained,13,13,13,1,1,2
implemented,13,13,13,1,1,2
gradual,12,12,12,1,1,2
suggested,12,12,12,1,1,2
utility,12,12,12,1,1,2
yielded,12,12,12,1,1,2
circle,11,11,11,1,1,2
decreases,11,11,11,1,1,2
evaluating,11,11,11,1,1,2
generating,11,11,11,1,1,2
amplified,10,10,10,1,1,2
cooperation,10,10,10,1,1,2
explored,10,10,10,1,1,2
extensively,10,10,10,1,1,2
finding,10,10,10,1,1,2
impacting,10,10,10,1,1,2
journals,10,10,10,1,1,2
oasis,10,10,10,1,1,2
preparation,10,10,10,1,1,2
preservation,10,10,10,1,1,2
undergoing,10,10,10,1,1,2
wider,10,10,10,1,1,2
1.0,9,9,9,1,1,2
articles,9,9,9,1,1,2
convert,9,9,9,1,1,2
effectively,9,9,9,1,1,2
fit,9,9,9,1,1,2
grow,9,9,9,1,1,2
hall,9,9,9,1,1,2
integrates,9,9,9,1,1,2
plate,9,9,9,1,1,2
representatives,9,9,9,1,1,2
selection,9,9,9,1,1,2
severe,9,9,9,1,1,2
simulates,9,9,9,1,1,2
slightly,9,9,9,1,1,2
topic,9,9,9,1,1,2
1.7,8,8,8,1,1,2
140,8,8,8,1,1,2
210,8,8,8,1,1,2
aeronautics,8,8,8,1,1,2
answer,8,8,8,1,1,2
conferences,8,8,8,1,1,2
consequent,8,8,8,1,1,2
conventional,8,8,8,1,1,2
depends,8,8,8,1,1,2
easily,8,8,8,1,1,2
forces,8,8,8,1,1,2
offer,8,8,8,1,1,2
respective,8,8,8,1,1,2
saved,8,8,8,1,1,2
southward,8,8,8,1,1,2
spreadsheets,8,8,8,1,1,2
stronger,8,8,8,1,1,2
trained,8,8,8,1,1,2
uncertain,8,8,8,1,1,2
"12,000",7,7,7,1,1,2
1400,7,7,7,1,1,2
57,7,7,7,1,1,2
66,7,7,7,1,1,2
99775,7,7,7,1,1,2
accelerating,7,7,7,1,1,2
associate,7,7,7,1,1,2
awards,7,7,7,1,1,2
bldg,7,7,7,1,1,2
centennial,7,7,7,1,1,2
character,7,7,7,1,1,2
colored,7,7,7,1,1,2
decreased,7,7,7,1,1,2
deliver,7,7,7,1,1,2
deposit,7,7,7,1,1,2
draw,7,7,7,1,1,2
educators,7,7,7,1,1,2
eggs,7,7,7,1,1,2
enters,7,7,7,1,1,2
exceed,7,7,7,1,1,2
finer,7,7,7,1,1,2
geographically,7,7,7,1,1,2
guide,7,7,7,1,1,2
icp,7,7,7,1,1,2
ignition,7,7,7,1,1,2
iv,7,7,7,1,1,2
logistical,7,7,7,1,1,2
maintenance,7,7,7,1,1,2
modes,7,7,7,1,1,2
ny,7,7,7,1,1,2
offered,7,7,7,1,1,2
partnerships,7,7,7,1,1,2
radius,7,7,7,1,1,2
reasons,7,7,7,1,1,2
refined,7,7,7,1,1,2
returning,7,7,7,1,1,2
scholars,7,7,7,1,1,2
surveying,7,7,7,1,1,2
synthesize,7,7,7,1,1,2
tiff,7,7,7,1,1,2
timescale,7,7,7,1,1,2
transient,7,7,7,1,1,2
varies,7,7,7,1,1,2
1.1,6,6,6,1,1,2
51,6,6,6,1,1,2
64,6,6,6,1,1,2
9000,6,6,6,1,1,2
absent,6,6,6,1,1,2
accessibility,6,6,6,1,1,2
accomplish,6,6,6,1,1,2
amplify,6,6,6,1,1,2
blank,6,6,6,1,1,2
bongo,6,6,6,1,1,2
constituted,6,6,6,1,1,2
contexts,6,6,6,1,1,2
contrasts,6,6,6,1,1,2
crust,6,6,6,1,1,2
curriculum,6,6,6,1,1,2
curves,6,6,6,1,1,2
destruction,6,6,6,1,1,2
detecting,6,6,6,1,1,2
endorsed,6,6,6,1,1,2
englacial,6,6,6,1,1,2
enriched,6,6,6,1,1,2
evident,6,6,6,1,1,2
explores,6,6,6,1,1,2
extents,6,6,6,1,1,2
fourteen,6,6,6,1,1,2
fractionation,6,6,6,1,1,2
ftp,6,6,6,1,1,2
geomorphology,6,6,6,1,1,2
headwater,6,6,6,1,1,2
idealized,6,6,6,1,1,2
improvement,6,6,6,1,1,2
incidence,6,6,6,1,1,2
insolation,6,6,6,1,1,2
integrative,6,6,6,1,1,2
intermittent,6,6,6,1,1,2
jgr,6,6,6,1,1,2
lag,6,6,6,1,1,2
maine,6,6,6,1,1,2
military,6,6,6,1,1,2
multiproxy,6,6,6,1,1,2
offering,6,6,6,1,1,2
origins,6,6,6,1,1,2
phenomena,6,6,6,1,1,2
prevalent,6,6,6,1,1,2
priorities,6,6,6,1,1,2
quantitatively,6,6,6,1,1,2
retreated,6,6,6,1,1,2
seminars,6,6,6,1,1,2
shed,6,6,6,1,1,2
shifting,6,6,6,1,1,2
spatiotemporal,6,6,6,1,1,2
sponsors,6,6,6,1,1,2
transcribed,6,6,6,1,1,2
transferred,6,6,6,1,1,2
undertake,6,6,6,1,1,2
varved,6,6,6,1,1,2
visited,6,6,6,1,1,2
0.10,5,5,5,1,1,2
008,5,5,5,1,1,2
10.1038,5,5,5,1,1,2
115,5,5,5,1,1,2
1970s,5,5,5,1,1,2
2.2,5,5,5,1,1,2
2.8,5,5,5,1,1,2
20cm,5,5,5,1,1,2
50km,5,5,5,1,1,2
81,5,5,5,1,1,2
8th,5,5,5,1,1,2
abilities,5,5,5,1,1,2
adjustment,5,5,5,1,1,2
aeolian,5,5,5,1,1,2
alternate,5,5,5,1,1,2
altimeter,5,5,5,1,1,2
arrays,5,5,5,1,1,2
ash,5,5,5,1,1,2
assembly,5,5,5,1,1,2
audiences,5,5,5,1,1,2
beringian,5,5,5,1,1,2
beta,5,5,5,1,1,2
broo,5,5,5,1,1,2
calibrating,5,5,5,1,1,2
carefully,5,5,5,1,1,2
cascading,5,5,5,1,1,2
cims,5,5,5,1,1,2
classify,5,5,5,1,1,2
climatically,5,5,5,1,1,2
coarser,5,5,5,1,1,2
complexity,5,5,5,1,1,2
couple,5,5,5,1,1,2
creation,5,5,5,1,1,2
dataloggers,5,5,5,1,1,2
difficulties,5,5,5,1,1,2
documentary,5,5,5,1,1,2
drawing,5,5,5,1,1,2
economies,5,5,5,1,1,2
efficient,5,5,5,1,1,2
email,5,5,5,1,1,2
employs,5,5,5,1,1,2
environmentally,5,5,5,1,1,2
evolve,5,5,5,1,1,2
evolving,5,5,5,1,1,2
exhibited,5,5,5,1,1,2
extant,5,5,5,1,1,2
families,5,5,5,1,1,2
fellowship,5,5,5,1,1,2
focal,5,5,5,1,1,2
frequent,5,5,5,1,1,2
genesis,5,5,5,1,1,2
governing,5,5,5,1,1,2
greenland’s,5,5,5,1,1,2
groundwork,5,5,5,1,1,2
harvests,5,5,5,1,1,2
healthy,5,5,5,1,1,2
hierarchical,5,5,5,1,1,2
hybrid,5,5,5,1,1,2
icebridge,5,5,5,1,1,2
idea,5,5,5,1,1,2
incorporating,5,5,5,1,1,2
initiatives,5,5,5,1,1,2
instability,5,5,5,1,1,2
insufficient,5,5,5,1,1,2
intensively,5,5,5,1,1,2
inupiat,5,5,5,1,1,2
investigates,5,5,5,1,1,2
jamstec,5,5,5,1,1,2
lamination,5,5,5,1,1,2
lasting,5,5,5,1,1,2
lie,5,5,5,1,1,2
lomonosov,5,5,5,1,1,2
merra,5,5,5,1,1,2
miller,5,5,5,1,1,2
mobility,5,5,5,1,1,2
modest,5,5,5,1,1,2
mortality,5,5,5,1,1,2
night,5,5,5,1,1,2
oral,5,5,5,1,1,2
parameterization,5,5,5,1,1,2
peopled,5,5,5,1,1,2
photogrammetric,5,5,5,1,1,2
photographic,5,5,5,1,1,2
photolysis,5,5,5,1,1,2
preferred,5,5,5,1,1,2
prepare,5,5,5,1,1,2
producing,5,5,5,1,1,2
pvc,5,5,5,1,1,2
ran,5,5,5,1,1,2
rays,5,5,5,1,1,2
relations,5,5,5,1,1,2
responds,5,5,5,1,1,2
restricted,5,5,5,1,1,2
retain,5,5,5,1,1,2
scenes,5,5,5,1,1,2
secular,5,5,5,1,1,2
sedimentological,5,5,5,1,1,2
seismically,5,5,5,1,1,2
similarly,5,5,5,1,1,2
socioeconomic,5,5,5,1,1,2
soviet,5,5,5,1,1,2
superlative,5,5,5,1,1,2
terrains,5,5,5,1,1,2
thaws,5,5,5,1,1,2
thicknesses,5,5,5,1,1,2
tied,5,5,5,1,1,2
transformative,5,5,5,1,1,2
truth,5,5,5,1,1,2
unangan,5,5,5,1,1,2
uploaded,5,5,5,1,1,2
utilizes,5,5,5,1,1,2
volcanically,5,5,5,1,1,2
volcanoes,5,5,5,1,1,2
workbook,5,5,5,1,1,2
0.7,4,4,4,1,1,2
10.1594,4,4,4,1,1,2
100km,4,4,4,1,1,2
