token,n,unique_ids,unique_authors,weighted_n,weighted_ids,score
arctic natural sciences,15,15,15,1,1,2
atmosphere sea ice,15,15,15,1,1,2
sea ice snowpack,13,13,13,1,1,2
natural sciences ans,12,12,12,1,1,2
ocean atmosphere sea,12,12,12,1,1,2
global positioning system,11,11,11,1,1,2
sciences ans sponsor,10,10,10,1,1,2
future sea level,9,9,9,1,1,2
ice snowpack oasis,9,9,9,1,1,2
measurement intensive campaign,9,9,9,1,1,2
north atlantic ocean,8,8,8,1,1,2
fairbanks ak 99775,7,7,7,1,1,2
satellite remote sensing,7,7,7,1,1,2
source arctic natural,7,7,7,1,1,2
annual snow accumulation,6,6,6,1,1,2
ans sponsor university,6,6,6,1,1,2
colored dissolved organic,6,6,6,1,1,2
coping mechanisms changing,6,6,6,1,1,2
deep ice cores,6,6,6,1,1,2
dunrossness shetland islands,6,6,6,1,1,2
european contact periods,6,6,6,1,1,2
human coping mechanisms,6,6,6,1,1,2
ice thickness data,6,6,6,1,1,2
lake sediment cores,6,6,6,1,1,2
laurentide ice sheet,6,6,6,1,1,2
mechanisms changing subsistence,6,6,6,1,1,2
mountain prehistoric sites,6,6,6,1,1,2
positioning system gps,6,6,6,1,1,2
program arctic natural,6,6,6,1,1,2
ray fluorescence xrf,6,6,6,1,1,2
sea ice ocean,6,6,6,1,1,2
snowpack oasis program,6,6,6,1,1,2
stable isotope laboratory,6,6,6,1,1,2
traditional knowledge ltk,6,6,6,1,1,2
water level measurements,6,6,6,1,1,2
008 fairbanks ak,5,5,5,1,1,2
1 human ecology,5,5,5,1,1,2
2 subarctic human,5,5,5,1,1,2
3 geological influences,5,5,5,1,1,2
active plate boundary,5,5,5,1,1,2
alaska fairbanks campus,5,5,5,1,1,2
aleutian islands divide,5,5,5,1,1,2
aleutian islands extending,5,5,5,1,1,2
biotic environments researchers,5,5,5,1,1,2
bldg 008 fairbanks,5,5,5,1,1,2
broo township dunrossness,5,5,5,1,1,2
campus west ridge,5,5,5,1,1,2
