token,n,unique_ids,unique_authors,weighted_n,weighted_ids,score
unique code,5,5,5,1,1,2
additional comments,4,4,4,1,1,2
1 species,3,3,3,1,1,2
12 depth,3,3,3,1,1,2
16 depth,3,3,3,1,1,2
17 depth,3,3,3,1,1,2
3 digits,3,3,3,1,1,2
3 dry,3,3,3,1,1,2
380 nm,3,3,3,1,1,2
al 2015,3,3,3,1,1,2
ch4 concentration,3,3,3,1,1,2
cm average,3,3,3,1,1,2
collected latitude,3,3,3,1,1,2
core dry,3,3,3,1,1,2
data logger,3,3,3,1,1,2
degree latitude,3,3,3,1,1,2
deuterium excess,3,3,3,1,1,2
field identifier,3,3,3,1,1,2
geographic location,3,3,3,1,1,2
identified taxon,3,3,3,1,1,2
instrument serial,3,3,3,1,1,2
layer organic,3,3,3,1,1,2
location depth,3,3,3,1,1,2
location id,3,3,3,1,1,2
mass spectrometry,3,3,3,1,1,2
measurement date,3,3,3,1,1,2
meters concentration,3,3,3,1,1,2
methane flux,3,3,3,1,1,2
mg cm,3,3,3,1,1,2
nad83 longitude,3,3,3,1,1,2
nearest town,3,3,3,1,1,2
observation 0,3,3,3,1,1,2
plot 2,3,3,3,1,1,2
river ice,3,3,3,1,1,2
sample carbon,3,3,3,1,1,2
sample concentration,3,3,3,1,1,2
sample size,3,3,3,1,1,2
sample ug,3,3,3,1,1,2
samples total,3,3,3,1,1,2
site based,3,3,3,1,1,2
site identification,3,3,3,1,1,2
site site,3,3,3,1,1,2
tag id,3,3,3,1,1,2
temperature sensor,3,3,3,1,1,2
thaw depths,3,3,3,1,1,2
top layer,3,3,3,1,1,2
unknown type,3,3,3,1,1,2
0.0625 magnetic,2,2,2,1,1,2
0.75 meters,2,2,2,1,1,2
00 noaa,2,2,2,1,1,2
01 24,2,2,2,1,1,2
1 9,2,2,2,1,1,2
1 land,2,2,2,1,1,2
1 methane,2,2,2,1,1,2
1 notes,2,2,2,1,1,2
1 resistivity,2,2,2,1,1,2
1 thickness,2,2,2,1,1,2
10 resistivity,2,2,2,1,1,2
10 thickness,2,2,2,1,1,2
11 depth,2,2,2,1,1,2
11 meters,2,2,2,1,1,2
11 resistivity,2,2,2,1,1,2
11 thickness,2,2,2,1,1,2
12 resistivity,2,2,2,1,1,2
12 thickness,2,2,2,1,1,2
13 resistivity,2,2,2,1,1,2
13 thickness,2,2,2,1,1,2
14 depth,2,2,2,1,1,2
14 resistivity,2,2,2,1,1,2
14 thickness,2,2,2,1,1,2
14c isotope,2,2,2,1,1,2
15 resistivity,2,2,2,1,1,2
15 thickness,2,2,2,1,1,2
16 resistivity,2,2,2,1,1,2
16 thickness,2,2,2,1,1,2
1605 days,2,2,2,1,1,2
1605 latitude,2,2,2,1,1,2
16o ratio,2,2,2,1,1,2
17 resistivity,2,2,2,1,1,2
17 thickness,2,2,2,1,1,2
18 resistivity,2,2,2,1,1,2
18 thickness,2,2,2,1,1,2
19 depth,2,2,2,1,1,2
19 resistivity,2,2,2,1,1,2
1980 01,2,2,2,1,1,2
1982 01,2,2,2,1,1,2
1994 2018_barrow_atqasuk_itex_plant_metadata.docx,2,2,2,1,1,2
2 01,2,2,2,1,1,2
2 resistivity,2,2,2,1,1,2
2 thickness,2,2,2,1,1,2
20 standard,2,2,2,1,1,2
20 thickness,2,2,2,1,1,2
200 status,2,2,2,1,1,2
2001 2006,2,2,2,1,1,2
2006 2007,2,2,2,1,1,2
2007 2008,2,2,2,1,1,2
2008 2009,2,2,2,1,1,2
2014 sensor,2,2,2,1,1,2
2018_barrow_atqasuk_itex_plant_metadata.docx sex,2,2,2,1,1,2
275 295,2,2,2,1,1,2
3 resistivity,2,2,2,1,1,2
3 snow,2,2,2,1,1,2
3 thickness,2,2,2,1,1,2
3.65 meters,2,2,2,1,1,2
3408 daily,2,2,2,1,1,2
3408 soil,2,2,2,1,1,2
350 400,2,2,2,1,1,2
4 digits,2,2,2,1,1,2
4 resistivity,2,2,2,1,1,2
4 thickness,2,2,2,1,1,2
430 nm,2,2,2,1,1,2
450 nm,2,2,2,1,1,2
480 nm,2,2,2,1,1,2
5 resistivity,2,2,2,1,1,2
5 thickness,2,2,2,1,1,2
5 treatment,2,2,2,1,1,2
6 resistivity,2,2,2,1,1,2
6 thickness,2,2,2,1,1,2
7 resistivity,2,2,2,1,1,2
7 thickness,2,2,2,1,1,2
7.1 meters,2,2,2,1,1,2
8 4,2,2,2,1,1,2
8 d18o,2,2,2,1,1,2
8 depth,2,2,2,1,1,2
8 resistivity,2,2,2,1,1,2
8 thickness,2,2,2,1,1,2
9 16,2,2,2,1,1,2
9 depth,2,2,2,1,1,2
9 marked,2,2,2,1,1,2
9 resistivity,2,2,2,1,1,2
9 thickness,2,2,2,1,1,2
9.3 meters,2,2,2,1,1,2
9be added,2,2,2,1,1,2
abundance values,2,2,2,1,1,2
acetylene iso,2,2,2,1,1,2
additional data,2,2,2,1,1,2
ages latitude,2,2,2,1,1,2
al 2007,2,2,2,1,1,2
alaska usa,2,2,2,1,1,2
aluminium concentration,2,2,2,1,1,2
approximately 10,2,2,2,1,1,2
arctic winter,2,2,2,1,1,2
auger hole,2,2,2,1,1,2
average density,2,2,2,1,1,2
average photosynthetically,2,2,2,1,1,2
average thaw,2,2,2,1,1,2
background total,2,2,2,1,1,2
bare ground,2,2,2,1,1,2
belemnite vpdb,2,2,2,1,1,2
benzene toluene,2,2,2,1,1,2
biomass mg,2,2,2,1,1,2
biomass nitrogen,2,2,2,1,1,2
body fat,2,2,2,1,1,2
borehole temperature,2,2,2,1,1,2
breast feathers,2,2,2,1,1,2
breeding stage,2,2,2,1,1,2
butane acetylene,2,2,2,1,1,2
ca mg,2,2,2,1,1,2
california irvine,2,2,2,1,1,2
capillary tubes,2,2,2,1,1,2
captured stage,2,2,2,1,1,2
carbon amount,2,2,2,1,1,2
carbon isotopes,2,2,2,1,1,2
cast identification,2,2,2,1,1,2
cast identifier,2,2,2,1,1,2
cell counts,2,2,2,1,1,2
ch4 measurements,2,2,2,1,1,2
chamber plot,2,2,2,1,1,2
check status,2,2,2,1,1,2
chlorophyll fluorescence,2,2,2,1,1,2
cm increments,2,2,2,1,1,2
cm percent,2,2,2,1,1,2
code identification,2,2,2,1,1,2
code identifying,2,2,2,1,1,2
collected data,2,2,2,1,1,2
collected day,2,2,2,1,1,2
collected geographic,2,2,2,1,1,2
collected growth,2,2,2,1,1,2
collected habitat,2,2,2,1,1,2
collected site,2,2,2,1,1,2
collected water,2,2,2,1,1,2
collection replicate,2,2,2,1,1,2
color bands,2,2,2,1,1,2
comments date,2,2,2,1,1,2
community plot,2,2,2,1,1,2
community site,2,2,2,1,1,2
concentration measured,2,2,2,1,1,2
concentration nitrogen,2,2,2,1,1,2
concentration potassium,2,2,2,1,1,2
concentration silicic,2,2,2,1,1,2
concentrations sample,2,2,2,1,1,2
content uncertainty,2,2,2,1,1,2
content water,2,2,2,1,1,2
content wet,2,2,2,1,1,2
coordinate gps,2,2,2,1,1,2
core 1,2,2,2,1,1,2
core core,2,2,2,1,1,2
core diameter,2,2,2,1,1,2
core nitrogen,2,2,2,1,1,2
core segment,2,2,2,1,1,2
core type,2,2,2,1,1,2
cores collected,2,2,2,1,1,2
correction measure,2,2,2,1,1,2
cover data,2,2,2,1,1,2
cover measured,2,2,2,1,1,2
ctd bottle,2,2,2,1,1,2
