token,n,unique_ids,unique_authors,weighted_n,weighted_ids,score
accumulated,5,5,5,1,1,2
dated,5,5,5,1,1,2
events,5,5,5,1,1,2
gross,5,5,5,1,1,2
microtopography,5,5,5,1,1,2
abbreviated,4,4,4,1,1,2
replicates,4,4,4,1,1,2
texture,4,4,4,1,1,2
velocities,4,4,4,1,1,2
41,3,3,3,1,1,2
abandoned,3,3,3,1,1,2
absence,3,3,3,1,1,2
ad,3,3,3,1,1,2
address,3,3,3,1,1,2
adults,3,3,3,1,1,2
blocks,3,3,3,1,1,2
configuration,3,3,3,1,1,2
consistency,3,3,3,1,1,2
contents,3,3,3,1,1,2
denoting,3,3,3,1,1,2
drill,3,3,3,1,1,2
heavy,3,3,3,1,1,2
inspection,3,3,3,1,1,2
instance,3,3,3,1,1,2
lipids,3,3,3,1,1,2
microbiota,3,3,3,1,1,2
obtained,3,3,3,1,1,2
oxidase,3,3,3,1,1,2
phenol,3,3,3,1,1,2
physical,3,3,3,1,1,2
purposes,3,3,3,1,1,2
remarks,3,3,3,1,1,2
rivers,3,3,3,1,1,2
sciences,3,3,3,1,1,2
sept,3,3,3,1,1,2
services,3,3,3,1,1,2
spectrometry,3,3,3,1,1,2
stopped,3,3,3,1,1,2
tape,3,3,3,1,1,2
tubes,3,3,3,1,1,2
uc,3,3,3,1,1,2
0.0625,2,2,2,1,1,2
0.43,2,2,2,1,1,2
0.67,2,2,2,1,1,2
0.68,2,2,2,1,1,2
0.79,2,2,2,1,1,2
0.82,2,2,2,1,1,2
1.01,2,2,2,1,1,2
1.14,2,2,2,1,1,2
1.44,2,2,2,1,1,2
11.3,2,2,2,1,1,2
11.5,2,2,2,1,1,2
15th,2,2,2,1,1,2
1982,2,2,2,1,1,2
1g,2,2,2,1,1,2
2.96,2,2,2,1,1,2
2018_barrow_atqasuk_itex_plant_metadata.docx,2,2,2,1,1,2
2h,2,2,2,1,1,2
3.65,2,2,2,1,1,2
3.70,2,2,2,1,1,2
4.5,2,2,2,1,1,2
430,2,2,2,1,1,2
480,2,2,2,1,1,2
51,2,2,2,1,1,2
6.5,2,2,2,1,1,2
61,2,2,2,1,1,2
640,2,2,2,1,1,2
7.1,2,2,2,1,1,2
83,2,2,2,1,1,2
9.3,2,2,2,1,1,2
99,2,2,2,1,1,2
999,2,2,2,1,1,2
abdomen,2,2,2,1,1,2
acetate,2,2,2,1,1,2
acres,2,2,2,1,1,2
airplane,2,2,2,1,1,2
alcohol,2,2,2,1,1,2
aluminium,2,2,2,1,1,2
amine,2,2,2,1,1,2
arc,2,2,2,1,1,2
areal,2,2,2,1,1,2
assessed,2,2,2,1,1,2
auger,2,2,2,1,1,2
baseflow,2,2,2,1,1,2
bases,2,2,2,1,1,2
bc,2,2,2,1,1,2
belemnite,2,2,2,1,1,2
biology,2,2,2,1,1,2
bisexual,2,2,2,1,1,2
blade,2,2,2,1,1,2
cabin,2,2,2,1,1,2
california,2,2,2,1,1,2
cd,2,2,2,1,1,2
characterization,2,2,2,1,1,2
chukchi,2,2,2,1,1,2
citations,2,2,2,1,1,2
cloaca,2,2,2,1,1,2
clutch,2,2,2,1,1,2
commenced,2,2,2,1,1,2
commonly,2,2,2,1,1,2
comprised,2,2,2,1,1,2
concealed,2,2,2,1,1,2
coulometer,2,2,2,1,1,2
covers,2,2,2,1,1,2
cr,2,2,2,1,1,2
created,2,2,2,1,1,2
cs,2,2,2,1,1,2
ctl,2,2,2,1,1,2
cu,2,2,2,1,1,2
cylinder,2,2,2,1,1,2
damping,2,2,2,1,1,2
datetime,2,2,2,1,1,2
depending,2,2,2,1,1,2
determining,2,2,2,1,1,2
devices,2,2,2,1,1,2
differences,2,2,2,1,1,2
earlier,2,2,2,1,1,2
eddy,2,2,2,1,1,2
el,2,2,2,1,1,2
email,2,2,2,1,1,2
eml,2,2,2,1,1,2
entities,2,2,2,1,1,2
er,2,2,2,1,1,2
exceeded,2,2,2,1,1,2
expedition,2,2,2,1,1,2
experiments,2,2,2,1,1,2
families,2,2,2,1,1,2
fat,2,2,2,1,1,2
flat,2,2,2,1,1,2
floated,2,2,2,1,1,2
forbs,2,2,2,1,1,2
freshwater,2,2,2,1,1,2
fuel,2,2,2,1,1,2
gamma,2,2,2,1,1,2
geoid,2,2,2,1,1,2
geomag,2,2,2,1,1,2
gut,2,2,2,1,1,2
hg,2,2,2,1,1,2
hope,2,2,2,1,1,2
increments,2,2,2,1,1,2
inflourescense,2,2,2,1,1,2
instaar,2,2,2,1,1,2
intcal13,2,2,2,1,1,2
integrity,2,2,2,1,1,2
invidivuals,2,2,2,1,1,2
itkillik,2,2,2,1,1,2
kr,2,2,2,1,1,2
la,2,2,2,1,1,2
landmark,2,2,2,1,1,2
larmor,2,2,2,1,1,2
leading,2,2,2,1,1,2
life,2,2,2,1,1,2
lines,2,2,2,1,1,2
links,2,2,2,1,1,2
logistics,2,2,2,1,1,2
lr,2,2,2,1,1,2
lv,2,2,2,1,1,2
mechanism,2,2,2,1,1,2
