token,n,unique_ids,unique_authors,weighted_n,weighted_ids,score
mm dd yy,4,4,4,1,1,2
cm 3 dry,3,3,3,1,1,2
degrees nad83 longitude,3,3,3,1,1,2
mg cm 2,3,3,3,1,1,2
sample identifier depth,3,3,3,1,1,2
water specific conductivity,3,3,3,1,1,2
0.0625 magnetic field,2,2,2,1,1,2
0.75 meters depth,2,2,2,1,1,2
00 00 noaa,2,2,2,1,1,2
00 noaa cdr,2,2,2,1,1,2
1 10 cm,2,2,2,1,1,2
1 5 treatment,2,2,2,1,1,2
1 9 marked,2,2,2,1,1,2
1 depth meters,2,2,2,1,1,2
1 methane flux,2,2,2,1,1,2
1 resistivity ohm,2,2,2,1,1,2
1 species 3,2,2,2,1,1,2
1 thickness meters,2,2,2,1,1,2
1.4 meters depth,2,2,2,1,1,2
1.7 meters depth,2,2,2,1,1,2
10 cm increments,2,2,2,1,1,2
10 depth meters,2,2,2,1,1,2
10 resistivity ohm,2,2,2,1,1,2
10 thickness meters,2,2,2,1,1,2
11 depth meters,2,2,2,1,1,2
11 resistivity ohm,2,2,2,1,1,2
11 thickness meters,2,2,2,1,1,2
12 depth meters,2,2,2,1,1,2
12 resistivity ohm,2,2,2,1,1,2
12 thickness meters,2,2,2,1,1,2
13 depth meters,2,2,2,1,1,2
13 resistivity ohm,2,2,2,1,1,2
13 thickness meters,2,2,2,1,1,2
14 depth meters,2,2,2,1,1,2
14 resistivity ohm,2,2,2,1,1,2
14 thickness meters,2,2,2,1,1,2
15 depth meters,2,2,2,1,1,2
15 resistivity ohm,2,2,2,1,1,2
15 thickness meters,2,2,2,1,1,2
16 depth meters,2,2,2,1,1,2
16 resistivity ohm,2,2,2,1,1,2
16 thickness meters,2,2,2,1,1,2
1605 1605 days,2,2,2,1,1,2
1605 1605 latitude,2,2,2,1,1,2
17 depth meters,2,2,2,1,1,2
17 resistivity ohm,2,2,2,1,1,2
17 thickness meters,2,2,2,1,1,2
18 depth meters,2,2,2,1,1,2
18 resistivity ohm,2,2,2,1,1,2
18 thickness meters,2,2,2,1,1,2
18o 16o ratio,2,2,2,1,1,2
19 depth meters,2,2,2,1,1,2
19 resistivity ohm,2,2,2,1,1,2
1980 01 01,2,2,2,1,1,2
1982 01 01,2,2,2,1,1,2
1994 2018_barrow_atqasuk_itex_plant_metadata.docx sex,2,2,2,1,1,2
2 01 24,2,2,2,1,1,2
2 depth meters,2,2,2,1,1,2
2 resistivity ohm,2,2,2,1,1,2
2 thickness meters,2,2,2,1,1,2
20 standard deviation,2,2,2,1,1,2
20 thickness meters,2,2,2,1,1,2
2014 sensor distance,2,2,2,1,1,2
2018_barrow_atqasuk_itex_plant_metadata.docx sex 1,2,2,2,1,1,2
254 nm normalized,2,2,2,1,1,2
275 295 nm,2,2,2,1,1,2
3 depth meters,2,2,2,1,1,2
3 resistivity ohm,2,2,2,1,1,2
3 thickness meters,2,2,2,1,1,2
3.65 meters depth,2,2,2,1,1,2
3408 daily runoff,2,2,2,1,1,2
3408 soil depth,2,2,2,1,1,2
350 400 nm,2,2,2,1,1,2
350 nm cdom,2,2,2,1,1,2
365 nm cdom,2,2,2,1,1,2
4 depth meters,2,2,2,1,1,2
4 resistivity ohm,2,2,2,1,1,2
4 thickness meters,2,2,2,1,1,2
5 depth meters,2,2,2,1,1,2
5 resistivity ohm,2,2,2,1,1,2
5 thickness meters,2,2,2,1,1,2
6 depth meters,2,2,2,1,1,2
6 resistivity ohm,2,2,2,1,1,2
6 thickness meters,2,2,2,1,1,2
7 depth meters,2,2,2,1,1,2
7 resistivity ohm,2,2,2,1,1,2
7 thickness meters,2,2,2,1,1,2
7.1 meters depth,2,2,2,1,1,2
721x721 matrix column,2,2,2,1,1,2
721x721 matrix latitude,2,2,2,1,1,2
8 depth meters,2,2,2,1,1,2
8 resistivity ohm,2,2,2,1,1,2
8 thickness meters,2,2,2,1,1,2
9 depth meters,2,2,2,1,1,2
9 marked individual,2,2,2,1,1,2
9 resistivity ohm,2,2,2,1,1,2
9 thickness meters,2,2,2,1,1,2
9.3 meters depth,2,2,2,1,1,2
aboveground biomass mg,2,2,2,1,1,2
accelerator mass spectrometry,2,2,2,1,1,2
