token,n,unique_ids,unique_authors,weighted_n,weighted_ids,score
ca,4,4,4,1,1,2
volume,4,4,4,1,1,2
d13c,3,3,3,1,1,2
description,3,3,3,1,1,2
nh4,3,3,3,1,1,2
no3,3,3,3,1,1,2
observed,3,3,3,1,1,2
po4,3,3,3,1,1,2
15,2,2,2,1,1,2
24,2,2,2,1,1,2
annual,2,2,2,1,1,2
baseflow,2,2,2,1,1,2
bi,2,2,2,1,1,2
chamber,2,2,2,1,1,2
citation,2,2,2,1,1,2
code,2,2,2,1,1,2
cover,2,2,2,1,1,2
cumulative,2,2,2,1,1,2
direction,2,2,2,1,1,2
geographic,2,2,2,1,1,2
growth,2,2,2,1,1,2
icethickness,2,2,2,1,1,2
information,2,2,2,1,1,2
instrument,2,2,2,1,1,2
la,2,2,2,1,1,2
minimum,2,2,2,1,1,2
moss,2,2,2,1,1,2
relative,2,2,2,1,1,2
replicates,2,2,2,1,1,2
row,2,2,2,1,1,2
runoff,2,2,2,1,1,2
satellite,2,2,2,1,1,2
saturation,2,2,2,1,1,2
slope,2,2,2,1,1,2
snowdepth,2,2,2,1,1,2
solar,2,2,2,1,1,2
solar_zenith_angle,2,2,2,1,1,2
sr,2,2,2,1,1,2
study,2,2,2,1,1,2
td,2,2,2,1,1,2
01,1,1,1,1,1,2
08,1,1,1,1,1,2
10.1029,1,1,1,1,1,2
10be,1,1,1,1,1,2
10be_9be,1,1,1,1,1,2
10be_atoms,1,1,1,1,1,2
10be_cocentration_uncertainty,1,1,1,1,1,2
10be_concentration,1,1,1,1,1,2
10be_concentration_uncertainty,1,1,1,1,1,2
10be_concetration,1,1,1,1,1,2
14c_plfa,1,1,1,1,1,2
16,1,1,1,1,1,2
17,1,1,1,1,1,2
179,1,1,1,1,1,2
181,1,1,1,1,1,2
18o,1,1,1,1,1,2
18s,1,1,1,1,1,2
1999,1,1,1,1,1,2
1999jc900081,1,1,1,1,1,2
1to15,1,1,1,1,1,2
2012,1,1,1,1,1,2
254,1,1,1,1,1,2
271,1,1,1,1,1,2
28,1,1,1,1,1,2
28s,1,1,1,1,1,2
30kda,1,1,1,1,1,2
380,1,1,1,1,1,2
44,1,1,1,1,1,2
500,1,1,1,1,1,2
850hpa,1,1,1,1,1,2
925,1,1,1,1,1,2
9be_added_mg,1,1,1,1,1,2
a_1,1,1,1,1,1,2
a_10,1,1,1,1,1,2
a_11,1,1,1,1,1,2
a_12,1,1,1,1,1,2
a_2,1,1,1,1,1,2
a_3,1,1,1,1,1,2
a_4,1,1,1,1,1,2
a_5,1,1,1,1,1,2
a_6,1,1,1,1,1,2
a_7,1,1,1,1,1,2
a_8,1,1,1,1,1,2
a_9,1,1,1,1,1,2
a250,1,1,1,1,1,2
a254,1,1,1,1,1,2
a350,1,1,1,1,1,2
a365,1,1,1,1,1,2
a375,1,1,1,1,1,2
a412,1,1,1,1,1,2
a440,1,1,1,1,1,2
ablation,1,1,1,1,1,2
accelerator,1,1,1,1,1,2
accumulated,1,1,1,1,1,2
acetate,1,1,1,1,1,2
acetone,1,1,1,1,1,2
acquired,1,1,1,1,1,2
acquisition,1,1,1,1,1,2
ag,1,1,1,1,1,2
age_uncertainty_ka,1,1,1,1,1,2
agricultural,1,1,1,1,1,2
