token,n,unique_ids,unique_authors,weighted_n,weighted_ids,score
baseflow month latitude,2,2,2,1,1,2
basin id basin,2,2,2,1,1,2
basin id date,2,2,2,1,1,2
basin id latitude,2,2,2,1,1,2
carbon latitude longitude,2,2,2,1,1,2
column latitude longitude,2,2,2,1,1,2
cumulative discharge export,2,2,2,1,1,2
date icethickness snowdepth,2,2,2,1,1,2
date river discharge,2,2,2,1,1,2
depth soil temperature,2,2,2,1,1,2
discharge export ease,2,2,2,1,1,2
discharge export river,2,2,2,1,1,2
dissolved oxygen saturation,2,2,2,1,1,2
ease grid column,2,2,2,1,1,2
ease grid row,2,2,2,1,1,2
equivalent date latitude,2,2,2,1,1,2
export ease grid,2,2,2,1,1,2
export river cumulative,2,2,2,1,1,2
grid column latitude,2,2,2,1,1,2
grid row ease,2,2,2,1,1,2
id date river,2,2,2,1,1,2
id latitude longitude,2,2,2,1,1,2
latitude longitude baseflow,2,2,2,1,1,2
latitude longitude runoff,2,2,2,1,1,2
latitude longitude snow,2,2,2,1,1,2
latitude longitude soil,2,2,2,1,1,2
longitude baseflow month,2,2,2,1,1,2
longitude date icethickness,2,2,2,1,1,2
longitude latitude time,2,2,2,1,1,2
longitude runoff month,2,2,2,1,1,2
longitude snow water,2,2,2,1,1,2
longitude soil depth,2,2,2,1,1,2
organic carbon latitude,2,2,2,1,1,2
photosynthetically active radiation,2,2,2,1,1,2
river cumulative discharge,2,2,2,1,1,2
river discharge export,2,2,2,1,1,2
row ease grid,2,2,2,1,1,2
runoff month latitude,2,2,2,1,1,2
snow water equivalent,2,2,2,1,1,2
soil depth soil,2,2,2,1,1,2
soil temperature ghaas,2,2,2,1,1,2
temperature ghaas river,2,2,2,1,1,2
temperature notes station,2,2,2,1,1,2
temperature pressure sea,2,2,2,1,1,2
water equivalent date,2,2,2,1,1,2
07 13 measuredon_2013,1,1,1,1,1,2
07 15 measuredon_2013,1,1,1,1,1,2
07 17 measuredon_2013,1,1,1,1,1,2
08 01 total,1,1,1,1,1,2
1 24 cloud,1,1,1,1,1,2
1 ch4 flux,1,1,1,1,1,2
1 cond_mmol_m 2_s,1,1,1,1,1,2
1 january 2012,1,1,1,1,1,2
1 par water,1,1,1,1,1,2
1 time 2,1,1,1,1,1,2
1 weight daughter,1,1,1,1,1,2
10 cf_cf1_20 cf_cf1_,1,1,1,1,1,2
10 cf_sg1_ 2,1,1,1,1,1,2
10 cf_tl1_20 sg_cf1_,1,1,1,1,1,2
10 sg_cf1_ 2,1,1,1,1,1,2
10 sg_cf2_ 2,1,1,1,1,1,2
10 sg_sg1_ 2,1,1,1,1,1,2
10 sg_tl1_20 sg_tl1_,1,1,1,1,1,2
10 sg_tl2_ 2,1,1,1,1,1,2
10 tl_cf1_ 2,1,1,1,1,1,2
10 tl_sg1_20 tl_sg1_,1,1,1,1,1,2
10 tl_sg2_ 2,1,1,1,1,1,2
10 wave height,1,1,1,1,1,2
10 wave period,1,1,1,1,1,2
10.1029 1999jc900081 aerosol,1,1,1,1,1,2
1000 hpa integrated,1,1,1,1,1,2
10be concentration uncertainty,1,1,1,1,1,2
10be_9be ratio_uncertainty 10be_concetration,1,1,1,1,1,2
10be_9be_ratio 10be_atoms samples,1,1,1,1,1,2
10be_9be_ratio ratio_uncertainty 10be_concentration,1,1,1,1,1,2
10be_9be_ratio_uncertainty blank_corrected_10be_concentration 10be_concentration_uncertainty,1,1,1,1,1,2
10be_9be_ratio_uncertainty blank_corrected_10be_concentration atoms,1,1,1,1,1,2
10be_atoms samples applied,1,1,1,1,1,2
10be_cocentration_uncertainty lm_age_ka age_uncertainty_ka,1,1,1,1,1,2
10be_concentration 10be_cocentration_uncertainty lm_age_ka,1,1,1,1,1,2
10be_concentration_uncertainty age_ka age_uncertainty,1,1,1,1,1,2
10be_concetration 10be concentration,1,1,1,1,1,2
11851 2010 effective,1,1,1,1,1,2
11851 2010 phase,1,1,1,1,1,2
13 measuredon_2013 07,1,1,1,1,1,2
13c average natural,1,1,1,1,1,2
13c carbon concentration,1,1,1,1,1,2
13c plot treatment,1,1,1,1,1,2
14 error carbon,1,1,1,1,1,2
14 uncalibrated age,1,1,1,1,1,2
14c_plfa branched mono,1,1,1,1,1,2
15 measuredon_2013 07,1,1,1,1,1,2
15n nitrogen concentration,1,1,1,1,1,2
16 sea surface,1,1,1,1,1,2
17 measuredon_2013 08,1,1,1,1,1,2
18 notes collection,1,1,1,1,1,2
18s rrna cell,1,1,1,1,1,2
1952 coarse scale,1,1,1,1,1,2
1952 fine scale,1,1,1,1,1,2
1979 coarse scale,1,1,1,1,1,2
1979 fine scale,1,1,1,1,1,2
1999 doi 10.1029,1,1,1,1,1,2
1999jc900081 aerosol optical,1,1,1,1,1,2
1to15 treatment.temperature days.post.fert,1,1,1,1,1,2
2 background 2,1,1,1,1,1,2
2 cf_sg1_20 cf_sg1_,1,1,1,1,1,2
2 cf_tl1_ 10,1,1,1,1,1,2
2 cf_tl1_ 2,1,1,1,1,1,2
2 meter height,1,1,1,1,1,2
2 plot treatment,1,1,1,1,1,2
2 sg_cf1_20 sg_cf2_,1,1,1,1,1,2
2 sg_cf2_20 sg_sg1_20,1,1,1,1,1,2
2 sg_sg2_ 10,1,1,1,1,1,2
2 sg_sg2_ 2,1,1,1,1,1,2
2 sg_tl1_ 10,1,1,1,1,1,2
2 sg_tl2_ 10,1,1,1,1,1,2
2 temperature ph,1,1,1,1,1,2
2 time 3,1,1,1,1,1,2
2 tl_cf1_20 tl_cf2_,1,1,1,1,1,2
2 tl_cf2_20 tl_cf2_,1,1,1,1,1,2
2 tl_sg2_ 10,1,1,1,1,1,2
2 tl_sg2_20 tl_tl1_20,1,1,1,1,1,2
2 tl_tl2_ 10,1,1,1,1,1,2
2 tl_tl2_ 2,1,1,1,1,1,2
2 weight daughter,1,1,1,1,1,2
2_s 1 cond_mmol_m,1,1,1,1,1,2
2010 effective radius,1,1,1,1,1,2
2012 water vapor,1,1,1,1,1,2
2015 coarse scale,1,1,1,1,1,2
2015 fine scale,1,1,1,1,1,2
2016 atmospheric pco2,1,1,1,1,1,2
2016 co2 super,1,1,1,1,1,2
2016 flux super,1,1,1,1,1,2
2016 latitude super,1,1,1,1,1,2
2016 longitude super,1,1,1,1,1,2
2016 salinity super,1,1,1,1,1,2
2016 wind velocity,1,1,1,1,1,2
24 cloud liquid,1,1,1,1,1,2
254 nm chlorophyll,1,1,1,1,1,2
271 time ozone,1,1,1,1,1,2
28 ampl 44,1,1,1,1,1,2
3 time 4,1,1,1,1,1,2
3 weight daughter,1,1,1,1,1,2
380 nm absorbance,1,1,1,1,1,2
4 weight daughter,1,1,1,1,1,2
5 time 6,1,1,1,1,1,2
5 weight daughter,1,1,1,1,1,2
500 hpa temperature,1,1,1,1,1,2
550 nm integrated,1,1,1,1,1,2
6 date time,1,1,1,1,1,2
6 la mother,1,1,1,1,1,2
6 time 7,1,1,1,1,1,2
6 weight mother,1,1,1,1,1,2
850 hpa kg,1,1,1,1,1,2
850 hpa temperature,1,1,1,1,1,2
925 hpa temperature,1,1,1,1,1,2
9be_added_mg 10be_9be_ratio ratio_uncertainty,1,1,1,1,1,2
a_1 chlorophyll a_2,1,1,1,1,1,2
a_10 chlorophyll a_11,1,1,1,1,1,2
a_11 chlorophyll a_12,1,1,1,1,1,2
a_2 chlorophyll a_3,1,1,1,1,1,2
