token,n,unique_ids,unique_authors,weighted_n,weighted_ids,score
Al,9,9,9,1,1,2
Fe,8,8,8,1,1,2
Mn,8,8,8,1,1,2
Co,6,6,6,1,1,2
Cr,5,5,5,1,1,2
Cu,5,5,5,1,1,2
La,5,5,5,1,1,2
S,5,5,5,1,1,2
Ti,5,5,5,1,1,2
Water_depth,5,5,5,1,1,2
Zn,5,5,5,1,1,2
Ce,4,4,4,1,1,2
Lake,4,4,4,1,1,2
Ni,4,4,4,1,1,2
Pr,4,4,4,1,1,2
Slope,4,4,4,1,1,2
StationName,4,4,4,1,1,2
TN,4,4,4,1,1,2
%C,3,3,3,1,1,2
%N,3,3,3,1,1,2
abundance,3,3,3,1,1,2
doy_frac,3,3,3,1,1,2
Dy,3,3,3,1,1,2
Eu,3,3,3,1,1,2
Group,3,3,3,1,1,2
habitat,3,3,3,1,1,2
Latitude_N,3,3,3,1,1,2
mm,3,3,3,1,1,2
N2O,3,3,3,1,1,2
Note,3,3,3,1,1,2
obs3+,3,3,3,1,1,2
obs3+1,3,3,3,1,1,2
perc_N,3,3,3,1,1,2
Replicate,3,3,3,1,1,2
Sm,3,3,3,1,1,2
Station Name,3,3,3,1,1,2
SUM,3,3,3,1,1,2
Thaw_depth,3,3,3,1,1,2
tv290c,3,3,3,1,1,2
UTM_zone,3,3,3,1,1,2
vwc,3,3,3,1,1,2
18O,2,2,2,1,1,2
1m,2,2,2,1,1,2
a250 (m-1),2,2,2,1,1,2
a254 (m-1),2,2,2,1,1,2
a350 (m-1),2,2,2,1,1,2
acetylene,2,2,2,1,1,2
acetylene_numflag,2,2,2,1,1,2
Ag,2,2,2,1,1,2
Air Temp,2,2,2,1,1,2
Air_temperature,2,2,2,1,1,2
ALK,2,2,2,1,1,2
altitude,2,2,2,1,1,2
Amount,2,2,2,1,1,2
B,2,2,2,1,1,2
B0_nT,2,2,2,1,1,2
baseflow,2,2,2,1,1,2
basin_area,2,2,2,1,1,2
basin_name,2,2,2,1,1,2
Beam Transmission,2,2,2,1,1,2
benzene,2,2,2,1,1,2
benzene_numflag,2,2,2,1,1,2
Biomass,2,2,2,1,1,2
C_perc,2,2,2,1,1,2
Category,2,2,2,1,1,2
Cd,2,2,2,1,1,2
CH4flux,2,2,2,1,1,2
Chl_a,2,2,2,1,1,2
conceal,2,2,2,1,1,2
Container,2,2,2,1,1,2
count,2,2,2,1,1,2
COUNT,2,2,2,1,1,2
Cs,2,2,2,1,1,2
d13C_DIC,2,2,2,1,1,2
d13C-CH4,2,2,2,1,1,2
Dataset,2,2,2,1,1,2
Date_Collected,2,2,2,1,1,2
date_measured,2,2,2,1,1,2
Date/time,2,2,2,1,1,2
dbh,2,2,2,1,1,2
dd,2,2,2,1,1,2
DELTA_C13,2,2,2,1,1,2
depth_1,2,2,2,1,1,2
depth_10,2,2,2,1,1,2
depth_11,2,2,2,1,1,2
depth_12,2,2,2,1,1,2
depth_13,2,2,2,1,1,2
depth_14,2,2,2,1,1,2
depth_15,2,2,2,1,1,2
depth_16,2,2,2,1,1,2
depth_17,2,2,2,1,1,2
depth_18,2,2,2,1,1,2
depth_19,2,2,2,1,1,2
depth_2,2,2,2,1,1,2
depth_3,2,2,2,1,1,2
depth_4,2,2,2,1,1,2
depth_5,2,2,2,1,1,2
depth_6,2,2,2,1,1,2
depth_7,2,2,2,1,1,2
depth_8,2,2,2,1,1,2
depth_9,2,2,2,1,1,2
Depth_cm,2,2,2,1,1,2
Depth.cm,2,2,2,1,1,2
Depth.mm,2,2,2,1,1,2
dom_land,2,2,2,1,1,2
dom_veg,2,2,2,1,1,2
double time,2,2,2,1,1,2
Elev,2,2,2,1,1,2
elev_meter,2,2,2,1,1,2
End date,2,2,2,1,1,2
end_time,2,2,2,1,1,2
Er,2,2,2,1,1,2
ethane,2,2,2,1,1,2
ethane_numflag,2,2,2,1,1,2
export,2,2,2,1,1,2
export_cumulative,2,2,2,1,1,2
fail_cause,2,2,2,1,1,2
fate,2,2,2,1,1,2
fecal_sample,2,2,2,1,1,2
float latitude,2,2,2,1,1,2
float longitude,2,2,2,1,1,2
flux,2,2,2,1,1,2
Ga,2,2,2,1,1,2
Gd,2,2,2,1,1,2
GNIS_ID,2,2,2,1,1,2
grid_column,2,2,2,1,1,2
grid_row,2,2,2,1,1,2
GWC,2,2,2,1,1,2
Habitat,2,2,2,1,1,2
Hg_blood,2,2,2,1,1,2
Ho,2,2,2,1,1,2
horizon,2,2,2,1,1,2
Horizon,2,2,2,1,1,2
humidity,2,2,2,1,1,2
i_butane,2,2,2,1,1,2
i_butane_numflag,2,2,2,1,1,2
I_degrees,2,2,2,1,1,2
i_pentane,2,2,2,1,1,2
i_pentane_numflag,2,2,2,1,1,2
IceThickness,2,2,2,1,1,2
instrument_name,2,2,2,1,1,2
instrument_serial,2,2,2,1,1,2
Lab ID,2,2,2,1,1,2
Latitude_DD,2,2,2,1,1,2
layer_thick_1,2,2,2,1,1,2
layer_thick_10,2,2,2,1,1,2
layer_thick_11,2,2,2,1,1,2
layer_thick_12,2,2,2,1,1,2
layer_thick_13,2,2,2,1,1,2
layer_thick_14,2,2,2,1,1,2
layer_thick_15,2,2,2,1,1,2
layer_thick_16,2,2,2,1,1,2
layer_thick_17,2,2,2,1,1,2
layer_thick_18,2,2,2,1,1,2
layer_thick_19,2,2,2,1,1,2
layer_thick_2,2,2,2,1,1,2
layer_thick_3,2,2,2,1,1,2
layer_thick_4,2,2,2,1,1,2
layer_thick_5,2,2,2,1,1,2
layer_thick_6,2,2,2,1,1,2
layer_thick_7,2,2,2,1,1,2
layer_thick_8,2,2,2,1,1,2
layer_thick_9,2,2,2,1,1,2
Longitude_DD,2,2,2,1,1,2
Longitude_W,2,2,2,1,1,2
Lu,2,2,2,1,1,2
malaria_blood,2,2,2,1,1,2
mass,2,2,2,1,1,2
meter,2,2,2,1,1,2
model,2,2,2,1,1,2
n_butane,2,2,2,1,1,2
n_butane_numflag,2,2,2,1,1,2
n_hexane,2,2,2,1,1,2
n_hexane_numflag,2,2,2,1,1,2
n_pentane,2,2,2,1,1,2
n_pentane_numflag,2,2,2,1,1,2
N_perc,2,2,2,1,1,2
N2Oflux,2,2,2,1,1,2
NAME,2,2,2,1,1,2
Nb,2,2,2,1,1,2
Observers,2,2,2,1,1,2
OC,2,2,2,1,1,2
OM,2,2,2,1,1,2
Organism,2,2,2,1,1,2
Origin,2,2,2,1,1,2
ozone,2,2,2,1,1,2
perc_C,2,2,2,1,1,2
percC,2,2,2,1,1,2
percN,2,2,2,1,1,2
Permeability,2,2,2,1,1,2
Phase,2,2,2,1,1,2
plant,2,2,2,1,1,2
PLOT,2,2,2,1,1,2
Plot number,2,2,2,1,1,2
precip_mm,2,2,2,1,1,2
pressure_dbar,2,2,2,1,1,2
project_num,2,2,2,1,1,2
propane,2,2,2,1,1,2
propane_numflag,2,2,2,1,1,2
rain,2,2,2,1,1,2
raw_data_file_name,2,2,2,1,1,2
Relative Cover,2,2,2,1,1,2
resistor_ohm,2,2,2,1,1,2
RH_Avg,2,2,2,1,1,2
rho_1,2,2,2,1,1,2
rho_10,2,2,2,1,1,2
rho_11,2,2,2,1,1,2
rho_12,2,2,2,1,1,2
rho_13,2,2,2,1,1,2
rho_14,2,2,2,1,1,2
rho_15,2,2,2,1,1,2
rho_16,2,2,2,1,1,2
rho_17,2,2,2,1,1,2
rho_18,2,2,2,1,1,2
