token,n,unique_ids,unique_authors,weighted_n,weighted_ids,score
thaw depth,4,4,4,1,1,2
2015 01,3,3,3,1,1,2
5 csv,3,3,3,1,1,2
snow water,3,3,3,1,1,2
006 2017,2,2,2,1,1,2
006 cnv,2,2,2,1,1,2
02 csv,2,2,2,1,1,2
07 09,2,2,2,1,1,2
07 21,2,2,2,1,1,2
08 08,2,2,2,1,1,2
08 15,2,2,2,1,1,2
09 01,2,2,2,1,1,2
1974 csv,2,2,2,1,1,2
1985 2017,2,2,2,1,1,2
2 txt,2,2,2,1,1,2
2005 nc,2,2,2,1,1,2
2007 aon,2,2,2,1,1,2
2010 07,2,2,2,1,1,2
2010 2014,2,2,2,1,1,2
2010 baseflow,2,2,2,1,1,2
2010 model,2,2,2,1,1,2
2010 river,2,2,2,1,1,2
2010 snow,2,2,2,1,1,2
2010 soil,2,2,2,1,1,2
2011 01,2,2,2,1,1,2
2013 01,2,2,2,1,1,2
2013 txt,2,2,2,1,1,2
20140616 csv,2,2,2,1,1,2
20140625 csv,2,2,2,1,1,2
2015 nc,2,2,2,1,1,2
2019 2020,2,2,2,1,1,2
7 csv,2,2,2,1,1,2
basins modelled,2,2,2,1,1,2
bf021 3,2,2,2,1,1,2
bottle data.csv,2,2,2,1,1,2
ch4 sf6,2,2,2,1,1,2
co2 ch4,2,2,2,1,1,2
co2 flux,2,2,2,1,1,2
core locations,2,2,2,1,1,2
csv 20140616,2,2,2,1,1,2
csv arctic,2,2,2,1,1,2
csv u49,2,2,2,1,1,2
current meter,2,2,2,1,1,2
daily species,2,2,2,1,1,2
dalton highway,2,2,2,1,1,2
definition ghaas,2,2,2,1,1,2
discharge export,2,2,2,1,1,2
domain definition,2,2,2,1,1,2
ghaas basins,2,2,2,1,1,2
hly02 2015,2,2,2,1,1,2
ice snow,2,2,2,1,1,2
isotope data.csv,2,2,2,1,1,2
lower ablation,2,2,2,1,1,2
meta data.csv,2,2,2,1,1,2
model domain,2,2,2,1,1,2
ongoing tilt,2,2,2,1,1,2
river discharge,2,2,2,1,1,2
sf6 csv,2,2,2,1,1,2
snow data,2,2,2,1,1,2
soil temperatures,2,2,2,1,1,2
summit greenland.csv,2,2,2,1,1,2
table 1,2,2,2,1,1,2
table3 csv,2,2,2,1,1,2
temperature depth,2,2,2,1,1,2
thaw depth.csv,2,2,2,1,1,2
tilt current,2,2,2,1,1,2
txt gps,2,2,2,1,1,2
upper ablation,2,2,2,1,1,2
water equivalent,2,2,2,1,1,2
0 0,1,1,1,1,1,2
0 00,1,1,1,1,1,2
0 03,1,1,1,1,1,2
0 04,1,1,1,1,1,2
0 05,1,1,1,1,1,2
0 08,1,1,1,1,1,2
0 1,1,1,1,1,1,2
0 16,1,1,1,1,1,2
0 18,1,1,1,1,1,2
0 21,1,1,1,1,1,2
0 25,1,1,1,1,1,2
0 36,1,1,1,1,1,2
0 38,1,1,1,1,1,2
0 4,1,1,1,1,1,2
0 tif,1,1,1,1,1,2
00 a.xtf,1,1,1,1,1,2
00 m.tif,1,1,1,1,1,2
00.872 keku,1,1,1,1,1,2
000009 nc,1,1,1,1,1,2
