token,n,unique_ids,unique_authors,weighted_n,weighted_ids,score
053,4,4,4,1,1,2
056,4,4,4,1,1,2
067,4,4,4,1,1,2
068,4,4,4,1,1,2
070,4,4,4,1,1,2
1970,4,4,4,1,1,2
1974,4,4,4,1,1,2
chemistry,4,4,4,1,1,2
data.txt,4,4,4,1,1,2
gpr,4,4,4,1,1,2
parameters.csv,4,4,4,1,1,2
008,3,3,3,1,1,2
018,3,3,3,1,1,2
019,3,3,3,1,1,2
020,3,3,3,1,1,2
021,3,3,3,1,1,2
022,3,3,3,1,1,2
027,3,3,3,1,1,2
029,3,3,3,1,1,2
030,3,3,3,1,1,2
037,3,3,3,1,1,2
040,3,3,3,1,1,2
041,3,3,3,1,1,2
042,3,3,3,1,1,2
043,3,3,3,1,1,2
044,3,3,3,1,1,2
045,3,3,3,1,1,2
046,3,3,3,1,1,2
047,3,3,3,1,1,2
048,3,3,3,1,1,2
049,3,3,3,1,1,2
050,3,3,3,1,1,2
051,3,3,3,1,1,2
052,3,3,3,1,1,2
054,3,3,3,1,1,2
055,3,3,3,1,1,2
057,3,3,3,1,1,2
058,3,3,3,1,1,2
059,3,3,3,1,1,2
060,3,3,3,1,1,2
061,3,3,3,1,1,2
062,3,3,3,1,1,2
063,3,3,3,1,1,2
064,3,3,3,1,1,2
065,3,3,3,1,1,2
066,3,3,3,1,1,2
071,3,3,3,1,1,2
072,3,3,3,1,1,2
073,3,3,3,1,1,2
074,3,3,3,1,1,2
081,3,3,3,1,1,2
082,3,3,3,1,1,2
084,3,3,3,1,1,2
085,3,3,3,1,1,2
086,3,3,3,1,1,2
087,3,3,3,1,1,2
1971,3,3,3,1,1,2
1972,3,3,3,1,1,2
1973,3,3,3,1,1,2
1975,3,3,3,1,1,2
1976,3,3,3,1,1,2
1977,3,3,3,1,1,2
1978,3,3,3,1,1,2
1981,3,3,3,1,1,2
1994,3,3,3,1,1,2
1995,3,3,3,1,1,2
1996,3,3,3,1,1,2
c14,3,3,3,1,1,2
foliar,3,3,3,1,1,2
growth,3,3,3,1,1,2
height,3,3,3,1,1,2
northern,3,3,3,1,1,2
plot,3,3,3,1,1,2
runoff,3,3,3,1,1,2
s1,3,3,3,1,1,2
sampling,3,3,3,1,1,2
shapefile.zip,3,3,3,1,1,2
water.csv,3,3,3,1,1,2
023,2,2,2,1,1,2
034,2,2,2,1,1,2
035,2,2,2,1,1,2
05301avg.cnv,2,2,2,1,1,2
05401avg.cnv,2,2,2,1,1,2
05501avg.cnv,2,2,2,1,1,2
05601avg.cnv,2,2,2,1,1,2
05701avg.cnv,2,2,2,1,1,2
05801avg.cnv,2,2,2,1,1,2
05901avg.cnv,2,2,2,1,1,2
06001avg.cnv,2,2,2,1,1,2
06101avg.cnv,2,2,2,1,1,2
076,2,2,2,1,1,2
077,2,2,2,1,1,2
078,2,2,2,1,1,2
079,2,2,2,1,1,2
080,2,2,2,1,1,2
083,2,2,2,1,1,2
088,2,2,2,1,1,2
089,2,2,2,1,1,2
090,2,2,2,1,1,2
091,2,2,2,1,1,2
092,2,2,2,1,1,2
094,2,2,2,1,1,2
095,2,2,2,1,1,2
097,2,2,2,1,1,2
099,2,2,2,1,1,2
100,2,2,2,1,1,2
1961,2,2,2,1,1,2
1964,2,2,2,1,1,2
1967,2,2,2,1,1,2
1968,2,2,2,1,1,2
1969,2,2,2,1,1,2
1982,2,2,2,1,1,2
20140616,2,2,2,1,1,2
20140625,2,2,2,1,1,2
20140731,2,2,2,1,1,2
a.dat,2,2,2,1,1,2
airport,2,2,2,1,1,2
archive.csv,2,2,2,1,1,2
baseflow,2,2,2,1,1,2
bd,2,2,2,1,1,2
black,2,2,2,1,1,2
ca.csv,2,2,2,1,1,2
calon,2,2,2,1,1,2
cebp,2,2,2,1,1,2
characteristics.csv,2,2,2,1,1,2
coldfoot,2,2,2,1,1,2
content,2,2,2,1,1,2
content.csv,2,2,2,1,1,2
cores,2,2,2,1,1,2
count,2,2,2,1,1,2
dalton,2,2,2,1,1,2
data.tsv,2,2,2,1,1,2
dates.csv,2,2,2,1,1,2
definition,2,2,2,1,1,2
diatoms,2,2,2,1,1,2
domain,2,2,2,1,1,2
drypehr,2,2,2,1,1,2
effort.csv,2,2,2,1,1,2
elevation,2,2,2,1,1,2
equivalent,2,2,2,1,1,2
exchange,2,2,2,1,1,2
export,2,2,2,1,1,2
garden,2,2,2,1,1,2
ghaas,2,2,2,1,1,2
greenland.csv,2,2,2,1,1,2
highway,2,2,2,1,1,2
hly02,2,2,2,1,1,2
hunter,2,2,2,1,1,2
ignition,2,2,2,1,1,2
info.csv,2,2,2,1,1,2
information.csv,2,2,2,1,1,2
ion,2,2,2,1,1,2
krause,2,2,2,1,1,2
larix,2,2,2,1,1,2
location,2,2,2,1,1,2
location.csv,2,2,2,1,1,2
lomas,2,2,2,1,1,2
loss,2,2,2,1,1,2
lysimeter.csv,2,2,2,1,1,2
major,2,2,2,1,1,2
master,2,2,2,1,1,2
meta,2,2,2,1,1,2
meter,2,2,2,1,1,2
microbial,2,2,2,1,1,2
mmp,2,2,2,1,1,2
modelled,2,2,2,1,1,2
moss,2,2,2,1,1,2
n2o,2,2,2,1,1,2
nsf,2,2,2,1,1,2
nutrients.csv,2,2,2,1,1,2
oc,2,2,2,1,1,2
peat,2,2,2,1,1,2
peninsula,2,2,2,1,1,2
precip,2,2,2,1,1,2
processed,2,2,2,1,1,2
ps94,2,2,2,1,1,2
record,2,2,2,1,1,2
records.csv,2,2,2,1,1,2
reflectance,2,2,2,1,1,2
relative,2,2,2,1,1,2
report.pdf,2,2,2,1,1,2
ring,2,2,2,1,1,2
salinity,2,2,2,1,1,2
sample,2,2,2,1,1,2
sequence,2,2,2,1,1,2
sl1,2,2,2,1,1,2
sl2,2,2,2,1,1,2
sl3,2,2,2,1,1,2
sl4,2,2,2,1,1,2
snowdepth,2,2,2,1,1,2
soil.csv,2,2,2,1,1,2
soils,2,2,2,1,1,2
spatial,2,2,2,1,1,2
stats.txt,2,2,2,1,1,2
summary.csv,2,2,2,1,1,2
table.csv,2,2,2,1,1,2
table3,2,2,2,1,1,2
tem.csv,2,2,2,1,1,2
tem.kml,2,2,2,1,1,2
thawdepth,2,2,2,1,1,2
tilt,2,2,2,1,1,2
trees,2,2,2,1,1,2
tundra,2,2,2,1,1,2
values.csv,2,2,2,1,1,2
vapor,2,2,2,1,1,2
watershed,2,2,2,1,1,2
wood,2,2,2,1,1,2
xls,2,2,2,1,1,2
ykd,2,2,2,1,1,2
00.872,1,1,1,1,1,2
000009,1,1,1,1,1,2
000012,1,1,1,1,1,2
000014,1,1,1,1,1,2
000041,1,1,1,1,1,2
000122,1,1,1,1,1,2
0069,1,1,1,1,1,2
0070,1,1,1,1,1,2
0097439,1,1,1,1,1,2
01.872,1,1,1,1,1,2
012218,1,1,1,1,1,2
0168711,1,1,1,1,1,2
02.872,1,1,1,1,1,2
03.872,1,1,1,1,1,2
033117,1,1,1,1,1,2
03uw,1,1,1,1,1,2
04.872,1,1,1,1,1,2
05.27.2018,1,1,1,1,1,2
05201avg.cnv,1,1,1,1,1,2
054430,1,1,1,1,1,2
061019,1,1,1,1,1,2
061219,1,1,1,1,1,2
061419,1,1,1,1,1,2
061620,1,1,1,1,1,2
061913,1,1,1,1,1,2
06201avg.cnv,1,1,1,1,1,2
062418,1,1,1,1,1,2
064811,1,1,1,1,1,2
070857,1,1,1,1,1,2
071318,1,1,1,1,1,2
073019,1,1,1,1,1,2
073119,1,1,1,1,1,2
0801,1,1,1,1,1,2
080519,1,1,1,1,1,2
080531,1,1,1,1,1,2
080619,1,1,1,1,1,2
080719,1,1,1,1,1,2
0808cg044,1,1,1,1,1,2
080919,1,1,1,1,1,2
081019,1,1,1,1,1,2
081119,1,1,1,1,1,2
081519,1,1,1,1,1,2
0818,1,1,1,1,1,2
084553,1,1,1,1,1,2
0911,1,1,1,1,1,2
091312,1,1,1,1,1,2
0917,1,1,1,1,1,2
091944,1,1,1,1,1,2
