token,n,unique_ids,unique_authors,weighted_n,weighted_ids,score
2014 2016 csv,3,3,3,1,1,2
1980 2010 baseflow,2,2,2,1,1,2
1980 2010 model,2,2,2,1,1,2
1980 2010 river,2,2,2,1,1,2
1980 2010 snow,2,2,2,1,1,2
1980 2010 soil,2,2,2,1,1,2
2007 aon ic,2,2,2,1,1,2
2010 aon ic,2,2,2,1,1,2
2010 model domain,2,2,2,1,1,2
2010 river discharge,2,2,2,1,1,2
2010 snow water,2,2,2,1,1,2
2010 soil temperatures,2,2,2,1,1,2
20140625 csv 20140616,2,2,2,1,1,2
2017 csv atq,2,2,2,1,1,2
2018 ongoing tilt,2,2,2,1,1,2
bf021 3 cnv,2,2,2,1,1,2
csv 2014 reciprocal,2,2,2,1,1,2
csv 20140616 csv,2,2,2,1,1,2
definition ghaas basins,2,2,2,1,1,2
domain definition ghaas,2,2,2,1,1,2
ghaas basins modelled,2,2,2,1,1,2
ice snow data,2,2,2,1,1,2
model domain definition,2,2,2,1,1,2
ongoing tilt current,2,2,2,1,1,2
river discharge export,2,2,2,1,1,2
snow water equivalent,2,2,2,1,1,2
tilt current meter,2,2,2,1,1,2
www1202 bf021 3,2,2,2,1,1,2
0 0 tif,1,1,1,1,1,2
0 00 m.tif,1,1,1,1,1,2
0 03 m.tif,1,1,1,1,1,2
0 04 m.tif,1,1,1,1,1,2
0 05 m.tif,1,1,1,1,1,2
0 08 m.tif,1,1,1,1,1,2
0 1 tif,1,1,1,1,1,2
0 16 m.tif,1,1,1,1,1,2
0 18 m.tif,1,1,1,1,1,2
0 21 m.tif,1,1,1,1,1,2
0 25 m.tif,1,1,1,1,1,2
0 36 m.tif,1,1,1,1,1,2
0 38 m.tif,1,1,1,1,1,2
0 4 m.tif,1,1,1,1,1,2
0 tif peters,1,1,1,1,1,2
00 a.xtf shakan,1,1,1,1,1,2
00 m.tif hv,1,1,1,1,1,2
00 txt ivotuk1998,1,1,1,1,1,2
00 xtf shakan,1,1,1,1,1,2
00.872 keku 17,1,1,1,1,1,2
0001 09 single.csv,1,1,1,1,1,2
0001 10 single.csv,1,1,1,1,1,2
0001 11 csv,1,1,1,1,1,2
0001 11 single.csv,1,1,1,1,1,2
0001 12 single.csv,1,1,1,1,1,2
0001 13 single.csv,1,1,1,1,1,2
0001 14 csv,1,1,1,1,1,2
0001 16 csv,1,1,1,1,1,2
0001 19 csv,1,1,1,1,1,2
0002 06 single.csv,1,1,1,1,1,2
0002 07 nsidc.csv,1,1,1,1,1,2
0002 10 single.csv,1,1,1,1,1,2
0002 11 single.csv,1,1,1,1,1,2
0002 12 single.csv,1,1,1,1,1,2
0002 13 single.csv,1,1,1,1,1,2
0002 14 single.csv,1,1,1,1,1,2
0002 15 csv,1,1,1,1,1,2
0002 cnv d2019,1,1,1,1,1,2
0003 08 csv,1,1,1,1,1,2
0003 19 csv,1,1,1,1,1,2
0003 cnv d2019,1,1,1,1,1,2
0004 07 nsidc.csv,1,1,1,1,1,2
0004 08 nsidc.csv,1,1,1,1,1,2
0004 19 csv,1,1,1,1,1,2
0004 cnv d2019,1,1,1,1,1,2
0005 cnv d2019,1,1,1,1,1,2
0005 txt warm,1,1,1,1,1,2
0006 07 nsidc.csv,1,1,1,1,1,2
0006 08 csv,1,1,1,1,1,2
0006 13 14,1,1,1,1,1,2
0006 16 csv,1,1,1,1,1,2
0006 cnv d2019,1,1,1,1,1,2
0007 07 nsidc.csv,1,1,1,1,1,2
0007 08 csv,1,1,1,1,1,2
0007 13 14,1,1,1,1,1,2
0007 13 csv,1,1,1,1,1,2
0007 cnv d2019,1,1,1,1,1,2
0007 txt warm,1,1,1,1,1,2
0008 07 nsidc.csv,1,1,1,1,1,2
0008 13 14,1,1,1,1,1,2
0008 14 csv,1,1,1,1,1,2
0008 15 single.csv,1,1,1,1,1,2
0008 16 single.csv,1,1,1,1,1,2
0008 cnv d2019,1,1,1,1,1,2
0009 08 csv,1,1,1,1,1,2
0009 13 14,1,1,1,1,1,2
0009 14 csv,1,1,1,1,1,2
0009 19 csv,1,1,1,1,1,2
0009 cnv d2019,1,1,1,1,1,2
001 122919 csv,1,1,1,1,1,2
001 164310 csv,1,1,1,1,1,2
001 185913 csv,1,1,1,1,1,2
001 2015 07,1,1,1,1,1,2
001 2015 08,1,1,1,1,1,2
001 2016 9,1,1,1,1,1,2
001 2017 04,1,1,1,1,1,2
001 2017 10,1,1,1,1,1,2
001 2018 05,1,1,1,1,1,2
001 2018 09,1,1,1,1,1,2
001 2018 10,1,1,1,1,1,2
001 2019 08,1,1,1,1,1,2
