token,n,unique_ids,unique_authors,weighted_n,weighted_ids,score
degradation earth,56,56,56,1,1,2
measuring tape,55,55,55,1,1,2
probes steel,55,55,55,1,1,2
sedimentation degradation,55,55,55,1,1,2
sedimentation sediment,55,55,55,1,1,2
steel measuring,55,55,55,1,1,2
collectors sediment,54,54,54,1,1,2
sediment traps,54,54,54,1,1,2
sedimentation sedimentation,54,54,54,1,1,2
station hourly,54,54,54,1,1,2
deposits earth,53,53,53,1,1,2
sedimentation sediments,53,53,53,1,1,2
entrainment earth,52,52,52,1,1,2
records varve,52,52,52,1,1,2
sedimentation entrainment,52,52,52,1,1,2
sedimentation suspended,52,52,52,1,1,2
varve deposits,52,52,52,1,1,2
meters manned,51,51,51,1,1,2
turbidity earth,38,38,38,1,1,2
inlandwaters oceans,36,36,36,1,1,2
annual weekly,35,35,35,1,1,2
meters earth,35,35,35,1,1,2
sediments turbidity,35,35,35,1,1,2
lake levels,34,34,34,1,1,2
levels earth,34,34,34,1,1,2
records lake,34,34,34,1,1,2
sounders echo,34,34,34,1,1,2
annual 1,33,33,33,1,1,2
hour monthly,33,33,33,1,1,2
weekly annual,33,33,33,1,1,2
corers earth,18,18,18,1,1,2
hour weekly,18,18,18,1,1,2
environmental impacts,9,9,9,1,1,2
jars water,8,8,8,1,1,2
soil carbon,8,8,8,1,1,2
soils permafrost,8,8,8,1,1,2
water bottles,8,8,8,1,1,2
analyzers ph,7,7,7,1,1,2
chemistry stable,7,7,7,1,1,2
coastal habitat,7,7,7,1,1,2
ecosystems coastal,7,7,7,1,1,2
north atlantic,7,7,7,1,1,2
ph earth,7,7,7,1,1,2
ph meters,7,7,7,1,1,2
settlements coastal,7,7,7,1,1,2
settlements rural,7,7,7,1,1,2
water surface,7,7,7,1,1,2
aircraft station,6,6,6,1,1,2
environment geoscientificinformation,6,6,6,1,1,2
functions respiration,6,6,6,1,1,2
landscape processes,6,6,6,1,1,2
rate earth,6,6,6,1,1,2
records isotopes,6,6,6,1,1,2
respiration rate,6,6,6,1,1,2
sheet motion,6,6,6,1,1,2
ship ecology,6,6,6,1,1,2
station biota,6,6,6,1,1,2
agriculture production,5,5,5,1,1,2
aircraft arctic,5,5,5,1,1,2
cycles earth,5,5,5,1,1,2
depth land,5,5,5,1,1,2
ecosystems dunes,5,5,5,1,1,2
ecosystems earth,5,5,5,1,1,2
ecosystems marine,5,5,5,1,1,2
geoscientificinformation oceans,5,5,5,1,1,2
glacier motion,5,5,5,1,1,2
hazards severe,5,5,5,1,1,2
ice salinity,5,5,5,1,1,2
marine habitat,5,5,5,1,1,2
mass spectrometer,5,5,5,1,1,2
motion ice,5,5,5,1,1,2
nitrogen oxides,5,5,5,1,1,2
oceans earth,5,5,5,1,1,2
production earth,5,5,5,1,1,2
resources agriculture,5,5,5,1,1,2
sensors automatic,5,5,5,1,1,2
severe storms,5,5,5,1,1,2
storms field,5,5,5,1,1,2
temperature sea,5,5,5,1,1,2
water isotopes,5,5,5,1,1,2
agricultural lands,4,4,4,1,1,2
aleutian islands,4,4,4,1,1,2
arctic oscillation,4,4,4,1,1,2
artifacts lithics,4,4,4,1,1,2
biomass earth,4,4,4,1,1,2
bone tools,4,4,4,1,1,2
carbon carbon,4,4,4,1,1,2
chemistry field,4,4,4,1,1,2
climate normal,4,4,4,1,1,2
depth aircraft,4,4,4,1,1,2
dynamics invasive,4,4,4,1,1,2
ecosystems agricultural,4,4,4,1,1,2
ecosystems beaches,4,4,4,1,1,2
environmental sustainability,4,4,4,1,1,2
gauges mooring,4,4,4,1,1,2
greenland glacial,4,4,4,1,1,2
indicators erosion,4,4,4,1,1,2
indicators permafrost,4,4,4,1,1,2
irms isotopic,4,4,4,1,1,2
isotopic ratio,4,4,4,1,1,2
kilometers annual,4,4,4,1,1,2
lands earth,4,4,4,1,1,2
landscape management,4,4,4,1,1,2
lithics bone,4,4,4,1,1,2
meters wind,4,4,4,1,1,2
microscopes field,4,4,4,1,1,2
normal 30,4,4,4,1,1,2
oxygen isotopes,4,4,4,1,1,2
permafrost melt,4,4,4,1,1,2
potential temperature,4,4,4,1,1,2
probe earth,4,4,4,1,1,2
processes beaches,4,4,4,1,1,2
processes sedimentation,4,4,4,1,1,2
radiometers irms,4,4,4,1,1,2
ratio mass,4,4,4,1,1,2
records earth,4,4,4,1,1,2
satellite arctic,4,4,4,1,1,2
settlements earth,4,4,4,1,1,2
soils earth,4,4,4,1,1,2
structure earth,4,4,4,1,1,2
sustainability environmental,4,4,4,1,1,2
teleconnections arctic,4,4,4,1,1,2
temperature potential,4,4,4,1,1,2
unknown 1,4,4,4,1,1,2
vegetation biomass,4,4,4,1,1,2
water table,4,4,4,1,1,2
weather earth,4,4,4,1,1,2
weekly geoscientificinformation,4,4,4,1,1,2
wind vanes,4,4,4,1,1,2
1000 kilometers,3,3,3,1,1,2
administrative divisions,3,3,3,1,1,2
agriculture earth,3,3,3,1,1,2
alaska weather,3,3,3,1,1,2
archaeology aleutian,3,3,3,1,1,2
arctic alaska,3,3,3,1,1,2
arctic lakes,3,3,3,1,1,2
arctic paleoclimate,3,3,3,1,1,2
atlantic oscillation,3,3,3,1,1,2
automated weather,3,3,3,1,1,2
behavior disaster,3,3,3,1,1,2
boreal forest,3,3,3,1,1,2
