token,n,unique_ids,unique_authors,weighted_n,weighted_ids,score
degradation,56,56,56,1,1,2
steel,55,55,55,1,1,2
tape,55,55,55,1,1,2
deposits,53,53,53,1,1,2
entrainment,52,52,52,1,1,2
varve,52,52,52,1,1,2
levels,36,36,36,1,1,2
impacts,10,10,10,1,1,2
meltwater,8,8,8,1,1,2
rural,7,7,7,1,1,2
mountains,6,6,6,1,1,2
scanning,6,6,6,1,1,2
structure,6,6,6,1,1,2
svalbard,6,6,6,1,1,2
bone,5,5,5,1,1,2
climatology,5,5,5,1,1,2
composition,5,5,5,1,1,2
decomposition,5,5,5,1,1,2
expansion,5,5,5,1,1,2
icebergs,5,5,5,1,1,2
oxides,5,5,5,1,1,2
response,5,5,5,1,1,2
artifacts,4,4,4,1,1,2
chamberlin,4,4,4,1,1,2
dating,4,4,4,1,1,2
deformation,4,4,4,1,1,2
green,4,4,4,1,1,2
historical,4,4,4,1,1,2
inuit,4,4,4,1,1,2
ions,4,4,4,1,1,2
irms,4,4,4,1,1,2
lands,4,4,4,1,1,2
lithics,4,4,4,1,1,2
meteorology,4,4,4,1,1,2
normal,4,4,4,1,1,2
potential,4,4,4,1,1,2
table,4,4,4,1,1,2
tracers,4,4,4,1,1,2
upward,4,4,4,1,1,2
vanes,4,4,4,1,1,2
velocity,4,4,4,1,1,2
1000,3,3,3,1,1,2
2016,3,3,3,1,1,2
administrative,3,3,3,1,1,2
ammonia,3,3,3,1,1,2
basal,3,3,3,1,1,2
biogenic,3,3,3,1,1,2
burns,3,3,3,1,1,2
cajanderi,3,3,3,1,1,2
canada,3,3,3,1,1,2
capacity,3,3,3,1,1,2
conservation,3,3,3,1,1,2
cultural,3,3,3,1,1,2
deflation,3,3,3,1,1,2
disaster,3,3,3,1,1,2
east,3,3,3,1,1,2
electrical,3,3,3,1,1,2
electron,3,3,3,1,1,2
emissions,3,3,3,1,1,2
fauna,3,3,3,1,1,2
geo,3,3,3,1,1,2
halogens,3,3,3,1,1,2
horizons,3,3,3,1,1,2
iceberg,3,3,3,1,1,2
iceland,3,3,3,1,1,2
internal,3,3,3,1,1,2
lead,3,3,3,1,1,2
logs,3,3,3,1,1,2
metals,3,3,3,1,1,2
moraines,3,3,3,1,1,2
multichannel,3,3,3,1,1,2
operations,3,3,3,1,1,2
oxide,3,3,3,1,1,2
pcbs,3,3,3,1,1,2
photochemistry,3,3,3,1,1,2
political,3,3,3,1,1,2
recruitment,3,3,3,1,1,2
removal,3,3,3,1,1,2
seasonality,3,3,3,1,1,2
shortwave,3,3,3,1,1,2
silicate,3,3,3,1,1,2
smmr,3,3,3,1,1,2
solar,3,3,3,1,1,2
stress,3,3,3,1,1,2
submarine,3,3,3,1,1,2
subsistence,3,3,3,1,1,2
susceptibility,3,3,3,1,1,2
tenure,3,3,3,1,1,2
terra,3,3,3,1,1,2
topographic,3,3,3,1,1,2
watersheds,3,3,3,1,1,2
zone,3,3,3,1,1,2
10be,2,2,2,1,1,2
13c,2,2,2,1,1,2
15n,2,2,2,1,1,2
4dda,2,2,2,1,1,2
ablation,2,2,2,1,1,2
aes,2,2,2,1,1,2
ages,2,2,2,1,1,2
airborne,2,2,2,1,1,2
algae,2,2,2,1,1,2
amsr,2,2,2,1,1,2
arc,2,2,2,1,1,2
arcsees,2,2,2,1,1,2
assembly,2,2,2,1,1,2
assimilation,2,2,2,1,1,2
augers,2,2,2,1,1,2
aws,2,2,2,1,1,2
band,2,2,2,1,1,2
barchan,2,2,2,1,1,2
barometric,2,2,2,1,1,2
benthos,2,2,2,1,1,2
beringia,2,2,2,1,1,2
beryllium,2,2,2,1,1,2
birnirk,2,2,2,1,1,2
canning,2,2,2,1,1,2
cascade,2,2,2,1,1,2
channels,2,2,2,1,1,2
chem,2,2,2,1,1,2
cods,2,2,2,1,1,2
color,2,2,2,1,1,2
colville,2,2,2,1,1,2
cores,2,2,2,1,1,2
crescentic,2,2,2,1,1,2
crop,2,2,2,1,1,2
cutter,2,2,2,1,1,2
deglaciation,2,2,2,1,1,2
densification,2,2,2,1,1,2
development,2,2,2,1,1,2
diffraction,2,2,2,1,1,2
digital,2,2,2,1,1,2
diversity,2,2,2,1,1,2
dom,2,2,2,1,1,2
dominant,2,2,2,1,1,2
downscaling,2,2,2,1,1,2
drift,2,2,2,1,1,2
drying,2,2,2,1,1,2
dune,2,2,2,1,1,2
e5,2,2,2,1,1,2
ectomycorrhizal,2,2,2,1,1,2
edges,2,2,2,1,1,2
education,2,2,2,1,1,2
effects,2,2,2,1,1,2
efficiency,2,2,2,1,1,2
electricity,2,2,2,1,1,2
estuarine,2,2,2,1,1,2
ethnography,2,2,2,1,1,2
evapotranspiration,2,2,2,1,1,2
famine,2,2,2,1,1,2
features,2,2,2,1,1,2
foraminifera,2,2,2,1,1,2
ftir,2,2,2,1,1,2
gastropods,2,2,2,1,1,2
geos,2,2,2,1,1,2
gisp2,2,2,2,1,1,2
greentracs,2,2,2,1,1,2
haddocks,2,2,2,1,1,2
halocarbons,2,2,2,1,1,2
hazard,2,2,2,1,1,2
herbivore,2,2,2,1,1,2
hole,2,2,2,1,1,2
hydrologic,2,2,2,1,1,2
incoming,2,2,2,1,1,2
increment,2,2,2,1,1,2
institution,2,2,2,1,1,2
inupiat,2,2,2,1,1,2
kangerlussuaq,2,2,2,1,1,2
kongsbreen,2,2,2,1,1,2
kongsfjorden,2,2,2,1,1,2
life,2,2,2,1,1,2
mapper,2,2,2,1,1,2
mapping,2,2,2,1,1,2
meade,2,2,2,1,1,2
mechanics,2,2,2,1,1,2
microfossils,2,2,2,1,1,2
mitigation,2,2,2,1,1,2
mixing,2,2,2,1,1,2
mobile,2,2,2,1,1,2
monitoring,2,2,2,1,1,2
moss,2,2,2,1,1,2
multi,2,2,2,1,1,2
mycorrhizal,2,2,2,1,1,2
n2,2,2,2,1,1,2
neighbor,2,2,2,1,1,2
nitrous,2,2,2,1,1,2
northeast,2,2,2,1,1,2
noxious,2,2,2,1,1,2
nuclide,2,2,2,1,1,2
outlet,2,2,2,1,1,2
pah,2,2,2,1,1,2
paul,2,2,2,1,1,2
peat,2,2,2,1,1,2
phenomena,2,2,2,1,1,2
photogrammetry,2,2,2,1,1,2
photometers,2,2,2,1,1,2
pollen,2,2,2,1,1,2
pore,2,2,2,1,1,2
post,2,2,2,1,1,2
protists,2,2,2,1,1,2
radium,2,2,2,1,1,2
